context: Fixed Synced by bozxphd.Enjoy The Flick response:	Dropping troops at rally point.
context: became the assistant firm teacher\to train us in our assassination.\Furthermore, someone was also hired to support Mr Karasuma.\Ms Irina Jelavic.\I heard that\she is a highly skilled professional assassin.\At first, she was sent to kill this powerful creature but...\She was changed into a wholesome, retro PE outfit. response:	I don't understand the details.
context: to train us in our assassination.\Furthermore, someone was also hired to support Mr Karasuma.\Ms Irina Jelavic.\I heard that\she is a highly skilled professional assassin.\At first, she was sent to kill this powerful creature but...\She was changed into a wholesome, retro PE outfit.\I don't understand the details. response:	But something beyond my imagination happened to her.
context: Furthermore, someone was also hired to support Mr Karasuma.\Ms Irina Jelavic.\I heard that\she is a highly skilled professional assassin.\At first, she was sent to kill this powerful creature but...\She was changed into a wholesome, retro PE outfit.\I don't understand the details.\But something beyond my imagination happened to her. response:	She's so cute.
context: Ms Irina Jelavic.\I heard that\she is a highly skilled professional assassin.\At first, she was sent to kill this powerful creature but...\She was changed into a wholesome, retro PE outfit.\I don't understand the details.\But something beyond my imagination happened to her.\She's so cute. response:	Since then, she became our English teacher.
context: I heard that\she is a highly skilled professional assassin.\At first, she was sent to kill this powerful creature but...\She was changed into a wholesome, retro PE outfit.\I don't understand the details.\But something beyond my imagination happened to her.\She's so cute.\Since then, she became our English teacher. response:	Touka Yada.
context: she is a highly skilled professional assassin.\At first, she was sent to kill this powerful creature but...\She was changed into a wholesome, retro PE outfit.\I don't understand the details.\But something beyond my imagination happened to her.\She's so cute.\Since then, she became our English teacher.\Touka Yada. response:	Present.
context: At first, she was sent to kill this powerful creature but...\She was changed into a wholesome, retro PE outfit.\I don't understand the details.\But something beyond my imagination happened to her.\She's so cute.\Since then, she became our English teacher.\Touka Yada.\Present. response:	Taisei Yoshida.
context: She was changed into a wholesome, retro PE outfit.\I don't understand the details.\But something beyond my imagination happened to her.\She's so cute.\Since then, she became our English teacher.\Touka Yada.\Present.\Taisei Yoshida. response:	Present.
context: I don't understand the details.\But something beyond my imagination happened to her.\She's so cute.\Since then, she became our English teacher.\Touka Yada.\Present.\Taisei Yoshida.\Present. response:	I'm relieved nobody is late.
context: But something beyond my imagination happened to her.\She's so cute.\Since then, she became our English teacher.\Touka Yada.\Present.\Taisei Yoshida.\Present.\I'm relieved nobody is late. response:	But not one of your bullets hit me. That's too bad.
context: She's so cute.\Since then, she became our English teacher.\Touka Yada.\Present.\Taisei Yoshida.\Present.\I'm relieved nobody is late.\But not one of your bullets hit me. That's too bad. response:	I hope you get to kill me before graduation.
context: Since then, she became our English teacher.\Touka Yada.\Present.\Taisei Yoshida.\Present.\I'm relieved nobody is late.\But not one of your bullets hit me. That's too bad.\I hope you get to kill me before graduation. response:	That's how we, the E for End Class, became students of the assassination classroom.
context: Touka Yada.\Present.\Taisei Yoshida.\Present.\I'm relieved nobody is late.\But not one of your bullets hit me. That's too bad.\I hope you get to kill me before graduation.\That's how we, the E for End Class, became students of the assassination classroom. response:	Look at your target!
context: Present.\Taisei Yoshida.\Present.\I'm relieved nobody is late.\But not one of your bullets hit me. That's too bad.\I hope you get to kill me before graduation.\That's how we, the E for End Class, became students of the assassination classroom.\Look at your target! response:	Yes sir!
context: Taisei Yoshida.\Present.\I'm relieved nobody is late.\But not one of your bullets hit me. That's too bad.\I hope you get to kill me before graduation.\That's how we, the E for End Class, became students of the assassination classroom.\Look at your target!\Yes sir! response:	Okay. Next!
