context: I-I'm sorry! response:	There are all sorts of mysteries in this world,
context: Weapons! Get us weapons!\Fine by me!\I've got soap!\Soap?!\Battle, start!\Human Bubble Bath!\Hi-ya!\What was he trying to do? response:	Why soap?
context: Fine by me!\I've got soap!\Soap?!\Battle, start!\Human Bubble Bath!\Hi-ya!\What was he trying to do?\Why soap? response:	Inohara Masato.
context: I've got soap!\Soap?!\Battle, start!\Human Bubble Bath!\Hi-ya!\What was he trying to do?\Why soap?\Inohara Masato. response:	I bestow upon you the title...
context: Soap?!\Battle, start!\Human Bubble Bath!\Hi-ya!\What was he trying to do?\Why soap?\Inohara Masato.\I bestow upon you the title... response:	We need five more members...
context: Battle, start!\Human Bubble Bath!\Hi-ya!\What was he trying to do?\Why soap?\Inohara Masato.\I bestow upon you the title...\We need five more members... response:	I doubt there's even one person who'd consider picking up baseball in their second year of high school.
context: Human Bubble Bath!\Hi-ya!\What was he trying to do?\Why soap?\Inohara Masato.\I bestow upon you the title...\We need five more members...\I doubt there's even one person who'd consider picking up baseball in their second year of high school. response:	Let alone five...
context: Hi-ya!\What was he trying to do?\Why soap?\Inohara Masato.\I bestow upon you the title...\We need five more members...\I doubt there's even one person who'd consider picking up baseball in their second year of high school.\Let alone five... response:	Hey, have you seen Natsume Rin?
context: What was he trying to do?\Why soap?\Inohara Masato.\I bestow upon you the title...\We need five more members...\I doubt there's even one person who'd consider picking up baseball in their second year of high school.\Let alone five...\Hey, have you seen Natsume Rin? response:	She's on duty today, but she hasn't erased the board.
context: Why soap?\Inohara Masato.\I bestow upon you the title...\We need five more members...\I doubt there's even one person who'd consider picking up baseball in their second year of high school.\Let alone five...\Hey, have you seen Natsume Rin?\She's on duty today, but she hasn't erased the board. response:	She's probably playing with cats again.
context: Inohara Masato.\I bestow upon you the title...\We need five more members...\I doubt there's even one person who'd consider picking up baseball in their second year of high school.\Let alone five...\Hey, have you seen Natsume Rin?\She's on duty today, but she hasn't erased the board.\She's probably playing with cats again. response:	That's all she ever does.
context: I bestow upon you the title...\We need five more members...\I doubt there's even one person who'd consider picking up baseball in their second year of high school.\Let alone five...\Hey, have you seen Natsume Rin?\She's on duty today, but she hasn't erased the board.\She's probably playing with cats again.\That's all she ever does. response:	She doesn't care about anything but herself and those cats.
context: We need five more members...\I doubt there's even one person who'd consider picking up baseball in their second year of high school.\Let alone five...\Hey, have you seen Natsume Rin?\She's on duty today, but she hasn't erased the board.\She's probably playing with cats again.\That's all she ever does.\She doesn't care about anything but herself and those cats. response:	Seriously.
context: I doubt there's even one person who'd consider picking up baseball in their second year of high school.\Let alone five...\Hey, have you seen Natsume Rin?\She's on duty today, but she hasn't erased the board.\She's probably playing with cats again.\That's all she ever does.\She doesn't care about anything but herself and those cats.\Seriously. response:	Just because she's popular with the guys...
context: Let alone five...\Hey, have you seen Natsume Rin?\She's on duty today, but she hasn't erased the board.\She's probably playing with cats again.\That's all she ever does.\She doesn't care about anything but herself and those cats.\Seriously.\Just because she's popular with the guys... response:	Yeah.
context: Hey, have you seen Natsume Rin?\She's on duty today, but she hasn't erased the board.\She's probably playing with cats again.\That's all she ever does.\She doesn't care about anything but herself and those cats.\Seriously.\Just because she's popular with the guys...\Yeah. response:	Come on, come on.
context: She's on duty today, but she hasn't erased the board.\She's probably playing with cats again.\That's all she ever does.\She doesn't care about anything but herself and those cats.\Seriously.\Just because she's popular with the guys...\Yeah.\Come on, come on. response:	Whoops!
context: She's probably playing with cats again.\That's all she ever does.\She doesn't care about anything but herself and those cats.\Seriously.\Just because she's popular with the guys...\Yeah.\Come on, come on.\Whoops! response:	What now, Isoroku?
context: That's all she ever does.\She doesn't care about anything but herself and those cats.\Seriously.\Just because she's popular with the guys...\Yeah.\Come on, come on.\Whoops!\What now, Isoroku? response:	Guts! Guts!
context: She doesn't care about anything but herself and those cats.\Seriously.\Just because she's popular with the guys...\Yeah.\Come on, come on.\Whoops!\What now, Isoroku?\Guts! Guts! response:	Be the first in history to walk on two legs!
context: Seriously.\Just because she's popular with the guys...\Yeah.\Come on, come on.\Whoops!\What now, Isoroku?\Guts! Guts!\Be the first in history to walk on two legs! response:	I figured you'd be here, Rin.
context: Just because she's popular with the guys...\Yeah.\Come on, come on.\Whoops!\What now, Isoroku?\Guts! Guts!\Be the first in history to walk on two legs!\I figured you'd be here, Rin. response:	Riki?
context: Yeah.\Come on, come on.\Whoops!\What now, Isoroku?\Guts! Guts!\Be the first in history to walk on two legs!\I figured you'd be here, Rin.\Riki? response:	You shouldn't be playing when you're on duty.
context: Come on, come on.\Whoops!\What now, Isoroku?\Guts! Guts!\Be the first in history to walk on two legs!\I figured you'd be here, Rin.\Riki?\You shouldn't be playing when you're on duty. response:	No one will like you if you don't do your job.
context: Whoops!\What now, Isoroku?\Guts! Guts!\Be the first in history to walk on two legs!\I figured you'd be here, Rin.\Riki?\You shouldn't be playing when you're on duty.\No one will like you if you don't do your job. response:	You aren't getting along with the girls in class, right?
context: What now, Isoroku?\Guts! Guts!\Be the first in history to walk on two legs!\I figured you'd be here, Rin.\Riki?\You shouldn't be playing when you're on duty.\No one will like you if you don't do your job.\You aren't getting along with the girls in class, right? response:	That's not true.
context: Guts! Guts!\Be the first in history to walk on two legs!\I figured you'd be here, Rin.\Riki?\You shouldn't be playing when you're on duty.\No one will like you if you don't do your job.\You aren't getting along with the girls in class, right?\That's not true. response:	So are you friends with any of them?
context: Be the first in history to walk on two legs!\I figured you'd be here, Rin.\Riki?\You shouldn't be playing when you're on duty.\No one will like you if you don't do your job.\You aren't getting along with the girls in class, right?\That's not true.\So are you friends with any of them? response:	The girl sitting behind me.
context: I figured you'd be here, Rin.\Riki?\You shouldn't be playing when you're on duty.\No one will like you if you don't do your job.\You aren't getting along with the girls in class, right?\That's not true.\So are you friends with any of them?\The girl sitting behind me. response:	What's her name?
context: Riki?\You shouldn't be playing when you're on duty.\No one will like you if you don't do your job.\You aren't getting along with the girls in class, right?\That's not true.\So are you friends with any of them?\The girl sitting behind me.\What's her name? response:	You don't know?
context: You shouldn't be playing when you're on duty.\No one will like you if you don't do your job.\You aren't getting along with the girls in class, right?\That's not true.\So are you friends with any of them?\The girl sitting behind me.\What's her name?\You don't know? response:	But you're friends?
context: No one will like you if you don't do your job.\You aren't getting along with the girls in class, right?\That's not true.\So are you friends with any of them?\The girl sitting behind me.\What's her name?\You don't know?\But you're friends? response:	Be quiet! Shut up!
context: You aren't getting along with the girls in class, right?\That's not true.\So are you friends with any of them?\The girl sitting behind me.\What's her name?\You don't know?\But you're friends?\Be quiet! Shut up! response:	What's so bad about not having friends?
context: That's not true.\So are you friends with any of them?\The girl sitting behind me.\What's her name?\You don't know?\But you're friends?\Be quiet! Shut up!\What's so bad about not having friends? response:	It's not like I'm causing any problems for you!
context: So are you friends with any of them?\The girl sitting behind me.\What's her name?\You don't know?\But you're friends?\Be quiet! Shut up!\What's so bad about not having friends?\It's not like I'm causing any problems for you! response:	Are you going to die if I don't have any?
context: The girl sitting behind me.\What's her name?\You don't know?\But you're friends?\Be quiet! Shut up!\What's so bad about not having friends?\It's not like I'm causing any problems for you!\Are you going to die if I don't have any? response:	I'm worried for you.
context: What's her name?\You don't know?\But you're friends?\Be quiet! Shut up!\What's so bad about not having friends?\It's not like I'm causing any problems for you!\Are you going to die if I don't have any?\I'm worried for you. response:	I know we grew up together and that we can hang out now,
context: You don't know?\But you're friends?\Be quiet! Shut up!\What's so bad about not having friends?\It's not like I'm causing any problems for you!\Are you going to die if I don't have any?\I'm worried for you.\I know we grew up together and that we can hang out now, response:	but once we graduate, you know...
