context: But you don't have to be scared. response:	Only Xin Nu and I know about this.
context: She is Si Yin.\Xuan Nu, let me tell you something.\My master's body is extremely precious.\It's received blood from my heart for 70,000 years.\I'm afraid your son won't be able to handle that.\Blood from your heart?\You mean...\Li Jing, let's not talk about your past for the time being. response:	I want to ask you how you plan on taking care of today's matters.
context: Xuan Nu, let me tell you something.\My master's body is extremely precious.\It's received blood from my heart for 70,000 years.\I'm afraid your son won't be able to handle that.\Blood from your heart?\You mean...\Li Jing, let's not talk about your past for the time being.\I want to ask you how you plan on taking care of today's matters. response:	Do you want to do it privately or publicly?
context: My master's body is extremely precious.\It's received blood from my heart for 70,000 years.\I'm afraid your son won't be able to handle that.\Blood from your heart?\You mean...\Li Jing, let's not talk about your past for the time being.\I want to ask you how you plan on taking care of today's matters.\Do you want to do it privately or publicly? response:	What happens if it's private? What happens if it's public?
context: It's received blood from my heart for 70,000 years.\I'm afraid your son won't be able to handle that.\Blood from your heart?\You mean...\Li Jing, let's not talk about your past for the time being.\I want to ask you how you plan on taking care of today's matters.\Do you want to do it privately or publicly?\What happens if it's private? What happens if it's public? response:	If privately, then pull the limbs of and skin your ghost queen
context: I'm afraid your son won't be able to handle that.\Blood from your heart?\You mean...\Li Jing, let's not talk about your past for the time being.\I want to ask you how you plan on taking care of today's matters.\Do you want to do it privately or publicly?\What happens if it's private? What happens if it's public?\If privately, then pull the limbs of and skin your ghost queen response:	who doesn't know her place, to alleviate my anger.
context: Blood from your heart?\You mean...\Li Jing, let's not talk about your past for the time being.\I want to ask you how you plan on taking care of today's matters.\Do you want to do it privately or publicly?\What happens if it's private? What happens if it's public?\If privately, then pull the limbs of and skin your ghost queen\who doesn't know her place, to alleviate my anger. response:	If publicly, the Celestial soldiers haven't fought a battle in a long time.
context: You mean...\Li Jing, let's not talk about your past for the time being.\I want to ask you how you plan on taking care of today's matters.\Do you want to do it privately or publicly?\What happens if it's private? What happens if it's public?\If privately, then pull the limbs of and skin your ghost queen\who doesn't know her place, to alleviate my anger.\If publicly, the Celestial soldiers haven't fought a battle in a long time. response:	They have a lot of free time.
context: Li Jing, let's not talk about your past for the time being.\I want to ask you how you plan on taking care of today's matters.\Do you want to do it privately or publicly?\What happens if it's private? What happens if it's public?\If privately, then pull the limbs of and skin your ghost queen\who doesn't know her place, to alleviate my anger.\If publicly, the Celestial soldiers haven't fought a battle in a long time.\They have a lot of free time. response:	We can use this opportunity to see
context: I want to ask you how you plan on taking care of today's matters.\Do you want to do it privately or publicly?\What happens if it's private? What happens if it's public?\If privately, then pull the limbs of and skin your ghost queen\who doesn't know her place, to alleviate my anger.\If publicly, the Celestial soldiers haven't fought a battle in a long time.\They have a lot of free time.\We can use this opportunity to see response:	whose army has been training better after all these years.
context: Do you want to do it privately or publicly?\What happens if it's private? What happens if it's public?\If privately, then pull the limbs of and skin your ghost queen\who doesn't know her place, to alleviate my anger.\If publicly, the Celestial soldiers haven't fought a battle in a long time.\They have a lot of free time.\We can use this opportunity to see\whose army has been training better after all these years. response:	Your Majesty, are you really going to punish me that harshly?
context: What happens if it's private? What happens if it's public?\If privately, then pull the limbs of and skin your ghost queen\who doesn't know her place, to alleviate my anger.\If publicly, the Celestial soldiers haven't fought a battle in a long time.\They have a lot of free time.\We can use this opportunity to see\whose army has been training better after all these years.\Your Majesty, are you really going to punish me that harshly? response:	No, right?
context: If privately, then pull the limbs of and skin your ghost queen\who doesn't know her place, to alleviate my anger.\If publicly, the Celestial soldiers haven't fought a battle in a long time.\They have a lot of free time.\We can use this opportunity to see\whose army has been training better after all these years.\Your Majesty, are you really going to punish me that harshly?\No, right? response:	Your Majesty, did you forget?
context: who doesn't know her place, to alleviate my anger.\If publicly, the Celestial soldiers haven't fought a battle in a long time.\They have a lot of free time.\We can use this opportunity to see\whose army has been training better after all these years.\Your Majesty, are you really going to punish me that harshly?\No, right?\Your Majesty, did you forget? response:	Did you forget all the things I've done for you?
context: If publicly, the Celestial soldiers haven't fought a battle in a long time.\They have a lot of free time.\We can use this opportunity to see\whose army has been training better after all these years.\Your Majesty, are you really going to punish me that harshly?\No, right?\Your Majesty, did you forget?\Did you forget all the things I've done for you? response:	Without me, would you be ghost lord?
context: They have a lot of free time.\We can use this opportunity to see\whose army has been training better after all these years.\Your Majesty, are you really going to punish me that harshly?\No, right?\Your Majesty, did you forget?\Did you forget all the things I've done for you?\Without me, would you be ghost lord? response:	He wouldn't dare to deploy troops! He wouldn't dare.
context: We can use this opportunity to see\whose army has been training better after all these years.\Your Majesty, are you really going to punish me that harshly?\No, right?\Your Majesty, did you forget?\Did you forget all the things I've done for you?\Without me, would you be ghost lord?\He wouldn't dare to deploy troops! He wouldn't dare. response:	Don't think I don't know that you wouldn't dare to deploy troops.
context: whose army has been training better after all these years.\Your Majesty, are you really going to punish me that harshly?\No, right?\Your Majesty, did you forget?\Did you forget all the things I've done for you?\Without me, would you be ghost lord?\He wouldn't dare to deploy troops! He wouldn't dare.\Don't think I don't know that you wouldn't dare to deploy troops. response:	You don't have that power!
context: Your Majesty, are you really going to punish me that harshly?\No, right?\Your Majesty, did you forget?\Did you forget all the things I've done for you?\Without me, would you be ghost lord?\He wouldn't dare to deploy troops! He wouldn't dare.\Don't think I don't know that you wouldn't dare to deploy troops.\You don't have that power! response:	You're just the Celestial Crown Prince.
context: No, right?\Your Majesty, did you forget?\Did you forget all the things I've done for you?\Without me, would you be ghost lord?\He wouldn't dare to deploy troops! He wouldn't dare.\Don't think I don't know that you wouldn't dare to deploy troops.\You don't have that power!\You're just the Celestial Crown Prince. response:	Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman.
context: Your Majesty, did you forget?\Did you forget all the things I've done for you?\Without me, would you be ghost lord?\He wouldn't dare to deploy troops! He wouldn't dare.\Don't think I don't know that you wouldn't dare to deploy troops.\You don't have that power!\You're just the Celestial Crown Prince.\Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman. response:	I'm not deploying troops for the sake of one woman.
context: Did you forget all the things I've done for you?\Without me, would you be ghost lord?\He wouldn't dare to deploy troops! He wouldn't dare.\Don't think I don't know that you wouldn't dare to deploy troops.\You don't have that power!\You're just the Celestial Crown Prince.\Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman.\I'm not deploying troops for the sake of one woman. response:	High God Mo Yuan is a highly-respected God of the Celestial Tribe.
context: Without me, would you be ghost lord?\He wouldn't dare to deploy troops! He wouldn't dare.\Don't think I don't know that you wouldn't dare to deploy troops.\You don't have that power!\You're just the Celestial Crown Prince.\Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman.\I'm not deploying troops for the sake of one woman.\High God Mo Yuan is a highly-respected God of the Celestial Tribe. response:	High Goddess Bai Qian is the future Heavenly Empress.
context: He wouldn't dare to deploy troops! He wouldn't dare.\Don't think I don't know that you wouldn't dare to deploy troops.\You don't have that power!\You're just the Celestial Crown Prince.\Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman.\I'm not deploying troops for the sake of one woman.\High God Mo Yuan is a highly-respected God of the Celestial Tribe.\High Goddess Bai Qian is the future Heavenly Empress. response:	And A-Li will succeed my position in the future.
context: Don't think I don't know that you wouldn't dare to deploy troops.\You don't have that power!\You're just the Celestial Crown Prince.\Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman.\I'm not deploying troops for the sake of one woman.\High God Mo Yuan is a highly-respected God of the Celestial Tribe.\High Goddess Bai Qian is the future Heavenly Empress.\And A-Li will succeed my position in the future. response:	Right now, these three people
context: You don't have that power!\You're just the Celestial Crown Prince.\Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman.\I'm not deploying troops for the sake of one woman.\High God Mo Yuan is a highly-respected God of the Celestial Tribe.\High Goddess Bai Qian is the future Heavenly Empress.\And A-Li will succeed my position in the future.\Right now, these three people response:	have suffered extraordinary humiliation at Grand Ziming Palace.
context: You're just the Celestial Crown Prince.\Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman.\I'm not deploying troops for the sake of one woman.\High God Mo Yuan is a highly-respected God of the Celestial Tribe.\High Goddess Bai Qian is the future Heavenly Empress.\And A-Li will succeed my position in the future.\Right now, these three people\have suffered extraordinary humiliation at Grand Ziming Palace. response:	Do you think the Celestial soldiers will just let this slide?
context: Heavenly Lord wouldn't agree to deploy the troops for the sake of one woman.\I'm not deploying troops for the sake of one woman.\High God Mo Yuan is a highly-respected God of the Celestial Tribe.\High Goddess Bai Qian is the future Heavenly Empress.\And A-Li will succeed my position in the future.\Right now, these three people\have suffered extraordinary humiliation at Grand Ziming Palace.\Do you think the Celestial soldiers will just let this slide? response:	Xuan Nu was always a little crazy.
context: I'm not deploying troops for the sake of one woman.\High God Mo Yuan is a highly-respected God of the Celestial Tribe.\High Goddess Bai Qian is the future Heavenly Empress.\And A-Li will succeed my position in the future.\Right now, these three people\have suffered extraordinary humiliation at Grand Ziming Palace.\Do you think the Celestial soldiers will just let this slide?\Xuan Nu was always a little crazy. response:	Otherwise, she wouldn't have made such a grave mistake.
context: High God Mo Yuan is a highly-respected God of the Celestial Tribe.\High Goddess Bai Qian is the future Heavenly Empress.\And A-Li will succeed my position in the future.\Right now, these three people\have suffered extraordinary humiliation at Grand Ziming Palace.\Do you think the Celestial soldiers will just let this slide?\Xuan Nu was always a little crazy.\Otherwise, she wouldn't have made such a grave mistake. response:	Your Majesty.
context: High Goddess Bai Qian is the future Heavenly Empress.\And A-Li will succeed my position in the future.\Right now, these three people\have suffered extraordinary humiliation at Grand Ziming Palace.\Do you think the Celestial soldiers will just let this slide?\Xuan Nu was always a little crazy.\Otherwise, she wouldn't have made such a grave mistake.\Your Majesty. response:	I ask that Your Highness show mercy.
context: And A-Li will succeed my position in the future.\Right now, these three people\have suffered extraordinary humiliation at Grand Ziming Palace.\Do you think the Celestial soldiers will just let this slide?\Xuan Nu was always a little crazy.\Otherwise, she wouldn't have made such a grave mistake.\Your Majesty.\I ask that Your Highness show mercy. response:	Qian Qian.
context: Right now, these three people\have suffered extraordinary humiliation at Grand Ziming Palace.\Do you think the Celestial soldiers will just let this slide?\Xuan Nu was always a little crazy.\Otherwise, she wouldn't have made such a grave mistake.\Your Majesty.\I ask that Your Highness show mercy.\Qian Qian. response:	Do you think we should show mercy?
context: have suffered extraordinary humiliation at Grand Ziming Palace.\Do you think the Celestial soldiers will just let this slide?\Xuan Nu was always a little crazy.\Otherwise, she wouldn't have made such a grave mistake.\Your Majesty.\I ask that Your Highness show mercy.\Qian Qian.\Do you think we should show mercy? response:	Celestial Crown Prince, so much for you treating that wench Bai Qian so well.
context: Do you think the Celestial soldiers will just let this slide?\Xuan Nu was always a little crazy.\Otherwise, she wouldn't have made such a grave mistake.\Your Majesty.\I ask that Your Highness show mercy.\Qian Qian.\Do you think we should show mercy?\Celestial Crown Prince, so much for you treating that wench Bai Qian so well. response:	You don't know, do you?
context: Xuan Nu was always a little crazy.\Otherwise, she wouldn't have made such a grave mistake.\Your Majesty.\I ask that Your Highness show mercy.\Qian Qian.\Do you think we should show mercy?\Celestial Crown Prince, so much for you treating that wench Bai Qian so well.\You don't know, do you? response:	She and her master...
context: Otherwise, she wouldn't have made such a grave mistake.\Your Majesty.\I ask that Your Highness show mercy.\Qian Qian.\Do you think we should show mercy?\Celestial Crown Prince, so much for you treating that wench Bai Qian so well.\You don't know, do you?\She and her master... response:	Qian Qian said her face looks like yours...
context: Your Majesty.\I ask that Your Highness show mercy.\Qian Qian.\Do you think we should show mercy?\Celestial Crown Prince, so much for you treating that wench Bai Qian so well.\You don't know, do you?\She and her master...\Qian Qian said her face looks like yours... response:	But I don't see any similarities at all.
context: I ask that Your Highness show mercy.\Qian Qian.\Do you think we should show mercy?\Celestial Crown Prince, so much for you treating that wench Bai Qian so well.\You don't know, do you?\She and her master...\Qian Qian said her face looks like yours...\But I don't see any similarities at all. response:	I didn't mind giving you my appearance back then.
context: Qian Qian.\Do you think we should show mercy?\Celestial Crown Prince, so much for you treating that wench Bai Qian so well.\You don't know, do you?\She and her master...\Qian Qian said her face looks like yours...\But I don't see any similarities at all.\I didn't mind giving you my appearance back then. response:	But now that I see you using this appearance
context: Do you think we should show mercy?\Celestial Crown Prince, so much for you treating that wench Bai Qian so well.\You don't know, do you?\She and her master...\Qian Qian said her face looks like yours...\But I don't see any similarities at all.\I didn't mind giving you my appearance back then.\But now that I see you using this appearance response:	it really makes me unhappy.
context: Celestial Crown Prince, so much for you treating that wench Bai Qian so well.\You don't know, do you?\She and her master...\Qian Qian said her face looks like yours...\But I don't see any similarities at all.\I didn't mind giving you my appearance back then.\But now that I see you using this appearance\it really makes me unhappy. response:	What are you going to do?
context: You don't know, do you?\She and her master...\Qian Qian said her face looks like yours...\But I don't see any similarities at all.\I didn't mind giving you my appearance back then.\But now that I see you using this appearance\it really makes me unhappy.\What are you going to do? response:	What are you trying to do?
context: She and her master...\Qian Qian said her face looks like yours...\But I don't see any similarities at all.\I didn't mind giving you my appearance back then.\But now that I see you using this appearance\it really makes me unhappy.\What are you going to do?\What are you trying to do? response:	I've always had this appearance.
context: Qian Qian said her face looks like yours...\But I don't see any similarities at all.\I didn't mind giving you my appearance back then.\But now that I see you using this appearance\it really makes me unhappy.\What are you going to do?\What are you trying to do?\I've always had this appearance. response:	Don't even think about taking away my beauty!
context: But I don't see any similarities at all.\I didn't mind giving you my appearance back then.\But now that I see you using this appearance\it really makes me unhappy.\What are you going to do?\What are you trying to do?\I've always had this appearance.\Don't even think about taking away my beauty! response:	I wouldn't be scared of you even if you brought Zhe Yan here.
context: I didn't mind giving you my appearance back then.\But now that I see you using this appearance\it really makes me unhappy.\What are you going to do?\What are you trying to do?\I've always had this appearance.\Don't even think about taking away my beauty!\I wouldn't be scared of you even if you brought Zhe Yan here. response:	Why would I bring Zhe Yan here?
context: But now that I see you using this appearance\it really makes me unhappy.\What are you going to do?\What are you trying to do?\I've always had this appearance.\Don't even think about taking away my beauty!\I wouldn't be scared of you even if you brought Zhe Yan here.\Why would I bring Zhe Yan here? response:	I was just joking with you back then.
context: it really makes me unhappy.\What are you going to do?\What are you trying to do?\I've always had this appearance.\Don't even think about taking away my beauty!\I wouldn't be scared of you even if you brought Zhe Yan here.\Why would I bring Zhe Yan here?\I was just joking with you back then. response:	Did you really think Zhe Yan is the only one in the world
context: What are you going to do?\What are you trying to do?\I've always had this appearance.\Don't even think about taking away my beauty!\I wouldn't be scared of you even if you brought Zhe Yan here.\Why would I bring Zhe Yan here?\I was just joking with you back then.\Did you really think Zhe Yan is the only one in the world response:	who can use magic to change appearances?
context: What are you trying to do?\I've always had this appearance.\Don't even think about taking away my beauty!\I wouldn't be scared of you even if you brought Zhe Yan here.\Why would I bring Zhe Yan here?\I was just joking with you back then.\Did you really think Zhe Yan is the only one in the world\who can use magic to change appearances? response:	I'm not talented but I had nothing to do these past 70,000 years
context: I've always had this appearance.\Don't even think about taking away my beauty!\I wouldn't be scared of you even if you brought Zhe Yan here.\Why would I bring Zhe Yan here?\I was just joking with you back then.\Did you really think Zhe Yan is the only one in the world\who can use magic to change appearances?\I'm not talented but I had nothing to do these past 70,000 years response:	so I became proficient at this kind of magic.
context: Don't even think about taking away my beauty!\I wouldn't be scared of you even if you brought Zhe Yan here.\Why would I bring Zhe Yan here?\I was just joking with you back then.\Did you really think Zhe Yan is the only one in the world\who can use magic to change appearances?\I'm not talented but I had nothing to do these past 70,000 years\so I became proficient at this kind of magic. response:	If you're really going to be skinned and have your limbs pulled
context: I wouldn't be scared of you even if you brought Zhe Yan here.\Why would I bring Zhe Yan here?\I was just joking with you back then.\Did you really think Zhe Yan is the only one in the world\who can use magic to change appearances?\I'm not talented but I had nothing to do these past 70,000 years\so I became proficient at this kind of magic.\If you're really going to be skinned and have your limbs pulled response:	you shouldn't have this appearance while going through that.
context: Why would I bring Zhe Yan here?\I was just joking with you back then.\Did you really think Zhe Yan is the only one in the world\who can use magic to change appearances?\I'm not talented but I had nothing to do these past 70,000 years\so I became proficient at this kind of magic.\If you're really going to be skinned and have your limbs pulled\you shouldn't have this appearance while going through that. response:	What are you going to do? No! No!
context: I was just joking with you back then.\Did you really think Zhe Yan is the only one in the world\who can use magic to change appearances?\I'm not talented but I had nothing to do these past 70,000 years\so I became proficient at this kind of magic.\If you're really going to be skinned and have your limbs pulled\you shouldn't have this appearance while going through that.\What are you going to do? No! No! response:	No!
context: Did you really think Zhe Yan is the only one in the world\who can use magic to change appearances?\I'm not talented but I had nothing to do these past 70,000 years\so I became proficient at this kind of magic.\If you're really going to be skinned and have your limbs pulled\you shouldn't have this appearance while going through that.\What are you going to do? No! No!\No! response:	Go take a good look at your face.
context: who can use magic to change appearances?\I'm not talented but I had nothing to do these past 70,000 years\so I became proficient at this kind of magic.\If you're really going to be skinned and have your limbs pulled\you shouldn't have this appearance while going through that.\What are you going to do? No! No!\No!\Go take a good look at your face. response:	I told you
context: I'm not talented but I had nothing to do these past 70,000 years\so I became proficient at this kind of magic.\If you're really going to be skinned and have your limbs pulled\you shouldn't have this appearance while going through that.\What are you going to do? No! No!\No!\Go take a good look at your face.\I told you response:	if you use Zhe Yan's magic to do evil deeds
context: so I became proficient at this kind of magic.\If you're really going to be skinned and have your limbs pulled\you shouldn't have this appearance while going through that.\What are you going to do? No! No!\No!\Go take a good look at your face.\I told you\if you use Zhe Yan's magic to do evil deeds response:	it'll come back to bite you.
context: If you're really going to be skinned and have your limbs pulled\you shouldn't have this appearance while going through that.\What are you going to do? No! No!\No!\Go take a good look at your face.\I told you\if you use Zhe Yan's magic to do evil deeds\it'll come back to bite you. response:	Qian Qian, can you take care of yourself?
context: you shouldn't have this appearance while going through that.\What are you going to do? No! No!\No!\Go take a good look at your face.\I told you\if you use Zhe Yan's magic to do evil deeds\it'll come back to bite you.\Qian Qian, can you take care of yourself? response:	If you can't, just sleep for a bit.
context: What are you going to do? No! No!\No!\Go take a good look at your face.\I told you\if you use Zhe Yan's magic to do evil deeds\it'll come back to bite you.\Qian Qian, can you take care of yourself?\If you can't, just sleep for a bit. response:	Li Jing.
context: No!\Go take a good look at your face.\I told you\if you use Zhe Yan's magic to do evil deeds\it'll come back to bite you.\Qian Qian, can you take care of yourself?\If you can't, just sleep for a bit.\Li Jing. response:	You do as you see fit.
context: Go take a good look at your face.\I told you\if you use Zhe Yan's magic to do evil deeds\it'll come back to bite you.\Qian Qian, can you take care of yourself?\If you can't, just sleep for a bit.\Li Jing.\You do as you see fit. response:	Why did this happen?
context: I told you\if you use Zhe Yan's magic to do evil deeds\it'll come back to bite you.\Qian Qian, can you take care of yourself?\If you can't, just sleep for a bit.\Li Jing.\You do as you see fit.\Why did this happen? response:	Why did this happen?
context: if you use Zhe Yan's magic to do evil deeds\it'll come back to bite you.\Qian Qian, can you take care of yourself?\If you can't, just sleep for a bit.\Li Jing.\You do as you see fit.\Why did this happen?\Why did this happen? response:	This is what I look like! This is what I look like!
context: it'll come back to bite you.\Qian Qian, can you take care of yourself?\If you can't, just sleep for a bit.\Li Jing.\You do as you see fit.\Why did this happen?\Why did this happen?\This is what I look like! This is what I look like! response:	I don't want to see this face! I don't want to!
