context: By the decree of the Heavenly Lord response:	I've come to invite High God Zhe Yan to the Nine Heavens to save a person.
context: He should be back tomorrow.\Riceball is still so young.\Aren't you afraid that he'll be bored?\A-Li only went there for the sugar cane.\Besides, Cheng Yu is there with him.\Do you think that he'll be bored?\As A-Li's father, you've really impressed me.\Why would you say that? response:	You sent him to Sacred Mountain so that he wouldn't see you so badly injured.
context: Riceball is still so young.\Aren't you afraid that he'll be bored?\A-Li only went there for the sugar cane.\Besides, Cheng Yu is there with him.\Do you think that he'll be bored?\As A-Li's father, you've really impressed me.\Why would you say that?\You sent him to Sacred Mountain so that he wouldn't see you so badly injured. response:	These sugar canes should be enough to feed Mother.
context: Aren't you afraid that he'll be bored?\A-Li only went there for the sugar cane.\Besides, Cheng Yu is there with him.\Do you think that he'll be bored?\As A-Li's father, you've really impressed me.\Why would you say that?\You sent him to Sacred Mountain so that he wouldn't see you so badly injured.\These sugar canes should be enough to feed Mother. response:	Exactly...
context: A-Li only went there for the sugar cane.\Besides, Cheng Yu is there with him.\Do you think that he'll be bored?\As A-Li's father, you've really impressed me.\Why would you say that?\You sent him to Sacred Mountain so that he wouldn't see you so badly injured.\These sugar canes should be enough to feed Mother.\Exactly... response:	This is wearing me out...
context: Besides, Cheng Yu is there with him.\Do you think that he'll be bored?\As A-Li's father, you've really impressed me.\Why would you say that?\You sent him to Sacred Mountain so that he wouldn't see you so badly injured.\These sugar canes should be enough to feed Mother.\Exactly...\This is wearing me out... response:	Is that Lord Dong Hua and the Lord of Numinous Treasures?
context: Do you think that he'll be bored?\As A-Li's father, you've really impressed me.\Why would you say that?\You sent him to Sacred Mountain so that he wouldn't see you so badly injured.\These sugar canes should be enough to feed Mother.\Exactly...\This is wearing me out...\Is that Lord Dong Hua and the Lord of Numinous Treasures? response:	Quickly... Hurry up, A-Li.
context: As A-Li's father, you've really impressed me.\Why would you say that?\You sent him to Sacred Mountain so that he wouldn't see you so badly injured.\These sugar canes should be enough to feed Mother.\Exactly...\This is wearing me out...\Is that Lord Dong Hua and the Lord of Numinous Treasures?\Quickly... Hurry up, A-Li. response:	Quickly. Come here.
context: Why would you say that?\You sent him to Sacred Mountain so that he wouldn't see you so badly injured.\These sugar canes should be enough to feed Mother.\Exactly...\This is wearing me out...\Is that Lord Dong Hua and the Lord of Numinous Treasures?\Quickly... Hurry up, A-Li.\Quickly. Come here. response:	Quickly.
context: You sent him to Sacred Mountain so that he wouldn't see you so badly injured.\These sugar canes should be enough to feed Mother.\Exactly...\This is wearing me out...\Is that Lord Dong Hua and the Lord of Numinous Treasures?\Quickly... Hurry up, A-Li.\Quickly. Come here.\Quickly. response:	The ancient gods have all met various heavenly calamities
context: These sugar canes should be enough to feed Mother.\Exactly...\This is wearing me out...\Is that Lord Dong Hua and the Lord of Numinous Treasures?\Quickly... Hurry up, A-Li.\Quickly. Come here.\Quickly.\The ancient gods have all met various heavenly calamities response:	and fallen into the realm of nothingness.
context: Exactly...\This is wearing me out...\Is that Lord Dong Hua and the Lord of Numinous Treasures?\Quickly... Hurry up, A-Li.\Quickly. Come here.\Quickly.\The ancient gods have all met various heavenly calamities\and fallen into the realm of nothingness. response:	Not many are left now.
context: This is wearing me out...\Is that Lord Dong Hua and the Lord of Numinous Treasures?\Quickly... Hurry up, A-Li.\Quickly. Come here.\Quickly.\The ancient gods have all met various heavenly calamities\and fallen into the realm of nothingness.\Not many are left now. response:	Lord Dong Hua, have you experienced such a calamity already?
context: Is that Lord Dong Hua and the Lord of Numinous Treasures?\Quickly... Hurry up, A-Li.\Quickly. Come here.\Quickly.\The ancient gods have all met various heavenly calamities\and fallen into the realm of nothingness.\Not many are left now.\Lord Dong Hua, have you experienced such a calamity already? response:	I should say so.
context: Quickly... Hurry up, A-Li.\Quickly. Come here.\Quickly.\The ancient gods have all met various heavenly calamities\and fallen into the realm of nothingness.\Not many are left now.\Lord Dong Hua, have you experienced such a calamity already?\I should say so. response:	The punishment of one's heart.
context: Quickly. Come here.\Quickly.\The ancient gods have all met various heavenly calamities\and fallen into the realm of nothingness.\Not many are left now.\Lord Dong Hua, have you experienced such a calamity already?\I should say so.\The punishment of one's heart. response:	Cheng Yu, what's wrong?
context: Quickly.\The ancient gods have all met various heavenly calamities\and fallen into the realm of nothingness.\Not many are left now.\Lord Dong Hua, have you experienced such a calamity already?\I should say so.\The punishment of one's heart.\Cheng Yu, what's wrong? response:	Why aren't you happy after eavesdropping on Lord Dong Hua?
context: The ancient gods have all met various heavenly calamities\and fallen into the realm of nothingness.\Not many are left now.\Lord Dong Hua, have you experienced such a calamity already?\I should say so.\The punishment of one's heart.\Cheng Yu, what's wrong?\Why aren't you happy after eavesdropping on Lord Dong Hua? response:	Do you know what it means to experience a destined calamity?
context: and fallen into the realm of nothingness.\Not many are left now.\Lord Dong Hua, have you experienced such a calamity already?\I should say so.\The punishment of one's heart.\Cheng Yu, what's wrong?\Why aren't you happy after eavesdropping on Lord Dong Hua?\Do you know what it means to experience a destined calamity? response:	It means to overcome a calamity.
context: Not many are left now.\Lord Dong Hua, have you experienced such a calamity already?\I should say so.\The punishment of one's heart.\Cheng Yu, what's wrong?\Why aren't you happy after eavesdropping on Lord Dong Hua?\Do you know what it means to experience a destined calamity?\It means to overcome a calamity. response:	Don't all deities have to overcome heavenly trials?
context: Lord Dong Hua, have you experienced such a calamity already?\I should say so.\The punishment of one's heart.\Cheng Yu, what's wrong?\Why aren't you happy after eavesdropping on Lord Dong Hua?\Do you know what it means to experience a destined calamity?\It means to overcome a calamity.\Don't all deities have to overcome heavenly trials? response:	Father said that none of the born deities made any effort to gain their statuses.
context: I should say so.\The punishment of one's heart.\Cheng Yu, what's wrong?\Why aren't you happy after eavesdropping on Lord Dong Hua?\Do you know what it means to experience a destined calamity?\It means to overcome a calamity.\Don't all deities have to overcome heavenly trials?\Father said that none of the born deities made any effort to gain their statuses. response:	Hence, they should overcome trials and get struck by lightning
context: The punishment of one's heart.\Cheng Yu, what's wrong?\Why aren't you happy after eavesdropping on Lord Dong Hua?\Do you know what it means to experience a destined calamity?\It means to overcome a calamity.\Don't all deities have to overcome heavenly trials?\Father said that none of the born deities made any effort to gain their statuses.\Hence, they should overcome trials and get struck by lightning response:	so as to be fair.
context: Cheng Yu, what's wrong?\Why aren't you happy after eavesdropping on Lord Dong Hua?\Do you know what it means to experience a destined calamity?\It means to overcome a calamity.\Don't all deities have to overcome heavenly trials?\Father said that none of the born deities made any effort to gain their statuses.\Hence, they should overcome trials and get struck by lightning\so as to be fair. response:	If they overcome them well, they can be promoted.
context: Why aren't you happy after eavesdropping on Lord Dong Hua?\Do you know what it means to experience a destined calamity?\It means to overcome a calamity.\Don't all deities have to overcome heavenly trials?\Father said that none of the born deities made any effort to gain their statuses.\Hence, they should overcome trials and get struck by lightning\so as to be fair.\If they overcome them well, they can be promoted. response:	If they don't, they will be vanquished.
context: Do you know what it means to experience a destined calamity?\It means to overcome a calamity.\Don't all deities have to overcome heavenly trials?\Father said that none of the born deities made any effort to gain their statuses.\Hence, they should overcome trials and get struck by lightning\so as to be fair.\If they overcome them well, they can be promoted.\If they don't, they will be vanquished. response:	No...
context: It means to overcome a calamity.\Don't all deities have to overcome heavenly trials?\Father said that none of the born deities made any effort to gain their statuses.\Hence, they should overcome trials and get struck by lightning\so as to be fair.\If they overcome them well, they can be promoted.\If they don't, they will be vanquished.\No... response:	Experiencing a destined calamity is much scarier than overcoming one.
context: Don't all deities have to overcome heavenly trials?\Father said that none of the born deities made any effort to gain their statuses.\Hence, they should overcome trials and get struck by lightning\so as to be fair.\If they overcome them well, they can be promoted.\If they don't, they will be vanquished.\No...\Experiencing a destined calamity is much scarier than overcoming one. response:	Judging by the Lord of Numinous Treasures' tone
context: Father said that none of the born deities made any effort to gain their statuses.\Hence, they should overcome trials and get struck by lightning\so as to be fair.\If they overcome them well, they can be promoted.\If they don't, they will be vanquished.\No...\Experiencing a destined calamity is much scarier than overcoming one.\Judging by the Lord of Numinous Treasures' tone response:	Lord Dong Hua might be in danger this time.
context: Hence, they should overcome trials and get struck by lightning\so as to be fair.\If they overcome them well, they can be promoted.\If they don't, they will be vanquished.\No...\Experiencing a destined calamity is much scarier than overcoming one.\Judging by the Lord of Numinous Treasures' tone\Lord Dong Hua might be in danger this time. response:	He's in danger?
context: so as to be fair.\If they overcome them well, they can be promoted.\If they don't, they will be vanquished.\No...\Experiencing a destined calamity is much scarier than overcoming one.\Judging by the Lord of Numinous Treasures' tone\Lord Dong Hua might be in danger this time.\He's in danger? response:	Not many of the ancient gods who experience
context: If they overcome them well, they can be promoted.\If they don't, they will be vanquished.\No...\Experiencing a destined calamity is much scarier than overcoming one.\Judging by the Lord of Numinous Treasures' tone\Lord Dong Hua might be in danger this time.\He's in danger?\Not many of the ancient gods who experience response:	their destined heavenly calamity are able to overcome it.
context: If they don't, they will be vanquished.\No...\Experiencing a destined calamity is much scarier than overcoming one.\Judging by the Lord of Numinous Treasures' tone\Lord Dong Hua might be in danger this time.\He's in danger?\Not many of the ancient gods who experience\their destined heavenly calamity are able to overcome it. response:	Or should I say that to experience the destined heavenly calamity
context: No...\Experiencing a destined calamity is much scarier than overcoming one.\Judging by the Lord of Numinous Treasures' tone\Lord Dong Hua might be in danger this time.\He's in danger?\Not many of the ancient gods who experience\their destined heavenly calamity are able to overcome it.\Or should I say that to experience the destined heavenly calamity response:	is to be thrown into the realm of nothingness?
context: Experiencing a destined calamity is much scarier than overcoming one.\Judging by the Lord of Numinous Treasures' tone\Lord Dong Hua might be in danger this time.\He's in danger?\Not many of the ancient gods who experience\their destined heavenly calamity are able to overcome it.\Or should I say that to experience the destined heavenly calamity\is to be thrown into the realm of nothingness? response:	The realm of nothingness?
context: Judging by the Lord of Numinous Treasures' tone\Lord Dong Hua might be in danger this time.\He's in danger?\Not many of the ancient gods who experience\their destined heavenly calamity are able to overcome it.\Or should I say that to experience the destined heavenly calamity\is to be thrown into the realm of nothingness?\The realm of nothingness? response:	Death? Will Lord Dong Hua die?
context: Lord Dong Hua might be in danger this time.\He's in danger?\Not many of the ancient gods who experience\their destined heavenly calamity are able to overcome it.\Or should I say that to experience the destined heavenly calamity\is to be thrown into the realm of nothingness?\The realm of nothingness?\Death? Will Lord Dong Hua die? response:	Didn't Lord Dong Hua say that he is to experience such a destined calamity?
context: He's in danger?\Not many of the ancient gods who experience\their destined heavenly calamity are able to overcome it.\Or should I say that to experience the destined heavenly calamity\is to be thrown into the realm of nothingness?\The realm of nothingness?\Death? Will Lord Dong Hua die?\Didn't Lord Dong Hua say that he is to experience such a destined calamity? response:	I thought that a god like Lord Dong Hua would surely live forever.
context: Not many of the ancient gods who experience\their destined heavenly calamity are able to overcome it.\Or should I say that to experience the destined heavenly calamity\is to be thrown into the realm of nothingness?\The realm of nothingness?\Death? Will Lord Dong Hua die?\Didn't Lord Dong Hua say that he is to experience such a destined calamity?\I thought that a god like Lord Dong Hua would surely live forever. response:	Even the Heavenly Father has to experience his calamity.
context: their destined heavenly calamity are able to overcome it.\Or should I say that to experience the destined heavenly calamity\is to be thrown into the realm of nothingness?\The realm of nothingness?\Death? Will Lord Dong Hua die?\Didn't Lord Dong Hua say that he is to experience such a destined calamity?\I thought that a god like Lord Dong Hua would surely live forever.\Even the Heavenly Father has to experience his calamity. response:	I must inform Princess Feng Jiu quickly.
context: Or should I say that to experience the destined heavenly calamity\is to be thrown into the realm of nothingness?\The realm of nothingness?\Death? Will Lord Dong Hua die?\Didn't Lord Dong Hua say that he is to experience such a destined calamity?\I thought that a god like Lord Dong Hua would surely live forever.\Even the Heavenly Father has to experience his calamity.\I must inform Princess Feng Jiu quickly. response:	Mother is a high god as well.
context: is to be thrown into the realm of nothingness?\The realm of nothingness?\Death? Will Lord Dong Hua die?\Didn't Lord Dong Hua say that he is to experience such a destined calamity?\I thought that a god like Lord Dong Hua would surely live forever.\Even the Heavenly Father has to experience his calamity.\I must inform Princess Feng Jiu quickly.\Mother is a high god as well. response:	She will have to experience her destined calamity some day. What then?
context: The realm of nothingness?\Death? Will Lord Dong Hua die?\Didn't Lord Dong Hua say that he is to experience such a destined calamity?\I thought that a god like Lord Dong Hua would surely live forever.\Even the Heavenly Father has to experience his calamity.\I must inform Princess Feng Jiu quickly.\Mother is a high god as well.\She will have to experience her destined calamity some day. What then? response:	As days go by, time goes by.
context: Death? Will Lord Dong Hua die?\Didn't Lord Dong Hua say that he is to experience such a destined calamity?\I thought that a god like Lord Dong Hua would surely live forever.\Even the Heavenly Father has to experience his calamity.\I must inform Princess Feng Jiu quickly.\Mother is a high god as well.\She will have to experience her destined calamity some day. What then?\As days go by, time goes by. response:	It's the same for everyone.
context: Didn't Lord Dong Hua say that he is to experience such a destined calamity?\I thought that a god like Lord Dong Hua would surely live forever.\Even the Heavenly Father has to experience his calamity.\I must inform Princess Feng Jiu quickly.\Mother is a high god as well.\She will have to experience her destined calamity some day. What then?\As days go by, time goes by.\It's the same for everyone. response:	Little Prince, you should treat your mother well while there's still time.
context: I thought that a god like Lord Dong Hua would surely live forever.\Even the Heavenly Father has to experience his calamity.\I must inform Princess Feng Jiu quickly.\Mother is a high god as well.\She will have to experience her destined calamity some day. What then?\As days go by, time goes by.\It's the same for everyone.\Little Prince, you should treat your mother well while there's still time. response:	Yes, quickly. Let's head back to the Celestial Palace now.
context: Even the Heavenly Father has to experience his calamity.\I must inform Princess Feng Jiu quickly.\Mother is a high god as well.\She will have to experience her destined calamity some day. What then?\As days go by, time goes by.\It's the same for everyone.\Little Prince, you should treat your mother well while there's still time.\Yes, quickly. Let's head back to the Celestial Palace now. response:	I have to ask Father to take me to Mother.
context: I must inform Princess Feng Jiu quickly.\Mother is a high god as well.\She will have to experience her destined calamity some day. What then?\As days go by, time goes by.\It's the same for everyone.\Little Prince, you should treat your mother well while there's still time.\Yes, quickly. Let's head back to the Celestial Palace now.\I have to ask Father to take me to Mother. response:	Yes, let's go.
