context: How to contact Luna Nova? response:	What's this now? Have the seeds of love finally sprouted in your withered heart?
context: Little Witch Academia\Little Witch Academia\I can't believe you not only brought Diana back,\but also unlocked the fifth Word along the way.\It surprised me too!\And now there are only two more Words left!\You've finally reached the sixth Word.\How do you read it? response:	Lyonne.
context: Little Witch Academia\I can't believe you not only brought Diana back,\but also unlocked the fifth Word along the way.\It surprised me too!\And now there are only two more Words left!\You've finally reached the sixth Word.\How do you read it?\Lyonne. response:	That's it? It's short!
context: I can't believe you not only brought Diana back,\but also unlocked the fifth Word along the way.\It surprised me too!\And now there are only two more Words left!\You've finally reached the sixth Word.\How do you read it?\Lyonne.\That's it? It's short! response:	Lyonne is one of the most precious words there is.
context: but also unlocked the fifth Word along the way.\It surprised me too!\And now there are only two more Words left!\You've finally reached the sixth Word.\How do you read it?\Lyonne.\That's it? It's short!\Lyonne is one of the most precious words there is. response:	Only those who understand its true meaning can see the light at the end of their paths.
context: It surprised me too!\And now there are only two more Words left!\You've finally reached the sixth Word.\How do you read it?\Lyonne.\That's it? It's short!\Lyonne is one of the most precious words there is.\Only those who understand its true meaning can see the light at the end of their paths. response:	Professor Ursula, do you know what that Word means?
context: And now there are only two more Words left!\You've finally reached the sixth Word.\How do you read it?\Lyonne.\That's it? It's short!\Lyonne is one of the most precious words there is.\Only those who understand its true meaning can see the light at the end of their paths.\Professor Ursula, do you know what that Word means? response:	Aren't I always telling you that you need to realize each Word's value in your heart to release its magic?
context: You've finally reached the sixth Word.\How do you read it?\Lyonne.\That's it? It's short!\Lyonne is one of the most precious words there is.\Only those who understand its true meaning can see the light at the end of their paths.\Professor Ursula, do you know what that Word means?\Aren't I always telling you that you need to realize each Word's value in your heart to release its magic? response:	I know, but still...
context: How do you read it?\Lyonne.\That's it? It's short!\Lyonne is one of the most precious words there is.\Only those who understand its true meaning can see the light at the end of their paths.\Professor Ursula, do you know what that Word means?\Aren't I always telling you that you need to realize each Word's value in your heart to release its magic?\I know, but still... response:	It feels like I'm this close to Chariot, and I just can't wait any longer!
context: Lyonne.\That's it? It's short!\Lyonne is one of the most precious words there is.\Only those who understand its true meaning can see the light at the end of their paths.\Professor Ursula, do you know what that Word means?\Aren't I always telling you that you need to realize each Word's value in your heart to release its magic?\I know, but still...\It feels like I'm this close to Chariot, and I just can't wait any longer! response:	Chariot made it up to the next Word too, right?
context: That's it? It's short!\Lyonne is one of the most precious words there is.\Only those who understand its true meaning can see the light at the end of their paths.\Professor Ursula, do you know what that Word means?\Aren't I always telling you that you need to realize each Word's value in your heart to release its magic?\I know, but still...\It feels like I'm this close to Chariot, and I just can't wait any longer!\Chariot made it up to the next Word too, right? response:	Yes.
context: Lyonne is one of the most precious words there is.\Only those who understand its true meaning can see the light at the end of their paths.\Professor Ursula, do you know what that Word means?\Aren't I always telling you that you need to realize each Word's value in your heart to release its magic?\I know, but still...\It feels like I'm this close to Chariot, and I just can't wait any longer!\Chariot made it up to the next Word too, right?\Yes. response:	Lyonne...
context: Only those who understand its true meaning can see the light at the end of their paths.\Professor Ursula, do you know what that Word means?\Aren't I always telling you that you need to realize each Word's value in your heart to release its magic?\I know, but still...\It feels like I'm this close to Chariot, and I just can't wait any longer!\Chariot made it up to the next Word too, right?\Yes.\Lyonne... response:	What could that precious word be?
context: Professor Ursula, do you know what that Word means?\Aren't I always telling you that you need to realize each Word's value in your heart to release its magic?\I know, but still...\It feels like I'm this close to Chariot, and I just can't wait any longer!\Chariot made it up to the next Word too, right?\Yes.\Lyonne...\What could that precious word be? response:	I can't find it anywhere, that Lyonne!
context: Aren't I always telling you that you need to realize each Word's value in your heart to release its magic?\I know, but still...\It feels like I'm this close to Chariot, and I just can't wait any longer!\Chariot made it up to the next Word too, right?\Yes.\Lyonne...\What could that precious word be?\I can't find it anywhere, that Lyonne! response:	I can't find it if I look, but if I don't, I can?
context: I know, but still...\It feels like I'm this close to Chariot, and I just can't wait any longer!\Chariot made it up to the next Word too, right?\Yes.\Lyonne...\What could that precious word be?\I can't find it anywhere, that Lyonne!\I can't find it if I look, but if I don't, I can? response:	Why are the Words so complicated?
context: It feels like I'm this close to Chariot, and I just can't wait any longer!\Chariot made it up to the next Word too, right?\Yes.\Lyonne...\What could that precious word be?\I can't find it anywhere, that Lyonne!\I can't find it if I look, but if I don't, I can?\Why are the Words so complicated? response:	Akko.
context: Chariot made it up to the next Word too, right?\Yes.\Lyonne...\What could that precious word be?\I can't find it anywhere, that Lyonne!\I can't find it if I look, but if I don't, I can?\Why are the Words so complicated?\Akko. response:	Wh-What?
context: Yes.\Lyonne...\What could that precious word be?\I can't find it anywhere, that Lyonne!\I can't find it if I look, but if I don't, I can?\Why are the Words so complicated?\Akko.\Wh-What? response:	I guess even you use the library sometimes.
context: Lyonne...\What could that precious word be?\I can't find it anywhere, that Lyonne!\I can't find it if I look, but if I don't, I can?\Why are the Words so complicated?\Akko.\Wh-What?\I guess even you use the library sometimes. response:	Of course I do! You got a problem with that?
context: What could that precious word be?\I can't find it anywhere, that Lyonne!\I can't find it if I look, but if I don't, I can?\Why are the Words so complicated?\Akko.\Wh-What?\I guess even you use the library sometimes.\Of course I do! You got a problem with that? response:	Not really.
context: I can't find it anywhere, that Lyonne!\I can't find it if I look, but if I don't, I can?\Why are the Words so complicated?\Akko.\Wh-What?\I guess even you use the library sometimes.\Of course I do! You got a problem with that?\Not really. response:	Then what do you want?
context: I can't find it if I look, but if I don't, I can?\Why are the Words so complicated?\Akko.\Wh-What?\I guess even you use the library sometimes.\Of course I do! You got a problem with that?\Not really.\Then what do you want? response:	Thank you.
context: Why are the Words so complicated?\Akko.\Wh-What?\I guess even you use the library sometimes.\Of course I do! You got a problem with that?\Not really.\Then what do you want?\Thank you. response:	You brought Diana back.
context: Akko.\Wh-What?\I guess even you use the library sometimes.\Of course I do! You got a problem with that?\Not really.\Then what do you want?\Thank you.\You brought Diana back. response:	Yeah...
context: Wh-What?\I guess even you use the library sometimes.\Of course I do! You got a problem with that?\Not really.\Then what do you want?\Thank you.\You brought Diana back.\Yeah... response:	I figured we owed you some thanks.
