context: Hear me, humans! response:	I'll leave Ente Isla in your hands for now.
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
