context: This is a dumb riddle about rain. response:	I'm second?
context: I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared response:	I'll charge right in
context: Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in response:	Unstoppable Pride
context: Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride response:	There's no other choice, this is what I love and this is what I'll do
context: You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do response:	I don't know what tomorrow will bring
context: My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring response:	But I know once again (just to get by),
context: Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by), response:	We'll do our best
context: I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best response:	We'll definitely keep PCP going!
context: I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\We'll definitely keep PCP going! response:	Hattori-san!
context: I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\We'll definitely keep PCP going!\Hattori-san! response:	Yeah!
context: Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\We'll definitely keep PCP going!\Hattori-san!\Yeah! response:	But, Takagi-kun... the work you've done, will it be enough to win?
context: There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\We'll definitely keep PCP going!\Hattori-san!\Yeah!\But, Takagi-kun... the work you've done, will it be enough to win? response:	Next time: Margin and Pitfall.
context: I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\We'll definitely keep PCP going!\Hattori-san!\Yeah!\But, Takagi-kun... the work you've done, will it be enough to win?\Next time: Margin and Pitfall. response:	We'll put all our effort in!
context: But I know once again (just to get by),\We'll do our best\We'll definitely keep PCP going!\Hattori-san!\Yeah!\But, Takagi-kun... the work you've done, will it be enough to win?\Next time: Margin and Pitfall.\We'll put all our effort in! response:	For the thrill of our dream!
