context: There was a bit of a commotion in town and we got separated. response:	Calm down. If you would, please tell me what happened in more detail.
context: Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\I've had a dream ever since I was a child. response:	It was to become a witch who could make everyone smile.
context: Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\I've had a dream ever since I was a child.\It was to become a witch who could make everyone smile. response:	I had no doubt it would come true.
context: kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\I've had a dream ever since I was a child.\It was to become a witch who could make everyone smile.\I had no doubt it would come true. response:	But when it came to the actual magic, I stumbled from one blunder to the next.
context: Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\I've had a dream ever since I was a child.\It was to become a witch who could make everyone smile.\I had no doubt it would come true.\But when it came to the actual magic, I stumbled from one blunder to the next. response:	You've gotta believe. A believing heart is magic.
context: kono basho kara\Little Witch Academia\Little Witch Academia\I've had a dream ever since I was a child.\It was to become a witch who could make everyone smile.\I had no doubt it would come true.\But when it came to the actual magic, I stumbled from one blunder to the next.\You've gotta believe. A believing heart is magic. response:	No matter how much I may fail, I still want to give people a fun and exciting time.
context: Little Witch Academia\Little Witch Academia\I've had a dream ever since I was a child.\It was to become a witch who could make everyone smile.\I had no doubt it would come true.\But when it came to the actual magic, I stumbled from one blunder to the next.\You've gotta believe. A believing heart is magic.\No matter how much I may fail, I still want to give people a fun and exciting time. response:	It was that feeling that kept me going.
context: Little Witch Academia\I've had a dream ever since I was a child.\It was to become a witch who could make everyone smile.\I had no doubt it would come true.\But when it came to the actual magic, I stumbled from one blunder to the next.\You've gotta believe. A believing heart is magic.\No matter how much I may fail, I still want to give people a fun and exciting time.\It was that feeling that kept me going. response:	And then, as I stayed true to my belief, a staff of seven stars appeared before me.
context: I've had a dream ever since I was a child.\It was to become a witch who could make everyone smile.\I had no doubt it would come true.\But when it came to the actual magic, I stumbled from one blunder to the next.\You've gotta believe. A believing heart is magic.\No matter how much I may fail, I still want to give people a fun and exciting time.\It was that feeling that kept me going.\And then, as I stayed true to my belief, a staff of seven stars appeared before me. response:	If I could revive the seven Words with that staff,
context: It was to become a witch who could make everyone smile.\I had no doubt it would come true.\But when it came to the actual magic, I stumbled from one blunder to the next.\You've gotta believe. A believing heart is magic.\No matter how much I may fail, I still want to give people a fun and exciting time.\It was that feeling that kept me going.\And then, as I stayed true to my belief, a staff of seven stars appeared before me.\If I could revive the seven Words with that staff, response:	I would obtain the world reconstruction magic, Grand Triskelion.
context: I had no doubt it would come true.\But when it came to the actual magic, I stumbled from one blunder to the next.\You've gotta believe. A believing heart is magic.\No matter how much I may fail, I still want to give people a fun and exciting time.\It was that feeling that kept me going.\And then, as I stayed true to my belief, a staff of seven stars appeared before me.\If I could revive the seven Words with that staff,\I would obtain the world reconstruction magic, Grand Triskelion. response:	I had no doubt it was a fantastic magic, able to bring joy to people's hearts!
context: But when it came to the actual magic, I stumbled from one blunder to the next.\You've gotta believe. A believing heart is magic.\No matter how much I may fail, I still want to give people a fun and exciting time.\It was that feeling that kept me going.\And then, as I stayed true to my belief, a staff of seven stars appeared before me.\If I could revive the seven Words with that staff,\I would obtain the world reconstruction magic, Grand Triskelion.\I had no doubt it was a fantastic magic, able to bring joy to people's hearts! response:	Following Professor Woodward's guidance, I searched for the seven Words.
context: You've gotta believe. A believing heart is magic.\No matter how much I may fail, I still want to give people a fun and exciting time.\It was that feeling that kept me going.\And then, as I stayed true to my belief, a staff of seven stars appeared before me.\If I could revive the seven Words with that staff,\I would obtain the world reconstruction magic, Grand Triskelion.\I had no doubt it was a fantastic magic, able to bring joy to people's hearts!\Following Professor Woodward's guidance, I searched for the seven Words. response:	Nothing went wrong all the way through reviving the sixth Word.
context: No matter how much I may fail, I still want to give people a fun and exciting time.\It was that feeling that kept me going.\And then, as I stayed true to my belief, a staff of seven stars appeared before me.\If I could revive the seven Words with that staff,\I would obtain the world reconstruction magic, Grand Triskelion.\I had no doubt it was a fantastic magic, able to bring joy to people's hearts!\Following Professor Woodward's guidance, I searched for the seven Words.\Nothing went wrong all the way through reviving the sixth Word. response:	However, the final Word just wouldn't appear.
context: It was that feeling that kept me going.\And then, as I stayed true to my belief, a staff of seven stars appeared before me.\If I could revive the seven Words with that staff,\I would obtain the world reconstruction magic, Grand Triskelion.\I had no doubt it was a fantastic magic, able to bring joy to people's hearts!\Following Professor Woodward's guidance, I searched for the seven Words.\Nothing went wrong all the way through reviving the sixth Word.\However, the final Word just wouldn't appear. response:	I want to make everyone smile even more!
context: And then, as I stayed true to my belief, a staff of seven stars appeared before me.\If I could revive the seven Words with that staff,\I would obtain the world reconstruction magic, Grand Triskelion.\I had no doubt it was a fantastic magic, able to bring joy to people's hearts!\Following Professor Woodward's guidance, I searched for the seven Words.\Nothing went wrong all the way through reviving the sixth Word.\However, the final Word just wouldn't appear.\I want to make everyone smile even more! response:	That will definitely allow me to revive the seventh!
context: If I could revive the seven Words with that staff,\I would obtain the world reconstruction magic, Grand Triskelion.\I had no doubt it was a fantastic magic, able to bring joy to people's hearts!\Following Professor Woodward's guidance, I searched for the seven Words.\Nothing went wrong all the way through reviving the sixth Word.\However, the final Word just wouldn't appear.\I want to make everyone smile even more!\That will definitely allow me to revive the seventh! response:	A believing heart is your magic!
context: I would obtain the world reconstruction magic, Grand Triskelion.\I had no doubt it was a fantastic magic, able to bring joy to people's hearts!\Following Professor Woodward's guidance, I searched for the seven Words.\Nothing went wrong all the way through reviving the sixth Word.\However, the final Word just wouldn't appear.\I want to make everyone smile even more!\That will definitely allow me to revive the seventh!\A believing heart is your magic! response:	That's some wonderful magic.
context: I had no doubt it was a fantastic magic, able to bring joy to people's hearts!\Following Professor Woodward's guidance, I searched for the seven Words.\Nothing went wrong all the way through reviving the sixth Word.\However, the final Word just wouldn't appear.\I want to make everyone smile even more!\That will definitely allow me to revive the seventh!\A believing heart is your magic!\That's some wonderful magic. response:	How do you like the idea of showing it to an even bigger audience?
