context: That far off future was suddenly upon us... response:	And soon, it too will become a passing memory.
context: And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia,\And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu\If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga She's very busy every day.\The song of the stars Hoshitachi no uta ga response:	Come, let's paddle away Saa, kogidasou
context: And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu\If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga She's very busy every day.\The song of the stars Hoshitachi no uta ga\Come, let's paddle away Saa, kogidasou response:	Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers.
context: If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu\If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga She's very busy every day.\The song of the stars Hoshitachi no uta ga\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers. response:	To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers.
context: If you look up, you'll hear it resound Miagereba hibikidasu\If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga She's very busy every day.\The song of the stars Hoshitachi no uta ga\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers. response:	To the distant future Haruka asu e
context: If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga She's very busy every day.\The song of the stars Hoshitachi no uta ga\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e response:	As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time...
context: The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga She's very busy every day.\The song of the stars Hoshitachi no uta ga\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e\As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time... response:	As our dreams spread out across the water Minamo ni yume hirogaru Hello.
context: The song of the stars Hoshitachi no uta ga She's very busy every day.\The song of the stars Hoshitachi no uta ga\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e\As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time...\As our dreams spread out across the water Minamo ni yume hirogaru Hello. response:	As our dreams spread out across the water Minamo ni yume hirogaru
context: The song of the stars Hoshitachi no uta ga\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e\As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time...\As our dreams spread out across the water Minamo ni yume hirogaru Hello.\As our dreams spread out across the water Minamo ni yume hirogaru response:	As our dreams spread out across the water Minamo ni yume hirogaru Grandma!
context: Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e\As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time...\As our dreams spread out across the water Minamo ni yume hirogaru Hello.\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Grandma! response:	As our dreams spread out across the water Minamo ni yume hirogaru
context: Come, let's paddle away Saa, kogidasou I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e\As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time...\As our dreams spread out across the water Minamo ni yume hirogaru Hello.\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Grandma!\As our dreams spread out across the water Minamo ni yume hirogaru response:	As our dreams spread out across the water Minamo ni yume hirogaru Alicia!
context: To the distant future Haruka asu e I even attended a lecture the other day where Alicia and Grandma were the guest speakers.\To the distant future Haruka asu e\As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time...\As our dreams spread out across the water Minamo ni yume hirogaru Hello.\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Grandma!\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Alicia! response:	As our dreams spread out across the water Minamo ni yume hirogaru
context: To the distant future Haruka asu e\As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time...\As our dreams spread out across the water Minamo ni yume hirogaru Hello.\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Grandma!\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Alicia!\As our dreams spread out across the water Minamo ni yume hirogaru response:	Come, let's find... Nee mitsukeyou
context: As our dreams spread out across the water Minamo ni yume hirogaru But still, whenever she has time...\As our dreams spread out across the water Minamo ni yume hirogaru Hello.\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Grandma!\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Alicia!\As our dreams spread out across the water Minamo ni yume hirogaru\Come, let's find... Nee mitsukeyou response:	Come, let's find... Nee mitsukeyou We're here again.
context: As our dreams spread out across the water Minamo ni yume hirogaru Hello.\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Grandma!\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Alicia!\As our dreams spread out across the water Minamo ni yume hirogaru\Come, let's find... Nee mitsukeyou\Come, let's find... Nee mitsukeyou We're here again. response:	Come, let's find... Nee mitsukeyou
context: As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Grandma!\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Alicia!\As our dreams spread out across the water Minamo ni yume hirogaru\Come, let's find... Nee mitsukeyou\Come, let's find... Nee mitsukeyou We're here again.\Come, let's find... Nee mitsukeyou response:	You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile.
context: As our dreams spread out across the water Minamo ni yume hirogaru Grandma!\As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Alicia!\As our dreams spread out across the water Minamo ni yume hirogaru\Come, let's find... Nee mitsukeyou\Come, let's find... Nee mitsukeyou We're here again.\Come, let's find... Nee mitsukeyou\You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile. response:	Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile.
context: As our dreams spread out across the water Minamo ni yume hirogaru\As our dreams spread out across the water Minamo ni yume hirogaru Alicia!\As our dreams spread out across the water Minamo ni yume hirogaru\Come, let's find... Nee mitsukeyou\Come, let's find... Nee mitsukeyou We're here again.\Come, let's find... Nee mitsukeyou\You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile. response:	Let's find them, Undine Sagasou, Undine
context: As our dreams spread out across the water Minamo ni yume hirogaru Alicia!\As our dreams spread out across the water Minamo ni yume hirogaru\Come, let's find... Nee mitsukeyou\Come, let's find... Nee mitsukeyou We're here again.\Come, let's find... Nee mitsukeyou\You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine response:	Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.
context: As our dreams spread out across the water Minamo ni yume hirogaru\Come, let's find... Nee mitsukeyou\Come, let's find... Nee mitsukeyou We're here again.\Come, let's find... Nee mitsukeyou\You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine\Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai. response:	I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.
context: Come, let's find... Nee mitsukeyou\Come, let's find... Nee mitsukeyou We're here again.\Come, let's find... Nee mitsukeyou\You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine\Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai. response:	Good morning, President Aria.
context: Come, let's find... Nee mitsukeyou We're here again.\Come, let's find... Nee mitsukeyou\You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine\Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\Good morning, President Aria. response:	Good morning, Akari.
context: Come, let's find... Nee mitsukeyou\You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine\Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\Good morning, President Aria.\Good morning, Akari. response:	I put on my uniform.
context: You and I, together Anata to issho ni ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine\Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\Good morning, President Aria.\Good morning, Akari.\I put on my uniform. response:	W-What do you think?
context: Let's find them, Undine Sagasou, Undine ...and smiles that wonderful, unchanging, Water Fairy smile.\Let's find them, Undine Sagasou, Undine\Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\Good morning, President Aria.\Good morning, Akari.\I put on my uniform.\W-What do you think? response:	Yes, it looks great on you, Ai.
context: Let's find them, Undine Sagasou, Undine\Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\Good morning, President Aria.\Good morning, Akari.\I put on my uniform.\W-What do you think?\Yes, it looks great on you, Ai. response:	Um, what is it?
context: Let's find them, Undine Sagasou, Undine I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\Good morning, President Aria.\Good morning, Akari.\I put on my uniform.\W-What do you think?\Yes, it looks great on you, Ai.\Um, what is it? response:	I'm just happy, that's all.
context: I hope this breeze, which carries happiness and many new beginnings, reaches you, Ai.\Good morning, President Aria.\Good morning, Akari.\I put on my uniform.\W-What do you think?\Yes, it looks great on you, Ai.\Um, what is it?\I'm just happy, that's all. response:	Thank You
