context: Makise Kurisu! response:	I did knock, for what it's worth.
context: Z-Program Experiment Report 137.\The mini-black hole mission has already been established,\so I'll skip that report.\Mini-black hole...\Looks right.\They publicly said that those experiments were a failure.\What else does it say?\Experiment result... response:	Human is dead,
context: The mini-black hole mission has already been established,\so I'll skip that report.\Mini-black hole...\Looks right.\They publicly said that those experiments were a failure.\What else does it say?\Experiment result...\Human is dead, response:	mismatch.
context: so I'll skip that report.\Mini-black hole...\Looks right.\They publicly said that those experiments were a failure.\What else does it say?\Experiment result...\Human is dead,\mismatch. response:	Human is dead?
context: Mini-black hole...\Looks right.\They publicly said that those experiments were a failure.\What else does it say?\Experiment result...\Human is dead,\mismatch.\Human is dead? response:	Someone...
context: Looks right.\They publicly said that those experiments were a failure.\What else does it say?\Experiment result...\Human is dead,\mismatch.\Human is dead?\Someone... response:	ED
context: They publicly said that those experiments were a failure.\What else does it say?\Experiment result...\Human is dead,\mismatch.\Human is dead?\Someone...\ED response:	kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai
context: What else does it say?\Experiment result...\Human is dead,\mismatch.\Human is dead?\Someone...\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai response:	We cannot escape the 12 merciless truths and the controlled oath we took
context: Experiment result...\Human is dead,\mismatch.\Human is dead?\Someone...\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took response:	ansoku no asu wo negattara
context: Human is dead,\mismatch.\Human is dead?\Someone...\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara response:	If we wish for a tomorrow full of rest
context: mismatch.\Human is dead?\Someone...\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest response:	te no naka no toutoi jishou no chihei he
context: Human is dead?\Someone...\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he response:	to be given to the precious event horizon in our hands
context: Someone...\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands response:	toraware shi meiyaku arawareta gishou no rinkaku
context: ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku response:	the promise we made in captivity turns out to be a phantom
context: kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom response:	seimei no tenshi wa moumoku na jikan wo kizanda
context: We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda response:	The angel of life recorded a time of blindness
context: ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness response:	seimei no tenshi wa moumoku na jikan wo kizanda
context: If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\seimei no tenshi wa moumoku na jikan wo kizanda response:	The angel of life recorded a time of blindness
context: te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness response:	habatake butterfly
context: to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\habatake butterfly response:	A flapping butterfly
context: toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\habatake butterfly\A flapping butterfly response:	kiseki no butterfly
context: the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\habatake butterfly\A flapping butterfly\kiseki no butterfly response:	A miraculous butterfly
context: seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\habatake butterfly\A flapping butterfly\kiseki no butterfly\A miraculous butterfly response:	anata he sasageru
context: The angel of life recorded a time of blindness\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\habatake butterfly\A flapping butterfly\kiseki no butterfly\A miraculous butterfly\anata he sasageru response:	I will consecrate them to you
context: seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness\habatake butterfly\A flapping butterfly\kiseki no butterfly\A miraculous butterfly\anata he sasageru\I will consecrate them to you response:	namida no butterfly
context: The angel of life recorded a time of blindness\habatake butterfly\A flapping butterfly\kiseki no butterfly\A miraculous butterfly\anata he sasageru\I will consecrate them to you\namida no butterfly response:	A butterfly of tears
context: habatake butterfly\A flapping butterfly\kiseki no butterfly\A miraculous butterfly\anata he sasageru\I will consecrate them to you\namida no butterfly\A butterfly of tears response:	mabushii butterfly
context: A flapping butterfly\kiseki no butterfly\A miraculous butterfly\anata he sasageru\I will consecrate them to you\namida no butterfly\A butterfly of tears\mabushii butterfly response:	A radiant butterfly
context: kiseki no butterfly\A miraculous butterfly\anata he sasageru\I will consecrate them to you\namida no butterfly\A butterfly of tears\mabushii butterfly\A radiant butterfly response:	subete ga ima kakikaerareru
context: A miraculous butterfly\anata he sasageru\I will consecrate them to you\namida no butterfly\A butterfly of tears\mabushii butterfly\A radiant butterfly\subete ga ima kakikaerareru response:	Everything may now be rewritten
context: anata he sasageru\I will consecrate them to you\namida no butterfly\A butterfly of tears\mabushii butterfly\A radiant butterfly\subete ga ima kakikaerareru\Everything may now be rewritten response:	subete ga ima kakikaerareru
context: I will consecrate them to you\namida no butterfly\A butterfly of tears\mabushii butterfly\A radiant butterfly\subete ga ima kakikaerareru\Everything may now be rewritten\subete ga ima kakikaerareru response:	Everything may now be rewritten
