context: What's that, Kirino? response:	A guy?
context: Sigh, I'll burn out if I keep acting like this whenever we miss\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\Is this the end for our story? I want you to see my smile\kiririn@theidiotbehindmeisbeingreallyannoying response:	Otaku Girls Unite!
context: Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\Is this the end for our story? I want you to see my smile\kiririn@theidiotbehindmeisbeingreallyannoying\Otaku Girls Unite! response:	Sender
context: Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\Is this the end for our story? I want you to see my smile\kiririn@theidiotbehindmeisbeingreallyannoying\Otaku Girls Unite!\Sender response:	kiririn
context: Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\Is this the end for our story? I want you to see my smile\kiririn@theidiotbehindmeisbeingreallyannoying\Otaku Girls Unite!\Sender\kiririn response:	Subject
context: With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\Is this the end for our story? I want you to see my smile\kiririn@theidiotbehindmeisbeingreallyannoying\Otaku Girls Unite!\Sender\kiririn\Subject response:	I'd like to participate
context: I want to see you now, but I don't know what to say\Is this the end for our story? I want you to see my smile\kiririn@theidiotbehindmeisbeingreallyannoying\Otaku Girls Unite!\Sender\kiririn\Subject\I'd like to participate response:	Saori
context: Is this the end for our story? I want you to see my smile\kiririn@theidiotbehindmeisbeingreallyannoying\Otaku Girls Unite!\Sender\kiririn\Subject\I'd like to participate\Saori response:	kiririn
context: kiririn@theidiotbehindmeisbeingreallyannoying\Otaku Girls Unite!\Sender\kiririn\Subject\I'd like to participate\Saori\kiririn response:	Greetings
context: Otaku Girls Unite!\Sender\kiririn\Subject\I'd like to participate\Saori\kiririn\Greetings response:	Intellect
context: Sender\kiririn\Subject\I'd like to participate\Saori\kiririn\Greetings\Intellect response:	Lacking
context: kiririn\Subject\I'd like to participate\Saori\kiririn\Greetings\Intellect\Lacking response:	Strength
context: Subject\I'd like to participate\Saori\kiririn\Greetings\Intellect\Lacking\Strength response:	Average
context: I'd like to participate\Saori\kiririn\Greetings\Intellect\Lacking\Strength\Average response:	Looks
context: Saori\kiririn\Greetings\Intellect\Lacking\Strength\Average\Looks response:	Work harder
