context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot. response:	Just how much farther is it from here?
context: Don't kill him!\Why?\Tomoe is... different from Akura-ou!\Your a fox that understands people's pain, right!?\Then...\Just what am I saying!?\I don't... hate you.\This feeling... what is it...? response:	Hakanaki yume ga sameyaranu mama
context: Why?\Tomoe is... different from Akura-ou!\Your a fox that understands people's pain, right!?\Then...\Just what am I saying!?\I don't... hate you.\This feeling... what is it...?\Hakanaki yume ga sameyaranu mama response:	In a lingering, fleeting dream,
context: Tomoe is... different from Akura-ou!\Your a fox that understands people's pain, right!?\Then...\Just what am I saying!?\I don't... hate you.\This feeling... what is it...?\Hakanaki yume ga sameyaranu mama\In a lingering, fleeting dream, response:	Hanabirao hitotsu yakusoku ni shita
context: Your a fox that understands people's pain, right!?\Then...\Just what am I saying!?\I don't... hate you.\This feeling... what is it...?\Hakanaki yume ga sameyaranu mama\In a lingering, fleeting dream,\Hanabirao hitotsu yakusoku ni shita response:	we made a promise on the petal.
context: Then...\Just what am I saying!?\I don't... hate you.\This feeling... what is it...?\Hakanaki yume ga sameyaranu mama\In a lingering, fleeting dream,\Hanabirao hitotsu yakusoku ni shita\we made a promise on the petal. response:	Namao wo younde sugao ni furete
context: Just what am I saying!?\I don't... hate you.\This feeling... what is it...?\Hakanaki yume ga sameyaranu mama\In a lingering, fleeting dream,\Hanabirao hitotsu yakusoku ni shita\we made a promise on the petal.\Namao wo younde sugao ni furete response:	Calling my name, touching me earnestly,
context: I don't... hate you.\This feeling... what is it...?\Hakanaki yume ga sameyaranu mama\In a lingering, fleeting dream,\Hanabirao hitotsu yakusoku ni shita\we made a promise on the petal.\Namao wo younde sugao ni furete\Calling my name, touching me earnestly, response:	Shiranai toshitsuki umeru te no hira
context: This feeling... what is it...?\Hakanaki yume ga sameyaranu mama\In a lingering, fleeting dream,\Hanabirao hitotsu yakusoku ni shita\we made a promise on the petal.\Namao wo younde sugao ni furete\Calling my name, touching me earnestly,\Shiranai toshitsuki umeru te no hira response:	for many years, your hands held mine.
context: Hakanaki yume ga sameyaranu mama\In a lingering, fleeting dream,\Hanabirao hitotsu yakusoku ni shita\we made a promise on the petal.\Namao wo younde sugao ni furete\Calling my name, touching me earnestly,\Shiranai toshitsuki umeru te no hira\for many years, your hands held mine. response:	Midareta kami wo nanimo iwazuni naoshite kureta
context: In a lingering, fleeting dream,\Hanabirao hitotsu yakusoku ni shita\we made a promise on the petal.\Namao wo younde sugao ni furete\Calling my name, touching me earnestly,\Shiranai toshitsuki umeru te no hira\for many years, your hands held mine.\Midareta kami wo nanimo iwazuni naoshite kureta response:	Without saying a word you fixed my disheveled hair.
context: Hanabirao hitotsu yakusoku ni shita\we made a promise on the petal.\Namao wo younde sugao ni furete\Calling my name, touching me earnestly,\Shiranai toshitsuki umeru te no hira\for many years, your hands held mine.\Midareta kami wo nanimo iwazuni naoshite kureta\Without saying a word you fixed my disheveled hair. response:	Ne
context: we made a promise on the petal.\Namao wo younde sugao ni furete\Calling my name, touching me earnestly,\Shiranai toshitsuki umeru te no hira\for many years, your hands held mine.\Midareta kami wo nanimo iwazuni naoshite kureta\Without saying a word you fixed my disheveled hair.\Ne response:	Right?
context: Namao wo younde sugao ni furete\Calling my name, touching me earnestly,\Shiranai toshitsuki umeru te no hira\for many years, your hands held mine.\Midareta kami wo nanimo iwazuni naoshite kureta\Without saying a word you fixed my disheveled hair.\Ne\Right? response:	Sakurani kotoba toki no wakuraba
context: Calling my name, touching me earnestly,\Shiranai toshitsuki umeru te no hira\for many years, your hands held mine.\Midareta kami wo nanimo iwazuni naoshite kureta\Without saying a word you fixed my disheveled hair.\Ne\Right?\Sakurani kotoba toki no wakuraba response:	By the cherry blossoms' sacred words,
context: Shiranai toshitsuki umeru te no hira\for many years, your hands held mine.\Midareta kami wo nanimo iwazuni naoshite kureta\Without saying a word you fixed my disheveled hair.\Ne\Right?\Sakurani kotoba toki no wakuraba\By the cherry blossoms' sacred words, response:	Oikaketeita anatano senaka
context: for many years, your hands held mine.\Midareta kami wo nanimo iwazuni naoshite kureta\Without saying a word you fixed my disheveled hair.\Ne\Right?\Sakurani kotoba toki no wakuraba\By the cherry blossoms' sacred words,\Oikaketeita anatano senaka response:	I'd been chasing your back.
context: Midareta kami wo nanimo iwazuni naoshite kureta\Without saying a word you fixed my disheveled hair.\Ne\Right?\Sakurani kotoba toki no wakuraba\By the cherry blossoms' sacred words,\Oikaketeita anatano senaka\I'd been chasing your back. response:	Furimuita hitomi wa kagayasashikute
context: Without saying a word you fixed my disheveled hair.\Ne\Right?\Sakurani kotoba toki no wakuraba\By the cherry blossoms' sacred words,\Oikaketeita anatano senaka\I'd been chasing your back.\Furimuita hitomi wa kagayasashikute response:	You turned around with gentle eyes.
context: Ne\Right?\Sakurani kotoba toki no wakuraba\By the cherry blossoms' sacred words,\Oikaketeita anatano senaka\I'd been chasing your back.\Furimuita hitomi wa kagayasashikute\You turned around with gentle eyes. response:	Senobi wo shitara todoku kigashita
context: Right?\Sakurani kotoba toki no wakuraba\By the cherry blossoms' sacred words,\Oikaketeita anatano senaka\I'd been chasing your back.\Furimuita hitomi wa kagayasashikute\You turned around with gentle eyes.\Senobi wo shitara todoku kigashita response:	If I tiptoed, I might reach you,
context: Sakurani kotoba toki no wakuraba\By the cherry blossoms' sacred words,\Oikaketeita anatano senaka\I'd been chasing your back.\Furimuita hitomi wa kagayasashikute\You turned around with gentle eyes.\Senobi wo shitara todoku kigashita\If I tiptoed, I might reach you, response:	Sono kyori sae mo tada suki datta
context: By the cherry blossoms' sacred words,\Oikaketeita anatano senaka\I'd been chasing your back.\Furimuita hitomi wa kagayasashikute\You turned around with gentle eyes.\Senobi wo shitara todoku kigashita\If I tiptoed, I might reach you,\Sono kyori sae mo tada suki datta response:	Even from afar, my love in unwavering
context: Oikaketeita anatano senaka\I'd been chasing your back.\Furimuita hitomi wa kagayasashikute\You turned around with gentle eyes.\Senobi wo shitara todoku kigashita\If I tiptoed, I might reach you,\Sono kyori sae mo tada suki datta\Even from afar, my love in unwavering response:	Hitogo tsunoru omoi, dakishimeta mama
context: I'd been chasing your back.\Furimuita hitomi wa kagayasashikute\You turned around with gentle eyes.\Senobi wo shitara todoku kigashita\If I tiptoed, I might reach you,\Sono kyori sae mo tada suki datta\Even from afar, my love in unwavering\Hitogo tsunoru omoi, dakishimeta mama response:	My feelings get stronger, every time you hug me close.
context: Furimuita hitomi wa kagayasashikute\You turned around with gentle eyes.\Senobi wo shitara todoku kigashita\If I tiptoed, I might reach you,\Sono kyori sae mo tada suki datta\Even from afar, my love in unwavering\Hitogo tsunoru omoi, dakishimeta mama\My feelings get stronger, every time you hug me close. response:	Ikutsumono haru wo someteku
context: You turned around with gentle eyes.\Senobi wo shitara todoku kigashita\If I tiptoed, I might reach you,\Sono kyori sae mo tada suki datta\Even from afar, my love in unwavering\Hitogo tsunoru omoi, dakishimeta mama\My feelings get stronger, every time you hug me close.\Ikutsumono haru wo someteku response:	You brought color to many springtimes.
context: Senobi wo shitara todoku kigashita\If I tiptoed, I might reach you,\Sono kyori sae mo tada suki datta\Even from afar, my love in unwavering\Hitogo tsunoru omoi, dakishimeta mama\My feelings get stronger, every time you hug me close.\Ikutsumono haru wo someteku\You brought color to many springtimes. response:	Binetsu no hibi gaa susaburu kaze ga
context: If I tiptoed, I might reach you,\Sono kyori sae mo tada suki datta\Even from afar, my love in unwavering\Hitogo tsunoru omoi, dakishimeta mama\My feelings get stronger, every time you hug me close.\Ikutsumono haru wo someteku\You brought color to many springtimes.\Binetsu no hibi gaa susaburu kaze ga response:	The mildly feverish days, the rough winds,
context: Sono kyori sae mo tada suki datta\Even from afar, my love in unwavering\Hitogo tsunoru omoi, dakishimeta mama\My feelings get stronger, every time you hug me close.\Ikutsumono haru wo someteku\You brought color to many springtimes.\Binetsu no hibi gaa susaburu kaze ga\The mildly feverish days, the rough winds, response:	Hanabira wo tsuyoku irozukete ita
context: Even from afar, my love in unwavering\Hitogo tsunoru omoi, dakishimeta mama\My feelings get stronger, every time you hug me close.\Ikutsumono haru wo someteku\You brought color to many springtimes.\Binetsu no hibi gaa susaburu kaze ga\The mildly feverish days, the rough winds,\Hanabira wo tsuyoku irozukete ita response:	were strongly coloring the petals.
context: Hitogo tsunoru omoi, dakishimeta mama\My feelings get stronger, every time you hug me close.\Ikutsumono haru wo someteku\You brought color to many springtimes.\Binetsu no hibi gaa susaburu kaze ga\The mildly feverish days, the rough winds,\Hanabira wo tsuyoku irozukete ita\were strongly coloring the petals. response:	Isakai wo shite mata yorisotte
context: My feelings get stronger, every time you hug me close.\Ikutsumono haru wo someteku\You brought color to many springtimes.\Binetsu no hibi gaa susaburu kaze ga\The mildly feverish days, the rough winds,\Hanabira wo tsuyoku irozukete ita\were strongly coloring the petals.\Isakai wo shite mata yorisotte response:	We fought then cuddled close to each other,
context: Ikutsumono haru wo someteku\You brought color to many springtimes.\Binetsu no hibi gaa susaburu kaze ga\The mildly feverish days, the rough winds,\Hanabira wo tsuyoku irozukete ita\were strongly coloring the petals.\Isakai wo shite mata yorisotte\We fought then cuddled close to each other, response:	Dochiraga tomonaku tsunagu te no hida
context: You brought color to many springtimes.\Binetsu no hibi gaa susaburu kaze ga\The mildly feverish days, the rough winds,\Hanabira wo tsuyoku irozukete ita\were strongly coloring the petals.\Isakai wo shite mata yorisotte\We fought then cuddled close to each other,\Dochiraga tomonaku tsunagu te no hida response:	Somewhere along the line our hands got linked together.
context: Binetsu no hibi gaa susaburu kaze ga\The mildly feverish days, the rough winds,\Hanabira wo tsuyoku irozukete ita\were strongly coloring the petals.\Isakai wo shite mata yorisotte\We fought then cuddled close to each other,\Dochiraga tomonaku tsunagu te no hida\Somewhere along the line our hands got linked together. response:	Preview
context: The mildly feverish days, the rough winds,\Hanabira wo tsuyoku irozukete ita\were strongly coloring the petals.\Isakai wo shite mata yorisotte\We fought then cuddled close to each other,\Dochiraga tomonaku tsunagu te no hida\Somewhere along the line our hands got linked together.\Preview response:	Tomoe's special feelings for Nanami grew.
context: Hanabira wo tsuyoku irozukete ita\were strongly coloring the petals.\Isakai wo shite mata yorisotte\We fought then cuddled close to each other,\Dochiraga tomonaku tsunagu te no hida\Somewhere along the line our hands got linked together.\Preview\Tomoe's special feelings for Nanami grew. response:	But Nanami's existence is something that shouldn't be in this era.
context: were strongly coloring the petals.\Isakai wo shite mata yorisotte\We fought then cuddled close to each other,\Dochiraga tomonaku tsunagu te no hida\Somewhere along the line our hands got linked together.\Preview\Tomoe's special feelings for Nanami grew.\But Nanami's existence is something that shouldn't be in this era. response:	Next time, The God Goes to Meet.
context: Isakai wo shite mata yorisotte\We fought then cuddled close to each other,\Dochiraga tomonaku tsunagu te no hida\Somewhere along the line our hands got linked together.\Preview\Tomoe's special feelings for Nanami grew.\But Nanami's existence is something that shouldn't be in this era.\Next time, The God Goes to Meet. response:	The Past Arc finale shall set your hearts racing until the end!
context: We fought then cuddled close to each other,\Dochiraga tomonaku tsunagu te no hida\Somewhere along the line our hands got linked together.\Preview\Tomoe's special feelings for Nanami grew.\But Nanami's existence is something that shouldn't be in this era.\Next time, The God Goes to Meet.\The Past Arc finale shall set your hearts racing until the end! response:	Credits: Raws-UCCUSS(from nyaa.se) Translation- KH Addicts Typesetting, Timing, Minor Script Editing- asckj1
