context: There are several rules you must follow while traveling outside of Luna Nova. response:	Just because you will not be on campus does not mean you may forget your status as students.
context: I'm starting to cry!\Look Mama. It's Papa.\Reagla Bierre!\Thank you, witches!\Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable!\As punishment, you will overhaul all of the brooms in the equipment repair room.\As punishment, you will repair all of the brooms in the equipment repair room.\We'll never be able to finish this! response:	I thought she was being nice, but it was the opposite!
context: Look Mama. It's Papa.\Reagla Bierre!\Thank you, witches!\Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable!\As punishment, you will overhaul all of the brooms in the equipment repair room.\As punishment, you will repair all of the brooms in the equipment repair room.\We'll never be able to finish this!\I thought she was being nice, but it was the opposite! response:	That means witches had to do everything. It sounds like a pain.
context: Reagla Bierre!\Thank you, witches!\Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable!\As punishment, you will overhaul all of the brooms in the equipment repair room.\As punishment, you will repair all of the brooms in the equipment repair room.\We'll never be able to finish this!\I thought she was being nice, but it was the opposite!\That means witches had to do everything. It sounds like a pain. response:	Stop that, you two!
context: Thank you, witches!\Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable!\As punishment, you will overhaul all of the brooms in the equipment repair room.\As punishment, you will repair all of the brooms in the equipment repair room.\We'll never be able to finish this!\I thought she was being nice, but it was the opposite!\That means witches had to do everything. It sounds like a pain.\Stop that, you two! response:	Listen up!
context: Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable!\As punishment, you will overhaul all of the brooms in the equipment repair room.\As punishment, you will repair all of the brooms in the equipment repair room.\We'll never be able to finish this!\I thought she was being nice, but it was the opposite!\That means witches had to do everything. It sounds like a pain.\Stop that, you two!\Listen up! response:	There are several rules you must adhere to while traveling outside of Luna Nova.
context: As punishment, you will overhaul all of the brooms in the equipment repair room.\As punishment, you will repair all of the brooms in the equipment repair room.\We'll never be able to finish this!\I thought she was being nice, but it was the opposite!\That means witches had to do everything. It sounds like a pain.\Stop that, you two!\Listen up!\There are several rules you must adhere to while traveling outside of Luna Nova. response:	Do not even for a second think that you may disregard your duties as students once you are off the campus.
context: As punishment, you will repair all of the brooms in the equipment repair room.\We'll never be able to finish this!\I thought she was being nice, but it was the opposite!\That means witches had to do everything. It sounds like a pain.\Stop that, you two!\Listen up!\There are several rules you must adhere to while traveling outside of Luna Nova.\Do not even for a second think that you may disregard your duties as students once you are off the campus. response:	I can't wait!
context: We'll never be able to finish this!\I thought she was being nice, but it was the opposite!\That means witches had to do everything. It sounds like a pain.\Stop that, you two!\Listen up!\There are several rules you must adhere to while traveling outside of Luna Nova.\Do not even for a second think that you may disregard your duties as students once you are off the campus.\I can't wait! response:	Let's go eat pie, and cake, and parfaits too!
context: I thought she was being nice, but it was the opposite!\That means witches had to do everything. It sounds like a pain.\Stop that, you two!\Listen up!\There are several rules you must adhere to while traveling outside of Luna Nova.\Do not even for a second think that you may disregard your duties as students once you are off the campus.\I can't wait!\Let's go eat pie, and cake, and parfaits too! response:	Act with dignity and virtue at all times.
context: That means witches had to do everything. It sounds like a pain.\Stop that, you two!\Listen up!\There are several rules you must adhere to while traveling outside of Luna Nova.\Do not even for a second think that you may disregard your duties as students once you are off the campus.\I can't wait!\Let's go eat pie, and cake, and parfaits too!\Act with dignity and virtue at all times. response:	Akko, your head is full of food.
