context: Mashiro! So Miho's having her debut as a seiyuu, huh?! response:	It's still just a small part.
context: Of course, you're not obligated to do it.\I'm personally reluctant about it,\but I thought I'd ask, just in case.\I understand, I'll do it!\Mashiro would be an assistant?\Yeah, he'd be helping out another mangaka.\Even though you two make up Ashirogi Muto?\It's my fault for keeping him waiting. response:	Even though I'm the one who invited him to become a mangaka in the first place.
context: I'm personally reluctant about it,\but I thought I'd ask, just in case.\I understand, I'll do it!\Mashiro would be an assistant?\Yeah, he'd be helping out another mangaka.\Even though you two make up Ashirogi Muto?\It's my fault for keeping him waiting.\Even though I'm the one who invited him to become a mangaka in the first place. response:	So, let's go home.
context: but I thought I'd ask, just in case.\I understand, I'll do it!\Mashiro would be an assistant?\Yeah, he'd be helping out another mangaka.\Even though you two make up Ashirogi Muto?\It's my fault for keeping him waiting.\Even though I'm the one who invited him to become a mangaka in the first place.\So, let's go home. response:	Takagi...
context: I understand, I'll do it!\Mashiro would be an assistant?\Yeah, he'd be helping out another mangaka.\Even though you two make up Ashirogi Muto?\It's my fault for keeping him waiting.\Even though I'm the one who invited him to become a mangaka in the first place.\So, let's go home.\Takagi... response:	I'm not... getting in the way, am I?
context: Mashiro would be an assistant?\Yeah, he'd be helping out another mangaka.\Even though you two make up Ashirogi Muto?\It's my fault for keeping him waiting.\Even though I'm the one who invited him to become a mangaka in the first place.\So, let's go home.\Takagi...\I'm not... getting in the way, am I? response:	If I go to Eiji's place, I might pick up something.
context: Yeah, he'd be helping out another mangaka.\Even though you two make up Ashirogi Muto?\It's my fault for keeping him waiting.\Even though I'm the one who invited him to become a mangaka in the first place.\So, let's go home.\Takagi...\I'm not... getting in the way, am I?\If I go to Eiji's place, I might pick up something. response:	It's for Shuujin's sake too, since he's struggling with the name!
context: Even though you two make up Ashirogi Muto?\It's my fault for keeping him waiting.\Even though I'm the one who invited him to become a mangaka in the first place.\So, let's go home.\Takagi...\I'm not... getting in the way, am I?\If I go to Eiji's place, I might pick up something.\It's for Shuujin's sake too, since he's struggling with the name! response:	This is the actress who plays Ijyuuniin Elina, Ootsuki Nanami.
context: It's my fault for keeping him waiting.\Even though I'm the one who invited him to become a mangaka in the first place.\So, let's go home.\Takagi...\I'm not... getting in the way, am I?\If I go to Eiji's place, I might pick up something.\It's for Shuujin's sake too, since he's struggling with the name!\This is the actress who plays Ijyuuniin Elina, Ootsuki Nanami. response:	I play the role of Saotomeji Reika, my name is Azuki Miho.
context: Even though I'm the one who invited him to become a mangaka in the first place.\So, let's go home.\Takagi...\I'm not... getting in the way, am I?\If I go to Eiji's place, I might pick up something.\It's for Shuujin's sake too, since he's struggling with the name!\This is the actress who plays Ijyuuniin Elina, Ootsuki Nanami.\I play the role of Saotomeji Reika, my name is Azuki Miho. response:	Now then, on the next Sei Visua
context: So, let's go home.\Takagi...\I'm not... getting in the way, am I?\If I go to Eiji's place, I might pick up something.\It's for Shuujin's sake too, since he's struggling with the name!\This is the actress who plays Ijyuuniin Elina, Ootsuki Nanami.\I play the role of Saotomeji Reika, my name is Azuki Miho.\Now then, on the next Sei Visua response:	That's not right! Nanami-san...
context: Takagi...\I'm not... getting in the way, am I?\If I go to Eiji's place, I might pick up something.\It's for Shuujin's sake too, since he's struggling with the name!\This is the actress who plays Ijyuuniin Elina, Ootsuki Nanami.\I play the role of Saotomeji Reika, my name is Azuki Miho.\Now then, on the next Sei Visua\That's not right! Nanami-san... response:	Next time, Goblin and Kindness.
context: I'm not... getting in the way, am I?\If I go to Eiji's place, I might pick up something.\It's for Shuujin's sake too, since he's struggling with the name!\This is the actress who plays Ijyuuniin Elina, Ootsuki Nanami.\I play the role of Saotomeji Reika, my name is Azuki Miho.\Now then, on the next Sei Visua\That's not right! Nanami-san...\Next time, Goblin and Kindness. response:	If a dream is conceited it won't come true!
