context: I wasn't prepared for any of this. response:	It's so lame I could die.
context: Jirou.\Admirable of you to stay behind alone to train.\Master Soujoubou!\I hear you won brilliantly for the first time in the sword-fighting competition yesterday.\My nose swells with pride. Just look at how big it is.\Just kidding.\You should not push yourself too hard and jeopardize your health, so go on back to your room for today.\Yes, sir! response:	Master Soujoubou.
context: Admirable of you to stay behind alone to train.\Master Soujoubou!\I hear you won brilliantly for the first time in the sword-fighting competition yesterday.\My nose swells with pride. Just look at how big it is.\Just kidding.\You should not push yourself too hard and jeopardize your health, so go on back to your room for today.\Yes, sir!\Master Soujoubou. response:	The strongest crow on the mountain.
context: Master Soujoubou!\I hear you won brilliantly for the first time in the sword-fighting competition yesterday.\My nose swells with pride. Just look at how big it is.\Just kidding.\You should not push yourself too hard and jeopardize your health, so go on back to your room for today.\Yes, sir!\Master Soujoubou.\The strongest crow on the mountain. response:	I am now that crow, yet I am so ashamed.
context: I hear you won brilliantly for the first time in the sword-fighting competition yesterday.\My nose swells with pride. Just look at how big it is.\Just kidding.\You should not push yourself too hard and jeopardize your health, so go on back to your room for today.\Yes, sir!\Master Soujoubou.\The strongest crow on the mountain.\I am now that crow, yet I am so ashamed. response:	I'm even starting to see the celestial nymph in that four-eyed runt.
context: My nose swells with pride. Just look at how big it is.\Just kidding.\You should not push yourself too hard and jeopardize your health, so go on back to your room for today.\Yes, sir!\Master Soujoubou.\The strongest crow on the mountain.\I am now that crow, yet I am so ashamed.\I'm even starting to see the celestial nymph in that four-eyed runt. response:	No matter how strong you are, you can't go through life all by yourself.
context: Just kidding.\You should not push yourself too hard and jeopardize your health, so go on back to your room for today.\Yes, sir!\Master Soujoubou.\The strongest crow on the mountain.\I am now that crow, yet I am so ashamed.\I'm even starting to see the celestial nymph in that four-eyed runt.\No matter how strong you are, you can't go through life all by yourself. response:	Dammit!
context: You should not push yourself too hard and jeopardize your health, so go on back to your room for today.\Yes, sir!\Master Soujoubou.\The strongest crow on the mountain.\I am now that crow, yet I am so ashamed.\I'm even starting to see the celestial nymph in that four-eyed runt.\No matter how strong you are, you can't go through life all by yourself.\Dammit! response:	I am about to become the fourth Soujoubou of Kurama.
context: Yes, sir!\Master Soujoubou.\The strongest crow on the mountain.\I am now that crow, yet I am so ashamed.\I'm even starting to see the celestial nymph in that four-eyed runt.\No matter how strong you are, you can't go through life all by yourself.\Dammit!\I am about to become the fourth Soujoubou of Kurama. response:	Something is wrong with me today.
context: Master Soujoubou.\The strongest crow on the mountain.\I am now that crow, yet I am so ashamed.\I'm even starting to see the celestial nymph in that four-eyed runt.\No matter how strong you are, you can't go through life all by yourself.\Dammit!\I am about to become the fourth Soujoubou of Kurama.\Something is wrong with me today. response:	Daidaimaru, are you okay?!
context: The strongest crow on the mountain.\I am now that crow, yet I am so ashamed.\I'm even starting to see the celestial nymph in that four-eyed runt.\No matter how strong you are, you can't go through life all by yourself.\Dammit!\I am about to become the fourth Soujoubou of Kurama.\Something is wrong with me today.\Daidaimaru, are you okay?! response:	Master Jirou!
context: I am now that crow, yet I am so ashamed.\I'm even starting to see the celestial nymph in that four-eyed runt.\No matter how strong you are, you can't go through life all by yourself.\Dammit!\I am about to become the fourth Soujoubou of Kurama.\Something is wrong with me today.\Daidaimaru, are you okay?!\Master Jirou! response:	Y-You idiots! This is what you get for not looking where you're going!
context: I'm even starting to see the celestial nymph in that four-eyed runt.\No matter how strong you are, you can't go through life all by yourself.\Dammit!\I am about to become the fourth Soujoubou of Kurama.\Something is wrong with me today.\Daidaimaru, are you okay?!\Master Jirou!\Y-You idiots! This is what you get for not looking where you're going! response:	My apologies, sir!
context: No matter how strong you are, you can't go through life all by yourself.\Dammit!\I am about to become the fourth Soujoubou of Kurama.\Something is wrong with me today.\Daidaimaru, are you okay?!\Master Jirou!\Y-You idiots! This is what you get for not looking where you're going!\My apologies, sir! response:	Not even you.
context: Dammit!\I am about to become the fourth Soujoubou of Kurama.\Something is wrong with me today.\Daidaimaru, are you okay?!\Master Jirou!\Y-You idiots! This is what you get for not looking where you're going!\My apologies, sir!\Not even you. response:	It's not like you lived by yourself without any help.
context: I am about to become the fourth Soujoubou of Kurama.\Something is wrong with me today.\Daidaimaru, are you okay?!\Master Jirou!\Y-You idiots! This is what you get for not looking where you're going!\My apologies, sir!\Not even you.\It's not like you lived by yourself without any help. response:	Oh, dear!
context: Something is wrong with me today.\Daidaimaru, are you okay?!\Master Jirou!\Y-You idiots! This is what you get for not looking where you're going!\My apologies, sir!\Not even you.\It's not like you lived by yourself without any help.\Oh, dear! response:	Hey, is this cruel or what?!
context: Daidaimaru, are you okay?!\Master Jirou!\Y-You idiots! This is what you get for not looking where you're going!\My apologies, sir!\Not even you.\It's not like you lived by yourself without any help.\Oh, dear!\Hey, is this cruel or what?! response:	A barrier against evil?! This is news to me!
context: Master Jirou!\Y-You idiots! This is what you get for not looking where you're going!\My apologies, sir!\Not even you.\It's not like you lived by yourself without any help.\Oh, dear!\Hey, is this cruel or what?!\A barrier against evil?! This is news to me! response:	Give back Soujoubou's soul!
context: Y-You idiots! This is what you get for not looking where you're going!\My apologies, sir!\Not even you.\It's not like you lived by yourself without any help.\Oh, dear!\Hey, is this cruel or what?!\A barrier against evil?! This is news to me!\Give back Soujoubou's soul! response:	I have it hidden somewhere deep within this compound where the crows cannot find it,
context: My apologies, sir!\Not even you.\It's not like you lived by yourself without any help.\Oh, dear!\Hey, is this cruel or what?!\A barrier against evil?! This is news to me!\Give back Soujoubou's soul!\I have it hidden somewhere deep within this compound where the crows cannot find it, response:	so if you get rid of me, you will never find his soul...
context: Not even you.\It's not like you lived by yourself without any help.\Oh, dear!\Hey, is this cruel or what?!\A barrier against evil?! This is news to me!\Give back Soujoubou's soul!\I have it hidden somewhere deep within this compound where the crows cannot find it,\so if you get rid of me, you will never find his soul... response:	So that was a barrier against evil.
context: It's not like you lived by yourself without any help.\Oh, dear!\Hey, is this cruel or what?!\A barrier against evil?! This is news to me!\Give back Soujoubou's soul!\I have it hidden somewhere deep within this compound where the crows cannot find it,\so if you get rid of me, you will never find his soul...\So that was a barrier against evil. response:	Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper.
context: Oh, dear!\Hey, is this cruel or what?!\A barrier against evil?! This is news to me!\Give back Soujoubou's soul!\I have it hidden somewhere deep within this compound where the crows cannot find it,\so if you get rid of me, you will never find his soul...\So that was a barrier against evil.\Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper. response:	She's the scariest lady I've ever seen!
context: Hey, is this cruel or what?!\A barrier against evil?! This is news to me!\Give back Soujoubou's soul!\I have it hidden somewhere deep within this compound where the crows cannot find it,\so if you get rid of me, you will never find his soul...\So that was a barrier against evil.\Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper.\She's the scariest lady I've ever seen! response:	We're going to look for Soujoubou's soul.
context: A barrier against evil?! This is news to me!\Give back Soujoubou's soul!\I have it hidden somewhere deep within this compound where the crows cannot find it,\so if you get rid of me, you will never find his soul...\So that was a barrier against evil.\Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper.\She's the scariest lady I've ever seen!\We're going to look for Soujoubou's soul. response:	Soujoubou
context: Give back Soujoubou's soul!\I have it hidden somewhere deep within this compound where the crows cannot find it,\so if you get rid of me, you will never find his soul...\So that was a barrier against evil.\Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper.\She's the scariest lady I've ever seen!\We're going to look for Soujoubou's soul.\Soujoubou response:	We'll use this white talisman and have it find his soul.
context: I have it hidden somewhere deep within this compound where the crows cannot find it,\so if you get rid of me, you will never find his soul...\So that was a barrier against evil.\Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper.\She's the scariest lady I've ever seen!\We're going to look for Soujoubou's soul.\Soujoubou\We'll use this white talisman and have it find his soul. response:	I was afraid it wouldn't be much help in here since Jirou's barrier is so tough.
context: so if you get rid of me, you will never find his soul...\So that was a barrier against evil.\Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper.\She's the scariest lady I've ever seen!\We're going to look for Soujoubou's soul.\Soujoubou\We'll use this white talisman and have it find his soul.\I was afraid it wouldn't be much help in here since Jirou's barrier is so tough. response:	Why not? Your barrier against evil was working just fine.
context: So that was a barrier against evil.\Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper.\She's the scariest lady I've ever seen!\We're going to look for Soujoubou's soul.\Soujoubou\We'll use this white talisman and have it find his soul.\I was afraid it wouldn't be much help in here since Jirou's barrier is so tough.\Why not? Your barrier against evil was working just fine. response:	That's it!
context: Master Jirou's barrier is still here, but Nanami made that man fly away like a piece of paper.\She's the scariest lady I've ever seen!\We're going to look for Soujoubou's soul.\Soujoubou\We'll use this white talisman and have it find his soul.\I was afraid it wouldn't be much help in here since Jirou's barrier is so tough.\Why not? Your barrier against evil was working just fine.\That's it! response:	We're inside Jirou's barrier.
context: She's the scariest lady I've ever seen!\We're going to look for Soujoubou's soul.\Soujoubou\We'll use this white talisman and have it find his soul.\I was afraid it wouldn't be much help in here since Jirou's barrier is so tough.\Why not? Your barrier against evil was working just fine.\That's it!\We're inside Jirou's barrier. response:	So if everything inside it is his, I just need to figure out a way to make it mine.
context: We're going to look for Soujoubou's soul.\Soujoubou\We'll use this white talisman and have it find his soul.\I was afraid it wouldn't be much help in here since Jirou's barrier is so tough.\Why not? Your barrier against evil was working just fine.\That's it!\We're inside Jirou's barrier.\So if everything inside it is his, I just need to figure out a way to make it mine. response:	What are you crying for, Daidaimaru?
context: Soujoubou\We'll use this white talisman and have it find his soul.\I was afraid it wouldn't be much help in here since Jirou's barrier is so tough.\Why not? Your barrier against evil was working just fine.\That's it!\We're inside Jirou's barrier.\So if everything inside it is his, I just need to figure out a way to make it mine.\What are you crying for, Daidaimaru? response:	Please forgive him.
context: We'll use this white talisman and have it find his soul.\I was afraid it wouldn't be much help in here since Jirou's barrier is so tough.\Why not? Your barrier against evil was working just fine.\That's it!\We're inside Jirou's barrier.\So if everything inside it is his, I just need to figure out a way to make it mine.\What are you crying for, Daidaimaru?\Please forgive him. response:	Daidaimaru is not feeling well today, so we were about to send him to rest.
context: I was afraid it wouldn't be much help in here since Jirou's barrier is so tough.\Why not? Your barrier against evil was working just fine.\That's it!\We're inside Jirou's barrier.\So if everything inside it is his, I just need to figure out a way to make it mine.\What are you crying for, Daidaimaru?\Please forgive him.\Daidaimaru is not feeling well today, so we were about to send him to rest. response:	Please don't punish him. I, Chiyomaru, would rather take the blame.
context: Why not? Your barrier against evil was working just fine.\That's it!\We're inside Jirou's barrier.\So if everything inside it is his, I just need to figure out a way to make it mine.\What are you crying for, Daidaimaru?\Please forgive him.\Daidaimaru is not feeling well today, so we were about to send him to rest.\Please don't punish him. I, Chiyomaru, would rather take the blame. response:	You must stop this, Jirou!
context: That's it!\We're inside Jirou's barrier.\So if everything inside it is his, I just need to figure out a way to make it mine.\What are you crying for, Daidaimaru?\Please forgive him.\Daidaimaru is not feeling well today, so we were about to send him to rest.\Please don't punish him. I, Chiyomaru, would rather take the blame.\You must stop this, Jirou! response:	Suirou...
context: We're inside Jirou's barrier.\So if everything inside it is his, I just need to figure out a way to make it mine.\What are you crying for, Daidaimaru?\Please forgive him.\Daidaimaru is not feeling well today, so we were about to send him to rest.\Please don't punish him. I, Chiyomaru, would rather take the blame.\You must stop this, Jirou!\Suirou... response:	This is stupid.
context: So if everything inside it is his, I just need to figure out a way to make it mine.\What are you crying for, Daidaimaru?\Please forgive him.\Daidaimaru is not feeling well today, so we were about to send him to rest.\Please don't punish him. I, Chiyomaru, would rather take the blame.\You must stop this, Jirou!\Suirou...\This is stupid. response:	Master Jirou, there is trouble!
context: What are you crying for, Daidaimaru?\Please forgive him.\Daidaimaru is not feeling well today, so we were about to send him to rest.\Please don't punish him. I, Chiyomaru, would rather take the blame.\You must stop this, Jirou!\Suirou...\This is stupid.\Master Jirou, there is trouble! response:	What is it?
context: Please forgive him.\Daidaimaru is not feeling well today, so we were about to send him to rest.\Please don't punish him. I, Chiyomaru, would rather take the blame.\You must stop this, Jirou!\Suirou...\This is stupid.\Master Jirou, there is trouble!\What is it? response:	A woman... A woman is running around inside the compound!
context: Daidaimaru is not feeling well today, so we were about to send him to rest.\Please don't punish him. I, Chiyomaru, would rather take the blame.\You must stop this, Jirou!\Suirou...\This is stupid.\Master Jirou, there is trouble!\What is it?\A woman... A woman is running around inside the compound! response:	Move! Move!
context: Please don't punish him. I, Chiyomaru, would rather take the blame.\You must stop this, Jirou!\Suirou...\This is stupid.\Master Jirou, there is trouble!\What is it?\A woman... A woman is running around inside the compound!\Move! Move! response:	Touch me, and you'll fall to the mundane world!
context: You must stop this, Jirou!\Suirou...\This is stupid.\Master Jirou, there is trouble!\What is it?\A woman... A woman is running around inside the compound!\Move! Move!\Touch me, and you'll fall to the mundane world! response:	If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier.
context: Suirou...\This is stupid.\Master Jirou, there is trouble!\What is it?\A woman... A woman is running around inside the compound!\Move! Move!\Touch me, and you'll fall to the mundane world!\If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier. response:	This whole compound will be surrounded with my power, not his!
context: This is stupid.\Master Jirou, there is trouble!\What is it?\A woman... A woman is running around inside the compound!\Move! Move!\Touch me, and you'll fall to the mundane world!\If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier.\This whole compound will be surrounded with my power, not his! response:	Where's the woman?!
context: Master Jirou, there is trouble!\What is it?\A woman... A woman is running around inside the compound!\Move! Move!\Touch me, and you'll fall to the mundane world!\If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier.\This whole compound will be surrounded with my power, not his!\Where's the woman?! response:	She went toward the West Wing!
context: What is it?\A woman... A woman is running around inside the compound!\Move! Move!\Touch me, and you'll fall to the mundane world!\If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier.\This whole compound will be surrounded with my power, not his!\Where's the woman?!\She went toward the West Wing! response:	The West Wing?
context: A woman... A woman is running around inside the compound!\Move! Move!\Touch me, and you'll fall to the mundane world!\If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier.\This whole compound will be surrounded with my power, not his!\Where's the woman?!\She went toward the West Wing!\The West Wing? response:	Master Jirou!
context: Move! Move!\Touch me, and you'll fall to the mundane world!\If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier.\This whole compound will be surrounded with my power, not his!\Where's the woman?!\She went toward the West Wing!\The West Wing?\Master Jirou! response:	Toward the sanctum where I have Shinjurou and the fox locked up...
context: Touch me, and you'll fall to the mundane world!\If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier.\This whole compound will be surrounded with my power, not his!\Where's the woman?!\She went toward the West Wing!\The West Wing?\Master Jirou!\Toward the sanctum where I have Shinjurou and the fox locked up... response:	It must be her.
context: If I cast a barrier against evil within the compound, I should be able to cancel out Jirou's barrier.\This whole compound will be surrounded with my power, not his!\Where's the woman?!\She went toward the West Wing!\The West Wing?\Master Jirou!\Toward the sanctum where I have Shinjurou and the fox locked up...\It must be her. response:	Look.
context: This whole compound will be surrounded with my power, not his!\Where's the woman?!\She went toward the West Wing!\The West Wing?\Master Jirou!\Toward the sanctum where I have Shinjurou and the fox locked up...\It must be her.\Look. response:	Where the woman passed...
context: Where's the woman?!\She went toward the West Wing!\The West Wing?\Master Jirou!\Toward the sanctum where I have Shinjurou and the fox locked up...\It must be her.\Look.\Where the woman passed... response:	is shining gold!
context: She went toward the West Wing!\The West Wing?\Master Jirou!\Toward the sanctum where I have Shinjurou and the fox locked up...\It must be her.\Look.\Where the woman passed...\is shining gold! response:	It's like a line of light.
context: The West Wing?\Master Jirou!\Toward the sanctum where I have Shinjurou and the fox locked up...\It must be her.\Look.\Where the woman passed...\is shining gold!\It's like a line of light. response:	It's pretty.
context: Master Jirou!\Toward the sanctum where I have Shinjurou and the fox locked up...\It must be her.\Look.\Where the woman passed...\is shining gold!\It's like a line of light.\It's pretty. response:	Shh! Idiot! Master Jirou can hear you!
context: Toward the sanctum where I have Shinjurou and the fox locked up...\It must be her.\Look.\Where the woman passed...\is shining gold!\It's like a line of light.\It's pretty.\Shh! Idiot! Master Jirou can hear you! response:	Stinking fox, the crow guarding us hurried off somewhere.
context: It must be her.\Look.\Where the woman passed...\is shining gold!\It's like a line of light.\It's pretty.\Shh! Idiot! Master Jirou can hear you!\Stinking fox, the crow guarding us hurried off somewhere. response:	I don't know what happened, but isn't this our chance to escape?
context: Look.\Where the woman passed...\is shining gold!\It's like a line of light.\It's pretty.\Shh! Idiot! Master Jirou can hear you!\Stinking fox, the crow guarding us hurried off somewhere.\I don't know what happened, but isn't this our chance to escape? response:	Come up with some way to escape.
context: Where the woman passed...\is shining gold!\It's like a line of light.\It's pretty.\Shh! Idiot! Master Jirou can hear you!\Stinking fox, the crow guarding us hurried off somewhere.\I don't know what happened, but isn't this our chance to escape?\Come up with some way to escape. response:	I know it must be hard with your tiny brain.
context: is shining gold!\It's like a line of light.\It's pretty.\Shh! Idiot! Master Jirou can hear you!\Stinking fox, the crow guarding us hurried off somewhere.\I don't know what happened, but isn't this our chance to escape?\Come up with some way to escape.\I know it must be hard with your tiny brain. response:	Oh, that's rich.
context: It's like a line of light.\It's pretty.\Shh! Idiot! Master Jirou can hear you!\Stinking fox, the crow guarding us hurried off somewhere.\I don't know what happened, but isn't this our chance to escape?\Come up with some way to escape.\I know it must be hard with your tiny brain.\Oh, that's rich. response:	At least I have a brain!
context: It's pretty.\Shh! Idiot! Master Jirou can hear you!\Stinking fox, the crow guarding us hurried off somewhere.\I don't know what happened, but isn't this our chance to escape?\Come up with some way to escape.\I know it must be hard with your tiny brain.\Oh, that's rich.\At least I have a brain! response:	You idiot! Your ears are doing all the work!
context: Shh! Idiot! Master Jirou can hear you!\Stinking fox, the crow guarding us hurried off somewhere.\I don't know what happened, but isn't this our chance to escape?\Come up with some way to escape.\I know it must be hard with your tiny brain.\Oh, that's rich.\At least I have a brain!\You idiot! Your ears are doing all the work! response:	Your ears are bigger than your head!
context: Stinking fox, the crow guarding us hurried off somewhere.\I don't know what happened, but isn't this our chance to escape?\Come up with some way to escape.\I know it must be hard with your tiny brain.\Oh, that's rich.\At least I have a brain!\You idiot! Your ears are doing all the work!\Your ears are bigger than your head! response:	4th Stupid Fight of the Day
context: I don't know what happened, but isn't this our chance to escape?\Come up with some way to escape.\I know it must be hard with your tiny brain.\Oh, that's rich.\At least I have a brain!\You idiot! Your ears are doing all the work!\Your ears are bigger than your head!\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: Come up with some way to escape.\I know it must be hard with your tiny brain.\Oh, that's rich.\At least I have a brain!\You idiot! Your ears are doing all the work!\Your ears are bigger than your head!\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	Can you even hear me through that hair?!
context: I know it must be hard with your tiny brain.\Oh, that's rich.\At least I have a brain!\You idiot! Your ears are doing all the work!\Your ears are bigger than your head!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Can you even hear me through that hair?! response:	4th Stupid Fight of the Day
context: Oh, that's rich.\At least I have a brain!\You idiot! Your ears are doing all the work!\Your ears are bigger than your head!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Can you even hear me through that hair?!\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: At least I have a brain!\You idiot! Your ears are doing all the work!\Your ears are bigger than your head!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Can you even hear me through that hair?!\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: You idiot! Your ears are doing all the work!\Your ears are bigger than your head!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Can you even hear me through that hair?!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: Your ears are bigger than your head!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Can you even hear me through that hair?!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	Master Shinjurou!
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\Can you even hear me through that hair?!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Master Shinjurou! response:	4th Stupid Fight of the Day
context: 4th Stupid Fight of the Day\Can you even hear me through that hair?!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Master Shinjurou!\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: Can you even hear me through that hair?!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Master Shinjurou!\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Master Shinjurou!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\Master Shinjurou!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\Master Shinjurou!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	4th Stupid Fight of the Day
context: 4th Stupid Fight of the Day\Master Shinjurou!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day response:	I finally found you! I have come to rescue you!
context: Master Shinjurou!\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\I finally found you! I have come to rescue you! response:	Oh, good. Well done, Botanmaru.
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\I finally found you! I have come to rescue you!\Oh, good. Well done, Botanmaru. response:	Glad you're safe and sound.
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\I finally found you! I have come to rescue you!\Oh, good. Well done, Botanmaru.\Glad you're safe and sound. response:	My goodness!
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\I finally found you! I have come to rescue you!\Oh, good. Well done, Botanmaru.\Glad you're safe and sound.\My goodness! response:	What an impressive barrier prison.
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\4th Stupid Fight of the Day\I finally found you! I have come to rescue you!\Oh, good. Well done, Botanmaru.\Glad you're safe and sound.\My goodness!\What an impressive barrier prison. response:	How might I get you out, Master Shinjurou?
context: 4th Stupid Fight of the Day\4th Stupid Fight of the Day\I finally found you! I have come to rescue you!\Oh, good. Well done, Botanmaru.\Glad you're safe and sound.\My goodness!\What an impressive barrier prison.\How might I get you out, Master Shinjurou? response:	Where is Nanami?
context: 4th Stupid Fight of the Day\I finally found you! I have come to rescue you!\Oh, good. Well done, Botanmaru.\Glad you're safe and sound.\My goodness!\What an impressive barrier prison.\How might I get you out, Master Shinjurou?\Where is Nanami? response:	Is she not with you?
context: I finally found you! I have come to rescue you!\Oh, good. Well done, Botanmaru.\Glad you're safe and sound.\My goodness!\What an impressive barrier prison.\How might I get you out, Master Shinjurou?\Where is Nanami?\Is she not with you? response:	Lady Nanami is currently running about to cast a barrier upon the compound.
context: Oh, good. Well done, Botanmaru.\Glad you're safe and sound.\My goodness!\What an impressive barrier prison.\How might I get you out, Master Shinjurou?\Where is Nanami?\Is she not with you?\Lady Nanami is currently running about to cast a barrier upon the compound. response:	Running about?
context: Glad you're safe and sound.\My goodness!\What an impressive barrier prison.\How might I get you out, Master Shinjurou?\Where is Nanami?\Is she not with you?\Lady Nanami is currently running about to cast a barrier upon the compound.\Running about? response:	It seems Master Soujoubou is worse off than we thought!
context: My goodness!\What an impressive barrier prison.\How might I get you out, Master Shinjurou?\Where is Nanami?\Is she not with you?\Lady Nanami is currently running about to cast a barrier upon the compound.\Running about?\It seems Master Soujoubou is worse off than we thought! response:	Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum.
context: What an impressive barrier prison.\How might I get you out, Master Shinjurou?\Where is Nanami?\Is she not with you?\Lady Nanami is currently running about to cast a barrier upon the compound.\Running about?\It seems Master Soujoubou is worse off than we thought!\Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum. response:	Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified!
context: How might I get you out, Master Shinjurou?\Where is Nanami?\Is she not with you?\Lady Nanami is currently running about to cast a barrier upon the compound.\Running about?\It seems Master Soujoubou is worse off than we thought!\Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum.\Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified! response:	Master Soujoubou was not confined to his bed due to illness!
context: Where is Nanami?\Is she not with you?\Lady Nanami is currently running about to cast a barrier upon the compound.\Running about?\It seems Master Soujoubou is worse off than we thought!\Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum.\Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified!\Master Soujoubou was not confined to his bed due to illness! response:	What?!
context: Is she not with you?\Lady Nanami is currently running about to cast a barrier upon the compound.\Running about?\It seems Master Soujoubou is worse off than we thought!\Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum.\Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified!\Master Soujoubou was not confined to his bed due to illness!\What?! response:	Yatori confessed to it all.
context: Lady Nanami is currently running about to cast a barrier upon the compound.\Running about?\It seems Master Soujoubou is worse off than we thought!\Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum.\Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified!\Master Soujoubou was not confined to his bed due to illness!\What?!\Yatori confessed to it all. response:	He claimed to have hid his soul somewhere on this compound where no one would find it.
context: Running about?\It seems Master Soujoubou is worse off than we thought!\Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum.\Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified!\Master Soujoubou was not confined to his bed due to illness!\What?!\Yatori confessed to it all.\He claimed to have hid his soul somewhere on this compound where no one would find it. response:	It was all a plot to overthrow the Third and take control of Kurama.
context: It seems Master Soujoubou is worse off than we thought!\Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum.\Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified!\Master Soujoubou was not confined to his bed due to illness!\What?!\Yatori confessed to it all.\He claimed to have hid his soul somewhere on this compound where no one would find it.\It was all a plot to overthrow the Third and take control of Kurama. response:	What is this light?
context: Master Shinjurou, Lady Nanami and I saw him in the innermost sanctum.\Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified!\Master Soujoubou was not confined to his bed due to illness!\What?!\Yatori confessed to it all.\He claimed to have hid his soul somewhere on this compound where no one would find it.\It was all a plot to overthrow the Third and take control of Kurama.\What is this light? response:	The barrier prison is fading away.
context: Master Soujoubou's soul was taken by a spirit named Yatori, and he has become petrified!\Master Soujoubou was not confined to his bed due to illness!\What?!\Yatori confessed to it all.\He claimed to have hid his soul somewhere on this compound where no one would find it.\It was all a plot to overthrow the Third and take control of Kurama.\What is this light?\The barrier prison is fading away. response:	What is this light?
