context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: KANPAI! Kanpai!!!\Chiaki-Sama, umm...thank you...\for inviting us here...\You haven't forgotten us, have you?\Well, no, it's because you also sent me the demo-tape for the audition...\Yes, Moe-san!\We passed the audition for this Oke using our own power!\Now there's no need for us to beg Chiaki! response:	You guys have good points too.
context: Chiaki-Sama, umm...thank you...\for inviting us here...\You haven't forgotten us, have you?\Well, no, it's because you also sent me the demo-tape for the audition...\Yes, Moe-san!\We passed the audition for this Oke using our own power!\Now there's no need for us to beg Chiaki!\You guys have good points too. response:	No wonder you were selected as the members for Stresemann's Oke
context: for inviting us here...\You haven't forgotten us, have you?\Well, no, it's because you also sent me the demo-tape for the audition...\Yes, Moe-san!\We passed the audition for this Oke using our own power!\Now there's no need for us to beg Chiaki!\You guys have good points too.\No wonder you were selected as the members for Stresemann's Oke response:	Your expression was rich, and also interesting.
context: You haven't forgotten us, have you?\Well, no, it's because you also sent me the demo-tape for the audition...\Yes, Moe-san!\We passed the audition for this Oke using our own power!\Now there's no need for us to beg Chiaki!\You guys have good points too.\No wonder you were selected as the members for Stresemann's Oke\Your expression was rich, and also interesting. response:	And on top of that, you're also cute!
context: Well, no, it's because you also sent me the demo-tape for the audition...\Yes, Moe-san!\We passed the audition for this Oke using our own power!\Now there's no need for us to beg Chiaki!\You guys have good points too.\No wonder you were selected as the members for Stresemann's Oke\Your expression was rich, and also interesting.\And on top of that, you're also cute! response:	Eh?
context: Yes, Moe-san!\We passed the audition for this Oke using our own power!\Now there's no need for us to beg Chiaki!\You guys have good points too.\No wonder you were selected as the members for Stresemann's Oke\Your expression was rich, and also interesting.\And on top of that, you're also cute!\Eh? response:	May I have your cell phone numbers? Eh?
context: We passed the audition for this Oke using our own power!\Now there's no need for us to beg Chiaki!\You guys have good points too.\No wonder you were selected as the members for Stresemann's Oke\Your expression was rich, and also interesting.\And on top of that, you're also cute!\Eh?\May I have your cell phone numbers? Eh? response:	May I have your cell phone numbers?
context: Now there's no need for us to beg Chiaki!\You guys have good points too.\No wonder you were selected as the members for Stresemann's Oke\Your expression was rich, and also interesting.\And on top of that, you're also cute!\Eh?\May I have your cell phone numbers? Eh?\May I have your cell phone numbers? response:	Despite everything,
context: You guys have good points too.\No wonder you were selected as the members for Stresemann's Oke\Your expression was rich, and also interesting.\And on top of that, you're also cute!\Eh?\May I have your cell phone numbers? Eh?\May I have your cell phone numbers?\Despite everything, response:	to my surprise, everybody really becomes so skillful now, all of you!
context: No wonder you were selected as the members for Stresemann's Oke\Your expression was rich, and also interesting.\And on top of that, you're also cute!\Eh?\May I have your cell phone numbers? Eh?\May I have your cell phone numbers?\Despite everything,\to my surprise, everybody really becomes so skillful now, all of you! response:	Chiaki..
context: Your expression was rich, and also interesting.\And on top of that, you're also cute!\Eh?\May I have your cell phone numbers? Eh?\May I have your cell phone numbers?\Despite everything,\to my surprise, everybody really becomes so skillful now, all of you!\Chiaki.. response:	Chiaki-Sama!
context: And on top of that, you're also cute!\Eh?\May I have your cell phone numbers? Eh?\May I have your cell phone numbers?\Despite everything,\to my surprise, everybody really becomes so skillful now, all of you!\Chiaki..\Chiaki-Sama! response:	Kaoru is happy!
context: Eh?\May I have your cell phone numbers? Eh?\May I have your cell phone numbers?\Despite everything,\to my surprise, everybody really becomes so skillful now, all of you!\Chiaki..\Chiaki-Sama!\Kaoru is happy! response:	Moe too!!
context: May I have your cell phone numbers? Eh?\May I have your cell phone numbers?\Despite everything,\to my surprise, everybody really becomes so skillful now, all of you!\Chiaki..\Chiaki-Sama!\Kaoru is happy!\Moe too!! response:	I'm also happy!!
context: May I have your cell phone numbers?\Despite everything,\to my surprise, everybody really becomes so skillful now, all of you!\Chiaki..\Chiaki-Sama!\Kaoru is happy!\Moe too!!\I'm also happy!! response:	It's me who's happy!
context: Despite everything,\to my surprise, everybody really becomes so skillful now, all of you!\Chiaki..\Chiaki-Sama!\Kaoru is happy!\Moe too!!\I'm also happy!!\It's me who's happy! response:	Someone! Gimme a rope!!
context: to my surprise, everybody really becomes so skillful now, all of you!\Chiaki..\Chiaki-Sama!\Kaoru is happy!\Moe too!!\I'm also happy!!\It's me who's happy!\Someone! Gimme a rope!! response:	Here it is!
context: Chiaki..\Chiaki-Sama!\Kaoru is happy!\Moe too!!\I'm also happy!!\It's me who's happy!\Someone! Gimme a rope!!\Here it is! response:	Thanks!
context: Chiaki-Sama!\Kaoru is happy!\Moe too!!\I'm also happy!!\It's me who's happy!\Someone! Gimme a rope!!\Here it is!\Thanks! response:	Let go of me! Thanks!
context: Kaoru is happy!\Moe too!!\I'm also happy!!\It's me who's happy!\Someone! Gimme a rope!!\Here it is!\Thanks!\Let go of me! Thanks! response:	Let go of me!
context: Moe too!!\I'm also happy!!\It's me who's happy!\Someone! Gimme a rope!!\Here it is!\Thanks!\Let go of me! Thanks!\Let go of me! response:	Alright!
context: I'm also happy!!\It's me who's happy!\Someone! Gimme a rope!!\Here it is!\Thanks!\Let go of me! Thanks!\Let go of me!\Alright! response:	Masumi-chan, you're wonderful!
context: It's me who's happy!\Someone! Gimme a rope!!\Here it is!\Thanks!\Let go of me! Thanks!\Let go of me!\Alright!\Masumi-chan, you're wonderful! response:	Do your best!!
context: Someone! Gimme a rope!!\Here it is!\Thanks!\Let go of me! Thanks!\Let go of me!\Alright!\Masumi-chan, you're wonderful!\Do your best!! response:	Chiaki-kun!
context: Here it is!\Thanks!\Let go of me! Thanks!\Let go of me!\Alright!\Masumi-chan, you're wonderful!\Do your best!!\Chiaki-kun! response:	Chiaki-kun, have you decided which country you're going to go?
context: Thanks!\Let go of me! Thanks!\Let go of me!\Alright!\Masumi-chan, you're wonderful!\Do your best!!\Chiaki-kun!\Chiaki-kun, have you decided which country you're going to go? response:	Yes, well...
context: Let go of me! Thanks!\Let go of me!\Alright!\Masumi-chan, you're wonderful!\Do your best!!\Chiaki-kun!\Chiaki-kun, have you decided which country you're going to go?\Yes, well... response:	What about you, Kuroki-kun? Sooner or later you'll study abroad too, right?
