context: Suicide. response:	The act of taking one's own life,
context: the crime.\We found the body torn to...\It was hardly in any\condition for us to work on.\the crime.\I think that the murderer's actions and logic\are what makes it interesting for the reader.\I despise characters that go, response:	Let's dismember him! just for the sake of being cool.
context: We found the body torn to...\It was hardly in any\condition for us to work on.\the crime.\I think that the murderer's actions and logic\are what makes it interesting for the reader.\I despise characters that go,\Let's dismember him! just for the sake of being cool. response:	This okay?
context: It was hardly in any\condition for us to work on.\the crime.\I think that the murderer's actions and logic\are what makes it interesting for the reader.\I despise characters that go,\Let's dismember him! just for the sake of being cool.\This okay? response:	Yes, that's fine.
context: condition for us to work on.\the crime.\I think that the murderer's actions and logic\are what makes it interesting for the reader.\I despise characters that go,\Let's dismember him! just for the sake of being cool.\This okay?\Yes, that's fine. response:	Akihito, your friends in the Literary Club
context: the crime.\I think that the murderer's actions and logic\are what makes it interesting for the reader.\I despise characters that go,\Let's dismember him! just for the sake of being cool.\This okay?\Yes, that's fine.\Akihito, your friends in the Literary Club response:	put their hearts and souls into those scraps of paper.
context: I think that the murderer's actions and logic\are what makes it interesting for the reader.\I despise characters that go,\Let's dismember him! just for the sake of being cool.\This okay?\Yes, that's fine.\Akihito, your friends in the Literary Club\put their hearts and souls into those scraps of paper. response:	It's rude to toy with them like that.
context: are what makes it interesting for the reader.\I despise characters that go,\Let's dismember him! just for the sake of being cool.\This okay?\Yes, that's fine.\Akihito, your friends in the Literary Club\put their hearts and souls into those scraps of paper.\It's rude to toy with them like that. response:	The way you said that makes me think you don't respect them one bit.
context: I despise characters that go,\Let's dismember him! just for the sake of being cool.\This okay?\Yes, that's fine.\Akihito, your friends in the Literary Club\put their hearts and souls into those scraps of paper.\It's rude to toy with them like that.\The way you said that makes me think you don't respect them one bit. response:	Keep Calm
context: Let's dismember him! just for the sake of being cool.\This okay?\Yes, that's fine.\Akihito, your friends in the Literary Club\put their hearts and souls into those scraps of paper.\It's rude to toy with them like that.\The way you said that makes me think you don't respect them one bit.\Keep Calm response:	And Drive On
context: This okay?\Yes, that's fine.\Akihito, your friends in the Literary Club\put their hearts and souls into those scraps of paper.\It's rude to toy with them like that.\The way you said that makes me think you don't respect them one bit.\Keep Calm\And Drive On response:	Can you blame me?
context: Yes, that's fine.\Akihito, your friends in the Literary Club\put their hearts and souls into those scraps of paper.\It's rude to toy with them like that.\The way you said that makes me think you don't respect them one bit.\Keep Calm\And Drive On\Can you blame me? response:	You went up to our adviser and said,
context: Akihito, your friends in the Literary Club\put their hearts and souls into those scraps of paper.\It's rude to toy with them like that.\The way you said that makes me think you don't respect them one bit.\Keep Calm\And Drive On\Can you blame me?\You went up to our adviser and said, response:	We'll hit Volume 150 with our next anthology.
context: put their hearts and souls into those scraps of paper.\It's rude to toy with them like that.\The way you said that makes me think you don't respect them one bit.\Keep Calm\And Drive On\Can you blame me?\You went up to our adviser and said,\We'll hit Volume 150 with our next anthology. response:	Constantly Reading
context: It's rude to toy with them like that.\The way you said that makes me think you don't respect them one bit.\Keep Calm\And Drive On\Can you blame me?\You went up to our adviser and said,\We'll hit Volume 150 with our next anthology.\Constantly Reading response:	Constantly Reading
context: The way you said that makes me think you don't respect them one bit.\Keep Calm\And Drive On\Can you blame me?\You went up to our adviser and said,\We'll hit Volume 150 with our next anthology.\Constantly Reading\Constantly Reading response:	Literary Club
context: Keep Calm\And Drive On\Can you blame me?\You went up to our adviser and said,\We'll hit Volume 150 with our next anthology.\Constantly Reading\Constantly Reading\Literary Club response:	Literary Club
context: And Drive On\Can you blame me?\You went up to our adviser and said,\We'll hit Volume 150 with our next anthology.\Constantly Reading\Constantly Reading\Literary Club\Literary Club response:	Quasi-meeting Reading
context: Can you blame me?\You went up to our adviser and said,\We'll hit Volume 150 with our next anthology.\Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading response:	Quasi-meeting Reading
context: You went up to our adviser and said,\We'll hit Volume 150 with our next anthology.\Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading response:	Reading
context: We'll hit Volume 150 with our next anthology.\Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading response:	Reading
context: Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading response:	Constantly Reading
context: Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading\Constantly Reading response:	Constantly Reading
context: Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading\Constantly Reading\Constantly Reading response:	Literary Club
context: Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading\Constantly Reading\Constantly Reading\Literary Club response:	Literary Club
context: Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading\Constantly Reading\Constantly Reading\Literary Club\Literary Club response:	Quasi-meeting Reading
context: Quasi-meeting Reading\Reading\Reading\Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading response:	Quasi-meeting Reading
context: Reading\Reading\Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading response:	Reading
context: Reading\Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading response:	Reading
context: Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading response:	Constantly Reading
context: Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading\Constantly Reading response:	Constantly Reading
context: Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading\Constantly Reading\Constantly Reading response:	Literary Club
context: Literary Club\Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading\Constantly Reading\Constantly Reading\Literary Club response:	Literary Club
context: Quasi-meeting Reading\Quasi-meeting Reading\Reading\Reading\Constantly Reading\Constantly Reading\Literary Club\Literary Club response:	Quasi-meeting Reading
context: Quasi-meeting Reading\Reading\Reading\Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading response:	Quasi-meeting Reading
context: Reading\Reading\Constantly Reading\Constantly Reading\Literary Club\Literary Club\Quasi-meeting Reading\Quasi-meeting Reading response:	Reading
