context: Until the competition is over, response:	there will be no practice.
context: What are you going to do?\As I thought...\Anyway, listen...\to Ore-sama's music!\Laymen must not imitate this kind of thing...\Kikuchi-kun is so cool, isn't he?\The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer!\By the way...this Chiaki Shinichi...who's he? response:	How annoying, nobody knows Chiaki-kun!
context: As I thought...\Anyway, listen...\to Ore-sama's music!\Laymen must not imitate this kind of thing...\Kikuchi-kun is so cool, isn't he?\The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer!\By the way...this Chiaki Shinichi...who's he?\How annoying, nobody knows Chiaki-kun! response:	That's a matter of course
context: Anyway, listen...\to Ore-sama's music!\Laymen must not imitate this kind of thing...\Kikuchi-kun is so cool, isn't he?\The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer!\By the way...this Chiaki Shinichi...who's he?\How annoying, nobody knows Chiaki-kun!\That's a matter of course response:	He has never even once taken part in any competition
context: to Ore-sama's music!\Laymen must not imitate this kind of thing...\Kikuchi-kun is so cool, isn't he?\The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer!\By the way...this Chiaki Shinichi...who's he?\How annoying, nobody knows Chiaki-kun!\That's a matter of course\He has never even once taken part in any competition response:	and the only time he ever conducted was just at the Academy's Periodical Public Performance.
context: Laymen must not imitate this kind of thing...\Kikuchi-kun is so cool, isn't he?\The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer!\By the way...this Chiaki Shinichi...who's he?\How annoying, nobody knows Chiaki-kun!\That's a matter of course\He has never even once taken part in any competition\and the only time he ever conducted was just at the Academy's Periodical Public Performance. response:	Even for me, it will be my first time seeing Chiaki-kun conduct.
context: Kikuchi-kun is so cool, isn't he?\The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer!\By the way...this Chiaki Shinichi...who's he?\How annoying, nobody knows Chiaki-kun!\That's a matter of course\He has never even once taken part in any competition\and the only time he ever conducted was just at the Academy's Periodical Public Performance.\Even for me, it will be my first time seeing Chiaki-kun conduct. response:	That's why it will exciting for you
context: The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer!\By the way...this Chiaki Shinichi...who's he?\How annoying, nobody knows Chiaki-kun!\That's a matter of course\He has never even once taken part in any competition\and the only time he ever conducted was just at the Academy's Periodical Public Performance.\Even for me, it will be my first time seeing Chiaki-kun conduct.\That's why it will exciting for you response:	Oboe Concerto and Brahms No 1?
context: By the way...this Chiaki Shinichi...who's he?\How annoying, nobody knows Chiaki-kun!\That's a matter of course\He has never even once taken part in any competition\and the only time he ever conducted was just at the Academy's Periodical Public Performance.\Even for me, it will be my first time seeing Chiaki-kun conduct.\That's why it will exciting for you\Oboe Concerto and Brahms No 1? response:	This Oboe player Kuroki-kun...
context: How annoying, nobody knows Chiaki-kun!\That's a matter of course\He has never even once taken part in any competition\and the only time he ever conducted was just at the Academy's Periodical Public Performance.\Even for me, it will be my first time seeing Chiaki-kun conduct.\That's why it will exciting for you\Oboe Concerto and Brahms No 1?\This Oboe player Kuroki-kun... response:	didn't he lose very badly at that competition?
context: That's a matter of course\He has never even once taken part in any competition\and the only time he ever conducted was just at the Academy's Periodical Public Performance.\Even for me, it will be my first time seeing Chiaki-kun conduct.\That's why it will exciting for you\Oboe Concerto and Brahms No 1?\This Oboe player Kuroki-kun...\didn't he lose very badly at that competition? response:	Those guys, are they really better than us?
context: He has never even once taken part in any competition\and the only time he ever conducted was just at the Academy's Periodical Public Performance.\Even for me, it will be my first time seeing Chiaki-kun conduct.\That's why it will exciting for you\Oboe Concerto and Brahms No 1?\This Oboe player Kuroki-kun...\didn't he lose very badly at that competition?\Those guys, are they really better than us? response:	It will be a good sight to watch! Heeheehee...
context: and the only time he ever conducted was just at the Academy's Periodical Public Performance.\Even for me, it will be my first time seeing Chiaki-kun conduct.\That's why it will exciting for you\Oboe Concerto and Brahms No 1?\This Oboe player Kuroki-kun...\didn't he lose very badly at that competition?\Those guys, are they really better than us?\It will be a good sight to watch! Heeheehee... response:	Ah, Obasama!
context: Even for me, it will be my first time seeing Chiaki-kun conduct.\That's why it will exciting for you\Oboe Concerto and Brahms No 1?\This Oboe player Kuroki-kun...\didn't he lose very badly at that competition?\Those guys, are they really better than us?\It will be a good sight to watch! Heeheehee...\Ah, Obasama! response:	Saiko-san
context: That's why it will exciting for you\Oboe Concerto and Brahms No 1?\This Oboe player Kuroki-kun...\didn't he lose very badly at that competition?\Those guys, are they really better than us?\It will be a good sight to watch! Heeheehee...\Ah, Obasama!\Saiko-san response:	Thank you very much for inviting me in this occasion
context: Oboe Concerto and Brahms No 1?\This Oboe player Kuroki-kun...\didn't he lose very badly at that competition?\Those guys, are they really better than us?\It will be a good sight to watch! Heeheehee...\Ah, Obasama!\Saiko-san\Thank you very much for inviting me in this occasion response:	Don't mention it. Let's go...
context: This Oboe player Kuroki-kun...\didn't he lose very badly at that competition?\Those guys, are they really better than us?\It will be a good sight to watch! Heeheehee...\Ah, Obasama!\Saiko-san\Thank you very much for inviting me in this occasion\Don't mention it. Let's go... response:	He came!
context: didn't he lose very badly at that competition?\Those guys, are they really better than us?\It will be a good sight to watch! Heeheehee...\Ah, Obasama!\Saiko-san\Thank you very much for inviting me in this occasion\Don't mention it. Let's go...\He came! response:	My Master came too
context: Those guys, are they really better than us?\It will be a good sight to watch! Heeheehee...\Ah, Obasama!\Saiko-san\Thank you very much for inviting me in this occasion\Don't mention it. Let's go...\He came!\My Master came too response:	What should I do...if I fail again this time...I...
context: It will be a good sight to watch! Heeheehee...\Ah, Obasama!\Saiko-san\Thank you very much for inviting me in this occasion\Don't mention it. Let's go...\He came!\My Master came too\What should I do...if I fail again this time...I... response:	You'll be fine
context: Ah, Obasama!\Saiko-san\Thank you very much for inviting me in this occasion\Don't mention it. Let's go...\He came!\My Master came too\What should I do...if I fail again this time...I...\You'll be fine response:	because you're the woman I fell in love with...
context: Saiko-san\Thank you very much for inviting me in this occasion\Don't mention it. Let's go...\He came!\My Master came too\What should I do...if I fail again this time...I...\You'll be fine\because you're the woman I fell in love with... response:	Ryuu...
context: Thank you very much for inviting me in this occasion\Don't mention it. Let's go...\He came!\My Master came too\What should I do...if I fail again this time...I...\You'll be fine\because you're the woman I fell in love with...\Ryuu... response:	First it's the Oboe Concerto...
context: Don't mention it. Let's go...\He came!\My Master came too\What should I do...if I fail again this time...I...\You'll be fine\because you're the woman I fell in love with...\Ryuu...\First it's the Oboe Concerto... response:	Do your best! Kurokin!
context: He came!\My Master came too\What should I do...if I fail again this time...I...\You'll be fine\because you're the woman I fell in love with...\Ryuu...\First it's the Oboe Concerto...\Do your best! Kurokin! response:	Kurokin???
context: My Master came too\What should I do...if I fail again this time...I...\You'll be fine\because you're the woman I fell in love with...\Ryuu...\First it's the Oboe Concerto...\Do your best! Kurokin!\Kurokin??? response:	Please warm up the audience for our sake
context: What should I do...if I fail again this time...I...\You'll be fine\because you're the woman I fell in love with...\Ryuu...\First it's the Oboe Concerto...\Do your best! Kurokin!\Kurokin???\Please warm up the audience for our sake response:	Kuroki Yasunori! Fight!!
context: You'll be fine\because you're the woman I fell in love with...\Ryuu...\First it's the Oboe Concerto...\Do your best! Kurokin!\Kurokin???\Please warm up the audience for our sake\Kuroki Yasunori! Fight!! response:	Do your best! Do your best, Kurokin!!
context: because you're the woman I fell in love with...\Ryuu...\First it's the Oboe Concerto...\Do your best! Kurokin!\Kurokin???\Please warm up the audience for our sake\Kuroki Yasunori! Fight!!\Do your best! Do your best, Kurokin!! response:	Chiaki-kun, thank you. Eh?
context: Ryuu...\First it's the Oboe Concerto...\Do your best! Kurokin!\Kurokin???\Please warm up the audience for our sake\Kuroki Yasunori! Fight!!\Do your best! Do your best, Kurokin!!\Chiaki-kun, thank you. Eh? response:	Even after I failed tragically in the competition,
context: First it's the Oboe Concerto...\Do your best! Kurokin!\Kurokin???\Please warm up the audience for our sake\Kuroki Yasunori! Fight!!\Do your best! Do your best, Kurokin!!\Chiaki-kun, thank you. Eh?\Even after I failed tragically in the competition, response:	the trust you and everybody in the Oke have put in me did not change even a little.
context: Do your best! Kurokin!\Kurokin???\Please warm up the audience for our sake\Kuroki Yasunori! Fight!!\Do your best! Do your best, Kurokin!!\Chiaki-kun, thank you. Eh?\Even after I failed tragically in the competition,\the trust you and everybody in the Oke have put in me did not change even a little. response:	I will show that I'm worthy of your trust
context: Kurokin???\Please warm up the audience for our sake\Kuroki Yasunori! Fight!!\Do your best! Do your best, Kurokin!!\Chiaki-kun, thank you. Eh?\Even after I failed tragically in the competition,\the trust you and everybody in the Oke have put in me did not change even a little.\I will show that I'm worthy of your trust response:	BRAVO!!!
context: Please warm up the audience for our sake\Kuroki Yasunori! Fight!!\Do your best! Do your best, Kurokin!!\Chiaki-kun, thank you. Eh?\Even after I failed tragically in the competition,\the trust you and everybody in the Oke have put in me did not change even a little.\I will show that I'm worthy of your trust\BRAVO!!! response:	OK
context: Kuroki Yasunori! Fight!!\Do your best! Do your best, Kurokin!!\Chiaki-kun, thank you. Eh?\Even after I failed tragically in the competition,\the trust you and everybody in the Oke have put in me did not change even a little.\I will show that I'm worthy of your trust\BRAVO!!!\OK response:	Time to enjoy music!
context: Do your best! Do your best, Kurokin!!\Chiaki-kun, thank you. Eh?\Even after I failed tragically in the competition,\the trust you and everybody in the Oke have put in me did not change even a little.\I will show that I'm worthy of your trust\BRAVO!!!\OK\Time to enjoy music! response:	Amazing! This Oke is really amazing!!
context: Chiaki-kun, thank you. Eh?\Even after I failed tragically in the competition,\the trust you and everybody in the Oke have put in me did not change even a little.\I will show that I'm worthy of your trust\BRAVO!!!\OK\Time to enjoy music!\Amazing! This Oke is really amazing!! response:	He's so cool! What's that Oboe??!!
context: Even after I failed tragically in the competition,\the trust you and everybody in the Oke have put in me did not change even a little.\I will show that I'm worthy of your trust\BRAVO!!!\OK\Time to enjoy music!\Amazing! This Oke is really amazing!!\He's so cool! What's that Oboe??!! response:	Hashimoto-kun!
context: the trust you and everybody in the Oke have put in me did not change even a little.\I will show that I'm worthy of your trust\BRAVO!!!\OK\Time to enjoy music!\Amazing! This Oke is really amazing!!\He's so cool! What's that Oboe??!!\Hashimoto-kun! response:	Moe-san! Kaoru-san!
context: I will show that I'm worthy of your trust\BRAVO!!!\OK\Time to enjoy music!\Amazing! This Oke is really amazing!!\He's so cool! What's that Oboe??!!\Hashimoto-kun!\Moe-san! Kaoru-san! response:	As expected, everybody came!
context: BRAVO!!!\OK\Time to enjoy music!\Amazing! This Oke is really amazing!!\He's so cool! What's that Oboe??!!\Hashimoto-kun!\Moe-san! Kaoru-san!\As expected, everybody came! response:	Their level is really high, isn't it?
context: OK\Time to enjoy music!\Amazing! This Oke is really amazing!!\He's so cool! What's that Oboe??!!\Hashimoto-kun!\Moe-san! Kaoru-san!\As expected, everybody came!\Their level is really high, isn't it? response:	I want to get in that Oke! Me too!
context: Time to enjoy music!\Amazing! This Oke is really amazing!!\He's so cool! What's that Oboe??!!\Hashimoto-kun!\Moe-san! Kaoru-san!\As expected, everybody came!\Their level is really high, isn't it?\I want to get in that Oke! Me too! response:	Our A-Oke's Concert Master is cool too, isn't she?
context: Amazing! This Oke is really amazing!!\He's so cool! What's that Oboe??!!\Hashimoto-kun!\Moe-san! Kaoru-san!\As expected, everybody came!\Their level is really high, isn't it?\I want to get in that Oke! Me too!\Our A-Oke's Concert Master is cool too, isn't she? response:	Yes, Miki Kiyora!!
context: He's so cool! What's that Oboe??!!\Hashimoto-kun!\Moe-san! Kaoru-san!\As expected, everybody came!\Their level is really high, isn't it?\I want to get in that Oke! Me too!\Our A-Oke's Concert Master is cool too, isn't she?\Yes, Miki Kiyora!! response:	But whatever you said, it is...
context: Hashimoto-kun!\Moe-san! Kaoru-san!\As expected, everybody came!\Their level is really high, isn't it?\I want to get in that Oke! Me too!\Our A-Oke's Concert Master is cool too, isn't she?\Yes, Miki Kiyora!!\But whatever you said, it is... response:	Chiaki-Sama!!
context: Moe-san! Kaoru-san!\As expected, everybody came!\Their level is really high, isn't it?\I want to get in that Oke! Me too!\Our A-Oke's Concert Master is cool too, isn't she?\Yes, Miki Kiyora!!\But whatever you said, it is...\Chiaki-Sama!! response:	Huh! Still too early! Wait until you listen to their Brahms!!
context: As expected, everybody came!\Their level is really high, isn't it?\I want to get in that Oke! Me too!\Our A-Oke's Concert Master is cool too, isn't she?\Yes, Miki Kiyora!!\But whatever you said, it is...\Chiaki-Sama!!\Huh! Still too early! Wait until you listen to their Brahms!! response:	In addition, people from professional orchestras, famous conductors and critics also came.
context: Their level is really high, isn't it?\I want to get in that Oke! Me too!\Our A-Oke's Concert Master is cool too, isn't she?\Yes, Miki Kiyora!!\But whatever you said, it is...\Chiaki-Sama!!\Huh! Still too early! Wait until you listen to their Brahms!!\In addition, people from professional orchestras, famous conductors and critics also came. response:	To do music, not only talent is needed, but good luck is also definitely necessary!
context: I want to get in that Oke! Me too!\Our A-Oke's Concert Master is cool too, isn't she?\Yes, Miki Kiyora!!\But whatever you said, it is...\Chiaki-Sama!!\Huh! Still too early! Wait until you listen to their Brahms!!\In addition, people from professional orchestras, famous conductors and critics also came.\To do music, not only talent is needed, but good luck is also definitely necessary! response:	Right now...
context: Our A-Oke's Concert Master is cool too, isn't she?\Yes, Miki Kiyora!!\But whatever you said, it is...\Chiaki-Sama!!\Huh! Still too early! Wait until you listen to their Brahms!!\In addition, people from professional orchestras, famous conductors and critics also came.\To do music, not only talent is needed, but good luck is also definitely necessary!\Right now... response:	the highest peak of noble Art which was sleeping in the golden island
context: Yes, Miki Kiyora!!\But whatever you said, it is...\Chiaki-Sama!!\Huh! Still too early! Wait until you listen to their Brahms!!\In addition, people from professional orchestras, famous conductors and critics also came.\To do music, not only talent is needed, but good luck is also definitely necessary!\Right now...\the highest peak of noble Art which was sleeping in the golden island response:	is smiling at you!
context: But whatever you said, it is...\Chiaki-Sama!!\Huh! Still too early! Wait until you listen to their Brahms!!\In addition, people from professional orchestras, famous conductors and critics also came.\To do music, not only talent is needed, but good luck is also definitely necessary!\Right now...\the highest peak of noble Art which was sleeping in the golden island\is smiling at you! response:	Now, can you catch it?
context: Chiaki-Sama!!\Huh! Still too early! Wait until you listen to their Brahms!!\In addition, people from professional orchestras, famous conductors and critics also came.\To do music, not only talent is needed, but good luck is also definitely necessary!\Right now...\the highest peak of noble Art which was sleeping in the golden island\is smiling at you!\Now, can you catch it? response:	Chiaki Shinichi!!
context: Huh! Still too early! Wait until you listen to their Brahms!!\In addition, people from professional orchestras, famous conductors and critics also came.\To do music, not only talent is needed, but good luck is also definitely necessary!\Right now...\the highest peak of noble Art which was sleeping in the golden island\is smiling at you!\Now, can you catch it?\Chiaki Shinichi!! response:	Sakuma-san!
context: In addition, people from professional orchestras, famous conductors and critics also came.\To do music, not only talent is needed, but good luck is also definitely necessary!\Right now...\the highest peak of noble Art which was sleeping in the golden island\is smiling at you!\Now, can you catch it?\Chiaki Shinichi!!\Sakuma-san! response:	It's time to return to our seats!
context: To do music, not only talent is needed, but good luck is also definitely necessary!\Right now...\the highest peak of noble Art which was sleeping in the golden island\is smiling at you!\Now, can you catch it?\Chiaki Shinichi!!\Sakuma-san!\It's time to return to our seats! response:	Stop that mouth!
context: Right now...\the highest peak of noble Art which was sleeping in the golden island\is smiling at you!\Now, can you catch it?\Chiaki Shinichi!!\Sakuma-san!\It's time to return to our seats!\Stop that mouth! response:	Undoubtedly...
context: the highest peak of noble Art which was sleeping in the golden island\is smiling at you!\Now, can you catch it?\Chiaki Shinichi!!\Sakuma-san!\It's time to return to our seats!\Stop that mouth!\Undoubtedly... response:	you're overflowing with talent
context: is smiling at you!\Now, can you catch it?\Chiaki Shinichi!!\Sakuma-san!\It's time to return to our seats!\Stop that mouth!\Undoubtedly...\you're overflowing with talent response:	yet despite having such passion for music..
context: Now, can you catch it?\Chiaki Shinichi!!\Sakuma-san!\It's time to return to our seats!\Stop that mouth!\Undoubtedly...\you're overflowing with talent\yet despite having such passion for music.. response:	why are you always carrying despair on your shoulders?
context: Chiaki Shinichi!!\Sakuma-san!\It's time to return to our seats!\Stop that mouth!\Undoubtedly...\you're overflowing with talent\yet despite having such passion for music..\why are you always carrying despair on your shoulders? response:	OK
context: Sakuma-san!\It's time to return to our seats!\Stop that mouth!\Undoubtedly...\you're overflowing with talent\yet despite having such passion for music..\why are you always carrying despair on your shoulders?\OK response:	Let's sing!
context: It's time to return to our seats!\Stop that mouth!\Undoubtedly...\you're overflowing with talent\yet despite having such passion for music..\why are you always carrying despair on your shoulders?\OK\Let's sing! response:	From despair...
context: Stop that mouth!\Undoubtedly...\you're overflowing with talent\yet despite having such passion for music..\why are you always carrying despair on your shoulders?\OK\Let's sing!\From despair... response:	to HOPE!!
context: Undoubtedly...\you're overflowing with talent\yet despite having such passion for music..\why are you always carrying despair on your shoulders?\OK\Let's sing!\From despair...\to HOPE!! response:	SING!!
context: you're overflowing with talent\yet despite having such passion for music..\why are you always carrying despair on your shoulders?\OK\Let's sing!\From despair...\to HOPE!!\SING!! response:	Sing a song of GREAT JOY!!
context: yet despite having such passion for music..\why are you always carrying despair on your shoulders?\OK\Let's sing!\From despair...\to HOPE!!\SING!!\Sing a song of GREAT JOY!! response:	BRR...
context: why are you always carrying despair on your shoulders?\OK\Let's sing!\From despair...\to HOPE!!\SING!!\Sing a song of GREAT JOY!!\BRR... response:	BRAVO!!!
context: OK\Let's sing!\From despair...\to HOPE!!\SING!!\Sing a song of GREAT JOY!!\BRR...\BRAVO!!! response:	Saiko!
context: Let's sing!\From despair...\to HOPE!!\SING!!\Sing a song of GREAT JOY!!\BRR...\BRAVO!!!\Saiko! response:	Please excuse me.
context: From despair...\to HOPE!!\SING!!\Sing a song of GREAT JOY!!\BRR...\BRAVO!!!\Saiko!\Please excuse me. response:	Are you Chiaki-Senpai's mother?
context: to HOPE!!\SING!!\Sing a song of GREAT JOY!!\BRR...\BRAVO!!!\Saiko!\Please excuse me.\Are you Chiaki-Senpai's mother? response:	As always, this country is dusty
context: SING!!\Sing a song of GREAT JOY!!\BRR...\BRAVO!!!\Saiko!\Please excuse me.\Are you Chiaki-Senpai's mother?\As always, this country is dusty response:	Moreover, the air is not clean, and the sky is narrow.
context: Sing a song of GREAT JOY!!\BRR...\BRAVO!!!\Saiko!\Please excuse me.\Are you Chiaki-Senpai's mother?\As always, this country is dusty\Moreover, the air is not clean, and the sky is narrow. response:	But..
context: BRR...\BRAVO!!!\Saiko!\Please excuse me.\Are you Chiaki-Senpai's mother?\As always, this country is dusty\Moreover, the air is not clean, and the sky is narrow.\But.. response:	it's not as uncomfortable as before...
context: BRAVO!!!\Saiko!\Please excuse me.\Are you Chiaki-Senpai's mother?\As always, this country is dusty\Moreover, the air is not clean, and the sky is narrow.\But..\it's not as uncomfortable as before... response:	Senpai!
context: Saiko!\Please excuse me.\Are you Chiaki-Senpai's mother?\As always, this country is dusty\Moreover, the air is not clean, and the sky is narrow.\But..\it's not as uncomfortable as before...\Senpai! response:	What is it!
context: Please excuse me.\Are you Chiaki-Senpai's mother?\As always, this country is dusty\Moreover, the air is not clean, and the sky is narrow.\But..\it's not as uncomfortable as before...\Senpai!\What is it! response:	If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies)
context: Are you Chiaki-Senpai's mother?\As always, this country is dusty\Moreover, the air is not clean, and the sky is narrow.\But..\it's not as uncomfortable as before...\Senpai!\What is it!\If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies) response:	I know it, but it's not that. Today I have a present for you
context: As always, this country is dusty\Moreover, the air is not clean, and the sky is narrow.\But..\it's not as uncomfortable as before...\Senpai!\What is it!\If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies)\I know it, but it's not that. Today I have a present for you response:	Ha?
context: Moreover, the air is not clean, and the sky is narrow.\But..\it's not as uncomfortable as before...\Senpai!\What is it!\If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies)\I know it, but it's not that. Today I have a present for you\Ha? response:	It's as a reward for your sucessful performance
context: But..\it's not as uncomfortable as before...\Senpai!\What is it!\If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies)\I know it, but it's not that. Today I have a present for you\Ha?\It's as a reward for your sucessful performance response:	Why do I have to receive any reward from you!
context: it's not as uncomfortable as before...\Senpai!\What is it!\If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies)\I know it, but it's not that. Today I have a present for you\Ha?\It's as a reward for your sucessful performance\Why do I have to receive any reward from you! response:	Well, well... Don'y say that...look at this.
context: Senpai!\What is it!\If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies)\I know it, but it's not that. Today I have a present for you\Ha?\It's as a reward for your sucessful performance\Why do I have to receive any reward from you!\Well, well... Don'y say that...look at this. response:	Ah, are you going to give it to me?
context: What is it!\If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies)\I know it, but it's not that. Today I have a present for you\Ha?\It's as a reward for your sucessful performance\Why do I have to receive any reward from you!\Well, well... Don'y say that...look at this.\Ah, are you going to give it to me? response:	Actually I also want it...
context: If you want food, there's pot-au-feu in the fridge! (=beef in broth with veggies)\I know it, but it's not that. Today I have a present for you\Ha?\It's as a reward for your sucessful performance\Why do I have to receive any reward from you!\Well, well... Don'y say that...look at this.\Ah, are you going to give it to me?\Actually I also want it... response:	Before that, please look carefully!
context: I know it, but it's not that. Today I have a present for you\Ha?\It's as a reward for your sucessful performance\Why do I have to receive any reward from you!\Well, well... Don'y say that...look at this.\Ah, are you going to give it to me?\Actually I also want it...\Before that, please look carefully! response:	Look carefully...
context: Ha?\It's as a reward for your sucessful performance\Why do I have to receive any reward from you!\Well, well... Don'y say that...look at this.\Ah, are you going to give it to me?\Actually I also want it...\Before that, please look carefully!\Look carefully... response:	Your...
context: It's as a reward for your sucessful performance\Why do I have to receive any reward from you!\Well, well... Don'y say that...look at this.\Ah, are you going to give it to me?\Actually I also want it...\Before that, please look carefully!\Look carefully...\Your... response:	eyelids are so very heavy
context: Why do I have to receive any reward from you!\Well, well... Don'y say that...look at this.\Ah, are you going to give it to me?\Actually I also want it...\Before that, please look carefully!\Look carefully...\Your...\eyelids are so very heavy response:	you can't bear not closing your eyes anymore
context: Well, well... Don'y say that...look at this.\Ah, are you going to give it to me?\Actually I also want it...\Before that, please look carefully!\Look carefully...\Your...\eyelids are so very heavy\you can't bear not closing your eyes anymore response:	I almost can't bear it anymore..
context: Ah, are you going to give it to me?\Actually I also want it...\Before that, please look carefully!\Look carefully...\Your...\eyelids are so very heavy\you can't bear not closing your eyes anymore\I almost can't bear it anymore.. response:	What was next?
context: Actually I also want it...\Before that, please look carefully!\Look carefully...\Your...\eyelids are so very heavy\you can't bear not closing your eyes anymore\I almost can't bear it anymore..\What was next? response:	You are now in a plane, from Prague heading to Japan
context: Before that, please look carefully!\Look carefully...\Your...\eyelids are so very heavy\you can't bear not closing your eyes anymore\I almost can't bear it anymore..\What was next?\You are now in a plane, from Prague heading to Japan response:	You are 11 year old
context: Look carefully...\Your...\eyelids are so very heavy\you can't bear not closing your eyes anymore\I almost can't bear it anymore..\What was next?\You are now in a plane, from Prague heading to Japan\You are 11 year old response:	Shinichi said that he did not remember it all
context: Your...\eyelids are so very heavy\you can't bear not closing your eyes anymore\I almost can't bear it anymore..\What was next?\You are now in a plane, from Prague heading to Japan\You are 11 year old\Shinichi said that he did not remember it all response:	but actually, at the time of that plane accident, there was someone who died
context: eyelids are so very heavy\you can't bear not closing your eyes anymore\I almost can't bear it anymore..\What was next?\You are now in a plane, from Prague heading to Japan\You are 11 year old\Shinichi said that he did not remember it all\but actually, at the time of that plane accident, there was someone who died response:	Who is the person
context: you can't bear not closing your eyes anymore\I almost can't bear it anymore..\What was next?\You are now in a plane, from Prague heading to Japan\You are 11 year old\Shinichi said that he did not remember it all\but actually, at the time of that plane accident, there was someone who died\Who is the person response:	sitting on your right?
context: I almost can't bear it anymore..\What was next?\You are now in a plane, from Prague heading to Japan\You are 11 year old\Shinichi said that he did not remember it all\but actually, at the time of that plane accident, there was someone who died\Who is the person\sitting on your right? response:	A music-loving...
context: What was next?\You are now in a plane, from Prague heading to Japan\You are 11 year old\Shinichi said that he did not remember it all\but actually, at the time of that plane accident, there was someone who died\Who is the person\sitting on your right?\A music-loving... response:	He was holding Viera Sensei's
context: You are now in a plane, from Prague heading to Japan\You are 11 year old\Shinichi said that he did not remember it all\but actually, at the time of that plane accident, there was someone who died\Who is the person\sitting on your right?\A music-loving...\He was holding Viera Sensei's response:	concert pamphlet in his hands.
context: You are 11 year old\Shinichi said that he did not remember it all\but actually, at the time of that plane accident, there was someone who died\Who is the person\sitting on your right?\A music-loving...\He was holding Viera Sensei's\concert pamphlet in his hands. response:	Let's go again next year.
context: Shinichi said that he did not remember it all\but actually, at the time of that plane accident, there was someone who died\Who is the person\sitting on your right?\A music-loving...\He was holding Viera Sensei's\concert pamphlet in his hands.\Let's go again next year. response:	over and over again..
context: but actually, at the time of that plane accident, there was someone who died\Who is the person\sitting on your right?\A music-loving...\He was holding Viera Sensei's\concert pamphlet in his hands.\Let's go again next year.\over and over again.. response:	But...
context: Who is the person\sitting on your right?\A music-loving...\He was holding Viera Sensei's\concert pamphlet in his hands.\Let's go again next year.\over and over again..\But... response:	What's wrong with you? What's wrong with you?
context: sitting on your right?\A music-loving...\He was holding Viera Sensei's\concert pamphlet in his hands.\Let's go again next year.\over and over again..\But...\What's wrong with you? What's wrong with you? response:	Medicines, medicines...where is it? Medicines!
context: A music-loving...\He was holding Viera Sensei's\concert pamphlet in his hands.\Let's go again next year.\over and over again..\But...\What's wrong with you? What's wrong with you?\Medicines, medicines...where is it? Medicines! response:	I couldn't take it!
context: He was holding Viera Sensei's\concert pamphlet in his hands.\Let's go again next year.\over and over again..\But...\What's wrong with you? What's wrong with you?\Medicines, medicines...where is it? Medicines!\I couldn't take it! response:	Although I was the only one who knew it!
context: concert pamphlet in his hands.\Let's go again next year.\over and over again..\But...\What's wrong with you? What's wrong with you?\Medicines, medicines...where is it? Medicines!\I couldn't take it!\Although I was the only one who knew it! response:	Next year, let's go to Prague again.
context: Let's go again next year.\over and over again..\But...\What's wrong with you? What's wrong with you?\Medicines, medicines...where is it? Medicines!\I couldn't take it!\Although I was the only one who knew it!\Next year, let's go to Prague again. response:	The two of us, together...
context: over and over again..\But...\What's wrong with you? What's wrong with you?\Medicines, medicines...where is it? Medicines!\I couldn't take it!\Although I was the only one who knew it!\Next year, let's go to Prague again.\The two of us, together... response:	It's not Senpai's fault.
context: But...\What's wrong with you? What's wrong with you?\Medicines, medicines...where is it? Medicines!\I couldn't take it!\Although I was the only one who knew it!\Next year, let's go to Prague again.\The two of us, together...\It's not Senpai's fault. response:	Senpai was just a kid...
context: What's wrong with you? What's wrong with you?\Medicines, medicines...where is it? Medicines!\I couldn't take it!\Although I was the only one who knew it!\Next year, let's go to Prague again.\The two of us, together...\It's not Senpai's fault.\Senpai was just a kid... response:	Even so, it was certainly something that no one could do anything about.
context: Medicines, medicines...where is it? Medicines!\I couldn't take it!\Although I was the only one who knew it!\Next year, let's go to Prague again.\The two of us, together...\It's not Senpai's fault.\Senpai was just a kid...\Even so, it was certainly something that no one could do anything about. response:	It's enough
context: I couldn't take it!\Although I was the only one who knew it!\Next year, let's go to Prague again.\The two of us, together...\It's not Senpai's fault.\Senpai was just a kid...\Even so, it was certainly something that no one could do anything about.\It's enough response:	Because God is calling me,
context: Although I was the only one who knew it!\Next year, let's go to Prague again.\The two of us, together...\It's not Senpai's fault.\Senpai was just a kid...\Even so, it was certainly something that no one could do anything about.\It's enough\Because God is calling me, response:	I have to go now.
