context: Why did Kyousuke say that? response:	I won't lead the Little Busters from now on.
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	One, two, Little Busters!
context: Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\One, two, Little Busters! response:	norikoetekureru yo
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\One, two, Little Busters!\norikoetekureru yo response:	You'll overcome it for me
context: Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\One, two, Little Busters!\norikoetekureru yo\You'll overcome it for me response:	norikoetekureru yo
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\One, two, Little Busters!\norikoetekureru yo\You'll overcome it for me\norikoetekureru yo response:	You'll overcome it for me
context: Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\One, two, Little Busters!\norikoetekureru yo\You'll overcome it for me\norikoetekureru yo\You'll overcome it for me response:	shinjisasetekureru yo
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\One, two, Little Busters!\norikoetekureru yo\You'll overcome it for me\norikoetekureru yo\You'll overcome it for me\shinjisasetekureru yo response:	Make it so I can believe you will
context: Even in the face of the oncoming grief\One, two, Little Busters!\norikoetekureru yo\You'll overcome it for me\norikoetekureru yo\You'll overcome it for me\shinjisasetekureru yo\Make it so I can believe you will response:	shinjisasetekureru yo
context: One, two, Little Busters!\norikoetekureru yo\You'll overcome it for me\norikoetekureru yo\You'll overcome it for me\shinjisasetekureru yo\Make it so I can believe you will\shinjisasetekureru yo response:	Make it so I can believe you will
context: norikoetekureru yo\You'll overcome it for me\norikoetekureru yo\You'll overcome it for me\shinjisasetekureru yo\Make it so I can believe you will\shinjisasetekureru yo\Make it so I can believe you will response:	I wanted...
context: You'll overcome it for me\norikoetekureru yo\You'll overcome it for me\shinjisasetekureru yo\Make it so I can believe you will\shinjisasetekureru yo\Make it so I can believe you will\I wanted... response:	Rin, stand closer to Riki.
context: norikoetekureru yo\You'll overcome it for me\shinjisasetekureru yo\Make it so I can believe you will\shinjisasetekureru yo\Make it so I can believe you will\I wanted...\Rin, stand closer to Riki. response:	Here goes!
context: You'll overcome it for me\shinjisasetekureru yo\Make it so I can believe you will\shinjisasetekureru yo\Make it so I can believe you will\I wanted...\Rin, stand closer to Riki.\Here goes! response:	Forever...
context: shinjisasetekureru yo\Make it so I can believe you will\shinjisasetekureru yo\Make it so I can believe you will\I wanted...\Rin, stand closer to Riki.\Here goes!\Forever... response:	Forever and ever, just like this.
context: Make it so I can believe you will\shinjisasetekureru yo\Make it so I can believe you will\I wanted...\Rin, stand closer to Riki.\Here goes!\Forever...\Forever and ever, just like this. response:	The secret of the world.
context: shinjisasetekureru yo\Make it so I can believe you will\I wanted...\Rin, stand closer to Riki.\Here goes!\Forever...\Forever and ever, just like this.\The secret of the world. response:	What is the Little Busters?
context: Make it so I can believe you will\I wanted...\Rin, stand closer to Riki.\Here goes!\Forever...\Forever and ever, just like this.\The secret of the world.\What is the Little Busters? response:	What do you think it is, Riki?
context: I wanted...\Rin, stand closer to Riki.\Here goes!\Forever...\Forever and ever, just like this.\The secret of the world.\What is the Little Busters?\What do you think it is, Riki? response:	A symbol of friendship.
context: Rin, stand closer to Riki.\Here goes!\Forever...\Forever and ever, just like this.\The secret of the world.\What is the Little Busters?\What do you think it is, Riki?\A symbol of friendship. response:	It's a called game.
context: Here goes!\Forever...\Forever and ever, just like this.\The secret of the world.\What is the Little Busters?\What do you think it is, Riki?\A symbol of friendship.\It's a called game. response:	Dreams disappear once you wake up.
context: Forever...\Forever and ever, just like this.\The secret of the world.\What is the Little Busters?\What do you think it is, Riki?\A symbol of friendship.\It's a called game.\Dreams disappear once you wake up. response:	Just one wish.
context: Forever and ever, just like this.\The secret of the world.\What is the Little Busters?\What do you think it is, Riki?\A symbol of friendship.\It's a called game.\Dreams disappear once you wake up.\Just one wish. response:	The time that had stopped begins to move once more.
context: The secret of the world.\What is the Little Busters?\What do you think it is, Riki?\A symbol of friendship.\It's a called game.\Dreams disappear once you wake up.\Just one wish.\The time that had stopped begins to move once more. response:	That is where it all starts.
