context: I finally made it to the magic academy, Luna Nova! response:	You only told us about a hundred times last night.
context: Aude Fraetor!\Shiny Arc!\Oh, that's right!\The Shiny Rod!\It wasn't just a dream!\I finally made it to the witch academy, Luna Nova!\Oh yeah!\Yay! response:	Morning, Lotte!
context: Shiny Arc!\Oh, that's right!\The Shiny Rod!\It wasn't just a dream!\I finally made it to the witch academy, Luna Nova!\Oh yeah!\Yay!\Morning, Lotte! response:	Check it out!
context: Oh, that's right!\The Shiny Rod!\It wasn't just a dream!\I finally made it to the witch academy, Luna Nova!\Oh yeah!\Yay!\Morning, Lotte!\Check it out! response:	The Shiny Rod, right?
context: The Shiny Rod!\It wasn't just a dream!\I finally made it to the witch academy, Luna Nova!\Oh yeah!\Yay!\Morning, Lotte!\Check it out!\The Shiny Rod, right? response:	You got it!
context: It wasn't just a dream!\I finally made it to the witch academy, Luna Nova!\Oh yeah!\Yay!\Morning, Lotte!\Check it out!\The Shiny Rod, right?\You got it! response:	You only told us about it a hundred times last night.
context: I finally made it to the witch academy, Luna Nova!\Oh yeah!\Yay!\Morning, Lotte!\Check it out!\The Shiny Rod, right?\You got it!\You only told us about it a hundred times last night. response:	It's Shiny Chariot's magic staff!
context: Oh yeah!\Yay!\Morning, Lotte!\Check it out!\The Shiny Rod, right?\You got it!\You only told us about it a hundred times last night.\It's Shiny Chariot's magic staff! response:	I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot.
context: Yay!\Morning, Lotte!\Check it out!\The Shiny Rod, right?\You got it!\You only told us about it a hundred times last night.\It's Shiny Chariot's magic staff!\I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot. response:	As long as I've got this staff, I bet I can cast any magic I want.
context: Morning, Lotte!\Check it out!\The Shiny Rod, right?\You got it!\You only told us about it a hundred times last night.\It's Shiny Chariot's magic staff!\I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot.\As long as I've got this staff, I bet I can cast any magic I want. response:	O bed, take flight!
context: Check it out!\The Shiny Rod, right?\You got it!\You only told us about it a hundred times last night.\It's Shiny Chariot's magic staff!\I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot.\As long as I've got this staff, I bet I can cast any magic I want.\O bed, take flight! response:	Move, Alcor!
context: The Shiny Rod, right?\You got it!\You only told us about it a hundred times last night.\It's Shiny Chariot's magic staff!\I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot.\As long as I've got this staff, I bet I can cast any magic I want.\O bed, take flight!\Move, Alcor! response:	Move, move!
context: You got it!\You only told us about it a hundred times last night.\It's Shiny Chariot's magic staff!\I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot.\As long as I've got this staff, I bet I can cast any magic I want.\O bed, take flight!\Move, Alcor!\Move, move! response:	I said move! Start moving!
context: You only told us about it a hundred times last night.\It's Shiny Chariot's magic staff!\I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot.\As long as I've got this staff, I bet I can cast any magic I want.\O bed, take flight!\Move, Alcor!\Move, move!\I said move! Start moving! response:	Why you... move, move!
context: It's Shiny Chariot's magic staff!\I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot.\As long as I've got this staff, I bet I can cast any magic I want.\O bed, take flight!\Move, Alcor!\Move, move!\I said move! Start moving!\Why you... move, move! response:	What are you doing, Sucy?
context: I have no idea why it was in that forest, but I'll keep it safe until the day I can give it back to Chariot.\As long as I've got this staff, I bet I can cast any magic I want.\O bed, take flight!\Move, Alcor!\Move, move!\I said move! Start moving!\Why you... move, move!\What are you doing, Sucy? response:	Move, move, move, move, move, move, move, move!
context: As long as I've got this staff, I bet I can cast any magic I want.\O bed, take flight!\Move, Alcor!\Move, move!\I said move! Start moving!\Why you... move, move!\What are you doing, Sucy?\Move, move, move, move, move, move, move, move! response:	I'm extracting the petrification poison from this cockatrice feather.
