context: Dijun, are you unsure? response:	In the past few days, Dijun saved Qing Qiu's Little Princess twice
context: Where did you go?\I went to Kunlun Mountain.\The Jade Purity Fan of Kunlun disappeared all of a sudden.\I thought maybe its owner, Si Yin, returned.\Mo Yuan is Heavenly Father's son.\The fact that his body's whereabouts are unknown\is also something that's bothered me for years.\If we can find Si Yin, we might really be able to find Mo Yuan. response:	It's a pity.
context: I went to Kunlun Mountain.\The Jade Purity Fan of Kunlun disappeared all of a sudden.\I thought maybe its owner, Si Yin, returned.\Mo Yuan is Heavenly Father's son.\The fact that his body's whereabouts are unknown\is also something that's bothered me for years.\If we can find Si Yin, we might really be able to find Mo Yuan.\It's a pity. response:	He wasn't at Kunlun Mountain.
context: The Jade Purity Fan of Kunlun disappeared all of a sudden.\I thought maybe its owner, Si Yin, returned.\Mo Yuan is Heavenly Father's son.\The fact that his body's whereabouts are unknown\is also something that's bothered me for years.\If we can find Si Yin, we might really be able to find Mo Yuan.\It's a pity.\He wasn't at Kunlun Mountain. response:	But it's been 70,000 years.
context: I thought maybe its owner, Si Yin, returned.\Mo Yuan is Heavenly Father's son.\The fact that his body's whereabouts are unknown\is also something that's bothered me for years.\If we can find Si Yin, we might really be able to find Mo Yuan.\It's a pity.\He wasn't at Kunlun Mountain.\But it's been 70,000 years. response:	We can't rush this.
context: Mo Yuan is Heavenly Father's son.\The fact that his body's whereabouts are unknown\is also something that's bothered me for years.\If we can find Si Yin, we might really be able to find Mo Yuan.\It's a pity.\He wasn't at Kunlun Mountain.\But it's been 70,000 years.\We can't rush this. response:	Today, I waited for you to come back because of Su Jin.
context: The fact that his body's whereabouts are unknown\is also something that's bothered me for years.\If we can find Si Yin, we might really be able to find Mo Yuan.\It's a pity.\He wasn't at Kunlun Mountain.\But it's been 70,000 years.\We can't rush this.\Today, I waited for you to come back because of Su Jin. response:	Back then, when she offered the Soul-gathering Lamp in front of everyone
context: is also something that's bothered me for years.\If we can find Si Yin, we might really be able to find Mo Yuan.\It's a pity.\He wasn't at Kunlun Mountain.\But it's been 70,000 years.\We can't rush this.\Today, I waited for you to come back because of Su Jin.\Back then, when she offered the Soul-gathering Lamp in front of everyone response:	I consented for her to marry into Xiwu Palace.
context: If we can find Si Yin, we might really be able to find Mo Yuan.\It's a pity.\He wasn't at Kunlun Mountain.\But it's been 70,000 years.\We can't rush this.\Today, I waited for you to come back because of Su Jin.\Back then, when she offered the Soul-gathering Lamp in front of everyone\I consented for her to marry into Xiwu Palace. response:	It was an imperial decree. She is already your side consort.
context: It's a pity.\He wasn't at Kunlun Mountain.\But it's been 70,000 years.\We can't rush this.\Today, I waited for you to come back because of Su Jin.\Back then, when she offered the Soul-gathering Lamp in front of everyone\I consented for her to marry into Xiwu Palace.\It was an imperial decree. She is already your side consort. response:	Whether you acknowledge it or not it won't change.
context: He wasn't at Kunlun Mountain.\But it's been 70,000 years.\We can't rush this.\Today, I waited for you to come back because of Su Jin.\Back then, when she offered the Soul-gathering Lamp in front of everyone\I consented for her to marry into Xiwu Palace.\It was an imperial decree. She is already your side consort.\Whether you acknowledge it or not it won't change. response:	Since I have to answer to all the realms
context: But it's been 70,000 years.\We can't rush this.\Today, I waited for you to come back because of Su Jin.\Back then, when she offered the Soul-gathering Lamp in front of everyone\I consented for her to marry into Xiwu Palace.\It was an imperial decree. She is already your side consort.\Whether you acknowledge it or not it won't change.\Since I have to answer to all the realms response:	I can only acknowledge this Imperial decree.
context: We can't rush this.\Today, I waited for you to come back because of Su Jin.\Back then, when she offered the Soul-gathering Lamp in front of everyone\I consented for her to marry into Xiwu Palace.\It was an imperial decree. She is already your side consort.\Whether you acknowledge it or not it won't change.\Since I have to answer to all the realms\I can only acknowledge this Imperial decree. response:	But Xiwu Palace has many buildings.
context: Today, I waited for you to come back because of Su Jin.\Back then, when she offered the Soul-gathering Lamp in front of everyone\I consented for her to marry into Xiwu Palace.\It was an imperial decree. She is already your side consort.\Whether you acknowledge it or not it won't change.\Since I have to answer to all the realms\I can only acknowledge this Imperial decree.\But Xiwu Palace has many buildings. response:	Besides the Hall of Beautiful Youth and Zichen Palace
context: Back then, when she offered the Soul-gathering Lamp in front of everyone\I consented for her to marry into Xiwu Palace.\It was an imperial decree. She is already your side consort.\Whether you acknowledge it or not it won't change.\Since I have to answer to all the realms\I can only acknowledge this Imperial decree.\But Xiwu Palace has many buildings.\Besides the Hall of Beautiful Youth and Zichen Palace response:	I don't care where she lives.
context: I consented for her to marry into Xiwu Palace.\It was an imperial decree. She is already your side consort.\Whether you acknowledge it or not it won't change.\Since I have to answer to all the realms\I can only acknowledge this Imperial decree.\But Xiwu Palace has many buildings.\Besides the Hall of Beautiful Youth and Zichen Palace\I don't care where she lives. response:	Your Highness, Her Highness would like to see you!
context: It was an imperial decree. She is already your side consort.\Whether you acknowledge it or not it won't change.\Since I have to answer to all the realms\I can only acknowledge this Imperial decree.\But Xiwu Palace has many buildings.\Besides the Hall of Beautiful Youth and Zichen Palace\I don't care where she lives.\Your Highness, Her Highness would like to see you! response:	Her Highness says she has a way to save Su Su!
