context: Hey, have you heard the phrase a sea of flames? response:	It's saying that the fire is like the sea, right?
context: You do know it's forbidden to pass through someone else's gate, right?\That doesn't matter now.\Where is Nanami's consciousness?\I couldn't even begin to guess.\Tomoe!\What're you just standing there for?! That was Nanami!\Huh?\Nanami's consciousness has gone back twelve years in time! response:	What?
context: That doesn't matter now.\Where is Nanami's consciousness?\I couldn't even begin to guess.\Tomoe!\What're you just standing there for?! That was Nanami!\Huh?\Nanami's consciousness has gone back twelve years in time!\What? response:	That... is Nanami?
context: Where is Nanami's consciousness?\I couldn't even begin to guess.\Tomoe!\What're you just standing there for?! That was Nanami!\Huh?\Nanami's consciousness has gone back twelve years in time!\What?\That... is Nanami? response:	Nanami.
context: I couldn't even begin to guess.\Tomoe!\What're you just standing there for?! That was Nanami!\Huh?\Nanami's consciousness has gone back twelve years in time!\What?\That... is Nanami?\Nanami. response:	On your way home from preschool?
context: Tomoe!\What're you just standing there for?! That was Nanami!\Huh?\Nanami's consciousness has gone back twelve years in time!\What?\That... is Nanami?\Nanami.\On your way home from preschool? response:	Dad.
context: What're you just standing there for?! That was Nanami!\Huh?\Nanami's consciousness has gone back twelve years in time!\What?\That... is Nanami?\Nanami.\On your way home from preschool?\Dad. response:	What's that?
context: Huh?\Nanami's consciousness has gone back twelve years in time!\What?\That... is Nanami?\Nanami.\On your way home from preschool?\Dad.\What's that? response:	I got bread crusts!
context: Nanami's consciousness has gone back twelve years in time!\What?\That... is Nanami?\Nanami.\On your way home from preschool?\Dad.\What's that?\I got bread crusts! response:	I'm giving them to Mom!
context: What?\That... is Nanami?\Nanami.\On your way home from preschool?\Dad.\What's that?\I got bread crusts!\I'm giving them to Mom! response:	I'll give you something way better.
context: That... is Nanami?\Nanami.\On your way home from preschool?\Dad.\What's that?\I got bread crusts!\I'm giving them to Mom!\I'll give you something way better. response:	Look.
context: Nanami.\On your way home from preschool?\Dad.\What's that?\I got bread crusts!\I'm giving them to Mom!\I'll give you something way better.\Look. response:	Wow! Chocolate!
context: On your way home from preschool?\Dad.\What's that?\I got bread crusts!\I'm giving them to Mom!\I'll give you something way better.\Look.\Wow! Chocolate! response:	Yay!
context: Dad.\What's that?\I got bread crusts!\I'm giving them to Mom!\I'll give you something way better.\Look.\Wow! Chocolate!\Yay! response:	A prize from the slots.
context: What's that?\I got bread crusts!\I'm giving them to Mom!\I'll give you something way better.\Look.\Wow! Chocolate!\Yay!\A prize from the slots. response:	I won today, you know.
context: I got bread crusts!\I'm giving them to Mom!\I'll give you something way better.\Look.\Wow! Chocolate!\Yay!\A prize from the slots.\I won today, you know. response:	Later.
context: I'm giving them to Mom!\I'll give you something way better.\Look.\Wow! Chocolate!\Yay!\A prize from the slots.\I won today, you know.\Later. response:	I've got my war chest now, so let Mom know that I won't be back for a while.
context: I'll give you something way better.\Look.\Wow! Chocolate!\Yay!\A prize from the slots.\I won today, you know.\Later.\I've got my war chest now, so let Mom know that I won't be back for a while. response:	Nanami.
context: Look.\Wow! Chocolate!\Yay!\A prize from the slots.\I won today, you know.\Later.\I've got my war chest now, so let Mom know that I won't be back for a while.\Nanami. response:	I found you!
context: Wow! Chocolate!\Yay!\A prize from the slots.\I won today, you know.\Later.\I've got my war chest now, so let Mom know that I won't be back for a while.\Nanami.\I found you! response:	The little version of you is cute too.
context: Yay!\A prize from the slots.\I won today, you know.\Later.\I've got my war chest now, so let Mom know that I won't be back for a while.\Nanami.\I found you!\The little version of you is cute too. response:	Let's go. Come on home with me.
context: A prize from the slots.\I won today, you know.\Later.\I've got my war chest now, so let Mom know that I won't be back for a while.\Nanami.\I found you!\The little version of you is cute too.\Let's go. Come on home with me. response:	Kidnapper!
context: I won today, you know.\Later.\I've got my war chest now, so let Mom know that I won't be back for a while.\Nanami.\I found you!\The little version of you is cute too.\Let's go. Come on home with me.\Kidnapper! response:	Wha...
context: Later.\I've got my war chest now, so let Mom know that I won't be back for a while.\Nanami.\I found you!\The little version of you is cute too.\Let's go. Come on home with me.\Kidnapper!\Wha... response:	That is definitely her.
context: I've got my war chest now, so let Mom know that I won't be back for a while.\Nanami.\I found you!\The little version of you is cute too.\Let's go. Come on home with me.\Kidnapper!\Wha...\That is definitely her. response:	I told you that she was, didn't I?! You idiot!
context: Nanami.\I found you!\The little version of you is cute too.\Let's go. Come on home with me.\Kidnapper!\Wha...\That is definitely her.\I told you that she was, didn't I?! You idiot! response:	She acts beyond her limits, and she is still just as reckless and crazy.
context: I found you!\The little version of you is cute too.\Let's go. Come on home with me.\Kidnapper!\Wha...\That is definitely her.\I told you that she was, didn't I?! You idiot!\She acts beyond her limits, and she is still just as reckless and crazy. response:	Not only that, but she has this way of scurrying about, and that is adorable in its own way.
context: The little version of you is cute too.\Let's go. Come on home with me.\Kidnapper!\Wha...\That is definitely her.\I told you that she was, didn't I?! You idiot!\She acts beyond her limits, and she is still just as reckless and crazy.\Not only that, but she has this way of scurrying about, and that is adorable in its own way. response:	Whatever the case, I must work quickly to get Nanami back home.
context: Let's go. Come on home with me.\Kidnapper!\Wha...\That is definitely her.\I told you that she was, didn't I?! You idiot!\She acts beyond her limits, and she is still just as reckless and crazy.\Not only that, but she has this way of scurrying about, and that is adorable in its own way.\Whatever the case, I must work quickly to get Nanami back home. response:	You have my deepest apologies!
context: Kidnapper!\Wha...\That is definitely her.\I told you that she was, didn't I?! You idiot!\She acts beyond her limits, and she is still just as reckless and crazy.\Not only that, but she has this way of scurrying about, and that is adorable in its own way.\Whatever the case, I must work quickly to get Nanami back home.\You have my deepest apologies! response:	Come on! Are you gonna pay up or what?!
context: Wha...\That is definitely her.\I told you that she was, didn't I?! You idiot!\She acts beyond her limits, and she is still just as reckless and crazy.\Not only that, but she has this way of scurrying about, and that is adorable in its own way.\Whatever the case, I must work quickly to get Nanami back home.\You have my deepest apologies!\Come on! Are you gonna pay up or what?! response:	I saw your husband lined up at the slots this morning.
context: That is definitely her.\I told you that she was, didn't I?! You idiot!\She acts beyond her limits, and she is still just as reckless and crazy.\Not only that, but she has this way of scurrying about, and that is adorable in its own way.\Whatever the case, I must work quickly to get Nanami back home.\You have my deepest apologies!\Come on! Are you gonna pay up or what?!\I saw your husband lined up at the slots this morning. response:	If you've got money to play slots, you can pay back your debts!
context: I told you that she was, didn't I?! You idiot!\She acts beyond her limits, and she is still just as reckless and crazy.\Not only that, but she has this way of scurrying about, and that is adorable in its own way.\Whatever the case, I must work quickly to get Nanami back home.\You have my deepest apologies!\Come on! Are you gonna pay up or what?!\I saw your husband lined up at the slots this morning.\If you've got money to play slots, you can pay back your debts! response:	And you're two whole months behind on rent now too!
context: She acts beyond her limits, and she is still just as reckless and crazy.\Not only that, but she has this way of scurrying about, and that is adorable in its own way.\Whatever the case, I must work quickly to get Nanami back home.\You have my deepest apologies!\Come on! Are you gonna pay up or what?!\I saw your husband lined up at the slots this morning.\If you've got money to play slots, you can pay back your debts!\And you're two whole months behind on rent now too! response:	I am so sorry.
context: Not only that, but she has this way of scurrying about, and that is adorable in its own way.\Whatever the case, I must work quickly to get Nanami back home.\You have my deepest apologies!\Come on! Are you gonna pay up or what?!\I saw your husband lined up at the slots this morning.\If you've got money to play slots, you can pay back your debts!\And you're two whole months behind on rent now too!\I am so sorry. response:	I promise. I'll have my husband pay you by Monday for sure.
context: Whatever the case, I must work quickly to get Nanami back home.\You have my deepest apologies!\Come on! Are you gonna pay up or what?!\I saw your husband lined up at the slots this morning.\If you've got money to play slots, you can pay back your debts!\And you're two whole months behind on rent now too!\I am so sorry.\I promise. I'll have my husband pay you by Monday for sure. response:	Like I believe that!
context: You have my deepest apologies!\Come on! Are you gonna pay up or what?!\I saw your husband lined up at the slots this morning.\If you've got money to play slots, you can pay back your debts!\And you're two whole months behind on rent now too!\I am so sorry.\I promise. I'll have my husband pay you by Monday for sure.\Like I believe that! response:	If you've got no interest in paying up, either...
context: Come on! Are you gonna pay up or what?!\I saw your husband lined up at the slots this morning.\If you've got money to play slots, you can pay back your debts!\And you're two whole months behind on rent now too!\I am so sorry.\I promise. I'll have my husband pay you by Monday for sure.\Like I believe that!\If you've got no interest in paying up, either... response:	You don't have money to begin with, and you...
context: I saw your husband lined up at the slots this morning.\If you've got money to play slots, you can pay back your debts!\And you're two whole months behind on rent now too!\I am so sorry.\I promise. I'll have my husband pay you by Monday for sure.\Like I believe that!\If you've got no interest in paying up, either...\You don't have money to begin with, and you... response:	Renting a place from someone...
context: If you've got money to play slots, you can pay back your debts!\And you're two whole months behind on rent now too!\I am so sorry.\I promise. I'll have my husband pay you by Monday for sure.\Like I believe that!\If you've got no interest in paying up, either...\You don't have money to begin with, and you...\Renting a place from someone... response:	We have to make a living too.
context: And you're two whole months behind on rent now too!\I am so sorry.\I promise. I'll have my husband pay you by Monday for sure.\Like I believe that!\If you've got no interest in paying up, either...\You don't have money to begin with, and you...\Renting a place from someone...\We have to make a living too. response:	It makes things awkward for me here...
context: I am so sorry.\I promise. I'll have my husband pay you by Monday for sure.\Like I believe that!\If you've got no interest in paying up, either...\You don't have money to begin with, and you...\Renting a place from someone...\We have to make a living too.\It makes things awkward for me here... response:	I'll leave for today, but make sure you have it next time.
context: I promise. I'll have my husband pay you by Monday for sure.\Like I believe that!\If you've got no interest in paying up, either...\You don't have money to begin with, and you...\Renting a place from someone...\We have to make a living too.\It makes things awkward for me here...\I'll leave for today, but make sure you have it next time. response:	I'll have the money by Monday.
context: Like I believe that!\If you've got no interest in paying up, either...\You don't have money to begin with, and you...\Renting a place from someone...\We have to make a living too.\It makes things awkward for me here...\I'll leave for today, but make sure you have it next time.\I'll have the money by Monday. response:	Yes, of course.
context: If you've got no interest in paying up, either...\You don't have money to begin with, and you...\Renting a place from someone...\We have to make a living too.\It makes things awkward for me here...\I'll leave for today, but make sure you have it next time.\I'll have the money by Monday.\Yes, of course. response:	I swear!
context: You don't have money to begin with, and you...\Renting a place from someone...\We have to make a living too.\It makes things awkward for me here...\I'll leave for today, but make sure you have it next time.\I'll have the money by Monday.\Yes, of course.\I swear! response:	You have my deepest apologies.
context: Renting a place from someone...\We have to make a living too.\It makes things awkward for me here...\I'll leave for today, but make sure you have it next time.\I'll have the money by Monday.\Yes, of course.\I swear!\You have my deepest apologies. response:	Oh...
context: We have to make a living too.\It makes things awkward for me here...\I'll leave for today, but make sure you have it next time.\I'll have the money by Monday.\Yes, of course.\I swear!\You have my deepest apologies.\Oh... response:	Mom!
context: It makes things awkward for me here...\I'll leave for today, but make sure you have it next time.\I'll have the money by Monday.\Yes, of course.\I swear!\You have my deepest apologies.\Oh...\Mom! response:	Nanami has barely ever spoken about her parents at all.
context: I'll leave for today, but make sure you have it next time.\I'll have the money by Monday.\Yes, of course.\I swear!\You have my deepest apologies.\Oh...\Mom!\Nanami has barely ever spoken about her parents at all. response:	Now it makes sense.
context: I'll have the money by Monday.\Yes, of course.\I swear!\You have my deepest apologies.\Oh...\Mom!\Nanami has barely ever spoken about her parents at all.\Now it makes sense. response:	Makes sense, my tail. Get going already.
context: Yes, of course.\I swear!\You have my deepest apologies.\Oh...\Mom!\Nanami has barely ever spoken about her parents at all.\Now it makes sense.\Makes sense, my tail. Get going already. response:	Her mother is suffering from an illness.
context: I swear!\You have my deepest apologies.\Oh...\Mom!\Nanami has barely ever spoken about her parents at all.\Now it makes sense.\Makes sense, my tail. Get going already.\Her mother is suffering from an illness. response:	She is not long for this world.
context: You have my deepest apologies.\Oh...\Mom!\Nanami has barely ever spoken about her parents at all.\Now it makes sense.\Makes sense, my tail. Get going already.\Her mother is suffering from an illness.\She is not long for this world. response:	So one crept away into the night.
context: Oh...\Mom!\Nanami has barely ever spoken about her parents at all.\Now it makes sense.\Makes sense, my tail. Get going already.\Her mother is suffering from an illness.\She is not long for this world.\So one crept away into the night. response:	And the other stayed just to die.
context: Mom!\Nanami has barely ever spoken about her parents at all.\Now it makes sense.\Makes sense, my tail. Get going already.\Her mother is suffering from an illness.\She is not long for this world.\So one crept away into the night.\And the other stayed just to die. response:	Hey, can you hear me?
context: Nanami has barely ever spoken about her parents at all.\Now it makes sense.\Makes sense, my tail. Get going already.\Her mother is suffering from an illness.\She is not long for this world.\So one crept away into the night.\And the other stayed just to die.\Hey, can you hear me? response:	Come on, Tomoe.
context: Now it makes sense.\Makes sense, my tail. Get going already.\Her mother is suffering from an illness.\She is not long for this world.\So one crept away into the night.\And the other stayed just to die.\Hey, can you hear me?\Come on, Tomoe. response:	Hey, can you hear me?
context: Makes sense, my tail. Get going already.\Her mother is suffering from an illness.\She is not long for this world.\So one crept away into the night.\And the other stayed just to die.\Hey, can you hear me?\Come on, Tomoe.\Hey, can you hear me? response:	Wait, just a little longer.
context: Her mother is suffering from an illness.\She is not long for this world.\So one crept away into the night.\And the other stayed just to die.\Hey, can you hear me?\Come on, Tomoe.\Hey, can you hear me?\Wait, just a little longer. response:	That is a Nanami I do not know.
context: She is not long for this world.\So one crept away into the night.\And the other stayed just to die.\Hey, can you hear me?\Come on, Tomoe.\Hey, can you hear me?\Wait, just a little longer.\That is a Nanami I do not know. response:	That night, I was looking
context: So one crept away into the night.\And the other stayed just to die.\Hey, can you hear me?\Come on, Tomoe.\Hey, can you hear me?\Wait, just a little longer.\That is a Nanami I do not know.\That night, I was looking response:	at the fleeting remnants of the day
context: And the other stayed just to die.\Hey, can you hear me?\Come on, Tomoe.\Hey, can you hear me?\Wait, just a little longer.\That is a Nanami I do not know.\That night, I was looking\at the fleeting remnants of the day response:	The milky way spread across my vision
context: Hey, can you hear me?\Come on, Tomoe.\Hey, can you hear me?\Wait, just a little longer.\That is a Nanami I do not know.\That night, I was looking\at the fleeting remnants of the day\The milky way spread across my vision response:	It was very beautiful
context: Come on, Tomoe.\Hey, can you hear me?\Wait, just a little longer.\That is a Nanami I do not know.\That night, I was looking\at the fleeting remnants of the day\The milky way spread across my vision\It was very beautiful response:	Hey, can you hear me?
context: Hey, can you hear me?\Wait, just a little longer.\That is a Nanami I do not know.\That night, I was looking\at the fleeting remnants of the day\The milky way spread across my vision\It was very beautiful\Hey, can you hear me? response:	I don't think I can talk to other people about this
context: Wait, just a little longer.\That is a Nanami I do not know.\That night, I was looking\at the fleeting remnants of the day\The milky way spread across my vision\It was very beautiful\Hey, can you hear me?\I don't think I can talk to other people about this response:	I'll call up God, I think
context: That is a Nanami I do not know.\That night, I was looking\at the fleeting remnants of the day\The milky way spread across my vision\It was very beautiful\Hey, can you hear me?\I don't think I can talk to other people about this\I'll call up God, I think response:	If a new day hadn't begun
context: That night, I was looking\at the fleeting remnants of the day\The milky way spread across my vision\It was very beautiful\Hey, can you hear me?\I don't think I can talk to other people about this\I'll call up God, I think\If a new day hadn't begun response:	then yesterday's tomorrow would be today
context: at the fleeting remnants of the day\The milky way spread across my vision\It was very beautiful\Hey, can you hear me?\I don't think I can talk to other people about this\I'll call up God, I think\If a new day hadn't begun\then yesterday's tomorrow would be today response:	and yesterday would be the day before
context: The milky way spread across my vision\It was very beautiful\Hey, can you hear me?\I don't think I can talk to other people about this\I'll call up God, I think\If a new day hadn't begun\then yesterday's tomorrow would be today\and yesterday would be the day before response:	I'm waiting for you
context: It was very beautiful\Hey, can you hear me?\I don't think I can talk to other people about this\I'll call up God, I think\If a new day hadn't begun\then yesterday's tomorrow would be today\and yesterday would be the day before\I'm waiting for you response:	I'll stay here
context: Hey, can you hear me?\I don't think I can talk to other people about this\I'll call up God, I think\If a new day hadn't begun\then yesterday's tomorrow would be today\and yesterday would be the day before\I'm waiting for you\I'll stay here response:	The boat is stopped here
context: I don't think I can talk to other people about this\I'll call up God, I think\If a new day hadn't begun\then yesterday's tomorrow would be today\and yesterday would be the day before\I'm waiting for you\I'll stay here\The boat is stopped here response:	If today weren't today
context: I'll call up God, I think\If a new day hadn't begun\then yesterday's tomorrow would be today\and yesterday would be the day before\I'm waiting for you\I'll stay here\The boat is stopped here\If today weren't today response:	and were that day instead, oh, that'd be nice
context: If a new day hadn't begun\then yesterday's tomorrow would be today\and yesterday would be the day before\I'm waiting for you\I'll stay here\The boat is stopped here\If today weren't today\and were that day instead, oh, that'd be nice response:	Preview
context: then yesterday's tomorrow would be today\and yesterday would be the day before\I'm waiting for you\I'll stay here\The boat is stopped here\If today weren't today\and were that day instead, oh, that'd be nice\Preview response:	Preview
context: and yesterday would be the day before\I'm waiting for you\I'll stay here\The boat is stopped here\If today weren't today\and were that day instead, oh, that'd be nice\Preview\Preview response:	Tomoe and Mizuki take a peek into Nanami's childhood.
context: I'm waiting for you\I'll stay here\The boat is stopped here\If today weren't today\and were that day instead, oh, that'd be nice\Preview\Preview\Tomoe and Mizuki take a peek into Nanami's childhood. response:	Oh, such a stormy life for one so young!
context: I'll stay here\The boat is stopped here\If today weren't today\and were that day instead, oh, that'd be nice\Preview\Preview\Tomoe and Mizuki take a peek into Nanami's childhood.\Oh, such a stormy life for one so young! response:	Can't watch! But can't look away!
context: The boat is stopped here\If today weren't today\and were that day instead, oh, that'd be nice\Preview\Preview\Tomoe and Mizuki take a peek into Nanami's childhood.\Oh, such a stormy life for one so young!\Can't watch! But can't look away! response:	What thoughts cross Tomoe's mind as he gets close to this tiny Nanami?
context: If today weren't today\and were that day instead, oh, that'd be nice\Preview\Preview\Tomoe and Mizuki take a peek into Nanami's childhood.\Oh, such a stormy life for one so young!\Can't watch! But can't look away!\What thoughts cross Tomoe's mind as he gets close to this tiny Nanami? response:	That'd be nice, that's what I think
context: and were that day instead, oh, that'd be nice\Preview\Preview\Tomoe and Mizuki take a peek into Nanami's childhood.\Oh, such a stormy life for one so young!\Can't watch! But can't look away!\What thoughts cross Tomoe's mind as he gets close to this tiny Nanami?\That'd be nice, that's what I think response:	Next time, The God Receives a Marriage Proposal.
context: Preview\Preview\Tomoe and Mizuki take a peek into Nanami's childhood.\Oh, such a stormy life for one so young!\Can't watch! But can't look away!\What thoughts cross Tomoe's mind as he gets close to this tiny Nanami?\That'd be nice, that's what I think\Next time, The God Receives a Marriage Proposal. response:	The God Receives a Marriage Proposal
context: Preview\Tomoe and Mizuki take a peek into Nanami's childhood.\Oh, such a stormy life for one so young!\Can't watch! But can't look away!\What thoughts cross Tomoe's mind as he gets close to this tiny Nanami?\That'd be nice, that's what I think\Next time, The God Receives a Marriage Proposal.\The God Receives a Marriage Proposal response:	The God Receives a Marriage Proposal
context: Tomoe and Mizuki take a peek into Nanami's childhood.\Oh, such a stormy life for one so young!\Can't watch! But can't look away!\What thoughts cross Tomoe's mind as he gets close to this tiny Nanami?\That'd be nice, that's what I think\Next time, The God Receives a Marriage Proposal.\The God Receives a Marriage Proposal\The God Receives a Marriage Proposal response:	It will be the final episode! Get excited!
