context: Once in a while when I wake up response:	I find myself crying.
context: - Give me a break! - What?\I mean... How about we stop by a cafe?\- A cafe? - Really?\Where?\Hello.\Hello.\This is a cafe?\You know there isn't one. response:	Mitsuha just went home.
context: I mean... How about we stop by a cafe?\- A cafe? - Really?\Where?\Hello.\Hello.\This is a cafe?\You know there isn't one.\Mitsuha just went home. response:	Things must be rough for her.
context: - A cafe? - Really?\Where?\Hello.\Hello.\This is a cafe?\You know there isn't one.\Mitsuha just went home.\Things must be rough for her. response:	Well, she takes center stage.
context: Where?\Hello.\Hello.\This is a cafe?\You know there isn't one.\Mitsuha just went home.\Things must be rough for her.\Well, she takes center stage. response:	Yeah.
context: Hello.\Hello.\This is a cafe?\You know there isn't one.\Mitsuha just went home.\Things must be rough for her.\Well, she takes center stage.\Yeah. response:	Hey, Tessie.
context: Hello.\This is a cafe?\You know there isn't one.\Mitsuha just went home.\Things must be rough for her.\Well, she takes center stage.\Yeah.\Hey, Tessie. response:	What?
context: This is a cafe?\You know there isn't one.\Mitsuha just went home.\Things must be rough for her.\Well, she takes center stage.\Yeah.\Hey, Tessie.\What? response:	What will you do after you graduate?
context: You know there isn't one.\Mitsuha just went home.\Things must be rough for her.\Well, she takes center stage.\Yeah.\Hey, Tessie.\What?\What will you do after you graduate? response:	What's this? You asking about my future?
context: Mitsuha just went home.\Things must be rough for her.\Well, she takes center stage.\Yeah.\Hey, Tessie.\What?\What will you do after you graduate?\What's this? You asking about my future? response:	Nothing special. I'll probably keep on living a normal life in this town.
context: Things must be rough for her.\Well, she takes center stage.\Yeah.\Hey, Tessie.\What?\What will you do after you graduate?\What's this? You asking about my future?\Nothing special. I'll probably keep on living a normal life in this town. response:	I'd rather do that, Grandma.
context: Well, she takes center stage.\Yeah.\Hey, Tessie.\What?\What will you do after you graduate?\What's this? You asking about my future?\Nothing special. I'll probably keep on living a normal life in this town.\I'd rather do that, Grandma. response:	You're not ready yet, Yotsuha.
context: Yeah.\Hey, Tessie.\What?\What will you do after you graduate?\What's this? You asking about my future?\Nothing special. I'll probably keep on living a normal life in this town.\I'd rather do that, Grandma.\You're not ready yet, Yotsuha. response:	Listen to the thread's voice.
context: Hey, Tessie.\What?\What will you do after you graduate?\What's this? You asking about my future?\Nothing special. I'll probably keep on living a normal life in this town.\I'd rather do that, Grandma.\You're not ready yet, Yotsuha.\Listen to the thread's voice. response:	When you keep twining like that
context: What?\What will you do after you graduate?\What's this? You asking about my future?\Nothing special. I'll probably keep on living a normal life in this town.\I'd rather do that, Grandma.\You're not ready yet, Yotsuha.\Listen to the thread's voice.\When you keep twining like that response:	emotions will eventually start flowing between you and the thread.
context: What will you do after you graduate?\What's this? You asking about my future?\Nothing special. I'll probably keep on living a normal life in this town.\I'd rather do that, Grandma.\You're not ready yet, Yotsuha.\Listen to the thread's voice.\When you keep twining like that\emotions will eventually start flowing between you and the thread. response:	Threads don't talk.
context: What's this? You asking about my future?\Nothing special. I'll probably keep on living a normal life in this town.\I'd rather do that, Grandma.\You're not ready yet, Yotsuha.\Listen to the thread's voice.\When you keep twining like that\emotions will eventually start flowing between you and the thread.\Threads don't talk. response:	She means, Focus.
context: Nothing special. I'll probably keep on living a normal life in this town.\I'd rather do that, Grandma.\You're not ready yet, Yotsuha.\Listen to the thread's voice.\When you keep twining like that\emotions will eventually start flowing between you and the thread.\Threads don't talk.\She means, Focus. response:	1000 years of ltomori's history is etched into our braided cords.
context: I'd rather do that, Grandma.\You're not ready yet, Yotsuha.\Listen to the thread's voice.\When you keep twining like that\emotions will eventually start flowing between you and the thread.\Threads don't talk.\She means, Focus.\1000 years of ltomori's history is etched into our braided cords. response:	Listen. 200 years ago...
context: You're not ready yet, Yotsuha.\Listen to the thread's voice.\When you keep twining like that\emotions will eventually start flowing between you and the thread.\Threads don't talk.\She means, Focus.\1000 years of ltomori's history is etched into our braided cords.\Listen. 200 years ago... response:	Here she goes again.
context: Listen to the thread's voice.\When you keep twining like that\emotions will eventually start flowing between you and the thread.\Threads don't talk.\She means, Focus.\1000 years of ltomori's history is etched into our braided cords.\Listen. 200 years ago...\Here she goes again. response:	Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area.
context: When you keep twining like that\emotions will eventually start flowing between you and the thread.\Threads don't talk.\She means, Focus.\1000 years of ltomori's history is etched into our braided cords.\Listen. 200 years ago...\Here she goes again.\Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area. response:	The shrine and old documents were destroyed
context: emotions will eventually start flowing between you and the thread.\Threads don't talk.\She means, Focus.\1000 years of ltomori's history is etched into our braided cords.\Listen. 200 years ago...\Here she goes again.\Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area.\The shrine and old documents were destroyed response:	and this is known as...
context: Threads don't talk.\She means, Focus.\1000 years of ltomori's history is etched into our braided cords.\Listen. 200 years ago...\Here she goes again.\Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area.\The shrine and old documents were destroyed\and this is known as... response:	The Great Fire of Mayugoro.
context: She means, Focus.\1000 years of ltomori's history is etched into our braided cords.\Listen. 200 years ago...\Here she goes again.\Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area.\The shrine and old documents were destroyed\and this is known as...\The Great Fire of Mayugoro. response:	The fire has his name? Poor Mayugoro.
context: 1000 years of ltomori's history is etched into our braided cords.\Listen. 200 years ago...\Here she goes again.\Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area.\The shrine and old documents were destroyed\and this is known as...\The Great Fire of Mayugoro.\The fire has his name? Poor Mayugoro. response:	So the meaning of our festivals became unknown and only the form lived on.
context: Listen. 200 years ago...\Here she goes again.\Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area.\The shrine and old documents were destroyed\and this is known as...\The Great Fire of Mayugoro.\The fire has his name? Poor Mayugoro.\So the meaning of our festivals became unknown and only the form lived on. response:	But even if words are lost, tradition should be handed down.
context: Here she goes again.\Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area.\The shrine and old documents were destroyed\and this is known as...\The Great Fire of Mayugoro.\The fire has his name? Poor Mayugoro.\So the meaning of our festivals became unknown and only the form lived on.\But even if words are lost, tradition should be handed down. response:	That's the important task we at Miyamizu Shrine have.
context: Sandal maker Mayugoro's bathroom caught on fire and burned down this whole area.\The shrine and old documents were destroyed\and this is known as...\The Great Fire of Mayugoro.\The fire has his name? Poor Mayugoro.\So the meaning of our festivals became unknown and only the form lived on.\But even if words are lost, tradition should be handed down.\That's the important task we at Miyamizu Shrine have. response:	But that foolish son-in-law...
context: The shrine and old documents were destroyed\and this is known as...\The Great Fire of Mayugoro.\The fire has his name? Poor Mayugoro.\So the meaning of our festivals became unknown and only the form lived on.\But even if words are lost, tradition should be handed down.\That's the important task we at Miyamizu Shrine have.\But that foolish son-in-law... response:	As if leaving Shinto priesthood and this house weren't enough
