context: On the wall discolored by the sun, the poster mark remained. response:	Blinking eyes call the wind
context: But you two connected, didn't you?\Well, you're already having sex,\but that's natural between two people that love each other.\So love does tie you together, right?\Try it yourself if you wanna find out.\It's impossible for me.\We will first have them sign a temporary contract,\and once details of their first CD release have been determined, response:	we'll switch to an official contract.
context: Well, you're already having sex,\but that's natural between two people that love each other.\So love does tie you together, right?\Try it yourself if you wanna find out.\It's impossible for me.\We will first have them sign a temporary contract,\and once details of their first CD release have been determined,\we'll switch to an official contract. response:	I will do my best to make sure we switch to the official contract right away,
context: but that's natural between two people that love each other.\So love does tie you together, right?\Try it yourself if you wanna find out.\It's impossible for me.\We will first have them sign a temporary contract,\and once details of their first CD release have been determined,\we'll switch to an official contract.\I will do my best to make sure we switch to the official contract right away, response:	but it doesn't always go as I wish...
context: So love does tie you together, right?\Try it yourself if you wanna find out.\It's impossible for me.\We will first have them sign a temporary contract,\and once details of their first CD release have been determined,\we'll switch to an official contract.\I will do my best to make sure we switch to the official contract right away,\but it doesn't always go as I wish... response:	Never mind the details.
context: Try it yourself if you wanna find out.\It's impossible for me.\We will first have them sign a temporary contract,\and once details of their first CD release have been determined,\we'll switch to an official contract.\I will do my best to make sure we switch to the official contract right away,\but it doesn't always go as I wish...\Never mind the details. response:	Anyway, I just need to put my signature and seal
context: It's impossible for me.\We will first have them sign a temporary contract,\and once details of their first CD release have been determined,\we'll switch to an official contract.\I will do my best to make sure we switch to the official contract right away,\but it doesn't always go as I wish...\Never mind the details.\Anyway, I just need to put my signature and seal response:	on this temporary contract, right?
context: We will first have them sign a temporary contract,\and once details of their first CD release have been determined,\we'll switch to an official contract.\I will do my best to make sure we switch to the official contract right away,\but it doesn't always go as I wish...\Never mind the details.\Anyway, I just need to put my signature and seal\on this temporary contract, right? response:	Yes, well...
context: and once details of their first CD release have been determined,\we'll switch to an official contract.\I will do my best to make sure we switch to the official contract right away,\but it doesn't always go as I wish...\Never mind the details.\Anyway, I just need to put my signature and seal\on this temporary contract, right?\Yes, well... response:	I entrust him to you.
context: we'll switch to an official contract.\I will do my best to make sure we switch to the official contract right away,\but it doesn't always go as I wish...\Never mind the details.\Anyway, I just need to put my signature and seal\on this temporary contract, right?\Yes, well...\I entrust him to you. response:	Still, I'm a little worried about the world of show business.
context: I will do my best to make sure we switch to the official contract right away,\but it doesn't always go as I wish...\Never mind the details.\Anyway, I just need to put my signature and seal\on this temporary contract, right?\Yes, well...\I entrust him to you.\Still, I'm a little worried about the world of show business. response:	I have children too,
context: but it doesn't always go as I wish...\Never mind the details.\Anyway, I just need to put my signature and seal\on this temporary contract, right?\Yes, well...\I entrust him to you.\Still, I'm a little worried about the world of show business.\I have children too, response:	so I understand your worries about your precious son...
context: Never mind the details.\Anyway, I just need to put my signature and seal\on this temporary contract, right?\Yes, well...\I entrust him to you.\Still, I'm a little worried about the world of show business.\I have children too,\so I understand your worries about your precious son... response:	No, that's not it.
context: Anyway, I just need to put my signature and seal\on this temporary contract, right?\Yes, well...\I entrust him to you.\Still, I'm a little worried about the world of show business.\I have children too,\so I understand your worries about your precious son...\No, that's not it. response:	With show business,
context: on this temporary contract, right?\Yes, well...\I entrust him to you.\Still, I'm a little worried about the world of show business.\I have children too,\so I understand your worries about your precious son...\No, that's not it.\With show business, response:	the media tries to dig up everything about a person's private life, right?
context: Yes, well...\I entrust him to you.\Still, I'm a little worried about the world of show business.\I have children too,\so I understand your worries about your precious son...\No, that's not it.\With show business,\the media tries to dig up everything about a person's private life, right? response:	I don't want anything happening
context: I entrust him to you.\Still, I'm a little worried about the world of show business.\I have children too,\so I understand your worries about your precious son...\No, that's not it.\With show business,\the media tries to dig up everything about a person's private life, right?\I don't want anything happening response:	that'll end up affecting my elder son and me.
context: Still, I'm a little worried about the world of show business.\I have children too,\so I understand your worries about your precious son...\No, that's not it.\With show business,\the media tries to dig up everything about a person's private life, right?\I don't want anything happening\that'll end up affecting my elder son and me. response:	Well, we thought it best to keep his real name and profile a secret,
context: I have children too,\so I understand your worries about your precious son...\No, that's not it.\With show business,\the media tries to dig up everything about a person's private life, right?\I don't want anything happening\that'll end up affecting my elder son and me.\Well, we thought it best to keep his real name and profile a secret, response:	and try to say he's eighteen.
context: so I understand your worries about your precious son...\No, that's not it.\With show business,\the media tries to dig up everything about a person's private life, right?\I don't want anything happening\that'll end up affecting my elder son and me.\Well, we thought it best to keep his real name and profile a secret,\and try to say he's eighteen. response:	That would be...
context: No, that's not it.\With show business,\the media tries to dig up everything about a person's private life, right?\I don't want anything happening\that'll end up affecting my elder son and me.\Well, we thought it best to keep his real name and profile a secret,\and try to say he's eighteen.\That would be... response:	You can do anything you wish
context: With show business,\the media tries to dig up everything about a person's private life, right?\I don't want anything happening\that'll end up affecting my elder son and me.\Well, we thought it best to keep his real name and profile a secret,\and try to say he's eighteen.\That would be...\You can do anything you wish response:	as long as you keep his true identity a secret.
context: the media tries to dig up everything about a person's private life, right?\I don't want anything happening\that'll end up affecting my elder son and me.\Well, we thought it best to keep his real name and profile a secret,\and try to say he's eighteen.\That would be...\You can do anything you wish\as long as you keep his true identity a secret. response:	I don't want the world to know about the embarrassment of my family.
context: I don't want anything happening\that'll end up affecting my elder son and me.\Well, we thought it best to keep his real name and profile a secret,\and try to say he's eighteen.\That would be...\You can do anything you wish\as long as you keep his true identity a secret.\I don't want the world to know about the embarrassment of my family. response:	Also, could you mail me the official contract?
context: that'll end up affecting my elder son and me.\Well, we thought it best to keep his real name and profile a secret,\and try to say he's eighteen.\That would be...\You can do anything you wish\as long as you keep his true identity a secret.\I don't want the world to know about the embarrassment of my family.\Also, could you mail me the official contract? response:	I can't be wasting time on something like this.
context: Well, we thought it best to keep his real name and profile a secret,\and try to say he's eighteen.\That would be...\You can do anything you wish\as long as you keep his true identity a secret.\I don't want the world to know about the embarrassment of my family.\Also, could you mail me the official contract?\I can't be wasting time on something like this. response:	OKAZAKI
context: and try to say he's eighteen.\That would be...\You can do anything you wish\as long as you keep his true identity a secret.\I don't want the world to know about the embarrassment of my family.\Also, could you mail me the official contract?\I can't be wasting time on something like this.\OKAZAKI response:	Now, if you'll excuse me...
context: That would be...\You can do anything you wish\as long as you keep his true identity a secret.\I don't want the world to know about the embarrassment of my family.\Also, could you mail me the official contract?\I can't be wasting time on something like this.\OKAZAKI\Now, if you'll excuse me... response:	Mr. Okazaki.
context: You can do anything you wish\as long as you keep his true identity a secret.\I don't want the world to know about the embarrassment of my family.\Also, could you mail me the official contract?\I can't be wasting time on something like this.\OKAZAKI\Now, if you'll excuse me...\Mr. Okazaki. response:	He may not be your flesh and blood,
context: as long as you keep his true identity a secret.\I don't want the world to know about the embarrassment of my family.\Also, could you mail me the official contract?\I can't be wasting time on something like this.\OKAZAKI\Now, if you'll excuse me...\Mr. Okazaki.\He may not be your flesh and blood, response:	but you did raise that child for fifteen years.
context: I don't want the world to know about the embarrassment of my family.\Also, could you mail me the official contract?\I can't be wasting time on something like this.\OKAZAKI\Now, if you'll excuse me...\Mr. Okazaki.\He may not be your flesh and blood,\but you did raise that child for fifteen years. response:	Don't you have any feelings of love for that child?
context: Also, could you mail me the official contract?\I can't be wasting time on something like this.\OKAZAKI\Now, if you'll excuse me...\Mr. Okazaki.\He may not be your flesh and blood,\but you did raise that child for fifteen years.\Don't you have any feelings of love for that child? response:	Unfortunately, I have never felt love for Shinichi.
context: I can't be wasting time on something like this.\OKAZAKI\Now, if you'll excuse me...\Mr. Okazaki.\He may not be your flesh and blood,\but you did raise that child for fifteen years.\Don't you have any feelings of love for that child?\Unfortunately, I have never felt love for Shinichi. response:	Not even once.
context: OKAZAKI\Now, if you'll excuse me...\Mr. Okazaki.\He may not be your flesh and blood,\but you did raise that child for fifteen years.\Don't you have any feelings of love for that child?\Unfortunately, I have never felt love for Shinichi.\Not even once. response:	Although I tried my best.
context: Now, if you'll excuse me...\Mr. Okazaki.\He may not be your flesh and blood,\but you did raise that child for fifteen years.\Don't you have any feelings of love for that child?\Unfortunately, I have never felt love for Shinichi.\Not even once.\Although I tried my best. response:	Miss Hachiko, we're almost out of paint.
context: Mr. Okazaki.\He may not be your flesh and blood,\but you did raise that child for fifteen years.\Don't you have any feelings of love for that child?\Unfortunately, I have never felt love for Shinichi.\Not even once.\Although I tried my best.\Miss Hachiko, we're almost out of paint. response:	Sure.
context: He may not be your flesh and blood,\but you did raise that child for fifteen years.\Don't you have any feelings of love for that child?\Unfortunately, I have never felt love for Shinichi.\Not even once.\Although I tried my best.\Miss Hachiko, we're almost out of paint.\Sure. response:	Sorry for having you help with this, Misato.
context: but you did raise that child for fifteen years.\Don't you have any feelings of love for that child?\Unfortunately, I have never felt love for Shinichi.\Not even once.\Although I tried my best.\Miss Hachiko, we're almost out of paint.\Sure.\Sorry for having you help with this, Misato. response:	No, this is a lotta fun.
context: Don't you have any feelings of love for that child?\Unfortunately, I have never felt love for Shinichi.\Not even once.\Although I tried my best.\Miss Hachiko, we're almost out of paint.\Sure.\Sorry for having you help with this, Misato.\No, this is a lotta fun. response:	Painting the walls white makes the whole room brighter. This is great.
context: Unfortunately, I have never felt love for Shinichi.\Not even once.\Although I tried my best.\Miss Hachiko, we're almost out of paint.\Sure.\Sorry for having you help with this, Misato.\No, this is a lotta fun.\Painting the walls white makes the whole room brighter. This is great. response:	All I wanna do is seal off my memories.
context: Not even once.\Although I tried my best.\Miss Hachiko, we're almost out of paint.\Sure.\Sorry for having you help with this, Misato.\No, this is a lotta fun.\Painting the walls white makes the whole room brighter. This is great.\All I wanna do is seal off my memories. response:	Why do I feel like some criminal destroying evidence?
context: Although I tried my best.\Miss Hachiko, we're almost out of paint.\Sure.\Sorry for having you help with this, Misato.\No, this is a lotta fun.\Painting the walls white makes the whole room brighter. This is great.\All I wanna do is seal off my memories.\Why do I feel like some criminal destroying evidence? response:	Am I still making another one of my mistakes?
context: Miss Hachiko, we're almost out of paint.\Sure.\Sorry for having you help with this, Misato.\No, this is a lotta fun.\Painting the walls white makes the whole room brighter. This is great.\All I wanna do is seal off my memories.\Why do I feel like some criminal destroying evidence?\Am I still making another one of my mistakes? response:	Hey, Nana...
context: Sure.\Sorry for having you help with this, Misato.\No, this is a lotta fun.\Painting the walls white makes the whole room brighter. This is great.\All I wanna do is seal off my memories.\Why do I feel like some criminal destroying evidence?\Am I still making another one of my mistakes?\Hey, Nana... response:	Mistakes we made and the scars we have aren't something that will disappear
context: Sorry for having you help with this, Misato.\No, this is a lotta fun.\Painting the walls white makes the whole room brighter. This is great.\All I wanna do is seal off my memories.\Why do I feel like some criminal destroying evidence?\Am I still making another one of my mistakes?\Hey, Nana...\Mistakes we made and the scars we have aren't something that will disappear response:	by simply covering them up.
context: No, this is a lotta fun.\Painting the walls white makes the whole room brighter. This is great.\All I wanna do is seal off my memories.\Why do I feel like some criminal destroying evidence?\Am I still making another one of my mistakes?\Hey, Nana...\Mistakes we made and the scars we have aren't something that will disappear\by simply covering them up. response:	So I'm still calling your name, Nana.
context: Painting the walls white makes the whole room brighter. This is great.\All I wanna do is seal off my memories.\Why do I feel like some criminal destroying evidence?\Am I still making another one of my mistakes?\Hey, Nana...\Mistakes we made and the scars we have aren't something that will disappear\by simply covering them up.\So I'm still calling your name, Nana. response:	No matter how much it hurts... until you answer me.
context: All I wanna do is seal off my memories.\Why do I feel like some criminal destroying evidence?\Am I still making another one of my mistakes?\Hey, Nana...\Mistakes we made and the scars we have aren't something that will disappear\by simply covering them up.\So I'm still calling your name, Nana.\No matter how much it hurts... until you answer me. response:	I reached into the sky
context: Why do I feel like some criminal destroying evidence?\Am I still making another one of my mistakes?\Hey, Nana...\Mistakes we made and the scars we have aren't something that will disappear\by simply covering them up.\So I'm still calling your name, Nana.\No matter how much it hurts... until you answer me.\I reached into the sky response:	But I couldn't reach what I wanted
context: Am I still making another one of my mistakes?\Hey, Nana...\Mistakes we made and the scars we have aren't something that will disappear\by simply covering them up.\So I'm still calling your name, Nana.\No matter how much it hurts... until you answer me.\I reached into the sky\But I couldn't reach what I wanted response:	They grew smaller and disappeared into the sky
context: Hey, Nana...\Mistakes we made and the scars we have aren't something that will disappear\by simply covering them up.\So I'm still calling your name, Nana.\No matter how much it hurts... until you answer me.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: Mistakes we made and the scars we have aren't something that will disappear\by simply covering them up.\So I'm still calling your name, Nana.\No matter how much it hurts... until you answer me.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons response:	I'm alone
context: by simply covering them up.\So I'm still calling your name, Nana.\No matter how much it hurts... until you answer me.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone response:	My hand had no place to go
context: So I'm still calling your name, Nana.\No matter how much it hurts... until you answer me.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go response:	And gently you took it
context: No matter how much it hurts... until you answer me.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it response:	Starless night
context: I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night response:	I won't look back at the shadow of my past
context: But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past response:	I want to feel your warmth
context: They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth response:	Tears are falling down
context: Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down response:	Even if I'm unsure I won't let go
context: I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go response:	Of your hand holding mine
