context: Dijun, what do you have in your arms? response:	You can't tell from looking what this is?
context: Ye Hua, what do you take me for?\Do you think of me as your wife?\If so, then we should be interdependent and go through everything together.\Su Su, you don't understand.\I don't want you to be in any danger.\You don't understand either.\I'd rather be with you and in danger.\Pack up tonight. We'll head out tomorrow morning. response:	- Really? - What? You want to back out now?
context: Do you think of me as your wife?\If so, then we should be interdependent and go through everything together.\Su Su, you don't understand.\I don't want you to be in any danger.\You don't understand either.\I'd rather be with you and in danger.\Pack up tonight. We'll head out tomorrow morning.\- Really? - What? You want to back out now? response:	Why would I back out?
context: If so, then we should be interdependent and go through everything together.\Su Su, you don't understand.\I don't want you to be in any danger.\You don't understand either.\I'd rather be with you and in danger.\Pack up tonight. We'll head out tomorrow morning.\- Really? - What? You want to back out now?\Why would I back out? response:	Where are you taking me?
context: Su Su, you don't understand.\I don't want you to be in any danger.\You don't understand either.\I'd rather be with you and in danger.\Pack up tonight. We'll head out tomorrow morning.\- Really? - What? You want to back out now?\Why would I back out?\Where are you taking me? response:	You'll know when we get there.
context: I don't want you to be in any danger.\You don't understand either.\I'd rather be with you and in danger.\Pack up tonight. We'll head out tomorrow morning.\- Really? - What? You want to back out now?\Why would I back out?\Where are you taking me?\You'll know when we get there. response:	Okay.
context: You don't understand either.\I'd rather be with you and in danger.\Pack up tonight. We'll head out tomorrow morning.\- Really? - What? You want to back out now?\Why would I back out?\Where are you taking me?\You'll know when we get there.\Okay. response:	Let's eat.
context: I'd rather be with you and in danger.\Pack up tonight. We'll head out tomorrow morning.\- Really? - What? You want to back out now?\Why would I back out?\Where are you taking me?\You'll know when we get there.\Okay.\Let's eat. response:	I'm going far away. I can't feed you anymore.
context: Pack up tonight. We'll head out tomorrow morning.\- Really? - What? You want to back out now?\Why would I back out?\Where are you taking me?\You'll know when we get there.\Okay.\Let's eat.\I'm going far away. I can't feed you anymore. response:	If fate allows, let's meet again in the future.
context: - Really? - What? You want to back out now?\Why would I back out?\Where are you taking me?\You'll know when we get there.\Okay.\Let's eat.\I'm going far away. I can't feed you anymore.\If fate allows, let's meet again in the future. response:	Su Su.
context: Why would I back out?\Where are you taking me?\You'll know when we get there.\Okay.\Let's eat.\I'm going far away. I can't feed you anymore.\If fate allows, let's meet again in the future.\Su Su. response:	This is a fan for you.
context: Where are you taking me?\You'll know when we get there.\Okay.\Let's eat.\I'm going far away. I can't feed you anymore.\If fate allows, let's meet again in the future.\Su Su.\This is a fan for you. response:	Fan?
context: You'll know when we get there.\Okay.\Let's eat.\I'm going far away. I can't feed you anymore.\If fate allows, let's meet again in the future.\Su Su.\This is a fan for you.\Fan? response:	What? Is something wrong with it?
context: Okay.\Let's eat.\I'm going far away. I can't feed you anymore.\If fate allows, let's meet again in the future.\Su Su.\This is a fan for you.\Fan?\What? Is something wrong with it? response:	This fan is really similar to the one I gave away.
context: Let's eat.\I'm going far away. I can't feed you anymore.\If fate allows, let's meet again in the future.\Su Su.\This is a fan for you.\Fan?\What? Is something wrong with it?\This fan is really similar to the one I gave away. response:	Even the painting on it is similar.
context: I'm going far away. I can't feed you anymore.\If fate allows, let's meet again in the future.\Su Su.\This is a fan for you.\Fan?\What? Is something wrong with it?\This fan is really similar to the one I gave away.\Even the painting on it is similar. response:	The priest told me that the painting was of Kunlun Mountain.
context: If fate allows, let's meet again in the future.\Su Su.\This is a fan for you.\Fan?\What? Is something wrong with it?\This fan is really similar to the one I gave away.\Even the painting on it is similar.\The priest told me that the painting was of Kunlun Mountain. response:	Most fans look the same. There are only a limited number of mountains to paint.
context: Su Su.\This is a fan for you.\Fan?\What? Is something wrong with it?\This fan is really similar to the one I gave away.\Even the painting on it is similar.\The priest told me that the painting was of Kunlun Mountain.\Most fans look the same. There are only a limited number of mountains to paint. response:	That's true.
context: This is a fan for you.\Fan?\What? Is something wrong with it?\This fan is really similar to the one I gave away.\Even the painting on it is similar.\The priest told me that the painting was of Kunlun Mountain.\Most fans look the same. There are only a limited number of mountains to paint.\That's true. response:	But it looks too similar.
context: Fan?\What? Is something wrong with it?\This fan is really similar to the one I gave away.\Even the painting on it is similar.\The priest told me that the painting was of Kunlun Mountain.\Most fans look the same. There are only a limited number of mountains to paint.\That's true.\But it looks too similar. response:	Su Su, hide behind the trees.
context: What? Is something wrong with it?\This fan is really similar to the one I gave away.\Even the painting on it is similar.\The priest told me that the painting was of Kunlun Mountain.\Most fans look the same. There are only a limited number of mountains to paint.\That's true.\But it looks too similar.\Su Su, hide behind the trees. response:	What's wrong?
context: This fan is really similar to the one I gave away.\Even the painting on it is similar.\The priest told me that the painting was of Kunlun Mountain.\Most fans look the same. There are only a limited number of mountains to paint.\That's true.\But it looks too similar.\Su Su, hide behind the trees.\What's wrong? response:	Those guys look pretty good.
context: Even the painting on it is similar.\The priest told me that the painting was of Kunlun Mountain.\Most fans look the same. There are only a limited number of mountains to paint.\That's true.\But it looks too similar.\Su Su, hide behind the trees.\What's wrong?\Those guys look pretty good. response:	Yes, let's catch them and offer them to our leader.
context: The priest told me that the painting was of Kunlun Mountain.\Most fans look the same. There are only a limited number of mountains to paint.\That's true.\But it looks too similar.\Su Su, hide behind the trees.\What's wrong?\Those guys look pretty good.\Yes, let's catch them and offer them to our leader. response:	Let's go!
