context: Apollon, do you remember the day the world began? response:	Due to a miracle, the sacred and formless void
context: Fine.\I finally found...\the one person who'll wait for me.\Perhaps that flying boy is...\No, he couldn't be.\The wild child's back.\Jin.\What did you do to my Gnis? response:	And how was the harvest?
context: I finally found...\the one person who'll wait for me.\Perhaps that flying boy is...\No, he couldn't be.\The wild child's back.\Jin.\What did you do to my Gnis?\And how was the harvest? response:	I found one.
context: the one person who'll wait for me.\Perhaps that flying boy is...\No, he couldn't be.\The wild child's back.\Jin.\What did you do to my Gnis?\And how was the harvest?\I found one. response:	My very own wench.
context: Perhaps that flying boy is...\No, he couldn't be.\The wild child's back.\Jin.\What did you do to my Gnis?\And how was the harvest?\I found one.\My very own wench. response:	Unions are supposed to be really hard.
context: No, he couldn't be.\The wild child's back.\Jin.\What did you do to my Gnis?\And how was the harvest?\I found one.\My very own wench.\Unions are supposed to be really hard. response:	So it's okay if you're not very good the first time.
context: The wild child's back.\Jin.\What did you do to my Gnis?\And how was the harvest?\I found one.\My very own wench.\Unions are supposed to be really hard.\So it's okay if you're not very good the first time. response:	Next time on Aquarion Evol: Measure of Excitement Rapid Rise!
context: Jin.\What did you do to my Gnis?\And how was the harvest?\I found one.\My very own wench.\Unions are supposed to be really hard.\So it's okay if you're not very good the first time.\Next time on Aquarion Evol: Measure of Excitement Rapid Rise! response:	Next Time
context: What did you do to my Gnis?\And how was the harvest?\I found one.\My very own wench.\Unions are supposed to be really hard.\So it's okay if you're not very good the first time.\Next time on Aquarion Evol: Measure of Excitement Rapid Rise!\Next Time response:	Measure of Excitement Rapid Rise
context: And how was the harvest?\I found one.\My very own wench.\Unions are supposed to be really hard.\So it's okay if you're not very good the first time.\Next time on Aquarion Evol: Measure of Excitement Rapid Rise!\Next Time\Measure of Excitement Rapid Rise response:	The Legendary Forbidden Union of the End Special
context: I found one.\My very own wench.\Unions are supposed to be really hard.\So it's okay if you're not very good the first time.\Next time on Aquarion Evol: Measure of Excitement Rapid Rise!\Next Time\Measure of Excitement Rapid Rise\The Legendary Forbidden Union of the End Special response:	After 12,000 years...
context: My very own wench.\Unions are supposed to be really hard.\So it's okay if you're not very good the first time.\Next time on Aquarion Evol: Measure of Excitement Rapid Rise!\Next Time\Measure of Excitement Rapid Rise\The Legendary Forbidden Union of the End Special\After 12,000 years... response:	A new legend is born...
context: Unions are supposed to be really hard.\So it's okay if you're not very good the first time.\Next time on Aquarion Evol: Measure of Excitement Rapid Rise!\Next Time\Measure of Excitement Rapid Rise\The Legendary Forbidden Union of the End Special\After 12,000 years...\A new legend is born... response:	After 12,000 years...
context: So it's okay if you're not very good the first time.\Next time on Aquarion Evol: Measure of Excitement Rapid Rise!\Next Time\Measure of Excitement Rapid Rise\The Legendary Forbidden Union of the End Special\After 12,000 years...\A new legend is born...\After 12,000 years... response:	A new legend is born...
context: Next time on Aquarion Evol: Measure of Excitement Rapid Rise!\Next Time\Measure of Excitement Rapid Rise\The Legendary Forbidden Union of the End Special\After 12,000 years...\A new legend is born...\After 12,000 years...\A new legend is born... response:	kaze ni ubawareta wake janai
context: Next Time\Measure of Excitement Rapid Rise\The Legendary Forbidden Union of the End Special\After 12,000 years...\A new legend is born...\After 12,000 years...\A new legend is born...\kaze ni ubawareta wake janai response:	We weren't spirited away on the wind
context: Measure of Excitement Rapid Rise\The Legendary Forbidden Union of the End Special\After 12,000 years...\A new legend is born...\After 12,000 years...\A new legend is born...\kaze ni ubawareta wake janai\We weren't spirited away on the wind response:	katamichi bun no yuuki de bokura
context: The Legendary Forbidden Union of the End Special\After 12,000 years...\A new legend is born...\After 12,000 years...\A new legend is born...\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura response:	We knew we could never return, and found the courage
context: After 12,000 years...\A new legend is born...\After 12,000 years...\A new legend is born...\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage response:	higeki wo ukeireru
context: A new legend is born...\After 12,000 years...\A new legend is born...\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru response:	to accept the hardship
context: After 12,000 years...\A new legend is born...\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship response:	kokoro ga koko ni atta hazu no kuudou
context: A new legend is born...\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou response:	There's an emptiness where my heart used to be
context: kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be response:	motto boku ga ookikereba
context: We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba response:	If only I was stronger
context: katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger response:	kimi wo mirai wo sukueta darou ka
context: We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka response:	I could have saved you, and our future...
context: higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future... response:	taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai
context: to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai response:	I only know of one way to keep the people I love
context: kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love response:	sonna anata ga haguretadayou sora
context: There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora response:	And you left me and disappeared into the sky
context: motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky response:	anata ijou no hito ni deaenai
context: If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai response:	I'll never find anyone like you again
context: kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again response:	tsuki ni aragau nagai furea
context: I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea response:	A long flare reaches out against the moon
context: taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon response:	hajimaru mo sezu owaru monogatari
context: I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari response:	The story ends before it could even begin
context: sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin response:	kizutsukiuru yawarakasa
context: And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa response:	So soft, so fragile
context: anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile response:	tojikometa senritsu kanaderu hodo
context: I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo response:	I will call up the melody locked away
context: tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away response:	utau hodo kowareru hodo ni
context: A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni response:	And sing it until I destroy myself
context: hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself response:	anata ga koishii
context: The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii response:	That's how much I love you
context: kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you response:	kaze ni ubawareta wake janai
context: So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you\kaze ni ubawareta wake janai response:	We weren't spirited away on the wind
context: tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you\kaze ni ubawareta wake janai\We weren't spirited away on the wind response:	katamichi bun no yuuki de bokura
context: I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura response:	We knew we could never return, and found the courage
context: utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage response:	higeki wo ukeireru
context: And sing it until I destroy myself\anata ga koishii\That's how much I love you\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru response:	to accept the hardship
context: anata ga koishii\That's how much I love you\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship response:	kokoro ga koko ni atta hazu no kuudou
context: That's how much I love you\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou response:	There's an emptiness where my heart used to be
context: kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be response:	motto boku ga ookikereba
context: We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba response:	If only I was stronger
context: katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger response:	kimi wo mirai wo sukueta darou ka
context: We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka response:	I could have saved you, and our future...
context: higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future... response:	taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai
context: to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai response:	I only know of one way to keep the people I love
context: kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love response:	sonna anata ga haguretadayou sora
context: There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora response:	And you left me and disappeared into the sky
context: motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky response:	anata ijou no hito ni deaenai
context: If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai response:	I'll never find anyone like you again
context: kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again response:	tsuki ni aragau nagai furea
context: I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea response:	A long flare reaches out against the moon
context: taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon response:	hajimaru mo sezu owaru monogatari
context: I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari response:	The story ends before it could even begin
context: sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin response:	kizutsukiuru yawarakasa
context: And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa response:	So soft, so fragile
context: anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile response:	tojikometa senritsu kanaderu hodo
context: I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo response:	I will call up the melody locked away
context: tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away response:	utau hodo kowareru hodo ni
context: A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni response:	And sing it until I destroy myself
context: hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself response:	anata ga koishii
context: The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii response:	That's how much I love you
