context: I'm taking you off this case, Kougami. response:	The body was eroded by a special kind of chemical.
context: Thanks, that was a big help.\Let's check the investigation files.\Does Ouryou Rouichi bring up anything?\Let's see...\There's a student at Ousou Academy with the same surname.\Kougami! She's a blood relative!\Have you seen any suspicious people?\No. response:	I see... Then...
context: Let's check the investigation files.\Does Ouryou Rouichi bring up anything?\Let's see...\There's a student at Ousou Academy with the same surname.\Kougami! She's a blood relative!\Have you seen any suspicious people?\No.\I see... Then... response:	K-Ko!
context: Does Ouryou Rouichi bring up anything?\Let's see...\There's a student at Ousou Academy with the same surname.\Kougami! She's a blood relative!\Have you seen any suspicious people?\No.\I see... Then...\K-Ko! response:	Ah...
context: Let's see...\There's a student at Ousou Academy with the same surname.\Kougami! She's a blood relative!\Have you seen any suspicious people?\No.\I see... Then...\K-Ko!\Ah... response:	That idiot!
context: There's a student at Ousou Academy with the same surname.\Kougami! She's a blood relative!\Have you seen any suspicious people?\No.\I see... Then...\K-Ko!\Ah...\That idiot! response:	Please wait! There's a suspect among the students!
context: Kougami! She's a blood relative!\Have you seen any suspicious people?\No.\I see... Then...\K-Ko!\Ah...\That idiot!\Please wait! There's a suspect among the students! response:	Huh?
context: Have you seen any suspicious people?\No.\I see... Then...\K-Ko!\Ah...\That idiot!\Please wait! There's a suspect among the students!\Huh? response:	Hey! What do you think you're doing?!
context: No.\I see... Then...\K-Ko!\Ah...\That idiot!\Please wait! There's a suspect among the students!\Huh?\Hey! What do you think you're doing?! response:	We repeatedly requested your tact and consideration during the investigation
context: I see... Then...\K-Ko!\Ah...\That idiot!\Please wait! There's a suspect among the students!\Huh?\Hey! What do you think you're doing?!\We repeatedly requested your tact and consideration during the investigation response:	so as to avoid placing unnecessary stress upon the students!
context: K-Ko!\Ah...\That idiot!\Please wait! There's a suspect among the students!\Huh?\Hey! What do you think you're doing?!\We repeatedly requested your tact and consideration during the investigation\so as to avoid placing unnecessary stress upon the students! response:	You are Ouryou Rikako, correct?
context: Ah...\That idiot!\Please wait! There's a suspect among the students!\Huh?\Hey! What do you think you're doing?!\We repeatedly requested your tact and consideration during the investigation\so as to avoid placing unnecessary stress upon the students!\You are Ouryou Rikako, correct? response:	What of it?
context: That idiot!\Please wait! There's a suspect among the students!\Huh?\Hey! What do you think you're doing?!\We repeatedly requested your tact and consideration during the investigation\so as to avoid placing unnecessary stress upon the students!\You are Ouryou Rikako, correct?\What of it? response:	Crime Coefficient is 472.
context: Please wait! There's a suspect among the students!\Huh?\Hey! What do you think you're doing?!\We repeatedly requested your tact and consideration during the investigation\so as to avoid placing unnecessary stress upon the students!\You are Ouryou Rikako, correct?\What of it?\Crime Coefficient is 472. response:	Enforcement mode is Lethal Eliminator.
context: Huh?\Hey! What do you think you're doing?!\We repeatedly requested your tact and consideration during the investigation\so as to avoid placing unnecessary stress upon the students!\You are Ouryou Rikako, correct?\What of it?\Crime Coefficient is 472.\Enforcement mode is Lethal Eliminator. response:	Aim carefully and eliminate the target.
context: Hey! What do you think you're doing?!\We repeatedly requested your tact and consideration during the investigation\so as to avoid placing unnecessary stress upon the students!\You are Ouryou Rikako, correct?\What of it?\Crime Coefficient is 472.\Enforcement mode is Lethal Eliminator.\Aim carefully and eliminate the target. response:	What're you doing?!
context: We repeatedly requested your tact and consideration during the investigation\so as to avoid placing unnecessary stress upon the students!\You are Ouryou Rikako, correct?\What of it?\Crime Coefficient is 472.\Enforcement mode is Lethal Eliminator.\Aim carefully and eliminate the target.\What're you doing?! response:	Stop it!
context: so as to avoid placing unnecessary stress upon the students!\You are Ouryou Rikako, correct?\What of it?\Crime Coefficient is 472.\Enforcement mode is Lethal Eliminator.\Aim carefully and eliminate the target.\What're you doing?!\Stop it! response:	A-Are you guys insane?! She's a minor!
context: You are Ouryou Rikako, correct?\What of it?\Crime Coefficient is 472.\Enforcement mode is Lethal Eliminator.\Aim carefully and eliminate the target.\What're you doing?!\Stop it!\A-Are you guys insane?! She's a minor! response:	Well, sir... we don't have juvenile law these days.
context: What of it?\Crime Coefficient is 472.\Enforcement mode is Lethal Eliminator.\Aim carefully and eliminate the target.\What're you doing?!\Stop it!\A-Are you guys insane?! She's a minor!\Well, sir... we don't have juvenile law these days. response:	That was close.
context: Crime Coefficient is 472.\Enforcement mode is Lethal Eliminator.\Aim carefully and eliminate the target.\What're you doing?!\Stop it!\A-Are you guys insane?! She's a minor!\Well, sir... we don't have juvenile law these days.\That was close. response:	Thanks. Did Mr. Makishima also arrange this?
context: Enforcement mode is Lethal Eliminator.\Aim carefully and eliminate the target.\What're you doing?!\Stop it!\A-Are you guys insane?! She's a minor!\Well, sir... we don't have juvenile law these days.\That was close.\Thanks. Did Mr. Makishima also arrange this? response:	Yes.
