context: I apologize for summoning you on such short notice. response:	To be frank, I'd like to ask you for a favor.
context: But now that it's come to this,\I don't have a choice!\I am taking custody of Kanbara Akihito.\Please hand him over without any trouble.\I'd like to hear your reason why first.\You see, I promised to look after Kanbara-kun.\I don't have time to explain myself.\Besides, I doubt you'd believe me even if I did. response:	Did you truly believe I'd hand him over after hearing that?
context: I don't have a choice!\I am taking custody of Kanbara Akihito.\Please hand him over without any trouble.\I'd like to hear your reason why first.\You see, I promised to look after Kanbara-kun.\I don't have time to explain myself.\Besides, I doubt you'd believe me even if I did.\Did you truly believe I'd hand him over after hearing that? response:	My, my.
context: I am taking custody of Kanbara Akihito.\Please hand him over without any trouble.\I'd like to hear your reason why first.\You see, I promised to look after Kanbara-kun.\I don't have time to explain myself.\Besides, I doubt you'd believe me even if I did.\Did you truly believe I'd hand him over after hearing that?\My, my. response:	She's much stronger than I had anticipated.
context: Please hand him over without any trouble.\I'd like to hear your reason why first.\You see, I promised to look after Kanbara-kun.\I don't have time to explain myself.\Besides, I doubt you'd believe me even if I did.\Did you truly believe I'd hand him over after hearing that?\My, my.\She's much stronger than I had anticipated. response:	Honestly, I'm glad we're in the middle of the Calm.
context: I'd like to hear your reason why first.\You see, I promised to look after Kanbara-kun.\I don't have time to explain myself.\Besides, I doubt you'd believe me even if I did.\Did you truly believe I'd hand him over after hearing that?\My, my.\She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm. response:	Where do you think you're going?
context: You see, I promised to look after Kanbara-kun.\I don't have time to explain myself.\Besides, I doubt you'd believe me even if I did.\Did you truly believe I'd hand him over after hearing that?\My, my.\She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going? response:	Even during the Calm, you're this powerful?
context: I don't have time to explain myself.\Besides, I doubt you'd believe me even if I did.\Did you truly believe I'd hand him over after hearing that?\My, my.\She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful? response:	Impressive!
context: Besides, I doubt you'd believe me even if I did.\Did you truly believe I'd hand him over after hearing that?\My, my.\She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive! response:	But how about this?
context: Did you truly believe I'd hand him over after hearing that?\My, my.\She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this? response:	You're here early.
context: My, my.\She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this?\You're here early. response:	Do you prefer girls who keep you waiting?
context: She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this?\You're here early.\Do you prefer girls who keep you waiting? response:	Aya-chan...
context: Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this?\You're here early.\Do you prefer girls who keep you waiting?\Aya-chan... response:	Senpai!
context: Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this?\You're here early.\Do you prefer girls who keep you waiting?\Aya-chan...\Senpai! response:	seijaku wo kirisaku you otozureta no wa
context: Even during the Calm, you're this powerful?\Impressive!\But how about this?\You're here early.\Do you prefer girls who keep you waiting?\Aya-chan...\Senpai!\seijaku wo kirisaku you otozureta no wa response:	Breaking through the silence
context: Impressive!\But how about this?\You're here early.\Do you prefer girls who keep you waiting?\Aya-chan...\Senpai!\seijaku wo kirisaku you otozureta no wa\Breaking through the silence response:	hitsuzen toshite no kaikou
context: But how about this?\You're here early.\Do you prefer girls who keep you waiting?\Aya-chan...\Senpai!\seijaku wo kirisaku you otozureta no wa\Breaking through the silence\hitsuzen toshite no kaikou response:	We met in an inevitable encounter
context: You're here early.\Do you prefer girls who keep you waiting?\Aya-chan...\Senpai!\seijaku wo kirisaku you otozureta no wa\Breaking through the silence\hitsuzen toshite no kaikou\We met in an inevitable encounter response:	bokura no tame ni
context: Do you prefer girls who keep you waiting?\Aya-chan...\Senpai!\seijaku wo kirisaku you otozureta no wa\Breaking through the silence\hitsuzen toshite no kaikou\We met in an inevitable encounter\bokura no tame ni response:	For both our sakes
context: Aya-chan...\Senpai!\seijaku wo kirisaku you otozureta no wa\Breaking through the silence\hitsuzen toshite no kaikou\We met in an inevitable encounter\bokura no tame ni\For both our sakes response:	koukai wo nageku me ni
context: Senpai!\seijaku wo kirisaku you otozureta no wa\Breaking through the silence\hitsuzen toshite no kaikou\We met in an inevitable encounter\bokura no tame ni\For both our sakes\koukai wo nageku me ni response:	In your mournful eyes
context: seijaku wo kirisaku you otozureta no wa\Breaking through the silence\hitsuzen toshite no kaikou\We met in an inevitable encounter\bokura no tame ni\For both our sakes\koukai wo nageku me ni\In your mournful eyes response:	utsuru kimi wa sou
context: Breaking through the silence\hitsuzen toshite no kaikou\We met in an inevitable encounter\bokura no tame ni\For both our sakes\koukai wo nageku me ni\In your mournful eyes\utsuru kimi wa sou response:	I see a reflection of regrets
context: hitsuzen toshite no kaikou\We met in an inevitable encounter\bokura no tame ni\For both our sakes\koukai wo nageku me ni\In your mournful eyes\utsuru kimi wa sou\I see a reflection of regrets response:	urei wo matotte utsukushiku saita
context: We met in an inevitable encounter\bokura no tame ni\For both our sakes\koukai wo nageku me ni\In your mournful eyes\utsuru kimi wa sou\I see a reflection of regrets\urei wo matotte utsukushiku saita response:	Enveloped in sorrow, you've blossomed beautifully
context: bokura no tame ni\For both our sakes\koukai wo nageku me ni\In your mournful eyes\utsuru kimi wa sou\I see a reflection of regrets\urei wo matotte utsukushiku saita\Enveloped in sorrow, you've blossomed beautifully response:	dare ka no seimei ni tokeru hana
context: For both our sakes\koukai wo nageku me ni\In your mournful eyes\utsuru kimi wa sou\I see a reflection of regrets\urei wo matotte utsukushiku saita\Enveloped in sorrow, you've blossomed beautifully\dare ka no seimei ni tokeru hana response:	The flower that fuses into someone's life
context: koukai wo nageku me ni\In your mournful eyes\utsuru kimi wa sou\I see a reflection of regrets\urei wo matotte utsukushiku saita\Enveloped in sorrow, you've blossomed beautifully\dare ka no seimei ni tokeru hana\The flower that fuses into someone's life response:	nee kimi ni mo mieru darou
context: In your mournful eyes\utsuru kimi wa sou\I see a reflection of regrets\urei wo matotte utsukushiku saita\Enveloped in sorrow, you've blossomed beautifully\dare ka no seimei ni tokeru hana\The flower that fuses into someone's life\nee kimi ni mo mieru darou response:	Hey, do you see it too?
context: utsuru kimi wa sou\I see a reflection of regrets\urei wo matotte utsukushiku saita\Enveloped in sorrow, you've blossomed beautifully\dare ka no seimei ni tokeru hana\The flower that fuses into someone's life\nee kimi ni mo mieru darou\Hey, do you see it too? response:	kitto
context: I see a reflection of regrets\urei wo matotte utsukushiku saita\Enveloped in sorrow, you've blossomed beautifully\dare ka no seimei ni tokeru hana\The flower that fuses into someone's life\nee kimi ni mo mieru darou\Hey, do you see it too?\kitto response:	I'm sure you do
context: urei wo matotte utsukushiku saita\Enveloped in sorrow, you've blossomed beautifully\dare ka no seimei ni tokeru hana\The flower that fuses into someone's life\nee kimi ni mo mieru darou\Hey, do you see it too?\kitto\I'm sure you do response:	kasaneta ayamachi nurikaeyou
context: Enveloped in sorrow, you've blossomed beautifully\dare ka no seimei ni tokeru hana\The flower that fuses into someone's life\nee kimi ni mo mieru darou\Hey, do you see it too?\kitto\I'm sure you do\kasaneta ayamachi nurikaeyou response:	Let's paint over all the mistakes we've made
context: dare ka no seimei ni tokeru hana\The flower that fuses into someone's life\nee kimi ni mo mieru darou\Hey, do you see it too?\kitto\I'm sure you do\kasaneta ayamachi nurikaeyou\Let's paint over all the mistakes we've made response:	nando demo ii sa kurikaeshiteiku start line
context: The flower that fuses into someone's life\nee kimi ni mo mieru darou\Hey, do you see it too?\kitto\I'm sure you do\kasaneta ayamachi nurikaeyou\Let's paint over all the mistakes we've made\nando demo ii sa kurikaeshiteiku start line response:	A new start line will always be there if we want to start over
context: nee kimi ni mo mieru darou\Hey, do you see it too?\kitto\I'm sure you do\kasaneta ayamachi nurikaeyou\Let's paint over all the mistakes we've made\nando demo ii sa kurikaeshiteiku start line\A new start line will always be there if we want to start over response:	kako to wa chigau asu wo
context: Hey, do you see it too?\kitto\I'm sure you do\kasaneta ayamachi nurikaeyou\Let's paint over all the mistakes we've made\nando demo ii sa kurikaeshiteiku start line\A new start line will always be there if we want to start over\kako to wa chigau asu wo response:	Let's make our future different from the past
context: kitto\I'm sure you do\kasaneta ayamachi nurikaeyou\Let's paint over all the mistakes we've made\nando demo ii sa kurikaeshiteiku start line\A new start line will always be there if we want to start over\kako to wa chigau asu wo\Let's make our future different from the past response:	futari dake no kibou egaku start line
context: I'm sure you do\kasaneta ayamachi nurikaeyou\Let's paint over all the mistakes we've made\nando demo ii sa kurikaeshiteiku start line\A new start line will always be there if we want to start over\kako to wa chigau asu wo\Let's make our future different from the past\futari dake no kibou egaku start line response:	Our small hope will paint a new start line
context: kasaneta ayamachi nurikaeyou\Let's paint over all the mistakes we've made\nando demo ii sa kurikaeshiteiku start line\A new start line will always be there if we want to start over\kako to wa chigau asu wo\Let's make our future different from the past\futari dake no kibou egaku start line\Our small hope will paint a new start line response:	I never say goodbye
context: Let's paint over all the mistakes we've made\nando demo ii sa kurikaeshiteiku start line\A new start line will always be there if we want to start over\kako to wa chigau asu wo\Let's make our future different from the past\futari dake no kibou egaku start line\Our small hope will paint a new start line\I never say goodbye response:	itsu datte sou sa
context: nando demo ii sa kurikaeshiteiku start line\A new start line will always be there if we want to start over\kako to wa chigau asu wo\Let's make our future different from the past\futari dake no kibou egaku start line\Our small hope will paint a new start line\I never say goodbye\itsu datte sou sa response:	That's how I always am
context: A new start line will always be there if we want to start over\kako to wa chigau asu wo\Let's make our future different from the past\futari dake no kibou egaku start line\Our small hope will paint a new start line\I never say goodbye\itsu datte sou sa\That's how I always am response:	I wish I never met him.
context: kako to wa chigau asu wo\Let's make our future different from the past\futari dake no kibou egaku start line\Our small hope will paint a new start line\I never say goodbye\itsu datte sou sa\That's how I always am\I wish I never met him. response:	Where are you right now?
context: Let's make our future different from the past\futari dake no kibou egaku start line\Our small hope will paint a new start line\I never say goodbye\itsu datte sou sa\That's how I always am\I wish I never met him.\Where are you right now? response:	Silver Bamboo
context: futari dake no kibou egaku start line\Our small hope will paint a new start line\I never say goodbye\itsu datte sou sa\That's how I always am\I wish I never met him.\Where are you right now?\Silver Bamboo response:	Silver Bamboo
context: Our small hope will paint a new start line\I never say goodbye\itsu datte sou sa\That's how I always am\I wish I never met him.\Where are you right now?\Silver Bamboo\Silver Bamboo response:	Silver Bamboo
context: I never say goodbye\itsu datte sou sa\That's how I always am\I wish I never met him.\Where are you right now?\Silver Bamboo\Silver Bamboo\Silver Bamboo response:	I'm in front of Senpai.
context: itsu datte sou sa\That's how I always am\I wish I never met him.\Where are you right now?\Silver Bamboo\Silver Bamboo\Silver Bamboo\I'm in front of Senpai. response:	Kill him.
context: That's how I always am\I wish I never met him.\Where are you right now?\Silver Bamboo\Silver Bamboo\Silver Bamboo\I'm in front of Senpai.\Kill him. response:	I think that maybe, just maybe, I really am cursed.
