context: I've always hoped that you could forget what happened 300 years ago. response:	Now that you've fallen for this high god...
context: Have you forgotten?\This is different!\Even if he saw Mo Yuan's body then\he must have sensed that his soul and spirit were gone.\However, Mo Yuan's spirit is now here.\Some day, he will return to Kunlun Mountain\and restore the Celestial Tribe to glory.\This will then be different. response:	Mo Yuan would then be a true living being to him.
context: This is different!\Even if he saw Mo Yuan's body then\he must have sensed that his soul and spirit were gone.\However, Mo Yuan's spirit is now here.\Some day, he will return to Kunlun Mountain\and restore the Celestial Tribe to glory.\This will then be different.\Mo Yuan would then be a true living being to him. response:	You do have a point.
context: Even if he saw Mo Yuan's body then\he must have sensed that his soul and spirit were gone.\However, Mo Yuan's spirit is now here.\Some day, he will return to Kunlun Mountain\and restore the Celestial Tribe to glory.\This will then be different.\Mo Yuan would then be a true living being to him.\You do have a point. response:	It seems that before I inform Qian Qian
context: he must have sensed that his soul and spirit were gone.\However, Mo Yuan's spirit is now here.\Some day, he will return to Kunlun Mountain\and restore the Celestial Tribe to glory.\This will then be different.\Mo Yuan would then be a true living being to him.\You do have a point.\It seems that before I inform Qian Qian response:	I should visit the Crown Prince of the Celestial Tribe first.
context: However, Mo Yuan's spirit is now here.\Some day, he will return to Kunlun Mountain\and restore the Celestial Tribe to glory.\This will then be different.\Mo Yuan would then be a true living being to him.\You do have a point.\It seems that before I inform Qian Qian\I should visit the Crown Prince of the Celestial Tribe first. response:	Your Highness.
context: Some day, he will return to Kunlun Mountain\and restore the Celestial Tribe to glory.\This will then be different.\Mo Yuan would then be a true living being to him.\You do have a point.\It seems that before I inform Qian Qian\I should visit the Crown Prince of the Celestial Tribe first.\Your Highness. response:	Why do you look so poorly today?
context: and restore the Celestial Tribe to glory.\This will then be different.\Mo Yuan would then be a true living being to him.\You do have a point.\It seems that before I inform Qian Qian\I should visit the Crown Prince of the Celestial Tribe first.\Your Highness.\Why do you look so poorly today? response:	I'm fine. What is it?
context: This will then be different.\Mo Yuan would then be a true living being to him.\You do have a point.\It seems that before I inform Qian Qian\I should visit the Crown Prince of the Celestial Tribe first.\Your Highness.\Why do you look so poorly today?\I'm fine. What is it? response:	High God Zhe Yan is here.
context: Mo Yuan would then be a true living being to him.\You do have a point.\It seems that before I inform Qian Qian\I should visit the Crown Prince of the Celestial Tribe first.\Your Highness.\Why do you look so poorly today?\I'm fine. What is it?\High God Zhe Yan is here. response:	Zhe Yan?
context: You do have a point.\It seems that before I inform Qian Qian\I should visit the Crown Prince of the Celestial Tribe first.\Your Highness.\Why do you look so poorly today?\I'm fine. What is it?\High God Zhe Yan is here.\Zhe Yan? response:	High God Zhe Yan.
context: It seems that before I inform Qian Qian\I should visit the Crown Prince of the Celestial Tribe first.\Your Highness.\Why do you look so poorly today?\I'm fine. What is it?\High God Zhe Yan is here.\Zhe Yan?\High God Zhe Yan. response:	Crown Prince.
context: I should visit the Crown Prince of the Celestial Tribe first.\Your Highness.\Why do you look so poorly today?\I'm fine. What is it?\High God Zhe Yan is here.\Zhe Yan?\High God Zhe Yan.\Crown Prince. response:	What brings High God here today?
context: Your Highness.\Why do you look so poorly today?\I'm fine. What is it?\High God Zhe Yan is here.\Zhe Yan?\High God Zhe Yan.\Crown Prince.\What brings High God here today? response:	Mo Yuan will soon be awake.
context: Why do you look so poorly today?\I'm fine. What is it?\High God Zhe Yan is here.\Zhe Yan?\High God Zhe Yan.\Crown Prince.\What brings High God here today?\Mo Yuan will soon be awake. response:	Is that so?
context: I'm fine. What is it?\High God Zhe Yan is here.\Zhe Yan?\High God Zhe Yan.\Crown Prince.\What brings High God here today?\Mo Yuan will soon be awake.\Is that so? response:	Is there nothing you wish to say?
context: High God Zhe Yan is here.\Zhe Yan?\High God Zhe Yan.\Crown Prince.\What brings High God here today?\Mo Yuan will soon be awake.\Is that so?\Is there nothing you wish to say? response:	No.
context: Zhe Yan?\High God Zhe Yan.\Crown Prince.\What brings High God here today?\Mo Yuan will soon be awake.\Is that so?\Is there nothing you wish to say?\No. response:	It's just that... I don't know when he will wake up.
context: High God Zhe Yan.\Crown Prince.\What brings High God here today?\Mo Yuan will soon be awake.\Is that so?\Is there nothing you wish to say?\No.\It's just that... I don't know when he will wake up. response:	He's now using the Crown Prince of West Sea's body
context: Crown Prince.\What brings High God here today?\Mo Yuan will soon be awake.\Is that so?\Is there nothing you wish to say?\No.\It's just that... I don't know when he will wake up.\He's now using the Crown Prince of West Sea's body response:	to recover his spirit slowly.
context: What brings High God here today?\Mo Yuan will soon be awake.\Is that so?\Is there nothing you wish to say?\No.\It's just that... I don't know when he will wake up.\He's now using the Crown Prince of West Sea's body\to recover his spirit slowly. response:	Judging by his current condition
context: Mo Yuan will soon be awake.\Is that so?\Is there nothing you wish to say?\No.\It's just that... I don't know when he will wake up.\He's now using the Crown Prince of West Sea's body\to recover his spirit slowly.\Judging by his current condition response:	it might take another 7,000 or 8,000 years to return to his immortal body.
context: Is that so?\Is there nothing you wish to say?\No.\It's just that... I don't know when he will wake up.\He's now using the Crown Prince of West Sea's body\to recover his spirit slowly.\Judging by his current condition\it might take another 7,000 or 8,000 years to return to his immortal body. response:	When I visited Mo Yuan's spirit last night
context: Is there nothing you wish to say?\No.\It's just that... I don't know when he will wake up.\He's now using the Crown Prince of West Sea's body\to recover his spirit slowly.\Judging by his current condition\it might take another 7,000 or 8,000 years to return to his immortal body.\When I visited Mo Yuan's spirit last night response:	I suddenly recalled the year Qian Qian was taken in as his disciple.
context: No.\It's just that... I don't know when he will wake up.\He's now using the Crown Prince of West Sea's body\to recover his spirit slowly.\Judging by his current condition\it might take another 7,000 or 8,000 years to return to his immortal body.\When I visited Mo Yuan's spirit last night\I suddenly recalled the year Qian Qian was taken in as his disciple. response:	It was her first trip to Kunlun Mountain.
context: It's just that... I don't know when he will wake up.\He's now using the Crown Prince of West Sea's body\to recover his spirit slowly.\Judging by his current condition\it might take another 7,000 or 8,000 years to return to his immortal body.\When I visited Mo Yuan's spirit last night\I suddenly recalled the year Qian Qian was taken in as his disciple.\It was her first trip to Kunlun Mountain. response:	I took her there.
context: He's now using the Crown Prince of West Sea's body\to recover his spirit slowly.\Judging by his current condition\it might take another 7,000 or 8,000 years to return to his immortal body.\When I visited Mo Yuan's spirit last night\I suddenly recalled the year Qian Qian was taken in as his disciple.\It was her first trip to Kunlun Mountain.\I took her there. response:	She heard that Mo Yuan was the God of War and was thrilled.
context: to recover his spirit slowly.\Judging by his current condition\it might take another 7,000 or 8,000 years to return to his immortal body.\When I visited Mo Yuan's spirit last night\I suddenly recalled the year Qian Qian was taken in as his disciple.\It was her first trip to Kunlun Mountain.\I took her there.\She heard that Mo Yuan was the God of War and was thrilled. response:	She imagined Mo Yuan as a majestic high god with three heads and six arms.
