context: Got tickets for the premier showing? response:	Nope. Radio Taikan was completely out.
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino response:	Save Kirino
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino response:	Save Kirino
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino response:	Save Kirino
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino response:	Save Kirino
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino response:	Save Kirino
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino response:	Save Kirino
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino response:	Save the Little sisters
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save the Little sisters response:	Save the Little sisters
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save Kirino\Save Kirino\Save Kirino\Save Kirino\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save Kirino\Save Kirino\Save Kirino\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save Kirino\Save Kirino\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save Kirino\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Save the Little sisters
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters response:	Obey Dad
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Obey Dad response:	Obey Dad
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Obey Dad\Obey Dad response:	Obey Dad
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Obey Dad\Obey Dad\Obey Dad response:	Obey Dad
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Save the Little sisters\Obey Dad\Obey Dad\Obey Dad\Obey Dad response:	Obey Dad
context: Save the Little sisters\Save the Little sisters\Save the Little sisters\Obey Dad\Obey Dad\Obey Dad\Obey Dad\Obey Dad response:	H HO
context: Save the Little sisters\Save the Little sisters\Obey Dad\Obey Dad\Obey Dad\Obey Dad\Obey Dad\H HO response:	HO O
context: Save the Little sisters\Obey Dad\Obey Dad\Obey Dad\Obey Dad\Obey Dad\H HO\HO O response:	sonna yasashiku shinai de donna kao sureba ii no
context: Obey Dad\Obey Dad\Obey Dad\Obey Dad\Obey Dad\H HO\HO O\sonna yasashiku shinai de donna kao sureba ii no response:	tsumikasaneta kotoba de mienaiyo kimi no yokogao
context: Obey Dad\Obey Dad\Obey Dad\Obey Dad\H HO\HO O\sonna yasashiku shinai de donna kao sureba ii no\tsumikasaneta kotoba de mienaiyo kimi no yokogao response:	dokodakke? nakushita kagi ha mitsukaranai mama de
context: Obey Dad\Obey Dad\Obey Dad\H HO\HO O\sonna yasashiku shinai de donna kao sureba ii no\tsumikasaneta kotoba de mienaiyo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de response:	tameiki surechigai ni iji hatte tsukarechau
context: Obey Dad\Obey Dad\H HO\HO O\sonna yasashiku shinai de donna kao sureba ii no\tsumikasaneta kotoba de mienaiyo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki surechigai ni iji hatte tsukarechau response:	hon no sukoshi chikaku kimi to no kyori ga
context: Obey Dad\H HO\HO O\sonna yasashiku shinai de donna kao sureba ii no\tsumikasaneta kotoba de mienaiyo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga response:	umaku tsukamenainda ato chotto na no ni
context: H HO\HO O\sonna yasashiku shinai de donna kao sureba ii no\tsumikasaneta kotoba de mienaiyo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni response:	sonna yasashikushinaide hora mata kizutsukeatte
context: HO O\sonna yasashiku shinai de donna kao sureba ii no\tsumikasaneta kotoba de mienaiyo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte response:	tsumikasaneta uso demo ugokenakunatteru
context: sonna yasashiku shinai de donna kao sureba ii no\tsumikasaneta kotoba de mienaiyo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso demo ugokenakunatteru response:	sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi
context: tsumikasaneta kotoba de mienaiyo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso demo ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi response:	saigo no ichi pe-ji kai? kimi ni ha egao misetai
context: dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso demo ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kai? kimi ni ha egao misetai response:	Don't be so nice to me, I just don't know how to react
context: tameiki surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso demo ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kai? kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react response:	With all these words piling up, I can't even see your face
context: hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso demo ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kai? kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up, I can't even see your face response:	Where is it? I lost my key, now I can't find it
context: umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso demo ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kai? kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up, I can't even see your face\Where is it? I lost my key, now I can't find it response:	Sigh, I'll burn out if I keep acting like this whenever we miss
context: sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso demo ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kai? kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up, I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we miss response:	Maybe we're close? I just can't figure out
context: tsumikasaneta uso demo ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kai? kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up, I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we miss\Maybe we're close? I just can't figure out response:	Just how far away I am, even though you're right there
context: sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kai? kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up, I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we miss\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there response:	Don't be so nice to me, see? We hurt each other again
context: saigo no ichi pe-ji kai? kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up, I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we miss\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again response:	With all these lies piling up, I can't even move
context: Don't be so nice to me, I just don't know how to react\With all these words piling up, I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we miss\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move response:	I want to see you now, but I don't know what to say
context: With all these words piling up, I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we miss\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say response:	Is this the end for our story? I want you to see my smile
