context: This is a story about my father, my mother, and me. response:	About our family of three.
context: He's wearing one!\I'm your new editor, Tomaruin Satsuki.\Nice to meet you, I'm Goto.\A little close, aren't you?\I'll go pour you some tea, Dad.\Please, take your time.\Asshole, why'd you wear it here?!\You damn dick cheese! response:	I thought you'd be happy I wore it!
context: I'm your new editor, Tomaruin Satsuki.\Nice to meet you, I'm Goto.\A little close, aren't you?\I'll go pour you some tea, Dad.\Please, take your time.\Asshole, why'd you wear it here?!\You damn dick cheese!\I thought you'd be happy I wore it! response:	I didn't want to wear this embarrassing thing.
context: Nice to meet you, I'm Goto.\A little close, aren't you?\I'll go pour you some tea, Dad.\Please, take your time.\Asshole, why'd you wear it here?!\You damn dick cheese!\I thought you'd be happy I wore it!\I didn't want to wear this embarrassing thing. response:	That's why I said to make a wearable one!
context: A little close, aren't you?\I'll go pour you some tea, Dad.\Please, take your time.\Asshole, why'd you wear it here?!\You damn dick cheese!\I thought you'd be happy I wore it!\I didn't want to wear this embarrassing thing.\That's why I said to make a wearable one! response:	When making a T-shirt as a gift for readers,
context: I'll go pour you some tea, Dad.\Please, take your time.\Asshole, why'd you wear it here?!\You damn dick cheese!\I thought you'd be happy I wore it!\I didn't want to wear this embarrassing thing.\That's why I said to make a wearable one!\When making a T-shirt as a gift for readers, response:	authors always want a wearable one.
context: Please, take your time.\Asshole, why'd you wear it here?!\You damn dick cheese!\I thought you'd be happy I wore it!\I didn't want to wear this embarrassing thing.\That's why I said to make a wearable one!\When making a T-shirt as a gift for readers,\authors always want a wearable one. response:	authors always want a wearable one.
context: Asshole, why'd you wear it here?!\You damn dick cheese!\I thought you'd be happy I wore it!\I didn't want to wear this embarrassing thing.\That's why I said to make a wearable one!\When making a T-shirt as a gift for readers,\authors always want a wearable one.\authors always want a wearable one. response:	If large images of characters are printed on it,
context: You damn dick cheese!\I thought you'd be happy I wore it!\I didn't want to wear this embarrassing thing.\That's why I said to make a wearable one!\When making a T-shirt as a gift for readers,\authors always want a wearable one.\authors always want a wearable one.\If large images of characters are printed on it, response:	people will be less willing to wear it in public,
context: I thought you'd be happy I wore it!\I didn't want to wear this embarrassing thing.\That's why I said to make a wearable one!\When making a T-shirt as a gift for readers,\authors always want a wearable one.\authors always want a wearable one.\If large images of characters are printed on it,\people will be less willing to wear it in public, response:	but if it's just text,
context: I didn't want to wear this embarrassing thing.\That's why I said to make a wearable one!\When making a T-shirt as a gift for readers,\authors always want a wearable one.\authors always want a wearable one.\If large images of characters are printed on it,\people will be less willing to wear it in public,\but if it's just text, response:	or character silhouettes,
context: That's why I said to make a wearable one!\When making a T-shirt as a gift for readers,\authors always want a wearable one.\authors always want a wearable one.\If large images of characters are printed on it,\people will be less willing to wear it in public,\but if it's just text,\or character silhouettes, response:	or pixels that look like a character's face
context: When making a T-shirt as a gift for readers,\authors always want a wearable one.\authors always want a wearable one.\If large images of characters are printed on it,\people will be less willing to wear it in public,\but if it's just text,\or character silhouettes,\or pixels that look like a character's face response:	You can't tell what manga this came from, can you?
context: authors always want a wearable one.\authors always want a wearable one.\If large images of characters are printed on it,\people will be less willing to wear it in public,\but if it's just text,\or character silhouettes,\or pixels that look like a character's face\You can't tell what manga this came from, can you? response:	Use the normal one.
context: authors always want a wearable one.\If large images of characters are printed on it,\people will be less willing to wear it in public,\but if it's just text,\or character silhouettes,\or pixels that look like a character's face\You can't tell what manga this came from, can you?\Use the normal one. response:	Strip!
context: If large images of characters are printed on it,\people will be less willing to wear it in public,\but if it's just text,\or character silhouettes,\or pixels that look like a character's face\You can't tell what manga this came from, can you?\Use the normal one.\Strip! response:	Power harassment!
context: people will be less willing to wear it in public,\but if it's just text,\or character silhouettes,\or pixels that look like a character's face\You can't tell what manga this came from, can you?\Use the normal one.\Strip!\Power harassment! response:	Then just cover the picture!
context: but if it's just text,\or character silhouettes,\or pixels that look like a character's face\You can't tell what manga this came from, can you?\Use the normal one.\Strip!\Power harassment!\Then just cover the picture! response:	As naturally as possible!
context: or character silhouettes,\or pixels that look like a character's face\You can't tell what manga this came from, can you?\Use the normal one.\Strip!\Power harassment!\Then just cover the picture!\As naturally as possible! response:	Sorry it took so long.
context: or pixels that look like a character's face\You can't tell what manga this came from, can you?\Use the normal one.\Strip!\Power harassment!\Then just cover the picture!\As naturally as possible!\Sorry it took so long. response:	Is he a higher-up?
context: You can't tell what manga this came from, can you?\Use the normal one.\Strip!\Power harassment!\Then just cover the picture!\As naturally as possible!\Sorry it took so long.\Is he a higher-up? response:	I'll go get the good snacks!
context: Use the normal one.\Strip!\Power harassment!\Then just cover the picture!\As naturally as possible!\Sorry it took so long.\Is he a higher-up?\I'll go get the good snacks! response:	Hime!
context: Strip!\Power harassment!\Then just cover the picture!\As naturally as possible!\Sorry it took so long.\Is he a higher-up?\I'll go get the good snacks!\Hime! response:	She's gonna think her father has a younger boss!
context: Power harassment!\Then just cover the picture!\As naturally as possible!\Sorry it took so long.\Is he a higher-up?\I'll go get the good snacks!\Hime!\She's gonna think her father has a younger boss! response:	Try again!
context: Then just cover the picture!\As naturally as possible!\Sorry it took so long.\Is he a higher-up?\I'll go get the good snacks!\Hime!\She's gonna think her father has a younger boss!\Try again! response:	Are you a mommy?
context: As naturally as possible!\Sorry it took so long.\Is he a higher-up?\I'll go get the good snacks!\Hime!\She's gonna think her father has a younger boss!\Try again!\Are you a mommy? response:	What kind of interpretation is that?
context: Sorry it took so long.\Is he a higher-up?\I'll go get the good snacks!\Hime!\She's gonna think her father has a younger boss!\Try again!\Are you a mommy?\What kind of interpretation is that? response:	What kind of interpretation is that?
