context: The be-in... response:	Why not return it?
context: That's not how you really feel. It's just because you were stung by that magic bee.\Are you all right?!\It's only natural. I'm perfect.\Let's get out of here. There aren't any worthwhile girls anyway.\Come along, let's return home.\But then I realized it when I saw her sad smile.\She's the sort of kindhearted girls you rarely find nowadays.\She's a kindhearted girl you rarely find nowadays. response:	My father is an excellent politician.
context: Are you all right?!\It's only natural. I'm perfect.\Let's get out of here. There aren't any worthwhile girls anyway.\Come along, let's return home.\But then I realized it when I saw her sad smile.\She's the sort of kindhearted girls you rarely find nowadays.\She's a kindhearted girl you rarely find nowadays.\My father is an excellent politician. response:	That's not true. Akko, how about you?
context: It's only natural. I'm perfect.\Let's get out of here. There aren't any worthwhile girls anyway.\Come along, let's return home.\But then I realized it when I saw her sad smile.\She's the sort of kindhearted girls you rarely find nowadays.\She's a kindhearted girl you rarely find nowadays.\My father is an excellent politician.\That's not true. Akko, how about you? response:	The fallin...
context: Let's get out of here. There aren't any worthwhile girls anyway.\Come along, let's return home.\But then I realized it when I saw her sad smile.\She's the sort of kindhearted girls you rarely find nowadays.\She's a kindhearted girl you rarely find nowadays.\My father is an excellent politician.\That's not true. Akko, how about you?\The fallin... response:	I ordered a venomous bee, but they sent this one by mistake.
context: Come along, let's return home.\But then I realized it when I saw her sad smile.\She's the sort of kindhearted girls you rarely find nowadays.\She's a kindhearted girl you rarely find nowadays.\My father is an excellent politician.\That's not true. Akko, how about you?\The fallin...\I ordered a venomous bee, but they sent this one by mistake. response:	Anyone who gets stung by this bee will fall in love with the first person they see.
context: But then I realized it when I saw her sad smile.\She's the sort of kindhearted girls you rarely find nowadays.\She's a kindhearted girl you rarely find nowadays.\My father is an excellent politician.\That's not true. Akko, how about you?\The fallin...\I ordered a venomous bee, but they sent this one by mistake.\Anyone who gets stung by this bee will fall in love with the first person they see. response:	The first person?
context: She's the sort of kindhearted girls you rarely find nowadays.\She's a kindhearted girl you rarely find nowadays.\My father is an excellent politician.\That's not true. Akko, how about you?\The fallin...\I ordered a venomous bee, but they sent this one by mistake.\Anyone who gets stung by this bee will fall in love with the first person they see.\The first person? response:	Will you return it?
context: She's a kindhearted girl you rarely find nowadays.\My father is an excellent politician.\That's not true. Akko, how about you?\The fallin...\I ordered a venomous bee, but they sent this one by mistake.\Anyone who gets stung by this bee will fall in love with the first person they see.\The first person?\Will you return it? response:	Since we've got it, why not try it out on someone first?
context: My father is an excellent politician.\That's not true. Akko, how about you?\The fallin...\I ordered a venomous bee, but they sent this one by mistake.\Anyone who gets stung by this bee will fall in love with the first person they see.\The first person?\Will you return it?\Since we've got it, why not try it out on someone first? response:	Like who?
context: That's not true. Akko, how about you?\The fallin...\I ordered a venomous bee, but they sent this one by mistake.\Anyone who gets stung by this bee will fall in love with the first person they see.\The first person?\Will you return it?\Since we've got it, why not try it out on someone first?\Like who? response:	Maybe Akko.
