context: It's finally here. response:	The Okinawa training camp.
context: Not at all. We're sorry, too.\Yuuichi-kun always grabs girls' arms...\That's right. Can't be helped. We are talking about Yuuichi-kun here.\This pipsqueak here, don't you touch her.\That's so cool! Super cool!\Shut up!\Just like you said so long ago,\you really did protect me. response:	Stop talking! Forget all of it!
context: Yuuichi-kun always grabs girls' arms...\That's right. Can't be helped. We are talking about Yuuichi-kun here.\This pipsqueak here, don't you touch her.\That's so cool! Super cool!\Shut up!\Just like you said so long ago,\you really did protect me.\Stop talking! Forget all of it! response:	Not possible. I can't forget.
context: That's right. Can't be helped. We are talking about Yuuichi-kun here.\This pipsqueak here, don't you touch her.\That's so cool! Super cool!\Shut up!\Just like you said so long ago,\you really did protect me.\Stop talking! Forget all of it!\Not possible. I can't forget. response:	Memories of experiences where emotions are involved can't be forgotten.
context: This pipsqueak here, don't you touch her.\That's so cool! Super cool!\Shut up!\Just like you said so long ago,\you really did protect me.\Stop talking! Forget all of it!\Not possible. I can't forget.\Memories of experiences where emotions are involved can't be forgotten. response:	How could I forget this? I'm never gonna forget.
context: That's so cool! Super cool!\Shut up!\Just like you said so long ago,\you really did protect me.\Stop talking! Forget all of it!\Not possible. I can't forget.\Memories of experiences where emotions are involved can't be forgotten.\How could I forget this? I'm never gonna forget. response:	Thanks, Torasuke, for protecting me.
context: Shut up!\Just like you said so long ago,\you really did protect me.\Stop talking! Forget all of it!\Not possible. I can't forget.\Memories of experiences where emotions are involved can't be forgotten.\How could I forget this? I'm never gonna forget.\Thanks, Torasuke, for protecting me. response:	Stop talking...
context: Just like you said so long ago,\you really did protect me.\Stop talking! Forget all of it!\Not possible. I can't forget.\Memories of experiences where emotions are involved can't be forgotten.\How could I forget this? I'm never gonna forget.\Thanks, Torasuke, for protecting me.\Stop talking... response:	Thanks.
context: you really did protect me.\Stop talking! Forget all of it!\Not possible. I can't forget.\Memories of experiences where emotions are involved can't be forgotten.\How could I forget this? I'm never gonna forget.\Thanks, Torasuke, for protecting me.\Stop talking...\Thanks. response:	Oh, it's so ridiculous...
context: Stop talking! Forget all of it!\Not possible. I can't forget.\Memories of experiences where emotions are involved can't be forgotten.\How could I forget this? I'm never gonna forget.\Thanks, Torasuke, for protecting me.\Stop talking...\Thanks.\Oh, it's so ridiculous... response:	Shut up...
context: Not possible. I can't forget.\Memories of experiences where emotions are involved can't be forgotten.\How could I forget this? I'm never gonna forget.\Thanks, Torasuke, for protecting me.\Stop talking...\Thanks.\Oh, it's so ridiculous...\Shut up... response:	Well, everyone, shall we withdraw?
context: Memories of experiences where emotions are involved can't be forgotten.\How could I forget this? I'm never gonna forget.\Thanks, Torasuke, for protecting me.\Stop talking...\Thanks.\Oh, it's so ridiculous...\Shut up...\Well, everyone, shall we withdraw? response:	We had so much fun!
context: How could I forget this? I'm never gonna forget.\Thanks, Torasuke, for protecting me.\Stop talking...\Thanks.\Oh, it's so ridiculous...\Shut up...\Well, everyone, shall we withdraw?\We had so much fun! response:	I managed to take so many reference photos...
context: Thanks, Torasuke, for protecting me.\Stop talking...\Thanks.\Oh, it's so ridiculous...\Shut up...\Well, everyone, shall we withdraw?\We had so much fun!\I managed to take so many reference photos... response:	What's wrong?
context: Stop talking...\Thanks.\Oh, it's so ridiculous...\Shut up...\Well, everyone, shall we withdraw?\We had so much fun!\I managed to take so many reference photos...\What's wrong? response:	Please, don't mind me.
context: Thanks.\Oh, it's so ridiculous...\Shut up...\Well, everyone, shall we withdraw?\We had so much fun!\I managed to take so many reference photos...\What's wrong?\Please, don't mind me. response:	I just had a little repeat of a super-dreadnought level section of my dark past...
context: Oh, it's so ridiculous...\Shut up...\Well, everyone, shall we withdraw?\We had so much fun!\I managed to take so many reference photos...\What's wrong?\Please, don't mind me.\I just had a little repeat of a super-dreadnought level section of my dark past... response:	Himuro, I'm sorry.
context: Shut up...\Well, everyone, shall we withdraw?\We had so much fun!\I managed to take so many reference photos...\What's wrong?\Please, don't mind me.\I just had a little repeat of a super-dreadnought level section of my dark past...\Himuro, I'm sorry. response:	I meant to return quickly, but...
context: Well, everyone, shall we withdraw?\We had so much fun!\I managed to take so many reference photos...\What's wrong?\Please, don't mind me.\I just had a little repeat of a super-dreadnought level section of my dark past...\Himuro, I'm sorry.\I meant to return quickly, but... response:	If you weren't feeling well, it wasn't something you could help.
context: We had so much fun!\I managed to take so many reference photos...\What's wrong?\Please, don't mind me.\I just had a little repeat of a super-dreadnought level section of my dark past...\Himuro, I'm sorry.\I meant to return quickly, but...\If you weren't feeling well, it wasn't something you could help. response:	I just can't tell her!
context: I managed to take so many reference photos...\What's wrong?\Please, don't mind me.\I just had a little repeat of a super-dreadnought level section of my dark past...\Himuro, I'm sorry.\I meant to return quickly, but...\If you weren't feeling well, it wasn't something you could help.\I just can't tell her! response:	He thought so hard about that stupid couple's greatest close contact problem,
context: What's wrong?\Please, don't mind me.\I just had a little repeat of a super-dreadnought level section of my dark past...\Himuro, I'm sorry.\I meant to return quickly, but...\If you weren't feeling well, it wasn't something you could help.\I just can't tell her!\He thought so hard about that stupid couple's greatest close contact problem, response:	he got so excited he passed out...
context: Please, don't mind me.\I just had a little repeat of a super-dreadnought level section of my dark past...\Himuro, I'm sorry.\I meant to return quickly, but...\If you weren't feeling well, it wasn't something you could help.\I just can't tell her!\He thought so hard about that stupid couple's greatest close contact problem,\he got so excited he passed out... response:	Everyone, I'm glad you all found a way to enjoy yourselves.
context: I just had a little repeat of a super-dreadnought level section of my dark past...\Himuro, I'm sorry.\I meant to return quickly, but...\If you weren't feeling well, it wasn't something you could help.\I just can't tell her!\He thought so hard about that stupid couple's greatest close contact problem,\he got so excited he passed out...\Everyone, I'm glad you all found a way to enjoy yourselves. response:	I was able to do some weighted long-distance swimming, for the first time in a long time.
context: Himuro, I'm sorry.\I meant to return quickly, but...\If you weren't feeling well, it wasn't something you could help.\I just can't tell her!\He thought so hard about that stupid couple's greatest close contact problem,\he got so excited he passed out...\Everyone, I'm glad you all found a way to enjoy yourselves.\I was able to do some weighted long-distance swimming, for the first time in a long time. response:	Why is it that you train your body so much, Professor?
context: I meant to return quickly, but...\If you weren't feeling well, it wasn't something you could help.\I just can't tell her!\He thought so hard about that stupid couple's greatest close contact problem,\he got so excited he passed out...\Everyone, I'm glad you all found a way to enjoy yourselves.\I was able to do some weighted long-distance swimming, for the first time in a long time.\Why is it that you train your body so much, Professor? response:	There is a Nobel prize winner in physics from Saitama University,
context: If you weren't feeling well, it wasn't something you could help.\I just can't tell her!\He thought so hard about that stupid couple's greatest close contact problem,\he got so excited he passed out...\Everyone, I'm glad you all found a way to enjoy yourselves.\I was able to do some weighted long-distance swimming, for the first time in a long time.\Why is it that you train your body so much, Professor?\There is a Nobel prize winner in physics from Saitama University, response:	Professor Kuze, and I had the chance to meet him.
context: I just can't tell her!\He thought so hard about that stupid couple's greatest close contact problem,\he got so excited he passed out...\Everyone, I'm glad you all found a way to enjoy yourselves.\I was able to do some weighted long-distance swimming, for the first time in a long time.\Why is it that you train your body so much, Professor?\There is a Nobel prize winner in physics from Saitama University,\Professor Kuze, and I had the chance to meet him. response:	Nobel Prize in Physics Professor Kuze Takaomi
context: He thought so hard about that stupid couple's greatest close contact problem,\he got so excited he passed out...\Everyone, I'm glad you all found a way to enjoy yourselves.\I was able to do some weighted long-distance swimming, for the first time in a long time.\Why is it that you train your body so much, Professor?\There is a Nobel prize winner in physics from Saitama University,\Professor Kuze, and I had the chance to meet him.\Nobel Prize in Physics Professor Kuze Takaomi response:	Really?
context: he got so excited he passed out...\Everyone, I'm glad you all found a way to enjoy yourselves.\I was able to do some weighted long-distance swimming, for the first time in a long time.\Why is it that you train your body so much, Professor?\There is a Nobel prize winner in physics from Saitama University,\Professor Kuze, and I had the chance to meet him.\Nobel Prize in Physics Professor Kuze Takaomi\Really? response:	At the time, I wasn't able to lay a single finger on him.
context: Everyone, I'm glad you all found a way to enjoy yourselves.\I was able to do some weighted long-distance swimming, for the first time in a long time.\Why is it that you train your body so much, Professor?\There is a Nobel prize winner in physics from Saitama University,\Professor Kuze, and I had the chance to meet him.\Nobel Prize in Physics Professor Kuze Takaomi\Really?\At the time, I wasn't able to lay a single finger on him. response:	And it's not just Professor Kuze.
context: I was able to do some weighted long-distance swimming, for the first time in a long time.\Why is it that you train your body so much, Professor?\There is a Nobel prize winner in physics from Saitama University,\Professor Kuze, and I had the chance to meet him.\Nobel Prize in Physics Professor Kuze Takaomi\Really?\At the time, I wasn't able to lay a single finger on him.\And it's not just Professor Kuze. response:	In the world of academics, geniuses that beggar the imagination,
context: Why is it that you train your body so much, Professor?\There is a Nobel prize winner in physics from Saitama University,\Professor Kuze, and I had the chance to meet him.\Nobel Prize in Physics Professor Kuze Takaomi\Really?\At the time, I wasn't able to lay a single finger on him.\And it's not just Professor Kuze.\In the world of academics, geniuses that beggar the imagination, response:	unimaginable monsters seethe in tremendous numbers.
context: There is a Nobel prize winner in physics from Saitama University,\Professor Kuze, and I had the chance to meet him.\Nobel Prize in Physics Professor Kuze Takaomi\Really?\At the time, I wasn't able to lay a single finger on him.\And it's not just Professor Kuze.\In the world of academics, geniuses that beggar the imagination,\unimaginable monsters seethe in tremendous numbers. response:	You won't survive in a world dominated by superhumans if you don't train a little!
context: Professor Kuze, and I had the chance to meet him.\Nobel Prize in Physics Professor Kuze Takaomi\Really?\At the time, I wasn't able to lay a single finger on him.\And it's not just Professor Kuze.\In the world of academics, geniuses that beggar the imagination,\unimaginable monsters seethe in tremendous numbers.\You won't survive in a world dominated by superhumans if you don't train a little! response:	The professors at the presentations tomorrow are all strong, too!
context: Nobel Prize in Physics Professor Kuze Takaomi\Really?\At the time, I wasn't able to lay a single finger on him.\And it's not just Professor Kuze.\In the world of academics, geniuses that beggar the imagination,\unimaginable monsters seethe in tremendous numbers.\You won't survive in a world dominated by superhumans if you don't train a little!\The professors at the presentations tomorrow are all strong, too! response:	Let's do our best, okay?
context: Really?\At the time, I wasn't able to lay a single finger on him.\And it's not just Professor Kuze.\In the world of academics, geniuses that beggar the imagination,\unimaginable monsters seethe in tremendous numbers.\You won't survive in a world dominated by superhumans if you don't train a little!\The professors at the presentations tomorrow are all strong, too!\Let's do our best, okay? response:	Huh?
context: At the time, I wasn't able to lay a single finger on him.\And it's not just Professor Kuze.\In the world of academics, geniuses that beggar the imagination,\unimaginable monsters seethe in tremendous numbers.\You won't survive in a world dominated by superhumans if you don't train a little!\The professors at the presentations tomorrow are all strong, too!\Let's do our best, okay?\Huh? response:	We're giving presentations in a huge gathering of monsters?
context: And it's not just Professor Kuze.\In the world of academics, geniuses that beggar the imagination,\unimaginable monsters seethe in tremendous numbers.\You won't survive in a world dominated by superhumans if you don't train a little!\The professors at the presentations tomorrow are all strong, too!\Let's do our best, okay?\Huh?\We're giving presentations in a huge gathering of monsters? response:	Next Time
context: In the world of academics, geniuses that beggar the imagination,\unimaginable monsters seethe in tremendous numbers.\You won't survive in a world dominated by superhumans if you don't train a little!\The professors at the presentations tomorrow are all strong, too!\Let's do our best, okay?\Huh?\We're giving presentations in a huge gathering of monsters?\Next Time response:	Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.
context: unimaginable monsters seethe in tremendous numbers.\You won't survive in a world dominated by superhumans if you don't train a little!\The professors at the presentations tomorrow are all strong, too!\Let's do our best, okay?\Huh?\We're giving presentations in a huge gathering of monsters?\Next Time\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations. response:	Next time, Proof 10.
context: You won't survive in a world dominated by superhumans if you don't train a little!\The professors at the presentations tomorrow are all strong, too!\Let's do our best, okay?\Huh?\We're giving presentations in a huge gathering of monsters?\Next Time\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.\Next time, Proof 10. response:	Science-types Fell in Love, So they Tried Giving Presentations.
