context: I'm Sarashina Ruka, and I'll be joining you as of today. response:	S-Seriously?
context: She's a newbie who just started working as a rental girlfriend.\The thing is, she's really shy.\So shy that clients are complaining about her.\A rental girlfriend... who's really shy?\I figured you'd be a safe bet since I know who you are and how you do things.\Of course, this is for practice, so you don't have to pay a dime.\You up for it?\S-Sure. response:	Great.
context: The thing is, she's really shy.\So shy that clients are complaining about her.\A rental girlfriend... who's really shy?\I figured you'd be a safe bet since I know who you are and how you do things.\Of course, this is for practice, so you don't have to pay a dime.\You up for it?\S-Sure.\Great. response:	Oh, but don't you dare make a move on her.
context: So shy that clients are complaining about her.\A rental girlfriend... who's really shy?\I figured you'd be a safe bet since I know who you are and how you do things.\Of course, this is for practice, so you don't have to pay a dime.\You up for it?\S-Sure.\Great.\Oh, but don't you dare make a move on her. response:	I know that!
context: A rental girlfriend... who's really shy?\I figured you'd be a safe bet since I know who you are and how you do things.\Of course, this is for practice, so you don't have to pay a dime.\You up for it?\S-Sure.\Great.\Oh, but don't you dare make a move on her.\I know that! response:	I know she's just a rental.
context: I figured you'd be a safe bet since I know who you are and how you do things.\Of course, this is for practice, so you don't have to pay a dime.\You up for it?\S-Sure.\Great.\Oh, but don't you dare make a move on her.\I know that!\I know she's just a rental. response:	Have some faith in me, jeez.
context: Of course, this is for practice, so you don't have to pay a dime.\You up for it?\S-Sure.\Great.\Oh, but don't you dare make a move on her.\I know that!\I know she's just a rental.\Have some faith in me, jeez. response:	So, how's it been going for you?
context: You up for it?\S-Sure.\Great.\Oh, but don't you dare make a move on her.\I know that!\I know she's just a rental.\Have some faith in me, jeez.\So, how's it been going for you? response:	With your ex. Mami-chan, was it?
context: S-Sure.\Great.\Oh, but don't you dare make a move on her.\I know that!\I know she's just a rental.\Have some faith in me, jeez.\So, how's it been going for you?\With your ex. Mami-chan, was it? response:	O-Oh.
context: Great.\Oh, but don't you dare make a move on her.\I know that!\I know she's just a rental.\Have some faith in me, jeez.\So, how's it been going for you?\With your ex. Mami-chan, was it?\O-Oh. response:	Things went up in smoke at the beach, but you were getting cozy before that.
context: Oh, but don't you dare make a move on her.\I know that!\I know she's just a rental.\Have some faith in me, jeez.\So, how's it been going for you?\With your ex. Mami-chan, was it?\O-Oh.\Things went up in smoke at the beach, but you were getting cozy before that. response:	She's a vital piece of the puzzle when it comes to you getting a girlfriend, right?
context: I know that!\I know she's just a rental.\Have some faith in me, jeez.\So, how's it been going for you?\With your ex. Mami-chan, was it?\O-Oh.\Things went up in smoke at the beach, but you were getting cozy before that.\She's a vital piece of the puzzle when it comes to you getting a girlfriend, right? response:	We're totally on the outs.
context: I know she's just a rental.\Have some faith in me, jeez.\So, how's it been going for you?\With your ex. Mami-chan, was it?\O-Oh.\Things went up in smoke at the beach, but you were getting cozy before that.\She's a vital piece of the puzzle when it comes to you getting a girlfriend, right?\We're totally on the outs. response:	She hasn't talked to me since then.
context: Have some faith in me, jeez.\So, how's it been going for you?\With your ex. Mami-chan, was it?\O-Oh.\Things went up in smoke at the beach, but you were getting cozy before that.\She's a vital piece of the puzzle when it comes to you getting a girlfriend, right?\We're totally on the outs.\She hasn't talked to me since then. response:	She probably couldn't care less about me now.
context: So, how's it been going for you?\With your ex. Mami-chan, was it?\O-Oh.\Things went up in smoke at the beach, but you were getting cozy before that.\She's a vital piece of the puzzle when it comes to you getting a girlfriend, right?\We're totally on the outs.\She hasn't talked to me since then.\She probably couldn't care less about me now. response:	And honestly, I'm not even sure anymore, either...
context: With your ex. Mami-chan, was it?\O-Oh.\Things went up in smoke at the beach, but you were getting cozy before that.\She's a vital piece of the puzzle when it comes to you getting a girlfriend, right?\We're totally on the outs.\She hasn't talked to me since then.\She probably couldn't care less about me now.\And honestly, I'm not even sure anymore, either... response:	whether I still like her or not.
context: O-Oh.\Things went up in smoke at the beach, but you were getting cozy before that.\She's a vital piece of the puzzle when it comes to you getting a girlfriend, right?\We're totally on the outs.\She hasn't talked to me since then.\She probably couldn't care less about me now.\And honestly, I'm not even sure anymore, either...\whether I still like her or not. response:	But I did swear to myself that I'd make her happy.
context: Things went up in smoke at the beach, but you were getting cozy before that.\She's a vital piece of the puzzle when it comes to you getting a girlfriend, right?\We're totally on the outs.\She hasn't talked to me since then.\She probably couldn't care less about me now.\And honestly, I'm not even sure anymore, either...\whether I still like her or not.\But I did swear to myself that I'd make her happy. response:	Deleting those feelings so easily just seems shallow to me.
context: She's a vital piece of the puzzle when it comes to you getting a girlfriend, right?\We're totally on the outs.\She hasn't talked to me since then.\She probably couldn't care less about me now.\And honestly, I'm not even sure anymore, either...\whether I still like her or not.\But I did swear to myself that I'd make her happy.\Deleting those feelings so easily just seems shallow to me. response:	That so?
context: We're totally on the outs.\She hasn't talked to me since then.\She probably couldn't care less about me now.\And honestly, I'm not even sure anymore, either...\whether I still like her or not.\But I did swear to myself that I'd make her happy.\Deleting those feelings so easily just seems shallow to me.\That so? response:	Well, rushing won't get you anywhere.
context: She hasn't talked to me since then.\She probably couldn't care less about me now.\And honestly, I'm not even sure anymore, either...\whether I still like her or not.\But I did swear to myself that I'd make her happy.\Deleting those feelings so easily just seems shallow to me.\That so?\Well, rushing won't get you anywhere. response:	I'm here for you...
context: She probably couldn't care less about me now.\And honestly, I'm not even sure anymore, either...\whether I still like her or not.\But I did swear to myself that I'd make her happy.\Deleting those feelings so easily just seems shallow to me.\That so?\Well, rushing won't get you anywhere.\I'm here for you... response:	Until you forget her.
context: And honestly, I'm not even sure anymore, either...\whether I still like her or not.\But I did swear to myself that I'd make her happy.\Deleting those feelings so easily just seems shallow to me.\That so?\Well, rushing won't get you anywhere.\I'm here for you...\Until you forget her. response:	Mizuhara...
context: whether I still like her or not.\But I did swear to myself that I'd make her happy.\Deleting those feelings so easily just seems shallow to me.\That so?\Well, rushing won't get you anywhere.\I'm here for you...\Until you forget her.\Mizuhara... response:	Okay, don't forget about that date. I'll let you know when and where later.
context: But I did swear to myself that I'd make her happy.\Deleting those feelings so easily just seems shallow to me.\That so?\Well, rushing won't get you anywhere.\I'm here for you...\Until you forget her.\Mizuhara...\Okay, don't forget about that date. I'll let you know when and where later. response:	Hang on.
context: Deleting those feelings so easily just seems shallow to me.\That so?\Well, rushing won't get you anywhere.\I'm here for you...\Until you forget her.\Mizuhara...\Okay, don't forget about that date. I'll let you know when and where later.\Hang on. response:	What's up?
context: That so?\Well, rushing won't get you anywhere.\I'm here for you...\Until you forget her.\Mizuhara...\Okay, don't forget about that date. I'll let you know when and where later.\Hang on.\What's up? response:	Uh, what's up is...
context: Well, rushing won't get you anywhere.\I'm here for you...\Until you forget her.\Mizuhara...\Okay, don't forget about that date. I'll let you know when and where later.\Hang on.\What's up?\Uh, what's up is... response:	Are you sure you should be... meeting me out here and stuff?
context: I'm here for you...\Until you forget her.\Mizuhara...\Okay, don't forget about that date. I'll let you know when and where later.\Hang on.\What's up?\Uh, what's up is...\Are you sure you should be... meeting me out here and stuff? response:	Huh? What was that? Quit mumbling and say it out loud.
context: Until you forget her.\Mizuhara...\Okay, don't forget about that date. I'll let you know when and where later.\Hang on.\What's up?\Uh, what's up is...\Are you sure you should be... meeting me out here and stuff?\Huh? What was that? Quit mumbling and say it out loud. response:	Can't hear you through this wall
context: Mizuhara...\Okay, don't forget about that date. I'll let you know when and where later.\Hang on.\What's up?\Uh, what's up is...\Are you sure you should be... meeting me out here and stuff?\Huh? What was that? Quit mumbling and say it out loud.\Can't hear you through this wall response:	N-Nothing! Never mind!
context: Okay, don't forget about that date. I'll let you know when and where later.\Hang on.\What's up?\Uh, what's up is...\Are you sure you should be... meeting me out here and stuff?\Huh? What was that? Quit mumbling and say it out loud.\Can't hear you through this wall\N-Nothing! Never mind! response:	Weirdo.
context: Hang on.\What's up?\Uh, what's up is...\Are you sure you should be... meeting me out here and stuff?\Huh? What was that? Quit mumbling and say it out loud.\Can't hear you through this wall\N-Nothing! Never mind!\Weirdo. response:	See you.
context: What's up?\Uh, what's up is...\Are you sure you should be... meeting me out here and stuff?\Huh? What was that? Quit mumbling and say it out loud.\Can't hear you through this wall\N-Nothing! Never mind!\Weirdo.\See you. response:	Hey, tell me her name.
context: Uh, what's up is...\Are you sure you should be... meeting me out here and stuff?\Huh? What was that? Quit mumbling and say it out loud.\Can't hear you through this wall\N-Nothing! Never mind!\Weirdo.\See you.\Hey, tell me her name. response:	Sakurasawa Sumi-chan. She's a college first-year.
context: Are you sure you should be... meeting me out here and stuff?\Huh? What was that? Quit mumbling and say it out loud.\Can't hear you through this wall\N-Nothing! Never mind!\Weirdo.\See you.\Hey, tell me her name.\Sakurasawa Sumi-chan. She's a college first-year. response:	Sweet scent
context: Huh? What was that? Quit mumbling and say it out loud.\Can't hear you through this wall\N-Nothing! Never mind!\Weirdo.\See you.\Hey, tell me her name.\Sakurasawa Sumi-chan. She's a college first-year.\Sweet scent response:	Wha?!
context: Can't hear you through this wall\N-Nothing! Never mind!\Weirdo.\See you.\Hey, tell me her name.\Sakurasawa Sumi-chan. She's a college first-year.\Sweet scent\Wha?! response:	You're so childish
context: N-Nothing! Never mind!\Weirdo.\See you.\Hey, tell me her name.\Sakurasawa Sumi-chan. She's a college first-year.\Sweet scent\Wha?!\You're so childish response:	Puts men to shame
context: Weirdo.\See you.\Hey, tell me her name.\Sakurasawa Sumi-chan. She's a college first-year.\Sweet scent\Wha?!\You're so childish\Puts men to shame response:	Already a chief at her young age
context: See you.\Hey, tell me her name.\Sakurasawa Sumi-chan. She's a college first-year.\Sweet scent\Wha?!\You're so childish\Puts men to shame\Already a chief at her young age response:	Sensei!
context: Hey, tell me her name.\Sakurasawa Sumi-chan. She's a college first-year.\Sweet scent\Wha?!\You're so childish\Puts men to shame\Already a chief at her young age\Sensei! response:	I need your help with homework!
context: Sakurasawa Sumi-chan. She's a college first-year.\Sweet scent\Wha?!\You're so childish\Puts men to shame\Already a chief at her young age\Sensei!\I need your help with homework! response:	Yo, I went and rented my very own angel.
context: Sweet scent\Wha?!\You're so childish\Puts men to shame\Already a chief at her young age\Sensei!\I need your help with homework!\Yo, I went and rented my very own angel. response:	Rented? You don't mean...
context: Wha?!\You're so childish\Puts men to shame\Already a chief at her young age\Sensei!\I need your help with homework!\Yo, I went and rented my very own angel.\Rented? You don't mean... response:	I know she's just a rental, but I don't wanna let her go anymore.
context: You're so childish\Puts men to shame\Already a chief at her young age\Sensei!\I need your help with homework!\Yo, I went and rented my very own angel.\Rented? You don't mean...\I know she's just a rental, but I don't wanna let her go anymore. response:	What kind of rental girlfriend could've made Kibe so serious?
context: Puts men to shame\Already a chief at her young age\Sensei!\I need your help with homework!\Yo, I went and rented my very own angel.\Rented? You don't mean...\I know she's just a rental, but I don't wanna let her go anymore.\What kind of rental girlfriend could've made Kibe so serious? response:	What're you talking about?
context: Already a chief at her young age\Sensei!\I need your help with homework!\Yo, I went and rented my very own angel.\Rented? You don't mean...\I know she's just a rental, but I don't wanna let her go anymore.\What kind of rental girlfriend could've made Kibe so serious?\What're you talking about? response:	I'm talking about this girl I ran into at the video rental shop.
context: Sensei!\I need your help with homework!\Yo, I went and rented my very own angel.\Rented? You don't mean...\I know she's just a rental, but I don't wanna let her go anymore.\What kind of rental girlfriend could've made Kibe so serious?\What're you talking about?\I'm talking about this girl I ran into at the video rental shop. response:	It's a situational thing, so I don't know the actress's name,
context: I need your help with homework!\Yo, I went and rented my very own angel.\Rented? You don't mean...\I know she's just a rental, but I don't wanna let her go anymore.\What kind of rental girlfriend could've made Kibe so serious?\What're you talking about?\I'm talking about this girl I ran into at the video rental shop.\It's a situational thing, so I don't know the actress's name, response:	but I've never seen a girl so in my strike zone...
context: Yo, I went and rented my very own angel.\Rented? You don't mean...\I know she's just a rental, but I don't wanna let her go anymore.\What kind of rental girlfriend could've made Kibe so serious?\What're you talking about?\I'm talking about this girl I ran into at the video rental shop.\It's a situational thing, so I don't know the actress's name,\but I've never seen a girl so in my strike zone... response:	Anyway, what's on the next episode of Rent-a-Girlfriend?
context: Rented? You don't mean...\I know she's just a rental, but I don't wanna let her go anymore.\What kind of rental girlfriend could've made Kibe so serious?\What're you talking about?\I'm talking about this girl I ran into at the video rental shop.\It's a situational thing, so I don't know the actress's name,\but I've never seen a girl so in my strike zone...\Anyway, what's on the next episode of Rent-a-Girlfriend? response:	Truth...
context: I know she's just a rental, but I don't wanna let her go anymore.\What kind of rental girlfriend could've made Kibe so serious?\What're you talking about?\I'm talking about this girl I ran into at the video rental shop.\It's a situational thing, so I don't know the actress's name,\but I've never seen a girl so in my strike zone...\Anyway, what's on the next episode of Rent-a-Girlfriend?\Truth... response:	I'll let you borrow it, Kazu-chin.
context: What kind of rental girlfriend could've made Kibe so serious?\What're you talking about?\I'm talking about this girl I ran into at the video rental shop.\It's a situational thing, so I don't know the actress's name,\but I've never seen a girl so in my strike zone...\Anyway, what's on the next episode of Rent-a-Girlfriend?\Truth...\I'll let you borrow it, Kazu-chin. response:	Th-Thanks, bro.
context: What're you talking about?\I'm talking about this girl I ran into at the video rental shop.\It's a situational thing, so I don't know the actress's name,\but I've never seen a girl so in my strike zone...\Anyway, what's on the next episode of Rent-a-Girlfriend?\Truth...\I'll let you borrow it, Kazu-chin.\Th-Thanks, bro. response:	And me next!
context: I'm talking about this girl I ran into at the video rental shop.\It's a situational thing, so I don't know the actress's name,\but I've never seen a girl so in my strike zone...\Anyway, what's on the next episode of Rent-a-Girlfriend?\Truth...\I'll let you borrow it, Kazu-chin.\Th-Thanks, bro.\And me next! response:	God, these three stooges...
