context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: I can still hold you with one arm!\Are you all right?\Be careful.\Don't worry.\Sometime soon I will be able to feel my right arm again.\I know that your arm will recover soon.\It's just that you paint so well.\It would be such a pity if you couldn't paint anymore. response:	Then Riceball and I would have to get someone else to paint for us.
context: Are you all right?\Be careful.\Don't worry.\Sometime soon I will be able to feel my right arm again.\I know that your arm will recover soon.\It's just that you paint so well.\It would be such a pity if you couldn't paint anymore.\Then Riceball and I would have to get someone else to paint for us. response:	It would be so troublesome.
context: Be careful.\Don't worry.\Sometime soon I will be able to feel my right arm again.\I know that your arm will recover soon.\It's just that you paint so well.\It would be such a pity if you couldn't paint anymore.\Then Riceball and I would have to get someone else to paint for us.\It would be so troublesome. response:	Should I paint you something now?
context: Don't worry.\Sometime soon I will be able to feel my right arm again.\I know that your arm will recover soon.\It's just that you paint so well.\It would be such a pity if you couldn't paint anymore.\Then Riceball and I would have to get someone else to paint for us.\It would be so troublesome.\Should I paint you something now? response:	- Now? - Yes.
context: Sometime soon I will be able to feel my right arm again.\I know that your arm will recover soon.\It's just that you paint so well.\It would be such a pity if you couldn't paint anymore.\Then Riceball and I would have to get someone else to paint for us.\It would be so troublesome.\Should I paint you something now?\- Now? - Yes. response:	Lady Qian Qian is so gorgeous.
context: I know that your arm will recover soon.\It's just that you paint so well.\It would be such a pity if you couldn't paint anymore.\Then Riceball and I would have to get someone else to paint for us.\It would be so troublesome.\Should I paint you something now?\- Now? - Yes.\Lady Qian Qian is so gorgeous. response:	Any ordinary artist wouldn't dare paint her.
context: It's just that you paint so well.\It would be such a pity if you couldn't paint anymore.\Then Riceball and I would have to get someone else to paint for us.\It would be so troublesome.\Should I paint you something now?\- Now? - Yes.\Lady Qian Qian is so gorgeous.\Any ordinary artist wouldn't dare paint her. response:	I'm afraid only Your Highness will be able to capture her beauty.
context: It would be such a pity if you couldn't paint anymore.\Then Riceball and I would have to get someone else to paint for us.\It would be so troublesome.\Should I paint you something now?\- Now? - Yes.\Lady Qian Qian is so gorgeous.\Any ordinary artist wouldn't dare paint her.\I'm afraid only Your Highness will be able to capture her beauty. response:	You have the gift of gab.
context: Then Riceball and I would have to get someone else to paint for us.\It would be so troublesome.\Should I paint you something now?\- Now? - Yes.\Lady Qian Qian is so gorgeous.\Any ordinary artist wouldn't dare paint her.\I'm afraid only Your Highness will be able to capture her beauty.\You have the gift of gab. response:	Let's go, Riceball!
context: It would be so troublesome.\Should I paint you something now?\- Now? - Yes.\Lady Qian Qian is so gorgeous.\Any ordinary artist wouldn't dare paint her.\I'm afraid only Your Highness will be able to capture her beauty.\You have the gift of gab.\Let's go, Riceball! response:	Cheng Yu.
context: Should I paint you something now?\- Now? - Yes.\Lady Qian Qian is so gorgeous.\Any ordinary artist wouldn't dare paint her.\I'm afraid only Your Highness will be able to capture her beauty.\You have the gift of gab.\Let's go, Riceball!\Cheng Yu. response:	Come and have a seat.
context: - Now? - Yes.\Lady Qian Qian is so gorgeous.\Any ordinary artist wouldn't dare paint her.\I'm afraid only Your Highness will be able to capture her beauty.\You have the gift of gab.\Let's go, Riceball!\Cheng Yu.\Come and have a seat. response:	Yes.
context: Lady Qian Qian is so gorgeous.\Any ordinary artist wouldn't dare paint her.\I'm afraid only Your Highness will be able to capture her beauty.\You have the gift of gab.\Let's go, Riceball!\Cheng Yu.\Come and have a seat.\Yes. response:	I heard that High God is Little Princess Feng Jiu's real aunt?
context: Any ordinary artist wouldn't dare paint her.\I'm afraid only Your Highness will be able to capture her beauty.\You have the gift of gab.\Let's go, Riceball!\Cheng Yu.\Come and have a seat.\Yes.\I heard that High God is Little Princess Feng Jiu's real aunt? response:	That's correct.
context: I'm afraid only Your Highness will be able to capture her beauty.\You have the gift of gab.\Let's go, Riceball!\Cheng Yu.\Come and have a seat.\Yes.\I heard that High God is Little Princess Feng Jiu's real aunt?\That's correct. response:	May I be so bold as to ask High God to pass a message on to Little Princess?
context: You have the gift of gab.\Let's go, Riceball!\Cheng Yu.\Come and have a seat.\Yes.\I heard that High God is Little Princess Feng Jiu's real aunt?\That's correct.\May I be so bold as to ask High God to pass a message on to Little Princess? response:	Please tell her that I've gotten into some trouble in the Nine Heavens.
context: Let's go, Riceball!\Cheng Yu.\Come and have a seat.\Yes.\I heard that High God is Little Princess Feng Jiu's real aunt?\That's correct.\May I be so bold as to ask High God to pass a message on to Little Princess?\Please tell her that I've gotten into some trouble in the Nine Heavens. response:	I'd like Little Princess to visit me here.
context: Cheng Yu.\Come and have a seat.\Yes.\I heard that High God is Little Princess Feng Jiu's real aunt?\That's correct.\May I be so bold as to ask High God to pass a message on to Little Princess?\Please tell her that I've gotten into some trouble in the Nine Heavens.\I'd like Little Princess to visit me here. response:	I'll send someone to pass on the message immediately.
context: Come and have a seat.\Yes.\I heard that High God is Little Princess Feng Jiu's real aunt?\That's correct.\May I be so bold as to ask High God to pass a message on to Little Princess?\Please tell her that I've gotten into some trouble in the Nine Heavens.\I'd like Little Princess to visit me here.\I'll send someone to pass on the message immediately. response:	But she hasn't been in the best mood lately.
context: Yes.\I heard that High God is Little Princess Feng Jiu's real aunt?\That's correct.\May I be so bold as to ask High God to pass a message on to Little Princess?\Please tell her that I've gotten into some trouble in the Nine Heavens.\I'd like Little Princess to visit me here.\I'll send someone to pass on the message immediately.\But she hasn't been in the best mood lately. response:	I don't know if she will come.
context: I heard that High God is Little Princess Feng Jiu's real aunt?\That's correct.\May I be so bold as to ask High God to pass a message on to Little Princess?\Please tell her that I've gotten into some trouble in the Nine Heavens.\I'd like Little Princess to visit me here.\I'll send someone to pass on the message immediately.\But she hasn't been in the best mood lately.\I don't know if she will come. response:	High God won't have to worry about it.
context: That's correct.\May I be so bold as to ask High God to pass a message on to Little Princess?\Please tell her that I've gotten into some trouble in the Nine Heavens.\I'd like Little Princess to visit me here.\I'll send someone to pass on the message immediately.\But she hasn't been in the best mood lately.\I don't know if she will come.\High God won't have to worry about it. response:	Little Princess and I are very close!
context: May I be so bold as to ask High God to pass a message on to Little Princess?\Please tell her that I've gotten into some trouble in the Nine Heavens.\I'd like Little Princess to visit me here.\I'll send someone to pass on the message immediately.\But she hasn't been in the best mood lately.\I don't know if she will come.\High God won't have to worry about it.\Little Princess and I are very close! response:	You're that close?
context: Please tell her that I've gotten into some trouble in the Nine Heavens.\I'd like Little Princess to visit me here.\I'll send someone to pass on the message immediately.\But she hasn't been in the best mood lately.\I don't know if she will come.\High God won't have to worry about it.\Little Princess and I are very close!\You're that close? response:	No... It's just... Fate!
context: I'd like Little Princess to visit me here.\I'll send someone to pass on the message immediately.\But she hasn't been in the best mood lately.\I don't know if she will come.\High God won't have to worry about it.\Little Princess and I are very close!\You're that close?\No... It's just... Fate! response:	Fate brought us closer.
context: I'll send someone to pass on the message immediately.\But she hasn't been in the best mood lately.\I don't know if she will come.\High God won't have to worry about it.\Little Princess and I are very close!\You're that close?\No... It's just... Fate!\Fate brought us closer. response:	All right.
