context: This is a BETA version. response:	I will go to Europe.
context: Won't you go to Europe together with me?\If you want to continue your piano,\rather than our school,\I think the school abroad will suit you better.\Moreover there are scholarship organizations, and other competitions,\go abroad,\and see more,\feel more, experience more... response:	together with me...
context: If you want to continue your piano,\rather than our school,\I think the school abroad will suit you better.\Moreover there are scholarship organizations, and other competitions,\go abroad,\and see more,\feel more, experience more...\together with me... response:	Why?
context: rather than our school,\I think the school abroad will suit you better.\Moreover there are scholarship organizations, and other competitions,\go abroad,\and see more,\feel more, experience more...\together with me...\Why? response:	Why do I have to study to the extent of doing all those things?
context: I think the school abroad will suit you better.\Moreover there are scholarship organizations, and other competitions,\go abroad,\and see more,\feel more, experience more...\together with me...\Why?\Why do I have to study to the extent of doing all those things? response:	Huh?
context: Moreover there are scholarship organizations, and other competitions,\go abroad,\and see more,\feel more, experience more...\together with me...\Why?\Why do I have to study to the extent of doing all those things?\Huh? response:	Why, you said?
context: go abroad,\and see more,\feel more, experience more...\together with me...\Why?\Why do I have to study to the extent of doing all those things?\Huh?\Why, you said? response:	You've become serious with piano, right?
context: and see more,\feel more, experience more...\together with me...\Why?\Why do I have to study to the extent of doing all those things?\Huh?\Why, you said?\You've become serious with piano, right? response:	That's why you took part in the Competition.
context: feel more, experience more...\together with me...\Why?\Why do I have to study to the extent of doing all those things?\Huh?\Why, you said?\You've become serious with piano, right?\That's why you took part in the Competition. response:	I joined the Competition just to get the prize money.
context: together with me...\Why?\Why do I have to study to the extent of doing all those things?\Huh?\Why, you said?\You've become serious with piano, right?\That's why you took part in the Competition.\I joined the Competition just to get the prize money. response:	It's because I wanted money.
context: Why?\Why do I have to study to the extent of doing all those things?\Huh?\Why, you said?\You've become serious with piano, right?\That's why you took part in the Competition.\I joined the Competition just to get the prize money.\It's because I wanted money. response:	Because of the desire to have the money to play around!
context: Why do I have to study to the extent of doing all those things?\Huh?\Why, you said?\You've become serious with piano, right?\That's why you took part in the Competition.\I joined the Competition just to get the prize money.\It's because I wanted money.\Because of the desire to have the money to play around! response:	Why did all of you...
context: Huh?\Why, you said?\You've become serious with piano, right?\That's why you took part in the Competition.\I joined the Competition just to get the prize money.\It's because I wanted money.\Because of the desire to have the money to play around!\Why did all of you... response:	do or say the way you wanted it to!
context: Why, you said?\You've become serious with piano, right?\That's why you took part in the Competition.\I joined the Competition just to get the prize money.\It's because I wanted money.\Because of the desire to have the money to play around!\Why did all of you...\do or say the way you wanted it to! response:	always, always, since a long time ago..
context: You've become serious with piano, right?\That's why you took part in the Competition.\I joined the Competition just to get the prize money.\It's because I wanted money.\Because of the desire to have the money to play around!\Why did all of you...\do or say the way you wanted it to!\always, always, since a long time ago.. response:	You must aim higher!
context: That's why you took part in the Competition.\I joined the Competition just to get the prize money.\It's because I wanted money.\Because of the desire to have the money to play around!\Why did all of you...\do or say the way you wanted it to!\always, always, since a long time ago..\You must aim higher! response:	Fly to the world!
context: I joined the Competition just to get the prize money.\It's because I wanted money.\Because of the desire to have the money to play around!\Why did all of you...\do or say the way you wanted it to!\always, always, since a long time ago..\You must aim higher!\Fly to the world! response:	I'm fed up with it!
context: It's because I wanted money.\Because of the desire to have the money to play around!\Why did all of you...\do or say the way you wanted it to!\always, always, since a long time ago..\You must aim higher!\Fly to the world!\I'm fed up with it! response:	What's wrong with playing the piano freely and the way I enjoy it?
context: Because of the desire to have the money to play around!\Why did all of you...\do or say the way you wanted it to!\always, always, since a long time ago..\You must aim higher!\Fly to the world!\I'm fed up with it!\What's wrong with playing the piano freely and the way I enjoy it? response:	Nodame..
context: Why did all of you...\do or say the way you wanted it to!\always, always, since a long time ago..\You must aim higher!\Fly to the world!\I'm fed up with it!\What's wrong with playing the piano freely and the way I enjoy it?\Nodame.. response:	You...
context: do or say the way you wanted it to!\always, always, since a long time ago..\You must aim higher!\Fly to the world!\I'm fed up with it!\What's wrong with playing the piano freely and the way I enjoy it?\Nodame..\You... response:	in that competition..
context: always, always, since a long time ago..\You must aim higher!\Fly to the world!\I'm fed up with it!\What's wrong with playing the piano freely and the way I enjoy it?\Nodame..\You...\in that competition.. response:	playing the piano on the stage...
context: You must aim higher!\Fly to the world!\I'm fed up with it!\What's wrong with playing the piano freely and the way I enjoy it?\Nodame..\You...\in that competition..\playing the piano on the stage... response:	really, didn't you enjoy it?
context: Fly to the world!\I'm fed up with it!\What's wrong with playing the piano freely and the way I enjoy it?\Nodame..\You...\in that competition..\playing the piano on the stage...\really, didn't you enjoy it? response:	No, I didn't enjoy it.
context: I'm fed up with it!\What's wrong with playing the piano freely and the way I enjoy it?\Nodame..\You...\in that competition..\playing the piano on the stage...\really, didn't you enjoy it?\No, I didn't enjoy it. response:	OK, I understand.
context: What's wrong with playing the piano freely and the way I enjoy it?\Nodame..\You...\in that competition..\playing the piano on the stage...\really, didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand. response:	Then it's enough.
context: Nodame..\You...\in that competition..\playing the piano on the stage...\really, didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\Then it's enough. response:	Today..
context: You...\in that competition..\playing the piano on the stage...\really, didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\Then it's enough.\Today.. response:	it was the first time I saw you facing music so seriously!
context: in that competition..\playing the piano on the stage...\really, didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\Then it's enough.\Today..\it was the first time I saw you facing music so seriously! response:	It was a very good performance.
context: playing the piano on the stage...\really, didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\Then it's enough.\Today..\it was the first time I saw you facing music so seriously!\It was a very good performance. response:	Even so...
context: really, didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\Then it's enough.\Today..\it was the first time I saw you facing music so seriously!\It was a very good performance.\Even so... response:	I didn't win, did I?
context: No, I didn't enjoy it.\OK, I understand.\Then it's enough.\Today..\it was the first time I saw you facing music so seriously!\It was a very good performance.\Even so...\I didn't win, did I? response:	Chinese Food Uraken
context: OK, I understand.\Then it's enough.\Today..\it was the first time I saw you facing music so seriously!\It was a very good performance.\Even so...\I didn't win, did I?\Chinese Food Uraken response:	Several days later
context: Then it's enough.\Today..\it was the first time I saw you facing music so seriously!\It was a very good performance.\Even so...\I didn't win, did I?\Chinese Food Uraken\Several days later response:	What should I do...my grade-up exam!!
context: Today..\it was the first time I saw you facing music so seriously!\It was a very good performance.\Even so...\I didn't win, did I?\Chinese Food Uraken\Several days later\What should I do...my grade-up exam!! response:	Uraken Original Christmas Cake Receiving order until 12/25!
context: it was the first time I saw you facing music so seriously!\It was a very good performance.\Even so...\I didn't win, did I?\Chinese Food Uraken\Several days later\What should I do...my grade-up exam!!\Uraken Original Christmas Cake Receiving order until 12/25! response:	My head was so full of the Christmas Concert
context: It was a very good performance.\Even so...\I didn't win, did I?\Chinese Food Uraken\Several days later\What should I do...my grade-up exam!!\Uraken Original Christmas Cake Receiving order until 12/25!\My head was so full of the Christmas Concert response:	that I forgot about the exam!
context: Even so...\I didn't win, did I?\Chinese Food Uraken\Several days later\What should I do...my grade-up exam!!\Uraken Original Christmas Cake Receiving order until 12/25!\My head was so full of the Christmas Concert\that I forgot about the exam! response:	It's you yourself who said you wanted to do Christmas Concert, isn't it!
context: I didn't win, did I?\Chinese Food Uraken\Several days later\What should I do...my grade-up exam!!\Uraken Original Christmas Cake Receiving order until 12/25!\My head was so full of the Christmas Concert\that I forgot about the exam!\It's you yourself who said you wanted to do Christmas Concert, isn't it! response:	Why didn't all of you stop me?
context: Chinese Food Uraken\Several days later\What should I do...my grade-up exam!!\Uraken Original Christmas Cake Receiving order until 12/25!\My head was so full of the Christmas Concert\that I forgot about the exam!\It's you yourself who said you wanted to do Christmas Concert, isn't it!\Why didn't all of you stop me? response:	Everybody also has exams, don't you!
context: Several days later\What should I do...my grade-up exam!!\Uraken Original Christmas Cake Receiving order until 12/25!\My head was so full of the Christmas Concert\that I forgot about the exam!\It's you yourself who said you wanted to do Christmas Concert, isn't it!\Why didn't all of you stop me?\Everybody also has exams, don't you! response:	You're the only one who haven't studied to the point that you panicked just before the exams!
context: What should I do...my grade-up exam!!\Uraken Original Christmas Cake Receiving order until 12/25!\My head was so full of the Christmas Concert\that I forgot about the exam!\It's you yourself who said you wanted to do Christmas Concert, isn't it!\Why didn't all of you stop me?\Everybody also has exams, don't you!\You're the only one who haven't studied to the point that you panicked just before the exams! response:	Ack, shall I help you? What's the subject, German?
context: Uraken Original Christmas Cake Receiving order until 12/25!\My head was so full of the Christmas Concert\that I forgot about the exam!\It's you yourself who said you wanted to do Christmas Concert, isn't it!\Why didn't all of you stop me?\Everybody also has exams, don't you!\You're the only one who haven't studied to the point that you panicked just before the exams!\Ack, shall I help you? What's the subject, German? response:	You think I'll let you think I'm stupid concerning my study too, huh??
context: My head was so full of the Christmas Concert\that I forgot about the exam!\It's you yourself who said you wanted to do Christmas Concert, isn't it!\Why didn't all of you stop me?\Everybody also has exams, don't you!\You're the only one who haven't studied to the point that you panicked just before the exams!\Ack, shall I help you? What's the subject, German?\You think I'll let you think I'm stupid concerning my study too, huh?? response:	Well, but you're really stupid, aren't you?
context: that I forgot about the exam!\It's you yourself who said you wanted to do Christmas Concert, isn't it!\Why didn't all of you stop me?\Everybody also has exams, don't you!\You're the only one who haven't studied to the point that you panicked just before the exams!\Ack, shall I help you? What's the subject, German?\You think I'll let you think I'm stupid concerning my study too, huh??\Well, but you're really stupid, aren't you? response:	Ha?
context: It's you yourself who said you wanted to do Christmas Concert, isn't it!\Why didn't all of you stop me?\Everybody also has exams, don't you!\You're the only one who haven't studied to the point that you panicked just before the exams!\Ack, shall I help you? What's the subject, German?\You think I'll let you think I'm stupid concerning my study too, huh??\Well, but you're really stupid, aren't you?\Ha? response:	Oh Chiaki, can you please teach me?
context: Why didn't all of you stop me?\Everybody also has exams, don't you!\You're the only one who haven't studied to the point that you panicked just before the exams!\Ack, shall I help you? What's the subject, German?\You think I'll let you think I'm stupid concerning my study too, huh??\Well, but you're really stupid, aren't you?\Ha?\Oh Chiaki, can you please teach me? response:	No, I don't want to!
context: Everybody also has exams, don't you!\You're the only one who haven't studied to the point that you panicked just before the exams!\Ack, shall I help you? What's the subject, German?\You think I'll let you think I'm stupid concerning my study too, huh??\Well, but you're really stupid, aren't you?\Ha?\Oh Chiaki, can you please teach me?\No, I don't want to! response:	Oh please, even if just my subdivision, the piano..
context: You're the only one who haven't studied to the point that you panicked just before the exams!\Ack, shall I help you? What's the subject, German?\You think I'll let you think I'm stupid concerning my study too, huh??\Well, but you're really stupid, aren't you?\Ha?\Oh Chiaki, can you please teach me?\No, I don't want to!\Oh please, even if just my subdivision, the piano.. response:	No!
context: Ack, shall I help you? What's the subject, German?\You think I'll let you think I'm stupid concerning my study too, huh??\Well, but you're really stupid, aren't you?\Ha?\Oh Chiaki, can you please teach me?\No, I don't want to!\Oh please, even if just my subdivision, the piano..\No! response:	I'm also busy myself!
context: You think I'll let you think I'm stupid concerning my study too, huh??\Well, but you're really stupid, aren't you?\Ha?\Oh Chiaki, can you please teach me?\No, I don't want to!\Oh please, even if just my subdivision, the piano..\No!\I'm also busy myself! response:	Ryuutaro! If it's piano, what about asking Nodame-chan to teach you?
context: Well, but you're really stupid, aren't you?\Ha?\Oh Chiaki, can you please teach me?\No, I don't want to!\Oh please, even if just my subdivision, the piano..\No!\I'm also busy myself!\Ryuutaro! If it's piano, what about asking Nodame-chan to teach you? response:	Oh Dad, that's a good idea you said!
context: Ha?\Oh Chiaki, can you please teach me?\No, I don't want to!\Oh please, even if just my subdivision, the piano..\No!\I'm also busy myself!\Ryuutaro! If it's piano, what about asking Nodame-chan to teach you?\Oh Dad, that's a good idea you said! response:	Eh, but how is she doing now?
context: Oh Chiaki, can you please teach me?\No, I don't want to!\Oh please, even if just my subdivision, the piano..\No!\I'm also busy myself!\Ryuutaro! If it's piano, what about asking Nodame-chan to teach you?\Oh Dad, that's a good idea you said!\Eh, but how is she doing now? response:	Why, I wonder if she's feeling down now?
context: No, I don't want to!\Oh please, even if just my subdivision, the piano..\No!\I'm also busy myself!\Ryuutaro! If it's piano, what about asking Nodame-chan to teach you?\Oh Dad, that's a good idea you said!\Eh, but how is she doing now?\Why, I wonder if she's feeling down now? response:	Since that day,
context: Oh please, even if just my subdivision, the piano..\No!\I'm also busy myself!\Ryuutaro! If it's piano, what about asking Nodame-chan to teach you?\Oh Dad, that's a good idea you said!\Eh, but how is she doing now?\Why, I wonder if she's feeling down now?\Since that day, response:	from her room,
context: No!\I'm also busy myself!\Ryuutaro! If it's piano, what about asking Nodame-chan to teach you?\Oh Dad, that's a good idea you said!\Eh, but how is she doing now?\Why, I wonder if she's feeling down now?\Since that day,\from her room, response:	even the sounds of piano never come out...
context: I'm also busy myself!\Ryuutaro! If it's piano, what about asking Nodame-chan to teach you?\Oh Dad, that's a good idea you said!\Eh, but how is she doing now?\Why, I wonder if she's feeling down now?\Since that day,\from her room,\even the sounds of piano never come out... response:	Hello?
context: Ryuutaro! If it's piano, what about asking Nodame-chan to teach you?\Oh Dad, that's a good idea you said!\Eh, but how is she doing now?\Why, I wonder if she's feeling down now?\Since that day,\from her room,\even the sounds of piano never come out...\Hello? response:	Yes, Sakuma here.
context: Oh Dad, that's a good idea you said!\Eh, but how is she doing now?\Why, I wonder if she's feeling down now?\Since that day,\from her room,\even the sounds of piano never come out...\Hello?\Yes, Sakuma here. response:	About the matter you asked me the other day...
context: Eh, but how is she doing now?\Why, I wonder if she's feeling down now?\Since that day,\from her room,\even the sounds of piano never come out...\Hello?\Yes, Sakuma here.\About the matter you asked me the other day... response:	Yes, yes...
context: Why, I wonder if she's feeling down now?\Since that day,\from her room,\even the sounds of piano never come out...\Hello?\Yes, Sakuma here.\About the matter you asked me the other day...\Yes, yes... response:	Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star
context: Since that day,\from her room,\even the sounds of piano never come out...\Hello?\Yes, Sakuma here.\About the matter you asked me the other day...\Yes, yes...\Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star response:	I have listed several of them.
context: from her room,\even the sounds of piano never come out...\Hello?\Yes, Sakuma here.\About the matter you asked me the other day...\Yes, yes...\Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star\I have listed several of them. response:	I'll bring it with me next time, OK?
context: even the sounds of piano never come out...\Hello?\Yes, Sakuma here.\About the matter you asked me the other day...\Yes, yes...\Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star\I have listed several of them.\I'll bring it with me next time, OK? response:	Matsuda Yukihisa (28 years old)
context: Hello?\Yes, Sakuma here.\About the matter you asked me the other day...\Yes, yes...\Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star\I have listed several of them.\I'll bring it with me next time, OK?\Matsuda Yukihisa (28 years old) response:	Thank you!
context: Yes, Sakuma here.\About the matter you asked me the other day...\Yes, yes...\Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star\I have listed several of them.\I'll bring it with me next time, OK?\Matsuda Yukihisa (28 years old)\Thank you! response:	I must tell all of them properly
context: About the matter you asked me the other day...\Yes, yes...\Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star\I have listed several of them.\I'll bring it with me next time, OK?\Matsuda Yukihisa (28 years old)\Thank you!\I must tell all of them properly response:	about my going away..
context: Yes, yes...\Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star\I have listed several of them.\I'll bring it with me next time, OK?\Matsuda Yukihisa (28 years old)\Thank you!\I must tell all of them properly\about my going away.. response:	In use by R.S Orchestra
context: Concerning excellent conductors who might be able to replace Chiaki-kun as the conductor of the Rising Star\I have listed several of them.\I'll bring it with me next time, OK?\Matsuda Yukihisa (28 years old)\Thank you!\I must tell all of them properly\about my going away..\In use by R.S Orchestra response:	Good morning! Hi, Chiaki!
context: I have listed several of them.\I'll bring it with me next time, OK?\Matsuda Yukihisa (28 years old)\Thank you!\I must tell all of them properly\about my going away..\In use by R.S Orchestra\Good morning! Hi, Chiaki! response:	Good morning...
context: I'll bring it with me next time, OK?\Matsuda Yukihisa (28 years old)\Thank you!\I must tell all of them properly\about my going away..\In use by R.S Orchestra\Good morning! Hi, Chiaki!\Good morning... response:	Concerning our Chrsitmas performance at Suntory Hall,
context: Matsuda Yukihisa (28 years old)\Thank you!\I must tell all of them properly\about my going away..\In use by R.S Orchestra\Good morning! Hi, Chiaki!\Good morning...\Concerning our Chrsitmas performance at Suntory Hall, response:	I have decided on the other piece...
context: Thank you!\I must tell all of them properly\about my going away..\In use by R.S Orchestra\Good morning! Hi, Chiaki!\Good morning...\Concerning our Chrsitmas performance at Suntory Hall,\I have decided on the other piece... response:	I'm thinking of practising it directly in our next practice day.
context: I must tell all of them properly\about my going away..\In use by R.S Orchestra\Good morning! Hi, Chiaki!\Good morning...\Concerning our Chrsitmas performance at Suntory Hall,\I have decided on the other piece...\I'm thinking of practising it directly in our next practice day. response:	The piece is..
context: about my going away..\In use by R.S Orchestra\Good morning! Hi, Chiaki!\Good morning...\Concerning our Chrsitmas performance at Suntory Hall,\I have decided on the other piece...\I'm thinking of practising it directly in our next practice day.\The piece is.. response:	Beethoven's No 7, isn't it?
context: In use by R.S Orchestra\Good morning! Hi, Chiaki!\Good morning...\Concerning our Chrsitmas performance at Suntory Hall,\I have decided on the other piece...\I'm thinking of practising it directly in our next practice day.\The piece is..\Beethoven's No 7, isn't it? response:	Eh?
context: Good morning! Hi, Chiaki!\Good morning...\Concerning our Chrsitmas performance at Suntory Hall,\I have decided on the other piece...\I'm thinking of practising it directly in our next practice day.\The piece is..\Beethoven's No 7, isn't it?\Eh? response:	This one is good!
context: Good morning...\Concerning our Chrsitmas performance at Suntory Hall,\I have decided on the other piece...\I'm thinking of practising it directly in our next practice day.\The piece is..\Beethoven's No 7, isn't it?\Eh?\This one is good! response:	It will be lively too.
context: Concerning our Chrsitmas performance at Suntory Hall,\I have decided on the other piece...\I'm thinking of practising it directly in our next practice day.\The piece is..\Beethoven's No 7, isn't it?\Eh?\This one is good!\It will be lively too. response:	Me too, I like this piece!
context: I have decided on the other piece...\I'm thinking of practising it directly in our next practice day.\The piece is..\Beethoven's No 7, isn't it?\Eh?\This one is good!\It will be lively too.\Me too, I like this piece! response:	Everybody already practiced it in advance, you know.
context: I'm thinking of practising it directly in our next practice day.\The piece is..\Beethoven's No 7, isn't it?\Eh?\This one is good!\It will be lively too.\Me too, I like this piece!\Everybody already practiced it in advance, you know. response:	Look here!
context: The piece is..\Beethoven's No 7, isn't it?\Eh?\This one is good!\It will be lively too.\Me too, I like this piece!\Everybody already practiced it in advance, you know.\Look here! response:	Look!
context: Beethoven's No 7, isn't it?\Eh?\This one is good!\It will be lively too.\Me too, I like this piece!\Everybody already practiced it in advance, you know.\Look here!\Look! response:	Why...why did everybody know it already?
context: Eh?\This one is good!\It will be lively too.\Me too, I like this piece!\Everybody already practiced it in advance, you know.\Look here!\Look!\Why...why did everybody know it already? response:	Why?
context: This one is good!\It will be lively too.\Me too, I like this piece!\Everybody already practiced it in advance, you know.\Look here!\Look!\Why...why did everybody know it already?\Why? response:	We already heard it from Mine-kun quite sometime ago.
context: It will be lively too.\Me too, I like this piece!\Everybody already practiced it in advance, you know.\Look here!\Look!\Why...why did everybody know it already?\Why?\We already heard it from Mine-kun quite sometime ago. response:	Huh?
context: Me too, I like this piece!\Everybody already practiced it in advance, you know.\Look here!\Look!\Why...why did everybody know it already?\Why?\We already heard it from Mine-kun quite sometime ago.\Huh? response:	It's the first piece we performed in S-Oke, isn't it?
context: Everybody already practiced it in advance, you know.\Look here!\Look!\Why...why did everybody know it already?\Why?\We already heard it from Mine-kun quite sometime ago.\Huh?\It's the first piece we performed in S-Oke, isn't it? response:	Yes! It's the first piece Chiaki-Sama conducted!
context: Look here!\Look!\Why...why did everybody know it already?\Why?\We already heard it from Mine-kun quite sometime ago.\Huh?\It's the first piece we performed in S-Oke, isn't it?\Yes! It's the first piece Chiaki-Sama conducted! response:	That is the start of everything!
context: Look!\Why...why did everybody know it already?\Why?\We already heard it from Mine-kun quite sometime ago.\Huh?\It's the first piece we performed in S-Oke, isn't it?\Yes! It's the first piece Chiaki-Sama conducted!\That is the start of everything! response:	Let's perform it perfectly,
context: Why...why did everybody know it already?\Why?\We already heard it from Mine-kun quite sometime ago.\Huh?\It's the first piece we performed in S-Oke, isn't it?\Yes! It's the first piece Chiaki-Sama conducted!\That is the start of everything!\Let's perform it perfectly, response:	it will be Chiaki's last conducting in Rising Star!
context: Why?\We already heard it from Mine-kun quite sometime ago.\Huh?\It's the first piece we performed in S-Oke, isn't it?\Yes! It's the first piece Chiaki-Sama conducted!\That is the start of everything!\Let's perform it perfectly,\it will be Chiaki's last conducting in Rising Star! response:	Mine...
context: We already heard it from Mine-kun quite sometime ago.\Huh?\It's the first piece we performed in S-Oke, isn't it?\Yes! It's the first piece Chiaki-Sama conducted!\That is the start of everything!\Let's perform it perfectly,\it will be Chiaki's last conducting in Rising Star!\Mine... response:	We don't have much time left, let's begin our practice now!
context: Huh?\It's the first piece we performed in S-Oke, isn't it?\Yes! It's the first piece Chiaki-Sama conducted!\That is the start of everything!\Let's perform it perfectly,\it will be Chiaki's last conducting in Rising Star!\Mine...\We don't have much time left, let's begin our practice now! response:	Never mind.
context: It's the first piece we performed in S-Oke, isn't it?\Yes! It's the first piece Chiaki-Sama conducted!\That is the start of everything!\Let's perform it perfectly,\it will be Chiaki's last conducting in Rising Star!\Mine...\We don't have much time left, let's begin our practice now!\Never mind. response:	It has nothing to do with me.
context: Yes! It's the first piece Chiaki-Sama conducted!\That is the start of everything!\Let's perform it perfectly,\it will be Chiaki's last conducting in Rising Star!\Mine...\We don't have much time left, let's begin our practice now!\Never mind.\It has nothing to do with me. response:	MERRY CHRISTMAS!!!
