context: I have to get some proper rest. response:	Don't disturb me again.
context: Auntie, why would my father still come after me\after I hid out here in West Sea?\You'd better succumb to fate.\It's better to accept proposal gifts from talented young men\of all realms here in this beautiful garden\than to marry my senior?\That's true.\Auntie. Little Princess... response:	This is made from the scales of
context: after I hid out here in West Sea?\You'd better succumb to fate.\It's better to accept proposal gifts from talented young men\of all realms here in this beautiful garden\than to marry my senior?\That's true.\Auntie. Little Princess...\This is made from the scales of response:	Yingzhou of the Eastern Sea's mythical beast, Qiong Qi.
context: You'd better succumb to fate.\It's better to accept proposal gifts from talented young men\of all realms here in this beautiful garden\than to marry my senior?\That's true.\Auntie. Little Princess...\This is made from the scales of\Yingzhou of the Eastern Sea's mythical beast, Qiong Qi. response:	It's just a small gift.
context: It's better to accept proposal gifts from talented young men\of all realms here in this beautiful garden\than to marry my senior?\That's true.\Auntie. Little Princess...\This is made from the scales of\Yingzhou of the Eastern Sea's mythical beast, Qiong Qi.\It's just a small gift. response:	Please don't mind it, Little Princess.
context: of all realms here in this beautiful garden\than to marry my senior?\That's true.\Auntie. Little Princess...\This is made from the scales of\Yingzhou of the Eastern Sea's mythical beast, Qiong Qi.\It's just a small gift.\Please don't mind it, Little Princess. response:	What's special about Yingzhou of the Eastern Sea?
context: than to marry my senior?\That's true.\Auntie. Little Princess...\This is made from the scales of\Yingzhou of the Eastern Sea's mythical beast, Qiong Qi.\It's just a small gift.\Please don't mind it, Little Princess.\What's special about Yingzhou of the Eastern Sea? response:	My grandfather has been to the Eastern Sea as well
context: That's true.\Auntie. Little Princess...\This is made from the scales of\Yingzhou of the Eastern Sea's mythical beast, Qiong Qi.\It's just a small gift.\Please don't mind it, Little Princess.\What's special about Yingzhou of the Eastern Sea?\My grandfather has been to the Eastern Sea as well response:	and he even brought back the divine fungal grass.
context: Auntie. Little Princess...\This is made from the scales of\Yingzhou of the Eastern Sea's mythical beast, Qiong Qi.\It's just a small gift.\Please don't mind it, Little Princess.\What's special about Yingzhou of the Eastern Sea?\My grandfather has been to the Eastern Sea as well\and he even brought back the divine fungal grass. response:	Indeed.
context: This is made from the scales of\Yingzhou of the Eastern Sea's mythical beast, Qiong Qi.\It's just a small gift.\Please don't mind it, Little Princess.\What's special about Yingzhou of the Eastern Sea?\My grandfather has been to the Eastern Sea as well\and he even brought back the divine fungal grass.\Indeed. response:	Fox King Bai Zhi is truly the emperor of Five Far Lands.
context: Yingzhou of the Eastern Sea's mythical beast, Qiong Qi.\It's just a small gift.\Please don't mind it, Little Princess.\What's special about Yingzhou of the Eastern Sea?\My grandfather has been to the Eastern Sea as well\and he even brought back the divine fungal grass.\Indeed.\Fox King Bai Zhi is truly the emperor of Five Far Lands. response:	He fought against the four mythical beasts alone
context: It's just a small gift.\Please don't mind it, Little Princess.\What's special about Yingzhou of the Eastern Sea?\My grandfather has been to the Eastern Sea as well\and he even brought back the divine fungal grass.\Indeed.\Fox King Bai Zhi is truly the emperor of Five Far Lands.\He fought against the four mythical beasts alone response:	and took the divine fungal grass. He's an inspiration to us all.
context: Please don't mind it, Little Princess.\What's special about Yingzhou of the Eastern Sea?\My grandfather has been to the Eastern Sea as well\and he even brought back the divine fungal grass.\Indeed.\Fox King Bai Zhi is truly the emperor of Five Far Lands.\He fought against the four mythical beasts alone\and took the divine fungal grass. He's an inspiration to us all. response:	None is a match for him.
context: What's special about Yingzhou of the Eastern Sea?\My grandfather has been to the Eastern Sea as well\and he even brought back the divine fungal grass.\Indeed.\Fox King Bai Zhi is truly the emperor of Five Far Lands.\He fought against the four mythical beasts alone\and took the divine fungal grass. He's an inspiration to us all.\None is a match for him. response:	What about Lord Dong Hua?
context: My grandfather has been to the Eastern Sea as well\and he even brought back the divine fungal grass.\Indeed.\Fox King Bai Zhi is truly the emperor of Five Far Lands.\He fought against the four mythical beasts alone\and took the divine fungal grass. He's an inspiration to us all.\None is a match for him.\What about Lord Dong Hua? response:	His Lordship?
context: and he even brought back the divine fungal grass.\Indeed.\Fox King Bai Zhi is truly the emperor of Five Far Lands.\He fought against the four mythical beasts alone\and took the divine fungal grass. He's an inspiration to us all.\None is a match for him.\What about Lord Dong Hua?\His Lordship? response:	Old Lord Dong Hua is...
context: Indeed.\Fox King Bai Zhi is truly the emperor of Five Far Lands.\He fought against the four mythical beasts alone\and took the divine fungal grass. He's an inspiration to us all.\None is a match for him.\What about Lord Dong Hua?\His Lordship?\Old Lord Dong Hua is... response:	Is he old?
context: Fox King Bai Zhi is truly the emperor of Five Far Lands.\He fought against the four mythical beasts alone\and took the divine fungal grass. He's an inspiration to us all.\None is a match for him.\What about Lord Dong Hua?\His Lordship?\Old Lord Dong Hua is...\Is he old? response:	Not at all!
context: He fought against the four mythical beasts alone\and took the divine fungal grass. He's an inspiration to us all.\None is a match for him.\What about Lord Dong Hua?\His Lordship?\Old Lord Dong Hua is...\Is he old?\Not at all! response:	Although Lord Dong Hua was already around during the old Heavenly Lord's reign
context: and took the divine fungal grass. He's an inspiration to us all.\None is a match for him.\What about Lord Dong Hua?\His Lordship?\Old Lord Dong Hua is...\Is he old?\Not at all!\Although Lord Dong Hua was already around during the old Heavenly Lord's reign response:	he still looks so young!
context: None is a match for him.\What about Lord Dong Hua?\His Lordship?\Old Lord Dong Hua is...\Is he old?\Not at all!\Although Lord Dong Hua was already around during the old Heavenly Lord's reign\he still looks so young! response:	He's not old at all! Not at all!
