context: Can't something fun happen for once? response:	Every single day bores me to death.
context: Shit, if I could at least use magic...\Adrew!\Huh? It's those again...\Oh, Louis! Look what the witch has done to you!\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that she trespassed into our school.\As you are aware, when two parties disagree they may face each other here.\Before I knew what came over me, the situation was chaotic and I was on the verge of death. response:	She saved my life.
context: Adrew!\Huh? It's those again...\Oh, Louis! Look what the witch has done to you!\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that she trespassed into our school.\As you are aware, when two parties disagree they may face each other here.\Before I knew what came over me, the situation was chaotic and I was on the verge of death.\She saved my life. response:	You're actually feeling guilty for once.
context: Huh? It's those again...\Oh, Louis! Look what the witch has done to you!\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that she trespassed into our school.\As you are aware, when two parties disagree they may face each other here.\Before I knew what came over me, the situation was chaotic and I was on the verge of death.\She saved my life.\You're actually feeling guilty for once. response:	Yeah, I am.
context: Oh, Louis! Look what the witch has done to you!\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that she trespassed into our school.\As you are aware, when two parties disagree they may face each other here.\Before I knew what came over me, the situation was chaotic and I was on the verge of death.\She saved my life.\You're actually feeling guilty for once.\Yeah, I am. response:	I know you just feel refreshed since you got to go wild.
context: You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that she trespassed into our school.\As you are aware, when two parties disagree they may face each other here.\Before I knew what came over me, the situation was chaotic and I was on the verge of death.\She saved my life.\You're actually feeling guilty for once.\Yeah, I am.\I know you just feel refreshed since you got to go wild. response:	True that! I'm never bored when you're around.
context: It is indeed the case that she trespassed into our school.\As you are aware, when two parties disagree they may face each other here.\Before I knew what came over me, the situation was chaotic and I was on the verge of death.\She saved my life.\You're actually feeling guilty for once.\Yeah, I am.\I know you just feel refreshed since you got to go wild.\True that! I'm never bored when you're around. response:	It wouldn't be any fun without you here, so don't even think of quitting.
context: As you are aware, when two parties disagree they may face each other here.\Before I knew what came over me, the situation was chaotic and I was on the verge of death.\She saved my life.\You're actually feeling guilty for once.\Yeah, I am.\I know you just feel refreshed since you got to go wild.\True that! I'm never bored when you're around.\It wouldn't be any fun without you here, so don't even think of quitting. response:	Can't something interesting happen for once?
context: Before I knew what came over me, the situation was chaotic and I was on the verge of death.\She saved my life.\You're actually feeling guilty for once.\Yeah, I am.\I know you just feel refreshed since you got to go wild.\True that! I'm never bored when you're around.\It wouldn't be any fun without you here, so don't even think of quitting.\Can't something interesting happen for once? response:	I'm just bored to death every single day.
context: She saved my life.\You're actually feeling guilty for once.\Yeah, I am.\I know you just feel refreshed since you got to go wild.\True that! I'm never bored when you're around.\It wouldn't be any fun without you here, so don't even think of quitting.\Can't something interesting happen for once?\I'm just bored to death every single day. response:	It's all rules, work, and punishment.
context: You're actually feeling guilty for once.\Yeah, I am.\I know you just feel refreshed since you got to go wild.\True that! I'm never bored when you're around.\It wouldn't be any fun without you here, so don't even think of quitting.\Can't something interesting happen for once?\I'm just bored to death every single day.\It's all rules, work, and punishment. response:	I'm getting outta this stuffy school for good.
context: Yeah, I am.\I know you just feel refreshed since you got to go wild.\True that! I'm never bored when you're around.\It wouldn't be any fun without you here, so don't even think of quitting.\Can't something interesting happen for once?\I'm just bored to death every single day.\It's all rules, work, and punishment.\I'm getting outta this stuffy school for good. response:	When's that?
