context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: She does not move.\She does not move. Besides, I like you quite a bit.\Besides, I like you quite a bit.\Silence.\Eh?! Shut up\Eh?! Shut up Shaken.\Shaken.\I SAID I DON'T LIKE YOU! response:	I SAID I DON'T LIKE YOU! Reasserting.
context: She does not move. Besides, I like you quite a bit.\Besides, I like you quite a bit.\Silence.\Eh?! Shut up\Eh?! Shut up Shaken.\Shaken.\I SAID I DON'T LIKE YOU!\I SAID I DON'T LIKE YOU! Reasserting. response:	Reasserting.
context: Besides, I like you quite a bit.\Silence.\Eh?! Shut up\Eh?! Shut up Shaken.\Shaken.\I SAID I DON'T LIKE YOU!\I SAID I DON'T LIKE YOU! Reasserting.\Reasserting. response:	If I'm not liked, do I have to not like you back?
context: Silence.\Eh?! Shut up\Eh?! Shut up Shaken.\Shaken.\I SAID I DON'T LIKE YOU!\I SAID I DON'T LIKE YOU! Reasserting.\Reasserting.\If I'm not liked, do I have to not like you back? response:	When I think about it, being with you is kind of fun.
context: Eh?! Shut up\Eh?! Shut up Shaken.\Shaken.\I SAID I DON'T LIKE YOU!\I SAID I DON'T LIKE YOU! Reasserting.\Reasserting.\If I'm not liked, do I have to not like you back?\When I think about it, being with you is kind of fun. response:	Isn't that enough?
context: Eh?! Shut up Shaken.\Shaken.\I SAID I DON'T LIKE YOU!\I SAID I DON'T LIKE YOU! Reasserting.\Reasserting.\If I'm not liked, do I have to not like you back?\When I think about it, being with you is kind of fun.\Isn't that enough? response:	Cannot reach her.
context: Shaken.\I SAID I DON'T LIKE YOU!\I SAID I DON'T LIKE YOU! Reasserting.\Reasserting.\If I'm not liked, do I have to not like you back?\When I think about it, being with you is kind of fun.\Isn't that enough?\Cannot reach her. response:	Free flowing...
context: I SAID I DON'T LIKE YOU!\I SAID I DON'T LIKE YOU! Reasserting.\Reasserting.\If I'm not liked, do I have to not like you back?\When I think about it, being with you is kind of fun.\Isn't that enough?\Cannot reach her.\Free flowing... response:	this gal's heart is always somewhere far away
context: I SAID I DON'T LIKE YOU! Reasserting.\Reasserting.\If I'm not liked, do I have to not like you back?\When I think about it, being with you is kind of fun.\Isn't that enough?\Cannot reach her.\Free flowing...\this gal's heart is always somewhere far away response:	Any words of mine...
context: Reasserting.\If I'm not liked, do I have to not like you back?\When I think about it, being with you is kind of fun.\Isn't that enough?\Cannot reach her.\Free flowing...\this gal's heart is always somewhere far away\Any words of mine... response:	and feelings...
context: If I'm not liked, do I have to not like you back?\When I think about it, being with you is kind of fun.\Isn't that enough?\Cannot reach her.\Free flowing...\this gal's heart is always somewhere far away\Any words of mine...\and feelings... response:	cannot reach her.
context: When I think about it, being with you is kind of fun.\Isn't that enough?\Cannot reach her.\Free flowing...\this gal's heart is always somewhere far away\Any words of mine...\and feelings...\cannot reach her. response:	It never will reach Sakura
context: Isn't that enough?\Cannot reach her.\Free flowing...\this gal's heart is always somewhere far away\Any words of mine...\and feelings...\cannot reach her.\It never will reach Sakura response:	Why?
context: Cannot reach her.\Free flowing...\this gal's heart is always somewhere far away\Any words of mine...\and feelings...\cannot reach her.\It never will reach Sakura\Why? response:	I don't know
context: Free flowing...\this gal's heart is always somewhere far away\Any words of mine...\and feelings...\cannot reach her.\It never will reach Sakura\Why?\I don't know response:	I don't know He replies.
context: this gal's heart is always somewhere far away\Any words of mine...\and feelings...\cannot reach her.\It never will reach Sakura\Why?\I don't know\I don't know He replies. response:	He replies.
context: Any words of mine...\and feelings...\cannot reach her.\It never will reach Sakura\Why?\I don't know\I don't know He replies.\He replies. response:	That is the first time I ever kissed.
context: and feelings...\cannot reach her.\It never will reach Sakura\Why?\I don't know\I don't know He replies.\He replies.\That is the first time I ever kissed. response:	Come to think of it, me too.
context: cannot reach her.\It never will reach Sakura\Why?\I don't know\I don't know He replies.\He replies.\That is the first time I ever kissed.\Come to think of it, me too. response:	Come to think of it, me too. He says the same.
context: It never will reach Sakura\Why?\I don't know\I don't know He replies.\He replies.\That is the first time I ever kissed.\Come to think of it, me too.\Come to think of it, me too. He says the same. response:	Come to think of it, me too.
context: Why?\I don't know\I don't know He replies.\He replies.\That is the first time I ever kissed.\Come to think of it, me too.\Come to think of it, me too. He says the same.\Come to think of it, me too. response:	And then, questioning...
context: I don't know\I don't know He replies.\He replies.\That is the first time I ever kissed.\Come to think of it, me too.\Come to think of it, me too. He says the same.\Come to think of it, me too.\And then, questioning... response:	And then, questioning... Why did I do such a thing?
context: I don't know He replies.\He replies.\That is the first time I ever kissed.\Come to think of it, me too.\Come to think of it, me too. He says the same.\Come to think of it, me too.\And then, questioning...\And then, questioning... Why did I do such a thing? response:	Why did I do such a thing? Questioning...
context: He replies.\That is the first time I ever kissed.\Come to think of it, me too.\Come to think of it, me too. He says the same.\Come to think of it, me too.\And then, questioning...\And then, questioning... Why did I do such a thing?\Why did I do such a thing? Questioning... response:	Questioning...
context: That is the first time I ever kissed.\Come to think of it, me too.\Come to think of it, me too. He says the same.\Come to think of it, me too.\And then, questioning...\And then, questioning... Why did I do such a thing?\Why did I do such a thing? Questioning...\Questioning... response:	Questioning... Meeting Room
context: Come to think of it, me too.\Come to think of it, me too. He says the same.\Come to think of it, me too.\And then, questioning...\And then, questioning... Why did I do such a thing?\Why did I do such a thing? Questioning...\Questioning...\Questioning... Meeting Room response:	Meeting Room
context: Come to think of it, me too. He says the same.\Come to think of it, me too.\And then, questioning...\And then, questioning... Why did I do such a thing?\Why did I do such a thing? Questioning...\Questioning...\Questioning... Meeting Room\Meeting Room response:	Next we need to discuss with regard to the topic of...
context: Come to think of it, me too.\And then, questioning...\And then, questioning... Why did I do such a thing?\Why did I do such a thing? Questioning...\Questioning...\Questioning... Meeting Room\Meeting Room\Next we need to discuss with regard to the topic of... response:	Stage 3
context: And then, questioning...\And then, questioning... Why did I do such a thing?\Why did I do such a thing? Questioning...\Questioning...\Questioning... Meeting Room\Meeting Room\Next we need to discuss with regard to the topic of...\Stage 3 response:	Prep Room
context: And then, questioning... Why did I do such a thing?\Why did I do such a thing? Questioning...\Questioning...\Questioning... Meeting Room\Meeting Room\Next we need to discuss with regard to the topic of...\Stage 3\Prep Room response:	Ahh, thank you.
context: Why did I do such a thing? Questioning...\Questioning...\Questioning... Meeting Room\Meeting Room\Next we need to discuss with regard to the topic of...\Stage 3\Prep Room\Ahh, thank you. response:	Ahh, thank you. She expresses gratitude.
