context: Our adolescence is the season of love. response:	Our hearts flutter. We feel restless. And we're curious about boys.
context: Give it up, Futaba.\Just apologize and pay her.\Uh...\- Um... - She paid.\Huh?\I saw it, too.\Get out of my way.\Mabuchi is right. I saw it, too! response:	Yeah?
context: Just apologize and pay her.\Uh...\- Um... - She paid.\Huh?\I saw it, too.\Get out of my way.\Mabuchi is right. I saw it, too!\Yeah? response:	She paid me just a second ago.
context: Uh...\- Um... - She paid.\Huh?\I saw it, too.\Get out of my way.\Mabuchi is right. I saw it, too!\Yeah?\She paid me just a second ago. response:	- What? Did she? - Yeah.
context: - Um... - She paid.\Huh?\I saw it, too.\Get out of my way.\Mabuchi is right. I saw it, too!\Yeah?\She paid me just a second ago.\- What? Did she? - Yeah. response:	How could I have known? Then you can go.
context: Huh?\I saw it, too.\Get out of my way.\Mabuchi is right. I saw it, too!\Yeah?\She paid me just a second ago.\- What? Did she? - Yeah.\How could I have known? Then you can go. response:	You're so mean, old lady.
context: I saw it, too.\Get out of my way.\Mabuchi is right. I saw it, too!\Yeah?\She paid me just a second ago.\- What? Did she? - Yeah.\How could I have known? Then you can go.\You're so mean, old lady. response:	Terrible.
context: Get out of my way.\Mabuchi is right. I saw it, too!\Yeah?\She paid me just a second ago.\- What? Did she? - Yeah.\How could I have known? Then you can go.\You're so mean, old lady.\Terrible. response:	Are you letting out your stress?
context: Mabuchi is right. I saw it, too!\Yeah?\She paid me just a second ago.\- What? Did she? - Yeah.\How could I have known? Then you can go.\You're so mean, old lady.\Terrible.\Are you letting out your stress? response:	That's not what you should be saying.
context: Yeah?\She paid me just a second ago.\- What? Did she? - Yeah.\How could I have known? Then you can go.\You're so mean, old lady.\Terrible.\Are you letting out your stress?\That's not what you should be saying. response:	You lot, and you too.
context: She paid me just a second ago.\- What? Did she? - Yeah.\How could I have known? Then you can go.\You're so mean, old lady.\Terrible.\Are you letting out your stress?\That's not what you should be saying.\You lot, and you too. response:	Apologize.
context: - What? Did she? - Yeah.\How could I have known? Then you can go.\You're so mean, old lady.\Terrible.\Are you letting out your stress?\That's not what you should be saying.\You lot, and you too.\Apologize. response:	S-s-s-sorry.
context: How could I have known? Then you can go.\You're so mean, old lady.\Terrible.\Are you letting out your stress?\That's not what you should be saying.\You lot, and you too.\Apologize.\S-s-s-sorry. response:	Excuse me!
context: You're so mean, old lady.\Terrible.\Are you letting out your stress?\That's not what you should be saying.\You lot, and you too.\Apologize.\S-s-s-sorry.\Excuse me! response:	Thank you.
context: Terrible.\Are you letting out your stress?\That's not what you should be saying.\You lot, and you too.\Apologize.\S-s-s-sorry.\Excuse me!\Thank you. response:	It's nothing.
context: Are you letting out your stress?\That's not what you should be saying.\You lot, and you too.\Apologize.\S-s-s-sorry.\Excuse me!\Thank you.\It's nothing. response:	That wasn't right no matter how you think about it.
context: That's not what you should be saying.\You lot, and you too.\Apologize.\S-s-s-sorry.\Excuse me!\Thank you.\It's nothing.\That wasn't right no matter how you think about it. response:	Yeah.
context: You lot, and you too.\Apologize.\S-s-s-sorry.\Excuse me!\Thank you.\It's nothing.\That wasn't right no matter how you think about it.\Yeah. response:	But you got mad for my sake, so I feel better.
context: Apologize.\S-s-s-sorry.\Excuse me!\Thank you.\It's nothing.\That wasn't right no matter how you think about it.\Yeah.\But you got mad for my sake, so I feel better. response:	If something that small makes you feel better, then you come cheap.
context: S-s-s-sorry.\Excuse me!\Thank you.\It's nothing.\That wasn't right no matter how you think about it.\Yeah.\But you got mad for my sake, so I feel better.\If something that small makes you feel better, then you come cheap. response:	Being like that would make your friendships come cheap, too.
context: Excuse me!\Thank you.\It's nothing.\That wasn't right no matter how you think about it.\Yeah.\But you got mad for my sake, so I feel better.\If something that small makes you feel better, then you come cheap.\Being like that would make your friendships come cheap, too. response:	Friendships are more important to me, anyway.
context: Thank you.\It's nothing.\That wasn't right no matter how you think about it.\Yeah.\But you got mad for my sake, so I feel better.\If something that small makes you feel better, then you come cheap.\Being like that would make your friendships come cheap, too.\Friendships are more important to me, anyway. response:	That would be making pretend friends.
context: It's nothing.\That wasn't right no matter how you think about it.\Yeah.\But you got mad for my sake, so I feel better.\If something that small makes you feel better, then you come cheap.\Being like that would make your friendships come cheap, too.\Friendships are more important to me, anyway.\That would be making pretend friends. response:	They're trivial.
context: That wasn't right no matter how you think about it.\Yeah.\But you got mad for my sake, so I feel better.\If something that small makes you feel better, then you come cheap.\Being like that would make your friendships come cheap, too.\Friendships are more important to me, anyway.\That would be making pretend friends.\They're trivial. response:	Mabuchi! Mabudachi!
context: Yeah.\But you got mad for my sake, so I feel better.\If something that small makes you feel better, then you come cheap.\Being like that would make your friendships come cheap, too.\Friendships are more important to me, anyway.\That would be making pretend friends.\They're trivial.\Mabuchi! Mabudachi! response:	Thanks to you,
context: But you got mad for my sake, so I feel better.\If something that small makes you feel better, then you come cheap.\Being like that would make your friendships come cheap, too.\Friendships are more important to me, anyway.\That would be making pretend friends.\They're trivial.\Mabuchi! Mabudachi!\Thanks to you, response:	I got to talk to Murao Shuuko!
context: If something that small makes you feel better, then you come cheap.\Being like that would make your friendships come cheap, too.\Friendships are more important to me, anyway.\That would be making pretend friends.\They're trivial.\Mabuchi! Mabudachi!\Thanks to you,\I got to talk to Murao Shuuko! response:	Thanks!
context: Being like that would make your friendships come cheap, too.\Friendships are more important to me, anyway.\That would be making pretend friends.\They're trivial.\Mabuchi! Mabudachi!\Thanks to you,\I got to talk to Murao Shuuko!\Thanks! response:	But... even if they're pretend friends,
context: Friendships are more important to me, anyway.\That would be making pretend friends.\They're trivial.\Mabuchi! Mabudachi!\Thanks to you,\I got to talk to Murao Shuuko!\Thanks!\But... even if they're pretend friends, response:	it's a lot better than being on my own.
context: That would be making pretend friends.\They're trivial.\Mabuchi! Mabudachi!\Thanks to you,\I got to talk to Murao Shuuko!\Thanks!\But... even if they're pretend friends,\it's a lot better than being on my own. response:	Hey.
context: They're trivial.\Mabuchi! Mabudachi!\Thanks to you,\I got to talk to Murao Shuuko!\Thanks!\But... even if they're pretend friends,\it's a lot better than being on my own.\Hey. response:	If you'd like...
context: Mabuchi! Mabudachi!\Thanks to you,\I got to talk to Murao Shuuko!\Thanks!\But... even if they're pretend friends,\it's a lot better than being on my own.\Hey.\If you'd like... response:	Thank you!
context: Thanks to you,\I got to talk to Murao Shuuko!\Thanks!\But... even if they're pretend friends,\it's a lot better than being on my own.\Hey.\If you'd like...\Thank you! response:	I'm sorry about back then.
context: I got to talk to Murao Shuuko!\Thanks!\But... even if they're pretend friends,\it's a lot better than being on my own.\Hey.\If you'd like...\Thank you!\I'm sorry about back then. response:	I was the closest to you, and even saw it...
context: Thanks!\But... even if they're pretend friends,\it's a lot better than being on my own.\Hey.\If you'd like...\Thank you!\I'm sorry about back then.\I was the closest to you, and even saw it... response:	It's okay! It's fine!
context: But... even if they're pretend friends,\it's a lot better than being on my own.\Hey.\If you'd like...\Thank you!\I'm sorry about back then.\I was the closest to you, and even saw it...\It's okay! It's fine! response:	But thanks for this.
context: it's a lot better than being on my own.\Hey.\If you'd like...\Thank you!\I'm sorry about back then.\I was the closest to you, and even saw it...\It's okay! It's fine!\But thanks for this. response:	It looks good!
context: Hey.\If you'd like...\Thank you!\I'm sorry about back then.\I was the closest to you, and even saw it...\It's okay! It's fine!\But thanks for this.\It looks good! response:	Hey, why are you getting involved with someone like her?
context: If you'd like...\Thank you!\I'm sorry about back then.\I was the closest to you, and even saw it...\It's okay! It's fine!\But thanks for this.\It looks good!\Hey, why are you getting involved with someone like her? response:	Eating her bentou on her own is so strange.
context: Thank you!\I'm sorry about back then.\I was the closest to you, and even saw it...\It's okay! It's fine!\But thanks for this.\It looks good!\Hey, why are you getting involved with someone like her?\Eating her bentou on her own is so strange. response:	Wouldn't it be nice if the boys talked to her?
context: I'm sorry about back then.\I was the closest to you, and even saw it...\It's okay! It's fine!\But thanks for this.\It looks good!\Hey, why are you getting involved with someone like her?\Eating her bentou on her own is so strange.\Wouldn't it be nice if the boys talked to her? response:	And you know, a heart being on that cake...
context: I was the closest to you, and even saw it...\It's okay! It's fine!\But thanks for this.\It looks good!\Hey, why are you getting involved with someone like her?\Eating her bentou on her own is so strange.\Wouldn't it be nice if the boys talked to her?\And you know, a heart being on that cake... response:	is so pathetic.
context: It's okay! It's fine!\But thanks for this.\It looks good!\Hey, why are you getting involved with someone like her?\Eating her bentou on her own is so strange.\Wouldn't it be nice if the boys talked to her?\And you know, a heart being on that cake...\is so pathetic. response:	Seriously.
context: But thanks for this.\It looks good!\Hey, why are you getting involved with someone like her?\Eating her bentou on her own is so strange.\Wouldn't it be nice if the boys talked to her?\And you know, a heart being on that cake...\is so pathetic.\Seriously. response:	She's just putting on a cute act for the boys.
context: It looks good!\Hey, why are you getting involved with someone like her?\Eating her bentou on her own is so strange.\Wouldn't it be nice if the boys talked to her?\And you know, a heart being on that cake...\is so pathetic.\Seriously.\She's just putting on a cute act for the boys. response:	- She's pretty sly. - Isn't she?
context: Hey, why are you getting involved with someone like her?\Eating her bentou on her own is so strange.\Wouldn't it be nice if the boys talked to her?\And you know, a heart being on that cake...\is so pathetic.\Seriously.\She's just putting on a cute act for the boys.\- She's pretty sly. - Isn't she? response:	Being like that would make your friendships come cheap, too.
