context: The one before him yelled out, Oh no! response:	If you'd like to know what happens next, come listen again next time.
context: I allow you to sit.\Yes.\Noble Consort still refuses to return to the palace.\Noble Consort?\Noble Consort entered the palace when she was 15 years old.\I always favored her.\I never expected that after giving birth to the crown prince, Yuan Zhen\she would keep saying she wanted to become a nun. response:	I could not do anything about her.
context: Yes.\Noble Consort still refuses to return to the palace.\Noble Consort?\Noble Consort entered the palace when she was 15 years old.\I always favored her.\I never expected that after giving birth to the crown prince, Yuan Zhen\she would keep saying she wanted to become a nun.\I could not do anything about her. response:	I could only build a Taoist temple for her
context: Noble Consort still refuses to return to the palace.\Noble Consort?\Noble Consort entered the palace when she was 15 years old.\I always favored her.\I never expected that after giving birth to the crown prince, Yuan Zhen\she would keep saying she wanted to become a nun.\I could not do anything about her.\I could only build a Taoist temple for her response:	in the remote mountains by the imperial city
context: Noble Consort?\Noble Consort entered the palace when she was 15 years old.\I always favored her.\I never expected that after giving birth to the crown prince, Yuan Zhen\she would keep saying she wanted to become a nun.\I could not do anything about her.\I could only build a Taoist temple for her\in the remote mountains by the imperial city response:	so she could devote herself to religious practice.
context: Noble Consort entered the palace when she was 15 years old.\I always favored her.\I never expected that after giving birth to the crown prince, Yuan Zhen\she would keep saying she wanted to become a nun.\I could not do anything about her.\I could only build a Taoist temple for her\in the remote mountains by the imperial city\so she could devote herself to religious practice. response:	Noble Consort has wholeheartedly devoted herself to Taoism.
context: I always favored her.\I never expected that after giving birth to the crown prince, Yuan Zhen\she would keep saying she wanted to become a nun.\I could not do anything about her.\I could only build a Taoist temple for her\in the remote mountains by the imperial city\so she could devote herself to religious practice.\Noble Consort has wholeheartedly devoted herself to Taoism. response:	She and Yuan Zhen lived in the Taoist temple...
context: I never expected that after giving birth to the crown prince, Yuan Zhen\she would keep saying she wanted to become a nun.\I could not do anything about her.\I could only build a Taoist temple for her\in the remote mountains by the imperial city\so she could devote herself to religious practice.\Noble Consort has wholeheartedly devoted herself to Taoism.\She and Yuan Zhen lived in the Taoist temple... response:	until Yuan Zhen turned 16.
context: she would keep saying she wanted to become a nun.\I could not do anything about her.\I could only build a Taoist temple for her\in the remote mountains by the imperial city\so she could devote herself to religious practice.\Noble Consort has wholeheartedly devoted herself to Taoism.\She and Yuan Zhen lived in the Taoist temple...\until Yuan Zhen turned 16. response:	Then she sent a Taoist nun to escort Yuan Zhen back to the palace.
context: I could not do anything about her.\I could only build a Taoist temple for her\in the remote mountains by the imperial city\so she could devote herself to religious practice.\Noble Consort has wholeheartedly devoted herself to Taoism.\She and Yuan Zhen lived in the Taoist temple...\until Yuan Zhen turned 16.\Then she sent a Taoist nun to escort Yuan Zhen back to the palace. response:	She only returns on the first and fifteenth of every month
context: I could only build a Taoist temple for her\in the remote mountains by the imperial city\so she could devote herself to religious practice.\Noble Consort has wholeheartedly devoted herself to Taoism.\She and Yuan Zhen lived in the Taoist temple...\until Yuan Zhen turned 16.\Then she sent a Taoist nun to escort Yuan Zhen back to the palace.\She only returns on the first and fifteenth of every month response:	to visit her son.
context: in the remote mountains by the imperial city\so she could devote herself to religious practice.\Noble Consort has wholeheartedly devoted herself to Taoism.\She and Yuan Zhen lived in the Taoist temple...\until Yuan Zhen turned 16.\Then she sent a Taoist nun to escort Yuan Zhen back to the palace.\She only returns on the first and fifteenth of every month\to visit her son. response:	She never comes to see me.
context: so she could devote herself to religious practice.\Noble Consort has wholeheartedly devoted herself to Taoism.\She and Yuan Zhen lived in the Taoist temple...\until Yuan Zhen turned 16.\Then she sent a Taoist nun to escort Yuan Zhen back to the palace.\She only returns on the first and fifteenth of every month\to visit her son.\She never comes to see me. response:	She never visits me. It is as if I do not even exist.
context: Noble Consort has wholeheartedly devoted herself to Taoism.\She and Yuan Zhen lived in the Taoist temple...\until Yuan Zhen turned 16.\Then she sent a Taoist nun to escort Yuan Zhen back to the palace.\She only returns on the first and fifteenth of every month\to visit her son.\She never comes to see me.\She never visits me. It is as if I do not even exist. response:	Si Ming said Dijun came to the Mortal Realm
context: She and Yuan Zhen lived in the Taoist temple...\until Yuan Zhen turned 16.\Then she sent a Taoist nun to escort Yuan Zhen back to the palace.\She only returns on the first and fifteenth of every month\to visit her son.\She never comes to see me.\She never visits me. It is as if I do not even exist.\Si Ming said Dijun came to the Mortal Realm response:	to experience the bitterness of life.
context: until Yuan Zhen turned 16.\Then she sent a Taoist nun to escort Yuan Zhen back to the palace.\She only returns on the first and fifteenth of every month\to visit her son.\She never comes to see me.\She never visits me. It is as if I do not even exist.\Si Ming said Dijun came to the Mortal Realm\to experience the bitterness of life. response:	From the looks of it
context: Then she sent a Taoist nun to escort Yuan Zhen back to the palace.\She only returns on the first and fifteenth of every month\to visit her son.\She never comes to see me.\She never visits me. It is as if I do not even exist.\Si Ming said Dijun came to the Mortal Realm\to experience the bitterness of life.\From the looks of it response:	Si Ming put in his best effort to write this story.
context: She only returns on the first and fifteenth of every month\to visit her son.\She never comes to see me.\She never visits me. It is as if I do not even exist.\Si Ming said Dijun came to the Mortal Realm\to experience the bitterness of life.\From the looks of it\Si Ming put in his best effort to write this story. response:	Is he not afraid that after Dijun returns to Heaven
context: to visit her son.\She never comes to see me.\She never visits me. It is as if I do not even exist.\Si Ming said Dijun came to the Mortal Realm\to experience the bitterness of life.\From the looks of it\Si Ming put in his best effort to write this story.\Is he not afraid that after Dijun returns to Heaven response:	and recounts the bitterness experienced in the Mortal Realm
context: She never comes to see me.\She never visits me. It is as if I do not even exist.\Si Ming said Dijun came to the Mortal Realm\to experience the bitterness of life.\From the looks of it\Si Ming put in his best effort to write this story.\Is he not afraid that after Dijun returns to Heaven\and recounts the bitterness experienced in the Mortal Realm response:	Dijun will make him have a taste for himself as well?
context: She never visits me. It is as if I do not even exist.\Si Ming said Dijun came to the Mortal Realm\to experience the bitterness of life.\From the looks of it\Si Ming put in his best effort to write this story.\Is he not afraid that after Dijun returns to Heaven\and recounts the bitterness experienced in the Mortal Realm\Dijun will make him have a taste for himself as well? response:	Why are you silent?
context: Si Ming said Dijun came to the Mortal Realm\to experience the bitterness of life.\From the looks of it\Si Ming put in his best effort to write this story.\Is he not afraid that after Dijun returns to Heaven\and recounts the bitterness experienced in the Mortal Realm\Dijun will make him have a taste for himself as well?\Why are you silent? response:	I am feeling sad for Your Majesty.
context: to experience the bitterness of life.\From the looks of it\Si Ming put in his best effort to write this story.\Is he not afraid that after Dijun returns to Heaven\and recounts the bitterness experienced in the Mortal Realm\Dijun will make him have a taste for himself as well?\Why are you silent?\I am feeling sad for Your Majesty. response:	Noble Consort is so favored by Your Majesty
context: From the looks of it\Si Ming put in his best effort to write this story.\Is he not afraid that after Dijun returns to Heaven\and recounts the bitterness experienced in the Mortal Realm\Dijun will make him have a taste for himself as well?\Why are you silent?\I am feeling sad for Your Majesty.\Noble Consort is so favored by Your Majesty response:	yet she does treasure it.
context: Si Ming put in his best effort to write this story.\Is he not afraid that after Dijun returns to Heaven\and recounts the bitterness experienced in the Mortal Realm\Dijun will make him have a taste for himself as well?\Why are you silent?\I am feeling sad for Your Majesty.\Noble Consort is so favored by Your Majesty\yet she does treasure it. response:	She has not only trampled on Your Majesty's sincere heart
context: Is he not afraid that after Dijun returns to Heaven\and recounts the bitterness experienced in the Mortal Realm\Dijun will make him have a taste for himself as well?\Why are you silent?\I am feeling sad for Your Majesty.\Noble Consort is so favored by Your Majesty\yet she does treasure it.\She has not only trampled on Your Majesty's sincere heart response:	but also done an injustice to the women in the palace who adore Your Majesty.
context: and recounts the bitterness experienced in the Mortal Realm\Dijun will make him have a taste for himself as well?\Why are you silent?\I am feeling sad for Your Majesty.\Noble Consort is so favored by Your Majesty\yet she does treasure it.\She has not only trampled on Your Majesty's sincere heart\but also done an injustice to the women in the palace who adore Your Majesty. response:	Do you adore me as well?
context: Dijun will make him have a taste for himself as well?\Why are you silent?\I am feeling sad for Your Majesty.\Noble Consort is so favored by Your Majesty\yet she does treasure it.\She has not only trampled on Your Majesty's sincere heart\but also done an injustice to the women in the palace who adore Your Majesty.\Do you adore me as well? response:	I am Your Majesty's concubine. Of course I adore you.
context: Why are you silent?\I am feeling sad for Your Majesty.\Noble Consort is so favored by Your Majesty\yet she does treasure it.\She has not only trampled on Your Majesty's sincere heart\but also done an injustice to the women in the palace who adore Your Majesty.\Do you adore me as well?\I am Your Majesty's concubine. Of course I adore you. response:	I wish I could scoop out my heart
context: I am feeling sad for Your Majesty.\Noble Consort is so favored by Your Majesty\yet she does treasure it.\She has not only trampled on Your Majesty's sincere heart\but also done an injustice to the women in the palace who adore Your Majesty.\Do you adore me as well?\I am Your Majesty's concubine. Of course I adore you.\I wish I could scoop out my heart response:	and show Your Majesty so you could see who fills it.
context: Noble Consort is so favored by Your Majesty\yet she does treasure it.\She has not only trampled on Your Majesty's sincere heart\but also done an injustice to the women in the palace who adore Your Majesty.\Do you adore me as well?\I am Your Majesty's concubine. Of course I adore you.\I wish I could scoop out my heart\and show Your Majesty so you could see who fills it. response:	You are quite good at amusing others.
context: yet she does treasure it.\She has not only trampled on Your Majesty's sincere heart\but also done an injustice to the women in the palace who adore Your Majesty.\Do you adore me as well?\I am Your Majesty's concubine. Of course I adore you.\I wish I could scoop out my heart\and show Your Majesty so you could see who fills it.\You are quite good at amusing others. response:	Your Majesty is smiling.
context: She has not only trampled on Your Majesty's sincere heart\but also done an injustice to the women in the palace who adore Your Majesty.\Do you adore me as well?\I am Your Majesty's concubine. Of course I adore you.\I wish I could scoop out my heart\and show Your Majesty so you could see who fills it.\You are quite good at amusing others.\Your Majesty is smiling. response:	That is wonderful.
context: but also done an injustice to the women in the palace who adore Your Majesty.\Do you adore me as well?\I am Your Majesty's concubine. Of course I adore you.\I wish I could scoop out my heart\and show Your Majesty so you could see who fills it.\You are quite good at amusing others.\Your Majesty is smiling.\That is wonderful. response:	Anything can be quickly forgotten.
context: Do you adore me as well?\I am Your Majesty's concubine. Of course I adore you.\I wish I could scoop out my heart\and show Your Majesty so you could see who fills it.\You are quite good at amusing others.\Your Majesty is smiling.\That is wonderful.\Anything can be quickly forgotten. response:	My aunt said the world is always changing.
context: I am Your Majesty's concubine. Of course I adore you.\I wish I could scoop out my heart\and show Your Majesty so you could see who fills it.\You are quite good at amusing others.\Your Majesty is smiling.\That is wonderful.\Anything can be quickly forgotten.\My aunt said the world is always changing. response:	No matter who you are, you will eventually turn to dust.
context: I wish I could scoop out my heart\and show Your Majesty so you could see who fills it.\You are quite good at amusing others.\Your Majesty is smiling.\That is wonderful.\Anything can be quickly forgotten.\My aunt said the world is always changing.\No matter who you are, you will eventually turn to dust. response:	So why should you worry so much and make your life difficult?
context: and show Your Majesty so you could see who fills it.\You are quite good at amusing others.\Your Majesty is smiling.\That is wonderful.\Anything can be quickly forgotten.\My aunt said the world is always changing.\No matter who you are, you will eventually turn to dust.\So why should you worry so much and make your life difficult? response:	That is quite reasonable.
context: You are quite good at amusing others.\Your Majesty is smiling.\That is wonderful.\Anything can be quickly forgotten.\My aunt said the world is always changing.\No matter who you are, you will eventually turn to dust.\So why should you worry so much and make your life difficult?\That is quite reasonable. response:	This flower... is very beautiful.
context: Your Majesty is smiling.\That is wonderful.\Anything can be quickly forgotten.\My aunt said the world is always changing.\No matter who you are, you will eventually turn to dust.\So why should you worry so much and make your life difficult?\That is quite reasonable.\This flower... is very beautiful. response:	For some reason, every time I see this flower on your forehead...
context: That is wonderful.\Anything can be quickly forgotten.\My aunt said the world is always changing.\No matter who you are, you will eventually turn to dust.\So why should you worry so much and make your life difficult?\That is quite reasonable.\This flower... is very beautiful.\For some reason, every time I see this flower on your forehead... response:	I feel as if it is familiar.
context: Anything can be quickly forgotten.\My aunt said the world is always changing.\No matter who you are, you will eventually turn to dust.\So why should you worry so much and make your life difficult?\That is quite reasonable.\This flower... is very beautiful.\For some reason, every time I see this flower on your forehead...\I feel as if it is familiar. response:	Your Majesty remembers this birthmark?
context: My aunt said the world is always changing.\No matter who you are, you will eventually turn to dust.\So why should you worry so much and make your life difficult?\That is quite reasonable.\This flower... is very beautiful.\For some reason, every time I see this flower on your forehead...\I feel as if it is familiar.\Your Majesty remembers this birthmark? response:	I am uncertain.
context: No matter who you are, you will eventually turn to dust.\So why should you worry so much and make your life difficult?\That is quite reasonable.\This flower... is very beautiful.\For some reason, every time I see this flower on your forehead...\I feel as if it is familiar.\Your Majesty remembers this birthmark?\I am uncertain. response:	I just want to keep gazing at it and look at nothing else.
context: So why should you worry so much and make your life difficult?\That is quite reasonable.\This flower... is very beautiful.\For some reason, every time I see this flower on your forehead...\I feel as if it is familiar.\Your Majesty remembers this birthmark?\I am uncertain.\I just want to keep gazing at it and look at nothing else. response:	I also find it mysterious.
context: That is quite reasonable.\This flower... is very beautiful.\For some reason, every time I see this flower on your forehead...\I feel as if it is familiar.\Your Majesty remembers this birthmark?\I am uncertain.\I just want to keep gazing at it and look at nothing else.\I also find it mysterious. response:	I thought I had fallen under your spell
context: This flower... is very beautiful.\For some reason, every time I see this flower on your forehead...\I feel as if it is familiar.\Your Majesty remembers this birthmark?\I am uncertain.\I just want to keep gazing at it and look at nothing else.\I also find it mysterious.\I thought I had fallen under your spell response:	so I have been avoiding you for the past two years.
context: For some reason, every time I see this flower on your forehead...\I feel as if it is familiar.\Your Majesty remembers this birthmark?\I am uncertain.\I just want to keep gazing at it and look at nothing else.\I also find it mysterious.\I thought I had fallen under your spell\so I have been avoiding you for the past two years. response:	I was afraid I would keep looking
context: I feel as if it is familiar.\Your Majesty remembers this birthmark?\I am uncertain.\I just want to keep gazing at it and look at nothing else.\I also find it mysterious.\I thought I had fallen under your spell\so I have been avoiding you for the past two years.\I was afraid I would keep looking response:	and never be able to let go again.
context: Your Majesty remembers this birthmark?\I am uncertain.\I just want to keep gazing at it and look at nothing else.\I also find it mysterious.\I thought I had fallen under your spell\so I have been avoiding you for the past two years.\I was afraid I would keep looking\and never be able to let go again. response:	Your Majesty! Your tea is finished. I'll pour another cup for you.
context: I am uncertain.\I just want to keep gazing at it and look at nothing else.\I also find it mysterious.\I thought I had fallen under your spell\so I have been avoiding you for the past two years.\I was afraid I would keep looking\and never be able to let go again.\Your Majesty! Your tea is finished. I'll pour another cup for you. response:	How come I can't even manage to say a few words of affection?
context: I just want to keep gazing at it and look at nothing else.\I also find it mysterious.\I thought I had fallen under your spell\so I have been avoiding you for the past two years.\I was afraid I would keep looking\and never be able to let go again.\Your Majesty! Your tea is finished. I'll pour another cup for you.\How come I can't even manage to say a few words of affection? response:	I can't be like this.
context: I also find it mysterious.\I thought I had fallen under your spell\so I have been avoiding you for the past two years.\I was afraid I would keep looking\and never be able to let go again.\Your Majesty! Your tea is finished. I'll pour another cup for you.\How come I can't even manage to say a few words of affection?\I can't be like this. response:	I know!
context: I thought I had fallen under your spell\so I have been avoiding you for the past two years.\I was afraid I would keep looking\and never be able to let go again.\Your Majesty! Your tea is finished. I'll pour another cup for you.\How come I can't even manage to say a few words of affection?\I can't be like this.\I know! response:	Two Lives Curse!
context: so I have been avoiding you for the past two years.\I was afraid I would keep looking\and never be able to let go again.\Your Majesty! Your tea is finished. I'll pour another cup for you.\How come I can't even manage to say a few words of affection?\I can't be like this.\I know!\Two Lives Curse! response:	Mother, when is Father coming back?
context: I was afraid I would keep looking\and never be able to let go again.\Your Majesty! Your tea is finished. I'll pour another cup for you.\How come I can't even manage to say a few words of affection?\I can't be like this.\I know!\Two Lives Curse!\Mother, when is Father coming back? response:	I want to eat steamed mushrooms, and cabbage and radish soup.
context: and never be able to let go again.\Your Majesty! Your tea is finished. I'll pour another cup for you.\How come I can't even manage to say a few words of affection?\I can't be like this.\I know!\Two Lives Curse!\Mother, when is Father coming back?\I want to eat steamed mushrooms, and cabbage and radish soup. response:	Soon, probably.
context: Your Majesty! Your tea is finished. I'll pour another cup for you.\How come I can't even manage to say a few words of affection?\I can't be like this.\I know!\Two Lives Curse!\Mother, when is Father coming back?\I want to eat steamed mushrooms, and cabbage and radish soup.\Soon, probably. response:	- Father is back! - You're back.
context: How come I can't even manage to say a few words of affection?\I can't be like this.\I know!\Two Lives Curse!\Mother, when is Father coming back?\I want to eat steamed mushrooms, and cabbage and radish soup.\Soon, probably.\- Father is back! - You're back. response:	Didn't I tell you A-Li is growing right now?
context: I can't be like this.\I know!\Two Lives Curse!\Mother, when is Father coming back?\I want to eat steamed mushrooms, and cabbage and radish soup.\Soon, probably.\- Father is back! - You're back.\Didn't I tell you A-Li is growing right now? response:	He can't just eat these the entire day.
context: I know!\Two Lives Curse!\Mother, when is Father coming back?\I want to eat steamed mushrooms, and cabbage and radish soup.\Soon, probably.\- Father is back! - You're back.\Didn't I tell you A-Li is growing right now?\He can't just eat these the entire day. response:	I know.
context: Two Lives Curse!\Mother, when is Father coming back?\I want to eat steamed mushrooms, and cabbage and radish soup.\Soon, probably.\- Father is back! - You're back.\Didn't I tell you A-Li is growing right now?\He can't just eat these the entire day.\I know. response:	That's why I've been hoping day and night for you to return
context: Mother, when is Father coming back?\I want to eat steamed mushrooms, and cabbage and radish soup.\Soon, probably.\- Father is back! - You're back.\Didn't I tell you A-Li is growing right now?\He can't just eat these the entire day.\I know.\That's why I've been hoping day and night for you to return response:	to make better meals for him.
context: I want to eat steamed mushrooms, and cabbage and radish soup.\Soon, probably.\- Father is back! - You're back.\Didn't I tell you A-Li is growing right now?\He can't just eat these the entire day.\I know.\That's why I've been hoping day and night for you to return\to make better meals for him. response:	You've really been hoping for my return?
context: Soon, probably.\- Father is back! - You're back.\Didn't I tell you A-Li is growing right now?\He can't just eat these the entire day.\I know.\That's why I've been hoping day and night for you to return\to make better meals for him.\You've really been hoping for my return? response:	Father, Mother is blushing.
context: - Father is back! - You're back.\Didn't I tell you A-Li is growing right now?\He can't just eat these the entire day.\I know.\That's why I've been hoping day and night for you to return\to make better meals for him.\You've really been hoping for my return?\Father, Mother is blushing. response:	I was... hoping for you to return to cook.
