context: At the netherworld's bottom, I'll be waiting. response:	What made you decide to swipe this...?
context: So it'll be alright!\What now?\There you go again...\That's right! I'm at it again!\Shut up!\Oh, crap! Some of the residents are awake now!\Who are those brats?! Oh, crap! Some of the residents are awake now!\Reg, hurry! response:	Well, I guess this can wait.
context: What now?\There you go again...\That's right! I'm at it again!\Shut up!\Oh, crap! Some of the residents are awake now!\Who are those brats?! Oh, crap! Some of the residents are awake now!\Reg, hurry!\Well, I guess this can wait. response:	You better send some letters!
context: There you go again...\That's right! I'm at it again!\Shut up!\Oh, crap! Some of the residents are awake now!\Who are those brats?! Oh, crap! Some of the residents are awake now!\Reg, hurry!\Well, I guess this can wait.\You better send some letters! response:	I'll make sure to find them, okay?
context: That's right! I'm at it again!\Shut up!\Oh, crap! Some of the residents are awake now!\Who are those brats?! Oh, crap! Some of the residents are awake now!\Reg, hurry!\Well, I guess this can wait.\You better send some letters!\I'll make sure to find them, okay? response:	Be careful, alright?
context: Shut up!\Oh, crap! Some of the residents are awake now!\Who are those brats?! Oh, crap! Some of the residents are awake now!\Reg, hurry!\Well, I guess this can wait.\You better send some letters!\I'll make sure to find them, okay?\Be careful, alright? response:	And it's fine if you decide to head right on back here, you know!
context: Oh, crap! Some of the residents are awake now!\Who are those brats?! Oh, crap! Some of the residents are awake now!\Reg, hurry!\Well, I guess this can wait.\You better send some letters!\I'll make sure to find them, okay?\Be careful, alright?\And it's fine if you decide to head right on back here, you know! response:	I'm counting on you to take care of Riko!
context: Who are those brats?! Oh, crap! Some of the residents are awake now!\Reg, hurry!\Well, I guess this can wait.\You better send some letters!\I'll make sure to find them, okay?\Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko! response:	Understood. You guys care take of yourselves, too.
context: Reg, hurry!\Well, I guess this can wait.\You better send some letters!\I'll make sure to find them, okay?\Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood. You guys care take of yourselves, too. response:	Thank you to both of you!
context: Well, I guess this can wait.\You better send some letters!\I'll make sure to find them, okay?\Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood. You guys care take of yourselves, too.\Thank you to both of you! response:	Keep an eye out for the good news I'll be sending!
context: You better send some letters!\I'll make sure to find them, okay?\Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood. You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending! response:	Well then, we're off now!
context: I'll make sure to find them, okay?\Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood. You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now! response:	Heading into the chasm for which even darkness is no match...
context: Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood. You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\Heading into the chasm for which even darkness is no match... response:	For those who offer up their bodies and challenge it, the Abyss is said to provide all...
context: And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood. You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\Heading into the chasm for which even darkness is no match...\For those who offer up their bodies and challenge it, the Abyss is said to provide all... response:	Life and death, curses and blessings - all of it...
context: I'm counting on you to take care of Riko!\Understood. You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\Heading into the chasm for which even darkness is no match...\For those who offer up their bodies and challenge it, the Abyss is said to provide all...\Life and death, curses and blessings - all of it... response:	At the end of their journeys, what will they come to finally choose?
context: Understood. You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\Heading into the chasm for which even darkness is no match...\For those who offer up their bodies and challenge it, the Abyss is said to provide all...\Life and death, curses and blessings - all of it...\At the end of their journeys, what will they come to finally choose? response:	Will that be determined by the will of the netherworld?
context: Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\Heading into the chasm for which even darkness is no match...\For those who offer up their bodies and challenge it, the Abyss is said to provide all...\Life and death, curses and blessings - all of it...\At the end of their journeys, what will they come to finally choose?\Will that be determined by the will of the netherworld? response:	Or will it be determined solely by those who challenge it?
