context: You can ask me about anything you'd like. I'll do whatever I can to help. response:	This is the broom you're provided with by the school.
context: A believing heart is my magic!\It's my time! Yeah!\A believing heart is my magic, huh.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door response:	We can push open the door
context: It's my time! Yeah!\A believing heart is my magic, huh.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door response:	fureta tobira hiraite
context: A believing heart is my magic, huh.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite response:	fureta tobira hiraite
context: Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite response:	In the footsteps of our dreams far beyond the stars
context: Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars response:	In the footsteps of our dreams far beyond the stars
context: kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars response:	hoshizora no kanata yume no ashiato
context: kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato response:	hoshizora no kanata yume no ashiato
context: We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato response:	Pick up the pieces with a song
context: We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song response:	Pick up the pieces with a song
context: fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song response:	hiroiatsume utau yo
context: fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo response:	hiroiatsume utau yo
context: In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo response:	Keep the destination of your dreams nestled in your heart
context: In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart response:	Keep the destination of your dreams nestled in your heart
context: hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart response:	yume ga kaketeku basho ima mo kokoro ni himete
context: hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete response:	yume ga kaketeku basho ima mo kokoro ni himete
context: Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete response:	And envelop the night
context: Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night response:	And envelop the night
context: hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night response:	yoru wo tsutsumikomu
context: hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu response:	yoru wo tsutsumikomu
context: Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu response:	Cast a magic spell
context: Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell response:	Cast a magic spell
context: yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell response:	mahou kakete
