context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: The Celestial Tribe and Ghost Tribe get along well now.\I did not live so long without learning anything.\I do understand some principles.\Naturally, I will not make trouble out of nothing\and come to your Grand Ziming Palace to cause trouble.\What do you mean by that?\You won't even bother to blame me anymore?\There is no love, so naturally there is no blame. response:	From now on, we should both mind our own business.
context: I did not live so long without learning anything.\I do understand some principles.\Naturally, I will not make trouble out of nothing\and come to your Grand Ziming Palace to cause trouble.\What do you mean by that?\You won't even bother to blame me anymore?\There is no love, so naturally there is no blame.\From now on, we should both mind our own business. response:	No, A-Yin.
context: I do understand some principles.\Naturally, I will not make trouble out of nothing\and come to your Grand Ziming Palace to cause trouble.\What do you mean by that?\You won't even bother to blame me anymore?\There is no love, so naturally there is no blame.\From now on, we should both mind our own business.\No, A-Yin. response:	You must not say that without listening to me first.
context: Naturally, I will not make trouble out of nothing\and come to your Grand Ziming Palace to cause trouble.\What do you mean by that?\You won't even bother to blame me anymore?\There is no love, so naturally there is no blame.\From now on, we should both mind our own business.\No, A-Yin.\You must not say that without listening to me first. response:	I betrayed you back then.
context: and come to your Grand Ziming Palace to cause trouble.\What do you mean by that?\You won't even bother to blame me anymore?\There is no love, so naturally there is no blame.\From now on, we should both mind our own business.\No, A-Yin.\You must not say that without listening to me first.\I betrayed you back then. response:	Just because you were part of the Celestial Tribe, I...
context: What do you mean by that?\You won't even bother to blame me anymore?\There is no love, so naturally there is no blame.\From now on, we should both mind our own business.\No, A-Yin.\You must not say that without listening to me first.\I betrayed you back then.\Just because you were part of the Celestial Tribe, I... response:	All these years, they've told me you already...
context: You won't even bother to blame me anymore?\There is no love, so naturally there is no blame.\From now on, we should both mind our own business.\No, A-Yin.\You must not say that without listening to me first.\I betrayed you back then.\Just because you were part of the Celestial Tribe, I...\All these years, they've told me you already... response:	I didn't believe it.
context: There is no love, so naturally there is no blame.\From now on, we should both mind our own business.\No, A-Yin.\You must not say that without listening to me first.\I betrayed you back then.\Just because you were part of the Celestial Tribe, I...\All these years, they've told me you already...\I didn't believe it. response:	A-Yin.
context: From now on, we should both mind our own business.\No, A-Yin.\You must not say that without listening to me first.\I betrayed you back then.\Just because you were part of the Celestial Tribe, I...\All these years, they've told me you already...\I didn't believe it.\A-Yin. response:	I was thinking of you all these years.
context: No, A-Yin.\You must not say that without listening to me first.\I betrayed you back then.\Just because you were part of the Celestial Tribe, I...\All these years, they've told me you already...\I didn't believe it.\A-Yin.\I was thinking of you all these years. response:	I've also been searching for you all these years.
context: You must not say that without listening to me first.\I betrayed you back then.\Just because you were part of the Celestial Tribe, I...\All these years, they've told me you already...\I didn't believe it.\A-Yin.\I was thinking of you all these years.\I've also been searching for you all these years. response:	I don't believe that I do not exist even a little bit in your heart.
context: I betrayed you back then.\Just because you were part of the Celestial Tribe, I...\All these years, they've told me you already...\I didn't believe it.\A-Yin.\I was thinking of you all these years.\I've also been searching for you all these years.\I don't believe that I do not exist even a little bit in your heart. response:	Who says I am part of the Celestial Tribe?
context: Just because you were part of the Celestial Tribe, I...\All these years, they've told me you already...\I didn't believe it.\A-Yin.\I was thinking of you all these years.\I've also been searching for you all these years.\I don't believe that I do not exist even a little bit in your heart.\Who says I am part of the Celestial Tribe? response:	Open your eyes and take a clear look.
context: All these years, they've told me you already...\I didn't believe it.\A-Yin.\I was thinking of you all these years.\I've also been searching for you all these years.\I don't believe that I do not exist even a little bit in your heart.\Who says I am part of the Celestial Tribe?\Open your eyes and take a clear look. response:	I am Bai Qian of Qing Qiu.
context: I didn't believe it.\A-Yin.\I was thinking of you all these years.\I've also been searching for you all these years.\I don't believe that I do not exist even a little bit in your heart.\Who says I am part of the Celestial Tribe?\Open your eyes and take a clear look.\I am Bai Qian of Qing Qiu. response:	You are Bai Qian of Qing Qiu?
context: A-Yin.\I was thinking of you all these years.\I've also been searching for you all these years.\I don't believe that I do not exist even a little bit in your heart.\Who says I am part of the Celestial Tribe?\Open your eyes and take a clear look.\I am Bai Qian of Qing Qiu.\You are Bai Qian of Qing Qiu? response:	Then... Back then, you...
context: I was thinking of you all these years.\I've also been searching for you all these years.\I don't believe that I do not exist even a little bit in your heart.\Who says I am part of the Celestial Tribe?\Open your eyes and take a clear look.\I am Bai Qian of Qing Qiu.\You are Bai Qian of Qing Qiu?\Then... Back then, you... response:	Back then, only for the purpose of studying at Kunlun Mountain
context: I've also been searching for you all these years.\I don't believe that I do not exist even a little bit in your heart.\Who says I am part of the Celestial Tribe?\Open your eyes and take a clear look.\I am Bai Qian of Qing Qiu.\You are Bai Qian of Qing Qiu?\Then... Back then, you...\Back then, only for the purpose of studying at Kunlun Mountain response:	did I hide my identity as part of the Nine-tailed Fox Clan.
